frame,frame_time_ns
1,201738500
2,3155200
3,4213400
4,2866200
5,5037200
6,2553900
7,2841300
8,2640000
9,3786400
10,3326000
11,3766500
12,2881400
13,2883300
14,3801400
15,2576000
16,3347000
17,4044400
18,3180300
19,3553500
20,2710500
21,4249200
22,3385300
23,3963900
24,2743700
25,3658800
26,3362600
27,3908500
28,3349400
29,3230700
30,3933500
31,3037300
32,3476100
33,2928200
34,3209900
35,3277700
36,3563400
37,3393000
38,3158400
39,4372400
40,2806100
41,3782100
42,3037000
43,3302800
44,3949500
45,3499700
46,2856300
47,2490700
48,3252000
49,4220200
50,4037800
51,3585700
52,3426300
53,2547300
54,3170700
55,2858700
56,2719300
57,3965900
58,2921900
59,3420500
60,2834800
61,2894100
62,3275100
63,2882400
64,3431600
65,2807900
66,3048500
67,3137800
68,2630200
69,3606600
70,2834500
71,2488400
72,3675000
73,2681200
74,2819900
75,3215100
76,3012000
77,2912700
78,3137800
79,3278600
80,2778700
81,2900600
82,3450800
83,2950400
84,3297100
85,2500000
86,2759700
87,2944400
88,2895600
89,2532700
90,2729100
91,2461100
92,2252400
93,2561900
94,2483800
95,2359600
96,3111500
97,2311300
98,2050800
99,2093800
100,2631600
101,2507000
102,2040600
103,2992800
104,2246600
105,2230700
106,3227700
107,2689200
108,2757100
109,3104900
110,2577900
111,3006200
112,2615800
113,2405100
114,2962500
115,2320000
116,2681000
117,2786500
118,2577700
119,2293800
120,3642900
121,3165500
122,2934700
123,3674200
124,2537700
125,2707600
126,2774100
127,2541800
128,2884800
129,2306100
130,2356700
131,3021400
132,2941300
133,2486400
134,2936300
135,2484300
136,2237300
137,3306400
138,2378400
139,2107700
140,2499500
141,2578000
142,2089300
143,2450500
144,2399100
145,2121200
146,2237800
147,2611900
148,2081200
149,2253300
150,2668100
151,1954400
152,1830800
153,2334000
154,2353000
155,1872900
156,2012500
157,2670300
158,2275300
159,2089600
160,2117500
161,2765500
162,2519000
163,2639000
164,2636000
165,2178300
166,1942100
167,2980500
168,2087700
169,2012400
170,2555800
171,2630900
172,2426500
173,2739800
174,2530900
175,2172900
176,2416500
177,2959900
178,2250300
179,3043900
180,3463400
181,2425300
182,3368700
183,2448900
184,2264200
185,2966200
186,2157800
187,2101900
188,2626500
189,2299500
190,2178000
191,3238000
192,2453600
193,1913900
194,2141300
195,2636400
196,2185600
197,2207500
198,2730400
199,2421700
200,2092700
201,2085200
202,2577100
203,2205300
204,2096900
205,2419600
206,2367600
207,2131000
208,3080600
209,2309900
210,2080600
211,3607100
212,2499000
213,2690200
214,3133600
215,2198900
216,1978500
217,2878000
218,2641700
219,2506700
220,3983300
221,3328200
222,2309700
223,2299400
224,2275200
225,3030300
226,2631300
227,2276900
228,2641200
229,2805700
230,2513700
231,3307500
232,2453700
233,2740000
234,3997900
235,2828300
236,4371900
237,2841600
238,2608100
239,3009100
240,2451800
241,3050000
242,2606700
243,2586300
244,3367300
245,2791600
246,2944100
247,2575100
248,2080000
249,2042300
250,3339100
251,2549800
252,1968000
253,2466200
254,2288300
255,1856800
256,1762200
257,2200400
258,2226300
259,1837500
260,2566200
261,2200500
262,2038500
263,2957400
264,2403100
265,2214100
266,2043100
267,2772200
268,2016200
269,1759300
270,1993600
271,2834700
272,2056200
273,1773400
274,2234200
275,2487400
276,2348300
277,2550500
278,2358800
279,2648800
280,2908500
281,2673000
282,2579900
283,3101600
284,2284700
285,2298200
286,2800900
287,2990300
288,2347700
289,3088800
290,2996900
291,2227200
292,3131200
293,2788800
294,2180200
295,2521900
296,2209200
297,2882700
298,2654100
299,2236300
300,2398800
301,3279600
302,2370800
303,2887800
304,2704300
305,2589800
306,2444300
307,3229400
308,2842200
309,3221500
310,2729000
311,2375300
312,2496600
313,2705100
314,2911100
315,2929100
316,2234400
317,3090300
318,2455700
319,2296000
320,2975000
321,2450000
322,2370400
323,3602000
324,2729600
325,2430200
326,3167300
327,2553900
328,2457800
329,3669800
330,2900100
331,3259000
332,2747000
333,3600100
334,2800600
335,2629000
336,3447600
337,2968700
338,3577700
339,3568600
340,3659600
341,4372800
342,3434200
343,2786500
344,3377900
345,3136800
346,2712000
347,3233400
348,2564900
349,2398600
350,2701300
351,2264000
352,2516200
353,2965400
354,3661100
355,2901400
356,3203900
357,2509200
358,2423200
359,2527000
360,2505300
361,2747000
362,2932900
363,3160800
364,3565900
365,2948900
366,2722200
367,3308400
368,2410600
369,2965100
370,3067000
371,2322400
372,2751000
373,2334300
374,2246200
375,2445300
376,2576200
377,3509700
378,3125900
379,2676400
380,2755300
381,3259000
382,2995400
383,4091200
384,2781000
385,3126200
386,3148800
387,2802600
388,3109500
389,2514500
390,2480800
391,2968800
392,3110300
393,3205300
394,2988200
395,2463500
396,3371000
397,2685400
398,2863900
399,3468400
400,2792900
401,3147300
402,2920900
403,2324000
404,2591700
405,2307300
406,2140900
407,2284900
408,2574800
409,2188700
410,2886900
411,2326900
412,2015700
413,3066100
414,2708000
415,2169700
416,2381900
417,2749200
418,2156400
419,1934100
420,2336000
421,2282800
422,1901900
423,2257000
424,2592600
425,2393400
426,1912700
427,2846400
428,1971200
429,1776500
430,1815100
431,2533600
432,2383400
433,1789800
434,2176100
435,2090700
436,1740500
437,1880000
438,2762600
439,2553200
440,1760500
441,1682700
442,2826300
443,2625400
444,2042200
445,3182600
446,2994300
447,2361600
448,2410200
449,2651900
450,2455600
451,2573800
452,2545800
453,2950800
454,2420300
455,2050800
456,2815300
457,3120200
458,2464500
459,2567400
460,3080800
461,2689900
462,2669600
463,2644500
464,2362800
465,2939300
466,3438200
467,2327400
468,3860500
469,2417100
470,3119600
471,2939100
472,2341200
473,13405600
474,2491500
475,2714800
476,2183000
477,1853500
478,1712000
479,2692800
480,1985600
481,1939800
482,2190000
483,2528100
484,2183200
485,1897100
486,3745900
487,2886200
488,2583800
489,2937300
490,2549700
491,2927600
492,2839300
493,2183600
494,2418200
495,2812800
496,2767600
497,2798200
498,2583400
499,2735000
500,2938800
501,2560900
502,2115500
503,2985700
504,2305500
505,1911200
506,1981700
507,2783200
508,2008800
509,1791800
510,2443900
511,2358700
512,1887900
513,1628800
514,2392500
515,2247300
516,1988800
517,1746500
518,2310000
519,1752000
520,1676600
521,2657000
522,1990800
523,1708600
524,1623400
525,2221900
526,2092000
527,1726800
528,1659900
529,2255200
530,2393400
531,2106600
532,1749200
533,2618900
534,2784800
535,2613300
536,2618000
537,2000100
538,1759600
539,1637600
540,2354800
541,2079600
542,1975600
543,2381100
544,2200800
545,1791900
546,1732000
547,2355600
548,3075800
549,1878300
550,1739700
551,2762200
552,2111000
553,2437600
554,3442400
555,2288300
556,2020700
557,3163100
558,2271200
559,2003400
560,2752500
561,2089200
562,2480400
563,2713400
564,2214600
565,2067100
566,2750400
567,2546000
568,2344500
569,2624100
570,2287100
571,1940400
572,1765100
573,2851000
574,2000300
575,1868800
576,1769100
577,2476700
578,2062200
579,1740700
580,3920500
581,2379000
582,2497300
583,2476600
584,2130000
585,2166100
586,2913000
587,2063800
588,1741600
589,2496100
590,2237200
591,1860300
592,1864800
593,2397800
594,2527800
595,2275700
596,2012400
597,2452700
598,2238300
599,3258500
600,2490500
601,2440700
602,2055700
603,2601600
604,2276800
605,1968800
606,2763800
607,2350600
608,1938100
609,1964500
610,2486500
611,1967600
612,1694900
613,1951300
614,2668900
615,1986000
616,1805500
617,3005200
618,2356400
619,1965600
620,2732000
621,2255900
622,2014400
623,2566700
624,2297600
625,1984100
626,1720700
627,2026800
628,2305600
629,2118600
630,2254800
631,2962100
632,2238200
633,1950200
634,2469700
635,3153400
636,2301100
637,2307400
638,2039300
639,2208800
640,1929300
641,2367300
642,2185800
643,1996700
644,2341200
645,1881600
646,1680900
647,2127400
648,2878800
649,1978600
650,1843200
651,2081900
652,2622300
653,2063800
654,1768100
655,2470700
656,2520000
657,1844400
658,1716100
659,2470000
660,1982800
661,1868100
662,2045300
663,2455100
664,1978000
665,1886300
666,2632500
667,1991800
668,1891100
669,1790900
670,3211700
671,2123600
672,2027800
673,2979700
674,2171400
675,2537800
676,3419300
677,2177400
678,1903600
679,2837000
680,2311600
681,2250500
682,2501800
683,2669000
684,2071900
685,2684300
686,2715100
687,2485000
688,2820900
689,2354200
690,2107900
691,2396400
692,2923700
693,2086400
694,1742900
695,2582800
696,2462800
697,1947400
698,1757700
699,2686600
700,2168300
701,1854700
702,2571900
703,2148900
704,1972900
705,1727300
706,2698100
707,1900600
708,1648700
709,2196900
710,2324000
711,1770200
712,1694600
