frame,frame_time_ns
1,220991000
2,3723100
3,3103100
4,3331100
5,2991900
6,3102900
7,3558100
8,2826900
9,3662000
10,3110500
11,4469500
12,3666700
13,3135000
14,3246600
15,2780100
16,3409700
17,3805300
18,3030800
19,3721200
20,2911600
21,3859900
22,2997900
23,3645700
24,4891700
25,3979500
26,3664900
27,2975000
28,3782000
29,3966500
30,4067600
31,3450400
32,3824900
33,3367800
34,4599200
35,3853700
36,3987400
37,3721800
38,3339400
39,3976100
40,3459900
41,3391000
42,3151700
43,3109500
44,3995700
45,4216000
46,4198000
47,4136200
48,3668100
49,3825200
50,3101200
51,4062100
52,2904500
53,3269600
54,3022000
55,3547700
56,2885600
57,3157100
58,3015900
59,2913500
60,2974900
61,2513500
62,3191900
63,2528900
64,2468800
65,3006900
66,2519300
67,2147800
68,2829700
69,2420600
70,2428400
71,2829400
72,2386300
73,3517600
74,2333800
75,3308300
76,2661400
77,2718400
78,2533800
79,2137900
80,2461800
81,2735600
82,2272700
83,2246700
84,2505800
85,1983600
86,1875400
87,2746800
88,2759000
89,2738400
90,2999900
91,2140500
92,2634800
93,2641100
94,2247100
95,2926400
96,2121300
97,2087900
98,2789700
99,2213800
100,1926900
101,2105300
102,2467200
103,2064100
104,2608900
105,2703800
106,2109600
107,3197600
108,2624200
109,2922800
110,2355800
111,1972100
112,2848800
113,2188700
114,2009600
115,2095100
116,3062100
117,2296500
118,2678400
119,2631300
120,2246800
121,2677300
122,2390100
123,2271200
124,3216900
125,3066200
126,2722000
127,2455300
128,2130200
129,2436500
130,2901100
131,2400700
132,2620400
133,2289600
134,2197000
135,3410400
136,2577000
137,2250000
138,2742700
139,2203000
140,3075300
141,2658200
142,2121100
143,2352600
144,2707200
145,2310300
146,2805100
147,2208400
148,2116900
149,3072400
150,2813000
151,2162000
152,2647600
153,2189900
154,1882800
155,2341300
156,2682900
157,2180200
158,3046000
159,2755700
160,2484100
161,2543400
162,2397100
163,2454800
164,2326900
165,2254400
166,2107400
167,2730000
168,2041200
169,1899400
170,2724900
171,2052100
172,1839000
173,2739400
174,2472100
175,2547100
176,2503000
177,2465100
178,3426800
179,2566800
180,2181300
181,2745800
182,2160800
183,1844600
184,2523200
185,2593400
186,2279300
187,2558400
188,2647500
189,2518600
190,2781600
191,2265000
192,2630700
193,2698700
194,2493700
195,2395300
196,2649400
197,2055500
198,2107100
199,2498200
200,2491800
201,2602400
202,2599000
203,2099000
204,2352200
205,2637000
206,2381000
207,2277900
208,2879300
209,2259000
210,3071100
211,2966900
212,2363600
213,2655100
214,2026500
215,2628200
216,2694600
217,2047100
218,2009300
219,2892600
220,2056800
221,2023100
222,2734500
223,2507600
224,2201900
225,2648600
226,2252000
227,2983400
228,2516600
229,2052000
230,2939300
231,2767800
232,2776600
233,2752300
234,2344000
235,2784800
236,3013000
237,2346400
238,2816700
239,2219700
240,2107900
241,2787900
242,3051200
243,3628900
244,3062100
245,3340100
246,2954900
247,2857200
248,3106000
249,2719800
250,3236600
251,3817400
252,3529400
253,2738300
254,3462700
255,3315800
256,2968200
257,3325800
258,2635500
259,3183800
260,2722800
261,3035300
262,2720100
263,2638400
264,3239900
265,2609500
266,2707600
267,3074100
268,2762200
269,3636600
270,3734100
271,2898200
272,3451000
273,2693500
274,2946500
275,3273400
276,2890300
277,3945000
278,2694600
279,3550200
280,3048000
281,3337800
282,3060300
283,3473400
284,3198800
285,3012300
286,3393900
287,3018300
288,3165100
289,2686400
290,2977200
291,2782900
292,3149400
293,3122800
294,2875400
295,3706000
296,3112800
297,4863000
298,2893800
299,3567700
300,2921100
301,3280700
302,2778300
303,3142300
304,2978000
305,2587900
306,3462800
307,2856400
308,3457500
309,3309500
310,3680500
311,3285500
312,3623500
313,2926000
314,3773000
315,2665300
316,3244000
317,3135600
318,2719300
319,3390000
320,3025600
321,3215400
322,2941600
323,3722500
324,2921700
325,3190400
326,3446600
327,2741100
328,3317600
329,2482100
330,2812000
331,2615900
332,2503300
333,2825900
334,2593600
335,2797300
336,2791300
337,2251200
338,3858500
339,2659400
340,3445300
341,3552000
342,3305400
343,3316100
344,3721500
345,3090900
346,2887700
347,10995300
348,2745100
349,3239200
350,2900900
351,3285900
352,2886100
353,2472600
354,2944800
355,2421600
356,2294000
357,3187600
358,2366500
359,2517800
360,2892600
361,2947200
362,3652000
363,2612800
364,3688500
365,2721700
366,3219700
367,3096000
368,2926400
369,2599800
370,2436000
371,2915200
372,2526600
373,2455400
374,2697400
375,2331000
376,2154400
377,3053200
378,2224100
379,2128400
380,2957200
381,2538900
382,3306600
383,2611000
384,2130200
385,2348100
386,2319200
387,2087200
388,2790400
389,2415700
390,1931300
391,2080900
392,2933200
393,2020000
394,1958400
395,3272100
396,2189600
397,2674500
398,2650500
399,2743400
400,2813700
401,2341200
402,2233500
403,2585400
404,2111400
405,1793700
406,2014000
407,2596800
408,2016600
409,1974700
410,2741500
411,2444300
412,1838700
413,2615600
414,2198500
415,2969900
416,2478400
417,2089700
418,3345800
419,2426200
420,2133300
421,3063200
422,2089800
423,1912300
424,2570100
425,2625400
426,2121000
427,2374600
428,2182700
429,2129500
430,2294700
431,2664900
432,2738300
433,3046100
434,2255100
435,2104200
436,2863500
437,2442600
438,2224500
439,2646000
440,2041200
441,1769600
442,2898100
443,2173000
444,1895200
445,2573300
446,2194200
447,1855300
448,2643800
449,2494500
450,2451700
451,2808300
452,2281500
453,2226300
454,2948500
455,2324100
456,2391500
457,2958000
458,2453600
459,3200600
460,2654100
461,2897800
462,3450900
463,2713800
464,4043500
465,2741900
466,2862800
467,2982800
468,2754300
469,2703200
470,2375500
471,2805900
472,2473300
473,2325400
474,3207400
475,2665700
476,2951500
477,2816900
478,2508400
479,2801300
480,2471400
481,3157900
482,2582500
483,2430200
484,3205600
485,2501800
486,3218800
487,2468200
488,2506700
489,2769300
490,2596500
491,2342300
492,2442300
493,2456100
494,1866800
495,2170700
496,2594800
497,2170200
498,2868400
499,2206100
500,1893400
501,2521900
502,2677800
503,2523600
504,2883200
505,2258400
506,2761500
507,3049200
508,2329900
509,2458600
510,2243000
511,1828200
512,2070300
513,3134100
514,2302100
515,2676900
