frame,frame_time_ns
1,258581300
2,5038500
3,4885700
4,5047300
5,4650400
6,3701000
7,5033200
8,3437200
9,3692500
10,3797000
11,3205200
12,3488300
13,3311300
14,3145500
15,4014700
16,5395100
17,3772300
18,3378200
19,2749600
20,4778300
21,3828100
22,3576100
23,4160200
24,3746600
25,4200200
26,3460500
27,4452100
28,3821100
29,5546500
30,4745600
31,4249500
32,4536700
33,3534800
34,3990200
35,3641700
36,3250200
37,3404000
38,2696800
39,3878700
40,3342900
41,3524400
42,3158700
43,2714000
44,4177500
45,3092000
46,3197400
47,2586200
48,3269000
49,2621600
50,2459900
51,2713000
52,2315500
53,2819000
54,3039300
55,2871300
56,3389300
57,2488800
58,3102700
59,2702000
60,2830800
61,2950600
62,2509900
63,2913400
64,2604600
65,2583100
66,2948500
67,2695600
68,2973200
69,2741000
70,2503900
71,3198900
72,2687300
73,2959600
74,3001300
75,2493000
76,3377900
77,2748100
78,2758700
79,2958500
80,2778300
81,3081400
82,2623500
83,2672400
84,2364600
85,2428200
86,3485700
87,2782800
88,3338100
89,2832700
90,3589900
91,2738500
92,2562300
93,3188200
94,2926900
95,2951900
96,2243900
97,2129600
98,3421000
99,2621000
100,2478100
101,2641000
102,2550500
103,2347300
104,2841600
105,2636400
106,3118500
107,2521000
108,2243700
109,3652600
110,3121400
111,3182500
112,2587000
113,3469700
114,3083900
115,2851800
116,2805900
117,2603000
118,3169300
119,2732300
120,2470500
121,2965500
122,2533000
123,3216500
124,3145600
125,3183100
126,2496600
127,2806200
128,3016400
129,2572400
130,2586300
131,2776600
132,2714700
133,2959700
134,2521500
135,2071900
136,2673300
137,3189800
138,2520800
139,3491500
140,2640400
141,3152500
142,2541400
143,2933500
144,3161900
145,2884000
146,3200600
147,2424100
148,2684600
149,3119400
150,2443100
151,3063500
152,3192400
153,3872100
154,3628900
155,2906100
156,2399000
157,3250700
158,2905700
159,3369800
160,2809500
161,2962900
162,3393500
163,3348500
164,2891700
165,2697300
166,2897600
167,3268600
168,2758800
169,2963700
170,2705500
171,3627800
172,2845300
173,3090500
174,2670100
175,2549400
176,3180400
