frame,frame_time_ns
1,198301500
2,1569900
3,2102400
4,1587300
5,1602800
6,1450700
7,1305600
8,1309600
9,1372500
10,1673200
11,1780600
12,2077700
13,2075900
14,1891500
15,2057800
16,1595800
17,1662800
18,1338600
19,1506000
20,1608100
21,1417300
22,1189100
23,1241400
24,1168700
25,1230700
26,1469800
27,1604600
28,1659100
29,1311900
30,1738400
31,1328600
32,1337900
33,1295900
34,1319500
35,1880800
36,1572800
37,1582800
38,1450600
39,1364000
40,1532000
41,1799800
42,1747800
43,1686300
44,1346700
45,1356400
46,1622800
47,1819800
48,1427600
49,1368400
50,1382600
51,1581300
52,1359600
53,1240600
54,1351600
55,1647200
56,1789400
57,1643500
58,1407600
59,1306000
60,1519900
61,1648600
62,1407200
63,1386800
64,1543900
65,1438900
66,1659500
67,1407300
68,1318800
69,1090200
70,1025900
71,1062200
72,1364500
73,1572300
74,1963500
75,2110200
76,2275100
77,1575200
78,1309900
79,1221800
80,1118700
81,1473400
82,1346700
83,1146400
84,1039200
85,992400
86,1171200
87,1616500
88,1761900
89,1672200
90,1513400
91,1270600
92,1348800
93,1593600
94,1419100
95,1484100
96,1146400
97,975100
98,938900
99,1217300
100,1240200
101,1117000
102,996200
103,1048900
104,1395300
105,1368400
106,1563200
107,1197500
108,1464700
109,1235000
110,955300
111,1053100
112,1093400
113,1026300
114,887600
115,845100
116,1270200
117,1171300
118,1212300
119,1229700
120,1092100
121,1382900
122,1034500
123,820300
124,1146300
125,1040000
126,1015500
127,1203700
128,967900
129,1033400
130,1117300
131,931300
132,1007700
133,1045600
134,1306400
135,1239300
136,997300
137,885700
138,858700
139,857100
140,895400
141,1414000
142,899800
143,832100
144,812700
145,761700
146,843400
147,782600
148,1533200
149,1235900
150,1051800
151,1656400
152,1081700
153,958100
154,811000
155,795900
156,1114700
157,1102000
158,859000
159,840400
160,832100
161,805900
162,944500
163,1126300
164,1509300
165,1505800
166,1108600
167,959200
168,974900
169,883800
170,886600
171,1360000
172,1103800
173,956600
174,834400
175,857300
176,1079500
177,1009600
178,996600
179,1011700
180,969000
181,788900
182,855600
183,1242600
184,853000
185,1232000
186,1079500
187,1092000
188,916000
189,765200
190,968200
191,1156400
192,1022500
193,940700
194,1085300
195,1001500
196,1705700
197,1417300
198,1626900
199,936400
200,1180900
201,1124600
202,908000
203,837500
204,868500
205,1046800
206,1037800
207,886500
208,1055700
209,1204100
210,997300
211,928700
212,843500
213,803600
214,794000
215,879700
216,1035200
217,1251800
218,1316800
219,1142900
220,1206600
221,936700
222,1038100
223,1002800
224,1076400
225,1084300
226,968300
227,962200
228,1003300
229,1055400
230,1199000
231,1206100
232,1099900
233,1444800
234,932400
235,840700
236,845600
237,1129700
238,1391700
239,1084900
240,1032600
241,988700
242,883700
243,896800
244,785400
245,923000
246,1475200
247,1560800
248,923700
249,863200
250,863600
251,998700
252,1243700
253,1204000
254,1160600
255,1003400
256,889000
257,1436100
258,856800
259,1040000
260,1566700
261,1132100
262,1593900
263,942200
264,877900
265,815600
266,976900
267,986800
268,953400
269,825900
270,1148300
271,1049800
272,979000
273,1271800
274,1387700
275,1057100
276,1411900
277,836500
278,879100
279,814700
280,997300
281,1107300
282,1170200
283,1018200
284,1061900
285,1072800
286,1013500
287,873500
288,943200
289,1524800
290,1024900
291,925300
292,915800
293,850000
294,1219300
295,817900
296,803300
297,1068600
298,999700
299,945200
300,858100
301,1187100
302,1101900
303,910700
304,1037600
305,1260600
306,1107800
307,1036100
308,987600
309,963000
310,895400
311,1495600
312,1451700
313,936900
314,910600
315,1095900
316,860300
317,864900
318,819200
319,1177100
320,978700
321,844500
322,852500
323,1092100
324,912600
325,948100
326,1192100
327,1304900
328,1525400
329,1225100
330,1170800
331,1048400
332,1014900
333,921300
334,952200
335,967700
336,873900
337,1031300
338,864700
339,873200
340,1420500
341,925800
342,1845000
343,969900
344,865100
345,1035200
346,1042300
347,1397500
348,1110200
349,1172400
350,1152000
351,868900
352,799100
353,1638000
354,1116100
355,1150400
356,935700
357,787200
358,944100
359,942600
360,1415100
361,1019300
362,2559600
363,1002000
364,988600
365,925300
366,1461600
367,827100
368,1366600
369,1107000
370,1101900
371,1669200
372,1069600
373,1273700
374,1300300
375,1210700
376,945000
377,897200
378,884100
379,864600
380,1468800
381,1085700
382,1025200
383,1196300
384,968400
385,1143800
386,908800
387,912700
388,1028900
389,1143100
390,1960000
391,1143700
392,1148800
393,1062900
394,857500
395,937700
396,1547600
397,880700
398,851400
399,778400
400,1108900
401,962000
402,964000
403,1388500
404,1050800
405,905000
406,785500
407,889100
408,1563200
409,934300
410,822800
411,975600
412,979100
413,1035900
414,1021600
415,1041200
416,927900
417,806900
418,1400400
419,1142500
420,1022500
421,977200
422,868600
423,887800
424,887900
425,853000
426,1214600
427,1522300
428,1106300
429,1240500
430,938200
431,845800
432,1391000
433,992000
434,1010000
435,1135000
436,1647100
437,870400
438,997400
439,1427800
440,1321600
441,971700
442,1046300
443,1047000
444,991300
445,1335500
446,1093400
447,1613500
448,1046200
449,921800
450,1118300
451,1287800
452,1396400
453,1450500
454,1188800
455,1171000
456,1139500
457,1152500
458,1017300
459,976500
460,1250600
461,1191200
462,912400
463,889400
464,1138100
465,1008800
466,915500
467,1088600
468,1062800
469,1424800
470,1033000
471,1189700
472,787200
473,931300
474,1069200
475,1337600
476,1121900
477,1569200
478,908200
479,1077100
480,939900
481,1503900
482,1277300
483,881600
484,1447300
485,956900
486,924900
487,1024400
488,947900
489,1139900
490,1053200
491,907300
492,860600
493,847600
494,841500
495,885400
496,861900
497,1386300
498,1348000
499,1277300
500,1217200
501,1140700
502,1015400
503,1950400
504,1085600
505,1086400
506,900100
507,938000
508,889400
509,835100
510,946500
511,1663400
512,1040300
513,939000
514,1468500
515,1006200
516,876000
517,909000
518,1062200
519,1107900
520,953700
521,850400
522,810600
523,2022300
524,1493200
525,1178500
526,1046200
527,1082900
528,988600
529,883200
530,1075900
531,1485200
532,1460400
533,968200
534,942900
535,870200
536,853500
537,856900
538,891600
539,1722100
540,1136400
541,1374300
542,1151200
543,1097800
544,1299000
545,1221800
546,1174300
547,912500
548,1298700
549,777800
550,756200
551,1262700
552,936800
553,985000
554,1208400
555,1067600
556,884800
557,873400
558,880600
559,950300
560,1313200
561,992700
562,1144700
563,1121500
564,895100
565,842500
566,1049600
567,1275200
568,1218300
569,1130100
570,925100
571,865700
572,1553200
573,858600
574,1210000
575,1487900
576,962800
577,1024500
578,1363400
579,1300000
580,953700
581,1400900
582,1005200
583,981700
584,1029000
585,970600
586,965000
587,798300
588,810100
589,1767500
590,1280800
591,914100
592,874800
593,840900
594,1140800
595,997700
596,1794200
597,1322000
598,995100
599,907400
600,797900
601,912200
602,1394900
603,1150400
604,1248000
605,1065800
606,1394300
607,1237600
608,902000
609,1068200
610,1217800
611,1123000
612,984700
613,967800
614,956100
615,912600
616,933100
617,1281100
618,1147100
619,1054500
620,1160300
621,1012400
622,1350800
623,1621300
624,1733900
625,1808900
626,1183700
627,997900
628,880600
629,1487100
630,1380400
631,1183000
632,1107100
633,1638000
634,1234900
635,1304400
636,1372300
637,1088700
638,1032900
639,891500
640,958100
641,1019200
642,1265300
643,1490800
644,1293200
645,1260700
646,1184300
647,1160000
648,1426300
649,1130200
650,983600
651,5154600
652,1515800
653,1035500
654,1095900
655,1101900
656,1139200
657,1206000
658,1338700
659,1302800
660,1300200
661,1232200
662,1368800
663,1429800
664,1413800
665,1459200
666,1344600
667,1383300
668,1253600
669,1552200
670,1565000
671,1472900
672,1395900
673,1815800
674,1859800
675,1766700
676,1700800
677,2509500
678,2357300
679,2017200
680,1759600
681,1957100
682,1899000
683,1739700
684,1558600
685,2046700
686,1918100
687,1871700
688,1743900
689,1834500
690,2604600
691,2007300
692,2070700
693,1902600
694,1851400
695,1637500
696,1752700
697,1676600
698,1852500
699,2202700
700,1578100
701,1961400
702,2165800
703,1835600
704,2042600
705,2039700
706,1818000
707,1719600
708,1964600
709,2431000
710,2335100
711,1766500
712,1609600
713,2236600
714,1916600
715,1743800
716,2043200
717,2329800
718,1921600
719,1844400
720,1697900
721,1661000
722,1751900
723,2323000
724,1955100
725,1704800
726,1765300
727,1635100
728,2039000
729,1847700
730,1508900
731,1458200
732,1439500
733,1660700
734,1862300
735,1744100
736,1475300
737,1517400
738,2095500
739,1384300
740,1253200
741,1481700
742,1406600
743,1135100
744,1394100
745,1135200
746,1019600
747,1706600
748,1300500
749,1112100
750,2127700
751,1871400
752,1162000
753,1034600
754,1188900
755,1525400
756,1250800
757,1090800
758,1306300
759,1663200
760,1510100
761,1353900
762,1404000
763,1139600
764,1165900
765,1186700
766,1443700
767,1394500
768,1213100
769,1151400
770,1247800
771,1356200
772,1569600
773,1280900
774,1121400
775,1119200
776,1070600
777,1444500
778,1369800
779,1186200
780,1112100
781,1031200
782,952300
783,1036000
784,1129900
785,1224800
786,1265400
787,1111700
788,1016700
789,1289000
790,1138000
791,1061400
792,1044200
793,1073900
794,1343100
795,1233000
796,889900
797,995800
798,1184500
799,1189100
800,1030700
801,950800
802,1099700
803,948700
804,878000
805,873700
806,1110000
807,1519900
808,1557500
809,1048100
810,910400
811,987200
812,957400
813,1220400
814,924100
815,938600
816,1303500
817,868500
818,1463500
819,881000
820,928300
821,1072700
822,896500
823,1188300
824,1014000
825,900600
826,894300
827,1012900
828,1113800
829,1267900
830,942700
831,952600
832,1181700
833,840500
834,1583700
835,1443200
836,944600
837,879100
838,1303100
839,906100
840,877800
841,877300
842,2174700
843,1038800
844,846100
845,824600
846,892600
847,1099700
848,1151300
849,1586500
850,991700
851,1006000
852,1003800
853,889800
854,1024800
855,931100
856,1954000
857,1208800
858,1064600
859,1003400
860,988900
861,894300
862,1294400
863,1139000
864,1404300
865,1030900
866,994500
867,873600
868,1253200
869,790800
870,921300
871,1191500
872,1021800
873,1184300
874,814200
875,1066800
876,899600
877,1344500
878,1124600
879,920400
880,1017000
881,1048500
882,965800
883,1083000
884,1307900
885,1117700
886,868900
887,858600
888,907200
889,1427200
890,1100800
891,1417600
892,1663400
893,1317500
894,1030600
895,966800
896,901000
897,1260200
898,1214500
899,1178200
900,1191600
901,963400
902,1242900
903,1027200
904,865200
905,995100
906,1242800
907,1183900
908,902500
909,949400
910,1226900
911,898700
912,1047300
913,1099100
914,1131700
915,1348700
916,907000
917,949700
918,989800
919,1180700
920,1546800
921,921800
922,832800
923,981500
924,983500
925,937800
926,977700
927,1345800
928,1222200
929,1379400
930,1148900
931,896000
932,819700
933,1316200
934,1092000
935,1479500
936,1269000
937,1056700
938,981900
939,1068600
940,1061000
941,1269700
942,1368800
943,1144700
944,1026300
945,887600
946,830500
947,1405300
948,1264500
949,1065300
950,935400
951,1243700
952,863500
953,812500
954,919000
955,897500
956,1863700
957,1344400
958,992600
959,871300
960,927800
961,1326700
962,1198400
963,1023400
964,890800
965,1211100
966,891200
967,861700
968,971400
969,1255200
970,1267900
971,996500
972,898100
973,1382100
974,866700
975,924500
976,1556300
977,1328100
978,1063400
979,1406100
980,2052100
981,1047400
982,1440900
983,1200800
984,941900
985,1311200
986,832400
987,1172400
988,1325400
989,1961400
990,1045800
991,876100
992,983500
993,1038100
994,873000
995,813100
996,979900
997,1316900
998,1016200
999,1850100
1000,1044000
1001,1217100
1002,1424300
1003,930100
1004,867600
1005,1317200
1006,823600
1007,967800
1008,872300
1009,1489700
1010,1614100
1011,1747100
1012,1000400
1013,850900
1014,1649900
1015,1154600
1016,1090200
1017,1645700
1018,1082900
1019,896300
1020,1218400
1021,913200
1022,998900
1023,1146500
1024,1089900
1025,828300
1026,794600
1027,1171300
1028,888000
1029,1125500
1030,1451800
1031,1285800
1032,1008200
1033,885500
1034,1090100
1035,1045800
1036,1428800
1037,1422400
1038,1044300
1039,836700
1040,1322600
1041,816300
1042,1264500
1043,1683600
1044,954600
1045,863600
1046,782900
1047,947000
1048,1114900
1049,1098600
1050,1086100
1051,1439400
1052,1022100
1053,1197900
1054,1204600
1055,1514500
1056,1193300
1057,1688500
1058,1640500
1059,1075400
1060,872500
1061,968200
1062,1079900
1063,1225600
1064,1048100
1065,864900
1066,873000
1067,1299300
1068,1510000
1069,1296400
1070,1434000
1071,1129900
1072,1048600
1073,1216900
1074,1045500
1075,1059400
1076,1624100
1077,1223800
1078,1551900
1079,1128300
1080,976100
1081,891700
1082,1152000
1083,1540200
1084,972500
1085,927900
1086,867800
1087,956900
1088,883600
1089,1040500
1090,1932700
1091,1241500
1092,1153900
1093,1244200
1094,1083900
1095,1015500
1096,1079900
1097,1442500
1098,1334600
1099,1170000
1100,1136600
1101,1088400
1102,1186400
1103,1447000
1104,1258400
1105,1076000
