frame,frame_time_ns
1,209211100
2,2641800
3,3399400
4,1829000
5,1642900
6,1989900
7,1994600
8,1752100
9,2050700
10,2096100
11,2116300
12,1734400
13,1785700
14,1826100
15,1405600
16,1492600
17,1371400
18,2125400
19,1984200
20,1597300
21,1596600
22,1878200
23,1543600
24,1337800
25,1874500
26,2218600
27,1833400
28,1604300
29,1951700
30,1788800
31,1716700
32,1585400
33,2869200
34,2331900
35,1993300
36,2684200
37,1835300
38,1823900
39,2682900
40,2084700
41,1724600
42,1830200
43,2423000
44,1878500
45,2607300
46,1928000
47,1994900
48,1826600
49,1850800
50,1541900
51,1642100
52,2164400
53,2390600
54,1744900
55,1492100
56,2538200
57,1806400
58,1395300
59,1186900
60,1411600
61,1973700
62,1638200
63,1605800
64,1736900
65,1533100
66,1351300
67,1438400
68,2135000
69,1594900
70,1334000
71,1188800
72,1637200
73,1621500
74,1222600
75,1125100
76,1049900
77,1019700
78,1296800
79,1977100
80,1460700
81,1302700
82,1679300
83,1867300
84,1516000
85,1290100
86,1080400
87,1048000
88,1606200
89,1455500
90,1258100
91,1126600
92,1618400
93,2321200
94,1838200
95,1179800
96,1157600
97,1661200
98,1171200
99,1054900
100,965200
101,948700
102,1004600
103,1292200
104,1290200
105,1050300
106,975300
107,897300
108,884800
109,1153600
110,1697000
111,1125500
112,1433700
113,1035300
114,1031300
115,1343000
116,1251900
117,991200
118,905700
119,941100
120,1076000
121,1036600
122,1545600
123,1606200
124,1316300
125,1090400
126,1025200
127,1438800
128,1078100
129,957200
130,919200
131,1191600
132,1094600
133,1620600
134,1795000
135,1233300
136,1265200
137,1241600
138,1510900
139,1193700
140,927100
141,957800
142,870500
143,895700
144,1181600
145,1330200
146,1194100
147,1165200
148,975400
149,924800
150,1086800
151,1304100
152,1065200
153,1010200
154,931100
155,912200
156,941100
157,1272300
158,1626800
159,1272300
160,1458100
161,1403900
162,1716400
163,1240300
164,1078900
165,1040600
166,1176400
167,1645500
168,1353700
169,1032600
170,965100
171,929300
172,917300
173,1186400
174,1396200
175,1137000
176,950500
177,924500
178,854100
179,861200
180,1390500
181,1702000
182,1161500
183,968000
184,951800
185,889400
186,1841100
187,1203100
188,1255500
189,947000
190,1016600
191,1044600
192,1494700
193,1461200
194,1291800
