frame,frame_time_ns
1,188630800
2,2305300
3,1719900
4,1390900
5,1371100
6,1603900
7,2171600
8,1480200
9,1277500
10,1606200
11,2282900
12,1549700
13,1800300
14,1443800
15,1567000
16,1866600
17,1495800
18,1868400
19,1792700
20,2224200
21,1504100
22,1357200
23,1385100
24,1671200
25,1899000
26,1731800
27,1447200
28,1409300
29,1763500
30,2058000
31,1662200
32,1561700
33,1418300
34,1847400
35,1674700
36,1170900
37,1183800
38,1057600
39,1110600
40,2035800
41,1265100
42,1159800
43,1224000
44,1270400
45,1216100
46,2092500
47,1481100
48,1435300
49,1430900
50,2483500
51,1535800
52,1259300
53,1315600
54,1384900
55,1976700
56,1447300
57,1383400
58,1301700
59,1350400
60,1910700
61,2018900
62,1649100
63,1394200
64,1332000
65,1864500
66,1267800
67,1140200
68,1102400
69,1280200
70,1211400
71,1678900
72,1339800
73,1260500
74,1077600
75,1051100
76,1101000
77,1608300
78,1438200
79,1210400
80,1174700
81,1034800
82,1308700
83,1570000
84,1477200
85,1188800
86,1206600
87,1184000
88,1283800
89,1824100
90,1204100
91,1193000
92,1287400
93,1172800
94,1844500
95,1530400
96,1671100
97,1273600
98,1226100
99,1656200
100,1730500
101,1598800
102,1322400
103,1120300
104,1099400
105,1785700
106,1532900
107,1435600
108,1255900
109,1196300
110,1458500
111,1715500
112,1584600
113,1176600
114,1041000
115,1677500
116,1411000
117,1129500
118,1148600
119,1190200
120,1409500
121,1486900
122,1611900
123,1626600
124,1229300
125,1129000
126,1178100
127,2394400
128,1611600
129,1389600
130,1291600
131,1850100
132,1993200
133,1453700
134,1185800
135,1146500
136,1185400
137,1617600
138,1472200
139,1281300
140,1071700
141,1170900
142,1061000
143,1240400
144,1502700
145,1278200
146,1348400
147,1349200
148,1482000
149,1767300
150,1360300
151,1134500
152,1174100
153,1199100
154,1739800
155,1322900
156,1096400
157,1163800
158,1019900
159,953900
160,1257400
161,1724600
162,1414800
163,1075500
164,1096400
165,981600
166,953100
167,1615000
168,1442600
169,1190500
170,1137100
171,1372600
172,1283000
173,1788900
174,1610400
175,1810300
176,1243900
177,1037900
178,1393500
179,1385800
180,998300
181,1006100
182,925500
183,1106600
184,1456900
185,1338700
186,2162600
187,1095100
188,1010900
189,972300
190,1327200
191,1063300
192,1186300
193,1031900
194,1031900
195,950100
196,898900
197,1347300
198,1502600
199,1161200
200,912700
201,807200
202,1726300
203,1194000
204,2015300
205,1052600
206,1018600
207,1133200
208,882800
209,1782500
210,1499600
211,1255200
212,1002700
213,900700
214,1141700
215,961600
216,1595400
217,1575700
218,1222700
219,981100
220,1171500
221,1512300
222,1582800
223,1259400
224,931200
225,845800
226,860800
227,1061600
228,956600
229,1169900
230,1367000
231,1213200
232,897000
233,925300
234,1535400
235,1141100
236,1850500
237,1233300
238,1088400
239,886400
240,888700
241,877200
242,1530500
243,1635700
244,1295900
245,1236800
246,972200
247,869500
248,873400
249,1267700
250,1290500
251,1016900
252,1652500
253,843100
254,825400
255,864800
256,1034200
257,1359600
258,1215600
259,1397000
260,1590600
261,1372800
262,1317900
263,973700
264,838800
265,827500
266,843300
267,817400
268,1108400
269,1048800
270,1599400
271,1181100
272,975200
273,921200
274,855700
275,956700
276,1214000
277,1616600
278,1388800
279,1073200
280,1022300
281,918500
282,900600
283,1321900
284,1539000
285,1186900
286,914400
287,956000
288,997900
289,1040200
290,1648500
291,1549300
292,1099400
293,975700
294,967100
295,1023900
296,1006400
297,1918900
298,1219900
299,1008900
300,930000
301,899800
302,838500
303,2003800
304,1454700
305,1030800
306,917600
307,838800
308,883300
309,978600
310,2139000
311,1219400
312,938200
313,1021100
314,904300
315,856400
316,1998800
317,1677700
318,1056800
319,934300
320,833200
321,1397300
322,1394300
323,1425100
324,1086500
325,954100
326,2323600
327,937200
328,876400
329,1189800
330,1538200
331,1040600
332,968600
333,842700
334,1810900
335,993600
336,1316700
337,1229900
338,1203600
339,1049100
340,951900
341,893300
342,1136700
343,1573100
344,1149200
345,1007700
346,1395500
347,1235600
348,1332900
349,1275700
350,1026500
351,952500
352,928000
