frame,frame_time_ns
1,389613900
2,10928400
3,6274800
4,5790500
5,5068500
6,4518700
7,5828601
8,4380500
9,4684101
10,4052100
11,6701200
12,5753200
13,5497300
14,5037400
15,5681100
16,3820300
17,5417701
18,5517000
19,3923999
20,3289400
21,4578400
22,3881000
23,3846000
24,4449500
25,6420200
26,3975300
27,3925400
28,6109300
29,4802599
30,5227299
31,4459600
32,5006700
33,3655701
34,3391200
35,3625500
36,3702699
37,3091700
38,3920199
39,4886299
40,4873900
41,5149600
42,3024300
43,5120401
44,4627800
45,3565101
46,4137499
47,4479600
48,4465001
49,3870600
50,5377400
51,4690501
52,3154499
53,3378701
54,4871199
55,4053600
56,5379200
57,5736600
58,4838200
59,4248900
60,4809899
61,4229900
62,5475300
63,4146299
64,2939300
65,5139700
66,5119800
67,3750100
68,3496700
69,4707600
70,5367800
71,3914599
72,3075200
73,5518500
74,4617800
75,3533300
76,5024000
77,5872101
78,3674000
79,5307500
80,4697500
81,5566001
82,5035801
83,3922900
84,4520699
85,4053100
86,3464401
87,3840700
88,4452600
89,4164700
90,3509299
91,3094699
92,4861800
93,3978101
94,3375200
95,4356801
96,3688200
97,3071100
98,2639700
99,3313200
100,3682299
101,3003201
102,3086400
103,3702000
104,3530600
105,2523001
106,3580700
107,3826701
108,4116501
109,2891600
110,4344599
111,3628700
112,3513001
113,2260999
114,2940599
115,4244800
116,3257200
117,2679699
118,3796300
119,3617200
120,2976300
121,2769600
122,3000901
123,4107901
124,3306801
125,3506900
126,2360800
127,3895900
128,3425399
129,3371301
130,2810000
131,4747400
132,4399701
133,3036399
134,3434000
135,5308000
136,4181900
137,2739200
138,5513600
139,3451000
140,3113200
141,4055100
142,4352599
143,4295499
144,17125600
145,4425700
146,4636000
147,3819499
148,2883800
149,5806000
150,5222201
151,3866800
152,4434800
153,3784900
154,3281899
155,3165699
156,3121201
157,5037500
158,5144599
159,5172600
160,5408700
161,3671900
162,4144201
163,4043100
164,4976200
165,4915300
166,4076400
167,2951699
168,5100200
169,5582101
170,4305900
171,3236500
172,4788200
173,5128299
174,3625600
175,3807200
176,5008300
177,4712600
178,4010000
179,4025700
180,2657299
181,5171900
182,4172700
183,5239501
184,2971101
185,4999800
186,4576299
187,2627300
188,4621700
189,4312200
190,4179500
191,3435600
192,3514199
193,5124401
194,3256900
195,3227699
196,3089900
197,4806101
198,4393700
199,3739500
200,4565501
201,4822200
202,4136001
203,3358299
204,2843600
205,3719300
206,3903301
207,3852199
208,2666800
209,3715200
210,4639501
211,4307000
212,3798300
213,4508899
214,4157201
215,3166300
216,3543401
217,3526999
218,4747800
219,3787001
220,3484700
221,4068200
222,4511399
223,4540600
224,3861601
225,4890701
226,4222700
227,2981200
228,3156000
229,4543399
230,3514700
231,2942200
232,3180100
233,2687999
234,3375800
235,2818300
236,2434500
237,2323501
238,3438601
239,3106899
240,2892001
241,2471600
242,4659199
243,4225100
244,3430800
245,3058499
246,3566200
247,3432701
248,3540901
249,3330500
250,4446801
251,3764199
252,3396501
253,3947700
254,3711900
255,4159700
256,3304200
257,4408101
258,3942300
259,3227200
260,2809399
261,3220200
262,3670100
263,3803401
264,4416000
265,4421201
266,5084900
267,3099400
268,3730200
269,4697399
270,3524700
271,3848000
272,4025500
273,3646700
274,2748100
275,3808501
276,3342800
277,4154801
278,2826999
279,4427301
280,4241700
281,3021499
282,2578300
283,4014599
284,4126600
285,3782700
286,3266400
287,3613000
288,3704600
289,2623201
290,3305800
291,4694500
292,3138600
293,3693200
294,3307900
295,4655400
296,4589499
297,3331400
298,4361400
299,3365600
300,3397300
301,3459300
302,2984200
303,3887400
304,4602900
305,3440800
306,3513700
307,2645100
308,3722100
309,3278500
310,2869200
311,2835300
312,3798600
313,3351000
314,3871000
315,2848300
316,4354300
317,3872600
318,3536700
319,3656800
320,4282300
321,3961800
322,4056600
323,4525500
324,4578500
325,4762700
326,4639300
327,4065600
328,3658000
329,4232600
330,4191500
331,2691800
332,3093100
333,3514100
334,3746000
335,3067900
336,4281300
337,4497300
338,3181600
339,2929400
340,4100600
341,4117500
342,4453400
343,4129800
344,4248500
345,4768700
346,4063300
347,4549400
348,5107400
349,5407300
350,3077900
351,4788000
352,3849800
353,3684300
354,3690300
355,4069600
356,4140500
357,2552000
358,4026200
359,3991800
360,3210400
361,2752400
362,3238000
363,3911900
364,3548100
365,2296300
366,3179200
367,3843100
368,2880600
369,2370100
370,2624700
371,3717800
372,2787700
373,3372300
374,2149200
375,3232700
376,3916000
377,2817600
378,3124400
379,3613300
380,4232700
381,2854500
382,3408200
383,3995800
384,3718900
385,2486200
386,3292000
387,3204800
388,3858900
389,2683000
390,4616800
391,3978800
392,3072000
393,2654000
394,4290900
395,3601100
396,3037100
397,2510600
398,2225800
399,3476500
400,3773500
401,2896300
402,2137200
403,3564100
404,3510600
405,3312900
406,3326900
407,3601900
408,3605700
409,4035800
410,2262200
411,4121100
412,3138800
413,2365900
414,3672000
415,2962900
416,2731000
417,2136500
418,2996500
419,3809500
420,3226400
421,2781000
422,2757400
423,4100300
424,2747100
425,2966500
426,2170700
427,4052100
428,2921600
429,3177100
430,2151600
431,3060900
432,3491300
433,2671500
434,2885800
435,2658400
436,3447100
437,2987500
438,3990300
439,3302200
440,3807600
441,3656500
442,2602500
443,3107700
444,2942100
445,3566500
446,2697400
447,3699900
448,3185900
449,2655500
450,2911800
451,2114000
452,3589800
453,2964200
454,2871900
455,2916000
456,4234600
457,2587400
458,2830500
459,2642800
460,3943300
461,2957100
462,2747900
463,2515500
464,2307800
465,3316300
466,3392200
467,2907600
468,3025300
469,2816700
470,3779400
471,3547300
472,3067600
473,4179600
474,4637200
475,3691400
476,2801100
477,2407200
478,3998800
479,3427400
480,3075700
481,2582800
482,5011300
483,3025800
484,3328300
485,2977700
486,3742900
487,3096500
488,2867000
489,2812000
490,3193000
491,3459900
492,2620900
493,2312900
494,2540200
495,3280900
496,2810700
497,2505900
498,2400300
499,3445500
500,3277700
501,2673900
502,2440100
503,3156800
504,3315400
505,3033200
506,2542200
507,2568000
508,4009900
509,2795500
510,2669700
511,3145000
512,4684700
513,3643200
514,3271700
515,2526600
516,4282100
517,2638600
518,2629900
519,2443800
520,2557300
521,3672700
522,3342900
523,3783100
524,3520200
525,3686000
526,3701300
527,4725200
528,3166400
529,3153800
530,2178200
531,3266500
532,3104200
533,2537000
534,2716700
535,3087000
536,3395400
537,2605500
538,2530000
539,2824700
540,3593100
541,3843900
542,2671300
543,2722200
544,2579000
545,3869000
546,4037400
547,4133200
548,2479700
549,4175500
550,3983500
551,3857900
552,2902000
553,3593800
554,3572500
555,4142100
556,2676100
557,3810200
558,4393400
559,3500700
560,2759200
561,4452800
562,2836300
563,3076700
564,3988100
565,4822900
566,4353200
567,3160700
568,3266800
569,2807900
570,3733800
571,4714900
572,3623100
573,2474100
574,5128200
575,3640100
576,3262400
577,2903300
578,2984500
579,3361400
580,3376500
581,2890400
582,2592900
583,3942100
584,4661200
585,2984300
586,3779000
587,3398100
588,3408500
589,2469800
590,2833000
591,3181700
592,2808600
593,3854800
594,2794900
595,3687100
596,2607100
597,4075300
598,2735900
599,3924600
600,2979700
601,2891800
602,3051300
603,3520100
604,3073400
605,2719100
606,2824000
607,2834000
608,2998400
609,3028900
610,3597500
611,3665900
612,2802500
