frame,frame_time_ns
1,191114300
2,1576800
3,1963200
4,1346900
5,1459600
6,1495800
7,1192900
8,993700
9,1029700
10,1136600
11,1510000
12,1936400
13,1464100
14,1195100
15,1101500
16,1204600
17,1678700
18,1428800
19,1113800
20,987000
21,1568400
22,1501400
23,1907300
24,1555200
25,1620200
26,1447000
27,1926100
28,1484200
29,1275600
30,1035700
31,973500
32,982100
33,936100
34,1553900
35,1322800
36,1208900
37,1073300
38,1478900
39,1197700
40,1533200
41,1088400
42,1396400
43,1094900
44,965100
45,895300
46,1769900
47,1330600
48,1043800
49,892200
50,909600
51,876800
52,1273700
53,1317600
54,1463100
55,1076300
56,959000
57,939600
58,848000
59,1749700
60,1477400
61,1220200
62,1437100
63,1547700
64,1883600
65,1669700
66,1128000
67,1064700
68,948700
69,1254100
70,1185700
71,1672600
72,1198500
73,1110100
74,1111900
75,1187800
76,1420800
77,2193700
78,1431300
79,1597600
80,1792900
81,1318400
82,1642600
83,1359200
84,1210900
85,1138500
86,1079100
87,1393000
88,1682500
89,1691000
90,1535000
91,1272500
92,1874700
93,1313700
94,1188800
95,1379900
96,1834300
97,2159400
98,1515000
99,1611900
100,1411400
101,1227800
102,1781100
103,1666200
104,1353800
105,1311600
106,1378300
107,1805500
108,1479400
109,1285000
110,1138000
111,1050900
112,1182000
113,1668900
114,1369900
115,1056600
116,961300
117,1133100
118,1098500
119,1038500
120,1696700
121,1962100
122,1627500
123,1208500
124,1137500
125,1320100
126,1365100
127,1927800
128,1360400
129,1079200
130,1054400
131,1138100
132,1053700
133,1513900
134,1459700
135,1133300
136,1753300
137,1339900
138,1432300
139,1834400
140,1418300
141,1354400
142,1086900
143,1081000
144,1620000
145,1561400
146,1240600
147,1089700
148,1341600
149,1223400
150,1493100
151,1376800
152,1074200
153,1055200
154,1067500
155,918100
156,1266500
157,1475900
158,1505400
159,1647500
160,1520100
161,1851300
162,1432800
163,1175200
164,1133000
165,1143800
166,1045500
167,1011000
168,1797100
169,1271900
170,1344500
171,1138100
172,1117700
173,1782800
174,1769000
175,1223600
176,1023800
177,961700
178,1014000
179,1514300
180,1626100
181,1456200
182,1249000
183,1228000
184,1747600
185,1793800
186,1657700
187,1282400
188,1103300
189,1065900
190,2012600
191,1558800
192,1368000
193,1397200
194,1237000
195,1266300
196,1264600
197,1097600
198,1015500
199,869600
200,906500
201,902600
202,1303300
203,1413400
204,1105000
205,875600
206,789200
207,844600
208,854600
209,958100
210,1184800
211,1720700
212,1160500
213,944500
214,955600
215,866600
216,844800
217,912800
218,1442600
219,1083000
220,1227300
221,1158200
222,1000400
223,1113100
224,914500
225,1364400
226,1353200
227,1812700
228,1004400
229,897000
230,1497500
231,1318200
232,1044200
233,959600
234,1178100
235,1110700
236,1101200
237,1335700
238,1291300
239,1325100
240,930000
241,1006100
242,912300
243,832600
244,924800
245,1249400
246,1142500
247,935100
248,1151500
249,1282400
250,1029900
251,1232800
252,1578800
253,1358900
254,1240900
255,1034000
256,964100
257,899300
258,1209500
259,1107900
260,917600
261,799400
262,901300
263,1240100
264,807900
265,1274300
266,1817300
267,1292200
268,1107400
269,938100
270,863100
271,1534700
272,1255700
273,1243800
274,1008100
275,871600
276,1488600
277,1555300
278,2099500
279,1710500
280,1296400
281,1008100
282,1045400
283,1613500
284,1273100
285,972300
286,1050400
287,978900
288,1444100
289,1390800
290,1641600
291,1035200
292,877600
293,1435900
294,829000
295,920400
296,1228600
297,1516700
298,1014600
299,896300
300,899900
301,963000
302,1044100
303,1595800
304,1296300
305,1226000
306,876200
307,855700
308,947000
309,1153000
310,1403400
311,1202000
312,915200
313,1036200
314,1593300
315,1107000
316,1049800
317,1497700
318,1184900
319,1006200
320,889000
321,839800
322,983500
323,1459900
324,1292400
325,997700
326,933700
327,1040800
328,952900
329,865400
330,1050900
331,2296400
332,1449100
333,1048500
334,885600
335,989800
336,999300
337,1754000
338,1274300
339,1007400
340,1125500
341,895100
342,872000
343,1444300
344,1493000
345,1306300
346,1150300
347,1102700
348,1010900
349,1035800
350,1739100
351,1178000
352,1504800
353,1387900
354,1283500
355,1257200
356,1481800
357,1082900
358,861600
359,873100
360,868500
361,784900
362,889400
363,1298800
364,1710800
365,1054200
366,1009600
367,1019100
368,915800
369,806000
370,1272000
371,1438900
372,937800
373,794100
374,1332800
375,976900
376,939700
377,1243900
378,2110000
379,1024300
380,1017300
381,898800
382,857900
383,972700
384,1030300
385,1285000
386,990100
387,1514500
388,965100
389,881200
390,1319800
391,1582400
392,1200800
393,1009500
394,1009200
395,1023700
396,1084600
397,1060200
398,1462400
399,1207000
400,1308100
401,1133800
402,831300
403,1167800
404,1039000
405,1670700
406,962200
407,1035800
408,987400
409,877900
410,969800
411,955600
412,1335500
413,1082400
414,1056400
415,889900
416,892700
417,1415300
418,1410600
419,1762000
420,1089700
421,967000
422,954700
423,1064200
424,1415700
425,1772300
426,1509200
427,1040800
428,982700
429,1001200
430,1246300
431,1561800
432,1188200
433,1218600
434,1318100
435,1342800
436,1334900
437,1425600
438,1016500
439,985200
440,933900
441,1178900
442,1122600
443,1562700
444,1418500
445,1027400
446,1060600
447,1021000
448,1058900
449,993600
450,1580600
451,1476900
452,1178000
453,1630000
454,1382100
455,1215100
456,1628100
457,1442000
458,1339700
459,1169400
460,1003400
461,989800
462,1451700
463,1482000
464,1147900
465,1155400
466,1393100
467,1655200
468,1238400
469,1147100
470,1426700
471,1401100
472,1599000
473,1602300
474,1431500
475,1152600
476,1173400
477,1077700
478,1756500
479,1388900
480,1036000
481,1380100
482,1009900
483,1034800
484,1027200
485,2105000
486,1468800
487,1096400
488,1542300
489,1074100
490,1513000
491,1271200
492,1069100
493,1087900
494,1077000
495,989500
496,1607500
497,1403800
498,1904200
499,940600
500,1601900
501,1485500
502,1115000
503,1081700
504,1260500
505,1184700
506,949500
507,1113800
508,1472300
509,1409500
510,1163300
511,1189700
512,1029800
513,1845900
514,1754500
515,1346300
516,1088000
517,1265500
518,1471000
519,1781400
520,1330400
521,1118700
522,1202300
523,1468400
524,1163900
525,1559500
526,1361000
527,1109600
528,1033500
529,1200500
530,1138500
531,1456600
532,1697500
533,1325300
534,1431800
535,1143300
536,1783100
537,1285200
538,1477600
539,1619400
540,1286900
541,1621700
542,1471200
543,1374700
544,1059000
545,967800
546,905000
547,1509900
548,1636900
549,1363300
550,1365900
551,1332300
552,1136900
553,1535100
554,1456000
555,1066400
556,1022400
557,1128600
558,1147400
559,1088100
560,1974600
561,1577100
562,1237800
563,1076800
564,1244300
565,1346400
566,1498900
567,1298300
568,1190200
569,1203100
570,1198800
571,1936200
572,1726400
573,1534300
574,1396500
575,2191300
576,1433000
577,1320400
578,1519600
579,1116200
580,1349400
581,1880100
582,1266900
583,1094400
584,1099000
585,1055300
586,1191100
587,1589400
588,1314800
589,1247900
590,1001500
591,967200
592,1137600
593,1929500
594,1522300
595,1147500
596,1247400
597,1202600
598,1101300
599,1927900
600,1379000
601,1137600
602,1100000
603,1140400
604,1570100
605,1397000
606,1253200
607,1258300
608,1604300
609,1595400
610,1742900
611,1259600
612,1267100
613,1440400
614,1228900
615,1624500
616,1353500
617,1388600
618,1187400
619,1094300
620,1031900
621,1493100
622,1457100
623,1237500
624,1171800
625,1148500
626,1054000
627,1117800
628,1654700
629,1372300
630,1118700
631,1109800
632,1031100
633,1109600
634,1556700
635,1439200
