frame,frame_time_ns
1,214394200
2,2488100
3,2444900
4,1671500
5,1488900
6,1490000
7,2016800
8,1601700
9,1564900
10,1937000
11,2249800
12,1871300
13,1991500
14,2229400
15,1844400
16,2002400
17,2216800
18,2431500
19,1618800
20,1580800
21,1662400
22,2306700
23,2118000
24,1998200
25,2070700
26,2376200
27,1913300
28,1596400
29,1535100
30,1844100
31,1450600
32,1624700
33,1591100
34,1361800
35,2160200
36,1744600
37,1798100
38,1781800
39,2147400
40,1840000
41,1496200
42,1405600
43,2134400
44,1754600
45,1813500
46,1829000
47,2112600
48,1837800
49,1393100
50,1382500
51,1354500
52,2131500
53,1771500
54,1790600
55,1579700
56,3030300
57,2283800
58,1567300
59,1389800
60,2073600
61,1668400
62,1614700
63,1866200
64,1979200
65,1731400
66,1397300
67,1550400
68,2157100
69,1776600
70,1606400
71,1589900
72,2140300
73,2256600
74,1786900
75,1525600
76,1267300
77,1753400
78,1684300
79,1353800
80,1465000
81,1359300
82,1231700
83,2173800
84,1375400
85,1465800
86,1450800
87,1358500
88,1806200
89,1708300
90,2030900
91,2354300
92,1622700
93,1439100
94,1365200
95,1399300
96,2542000
97,1626000
98,1407300
99,1317700
100,1571400
101,2276400
102,2287400
103,1460000
104,1350400
105,1629500
106,1574800
107,1313800
108,1609200
109,1536500
110,1912500
111,1432000
112,1244600
113,1608700
114,1219500
115,1423600
116,2017400
117,1761400
118,1546000
119,1314700
120,1592900
121,1325100
122,1157800
123,1151300
124,1220300
125,1560400
126,1840900
127,1320700
128,1389400
129,1173800
130,1111500
131,1459100
132,1357000
133,1207400
134,984300
135,1030600
136,1308800
137,2135000
138,1734900
139,1236800
140,1192500
141,1126600
142,1224000
143,1766800
144,1323000
145,1104000
146,1165300
147,1185200
148,1394400
149,1659400
150,1210400
151,1556600
152,1366500
153,1126400
154,1522400
155,1199800
156,1131900
157,1491400
158,1619900
159,1306800
160,1757500
161,1346100
162,1238200
163,1330800
164,1142400
165,1410500
166,1567200
167,1273900
168,905400
169,872100
170,977200
171,925800
172,1643000
173,2669800
174,1148300
175,946300
176,852900
177,1025900
178,1230400
179,1432300
180,1154200
181,1025100
182,1057600
183,927600
184,1298000
185,1263200
186,1198200
187,1420000
188,1314200
189,1098700
190,1275700
191,2148400
192,1228300
193,974500
194,837200
195,902800
196,819200
197,820400
198,1451700
199,1351400
200,968000
201,912900
202,877200
203,827400
204,839200
205,1166200
206,2467100
207,1190500
208,976300
209,984000
210,852600
211,991700
212,1158600
213,1413300
214,978600
215,897100
216,1243400
217,969100
218,850200
219,1121600
220,2097000
221,1075400
222,948700
223,1024800
224,919200
225,873600
226,991000
227,1335000
228,1141000
229,1229900
230,1417000
231,1158500
232,1299100
233,1566800
234,1539900
235,873100
236,865400
237,821800
238,811400
239,1143000
240,1787700
241,1044100
242,1037400
243,938400
244,1299200
245,953900
246,1831600
247,1197800
248,1025600
249,860700
250,814300
251,1502000
252,1246500
253,1276000
254,1031800
255,922900
256,956300
257,901800
258,804900
259,880200
260,800200
261,1477100
262,1123500
263,965100
264,918100
265,1162200
266,8726200
267,3233000
268,1389100
269,1462800
270,1265900
271,1538400
272,1572300
273,1402200
274,1167300
275,1092600
276,1207600
277,1390200
278,1446000
279,1207400
280,2003300
281,1190100
282,1223000
283,1861700
284,1565100
285,1262000
286,1165800
287,1311400
288,1495600
289,1543000
290,1336100
291,1543400
292,1377700
293,1756600
294,1882900
295,1434400
296,1911800
297,1915400
298,1477900
299,1278500
300,1119800
301,1121500
302,1066300
303,1735100
304,1450700
305,1182700
306,1084000
307,1080800
308,998700
309,1133500
310,1585500
311,1239500
312,1285300
313,1189500
314,1329800
315,1279300
316,1500900
317,1313800
318,1240000
319,1418900
320,1229300
321,1299400
322,2434500
323,1243800
324,1204500
325,1318500
326,1315200
327,1798100
328,1374400
329,1555800
330,2023600
331,2476500
332,1529300
333,1451500
334,1395500
335,2127500
336,1591700
337,1556500
338,1505300
339,1424900
340,2404000
341,1662800
342,1765100
343,1687200
344,1927800
345,1823800
346,1580300
347,1563300
348,1440800
349,10392100
350,2776100
351,1642200
352,1985300
353,1497200
354,1228200
355,1275400
356,1091400
357,1178000
358,1524600
359,1294900
360,1118300
361,1072000
362,1047200
363,1093600
364,2463500
365,1285000
366,1204800
367,1107200
368,1053600
369,1016800
370,1555300
371,1501200
372,1301000
373,1264400
374,1195800
375,1118500
376,2084400
377,2114700
378,1761400
379,960100
380,1005000
