frame,frame_time_ns
1,225723301
2,2000500
3,1915900
4,2370000
5,1758301
6,1704100
7,1652800
8,2547900
9,2663200
10,3379499
11,3294799
12,3245100
13,2757800
14,3040499
15,2171300
16,1724499
17,1962400
18,2784700
19,2639100
20,2494499
21,2715699
22,2285201
23,2034800
24,1794500
25,1649701
26,2201099
27,2246801
28,1857400
29,2144001
30,2523399
31,1895099
32,1962099
33,2258400
34,2380300
35,2175001
36,2889900
37,1942900
38,2008800
39,1970101
40,1781899
41,1644800
42,1703200
43,2788700
44,2559300
45,2592100
46,2061800
47,1903100
48,2080700
49,1928500
50,2003500
51,2429000
52,2790100
53,2088200
54,1749600
55,1836501
56,1450600
57,1290600
58,1294000
59,1659601
60,1970000
61,1745701
62,1822500
63,2520100
64,1590900
65,1446400
66,1722501
67,1974200
68,2069901
69,1608901
70,1902500
71,1492300
72,1840500
73,1798299
74,1945600
75,1495600
76,1662900
77,1578400
78,2717300
79,2352100
80,2109900
81,2836000
82,1505399
83,1221001
84,1044600
85,1571400
86,1213400
87,1249099
88,1082101
89,1177000
90,1466600
91,1164000
92,989000
93,1035500
94,1041601
95,926200
96,1097700
97,1446699
98,1182999
99,1187700
100,1649801
101,1913601
102,1556499
103,1258800
104,1224900
105,1270401
106,1505701
107,1708000
108,1420500
109,1276400
110,1218700
111,1429899
112,1538600
113,1204000
114,1412700
115,1055900
116,1524799
117,1438200
118,1130799
119,984600
120,967201
121,1374401
122,1539599
123,1144600
124,1046000
125,928600
126,949100
127,917600
128,1395500
129,1412100
130,1056499
131,1162300
132,1181901
133,1117900
134,1366100
135,1394399
136,1090200
137,1034201
138,1048199
139,1410000
140,1459401
141,1319000
142,1262800
143,1133700
144,1238700
145,1557800
146,1231900
147,1095101
148,1092701
149,1064000
150,1728501
151,1329200
152,1085300
153,1101999
154,1051399
155,1534500
156,1344099
157,1076599
158,998301
159,1030300
160,1489700
161,1568500
162,1362900
163,1576300
164,1390399
165,1567600
166,1230101
167,1030399
168,979400
169,1335999
170,1241600
171,1371100
172,1273500
173,1138701
174,1238400
175,1156900
176,1204700
177,1684401
178,1280299
179,1374299
180,1101700
181,1151900
182,2021900
183,1524200
184,1379401
185,1266700
186,1860800
187,1578799
188,1871800
189,1785499
190,1904400
191,1633400
192,1714800
193,1678400
194,1969800
195,1642399
196,1691400
197,1689500
198,1972100
199,1759100
200,1568400
201,1986300
202,1944199
203,1867001
204,1743101
205,1842200
206,2649000
207,1584200
208,2036400
209,1543899
210,1571500
211,1499501
212,1883700
213,1608299
214,1271000
215,1470300
216,1685201
217,1816700
218,1248900
219,1092900
220,1070700
221,1115200
222,1656501
223,1601700
224,1406901
225,1325099
226,1367600
227,1617900
228,1455800
229,1229400
230,1488901
231,1407199
232,1650700
233,1175700
234,978701
235,884300
236,944100
237,1532900
238,1447800
239,1047200
240,1049101
241,1084400
242,1215700
243,1419299
244,1336100
245,1007200
246,1682899
247,1516801
248,1724600
249,1326901
250,1360500
251,1179499
252,1035801
253,1201800
254,1414401
255,1109600
256,1302100
257,1817400
258,1571301
259,1428800
260,1334000
261,1314599
262,1223801
263,1984000
264,1539700
265,1308399
266,1600900
267,1622500
268,1729900
269,1220200
270,1116000
271,1141100
272,1707200
273,1863701
274,1864000
275,1748601
276,2108200
277,1716200
278,1497900
279,1336700
280,1861100
281,1465400
282,1150300
283,995900
284,1100900
285,1358599
286,1761599
287,1395400
288,1058400
289,985600
290,1026900
291,1754100
292,1372600
293,1073700
294,1021999
295,1005100
296,1263901
297,1415999
298,1072100
299,989799
300,922400
301,1052600
302,1766699
303,1804801
304,1525200
305,1567900
306,1664701
307,1785599
308,1491599
309,1394200
310,1520200
311,1714600
312,1454000
313,1546300
314,1313999
315,1444800
316,1709100
317,1294200
318,1566600
319,1470699
320,1802000
321,1446900
322,1233100
323,1108700
324,1291600
325,1469499
326,1259601
327,1338900
328,1188900
329,1115200
330,1560599
331,1293600
332,1151500
333,1207901
334,1163300
335,1051699
336,1668100
337,1242500
338,1222900
339,1012601
340,981200
341,967500
342,1261499
343,1163700
344,984100
345,1014899
346,968500
347,929900
348,963800
349,1417600
350,1165401
351,1008500
352,957200
353,936400
354,1427500
355,1314600
356,1033699
357,939600
358,914600
359,886800
360,956500
361,1531900
362,1206999
363,976299
364,1277499
365,987401
366,1067299
367,1569500
368,1269499
369,1447500
370,1521000
371,1724000
372,1390800
373,1138500
374,1099700
375,1052500
376,1093400
377,1462799
378,1605001
379,1113800
380,990100
381,1469000
382,1769900
383,1742900
384,1869799
385,1118200
386,1517000
387,1407101
388,1126699
389,1156200
390,1057000
391,1107100
392,1371300
393,1081500
394,958700
395,949600
396,887100
397,881900
398,979701
399,1475800
400,1960801
401,1255200
402,1132700
403,968100
404,1196099
405,1324500
406,1093899
407,1065400
408,894800
409,915300
410,969400
411,1844600
412,1198299
413,1147601
414,1001600
415,993200
416,996601
417,1239801
418,1070400
419,986600
420,921800
421,899300
422,897301
423,1947800
424,1169400
425,1153201
426,1063499
427,1032300
428,1146400
429,1465500
430,1248300
431,977700
432,917899
433,1140400
434,978100
435,1328000
436,1191500
437,1047800
438,1278600
439,1081100
440,1032500
441,1277399
442,1139700
443,1020900
444,1163700
445,1009701
446,941800
447,1161400
448,1227200
449,1036100
450,970200
451,989001
452,968001
453,891400
454,1464999
455,1686601
456,1551900
457,1530800
458,2008000
459,1700300
460,1854400
461,1871500
462,1959100
463,1684399
464,1826599
465,2273700
466,1642499
467,1662199
468,1942299
469,2162900
470,2087900
471,1893900
472,2016800
473,1859100
474,1683000
475,1673500
476,1968200
477,1666700
478,1605100
479,1557899
480,1897300
481,1531400
482,1620700
483,1713700
484,2042100
485,1702399
486,1613000
487,1565801
488,2116601
489,2090800
490,1735000
491,1865701
492,1918000
493,1639800
494,1412701
495,1497800
496,1582100
497,1537901
498,1484100
499,1469201
500,2022501
501,1594200
502,1589100
503,1514000
504,2129099
505,1908000
506,1494399
507,1457800
508,1867601
509,1509899
510,1272101
511,1345300
512,1919100
513,1837199
514,1774601
515,1433501
516,1649301
517,1759000
518,1627000
519,1478700
520,1716100
521,2000800
522,1646800
523,1643300
524,1860200
525,1888200
526,1618300
527,1484700
528,2020000
529,1709200
530,1576800
531,1365900
532,1722900
533,1384900
534,1192500
535,1154500
536,1121300
537,1395900
538,1518500
539,1275200
540,1565400
541,1418400
542,1836300
543,1422200
544,1239900
545,1266400
546,1316800
547,1694400
548,1561700
549,1296600
550,1294800
551,1231200
552,1677300
553,1463700
554,1456800
555,1222400
556,1245200
557,1624200
558,1264000
559,1193400
560,1227200
561,1190700
562,1603800
563,1334500
564,1198600
565,1228800
566,1209600
567,1626100
568,1371400
569,1107900
570,1084900
571,1252000
572,1328700
573,1514900
574,1276700
575,1290100
576,1385600
577,1404000
578,1729300
579,1368300
580,1982800
581,1430700
582,1792400
583,1720700
584,1433200
585,1277800
586,1869000
587,1459600
588,1278200
589,1051600
590,1296600
591,1924300
592,1446100
593,1243400
594,1213800
595,1343000
596,1749700
597,1382000
598,1440800
599,1436700
600,1503400
601,1685400
602,1340000
603,1159300
604,1820200
605,1594700
606,1566000
607,1407700
608,1330100
609,1207000
610,1623400
611,1456700
612,1318200
613,1643600
614,1576300
615,1647100
616,1279300
617,1209400
618,1609900
619,1716600
620,1249800
621,1015200
622,978500
623,918600
624,938900
625,1160900
626,1696600
627,1381000
628,1419800
629,1556700
630,1639000
631,1276200
632,1125300
633,927500
634,951000
635,982300
636,1642300
637,1634900
638,1270500
639,1343600
640,1229800
641,1168000
642,1590500
643,1578300
644,1444800
645,1469800
646,1678800
647,1336400
648,1311200
649,1264400
650,1362200
651,1506700
652,1122400
653,1125600
654,1225100
655,1129100
656,1857200
657,1821800
658,1455000
659,1266800
660,1308300
661,1493800
662,1187900
663,1198300
664,1145400
665,1249900
666,1648700
667,1197600
668,1175100
669,1078200
670,1063100
671,1108600
672,1441100
673,1144300
674,1040300
675,987300
676,992200
677,1707600
678,1332100
679,1064900
680,998700
681,946000
682,966300
683,1219900
684,1550500
685,1158000
686,1007600
687,5868400
688,1751100
689,1345000
690,1121400
691,1515600
692,1313300
693,1150000
694,964000
695,996700
696,1019200
697,1379200
698,1317200
699,1355700
700,1131300
701,991900
702,987900
703,1244000
704,1356000
705,1088200
706,1003900
707,1273700
708,1429900
709,1562300
710,1555100
711,1024900
712,1058100
713,949800
714,1425400
715,1334200
716,1568200
717,1115800
718,982800
719,1080400
720,1549600
721,1262100
722,1022400
723,1273800
724,1341000
725,1491000
726,1396000
727,1222800
728,1121700
729,1023200
730,1098100
731,1470100
732,1172600
733,1056900
734,983900
735,1026200
736,940400
737,1135700
738,1556300
739,1225100
740,1072500
741,977600
742,1422700
743,1396900
744,1238700
745,1067900
746,934700
747,1002200
748,1326000
749,1444500
750,1110500
751,1166800
752,966400
753,967100
754,1222900
755,1696800
756,1304300
757,1363900
758,1366700
759,1838200
760,1342400
761,1103000
762,1031100
763,986800
764,1037700
765,1737000
766,1217700
767,1113900
768,1042100
769,1174300
770,1479800
771,1294500
