frame,frame_time_ns
1,202303900
2,2306400
3,1542400
4,1272100
5,1911600
6,1235100
7,1893000
8,1667400
9,1342900
10,1116300
11,1132900
12,1898300
13,1982700
14,1550800
15,1281000
16,1272800
17,1250300
18,1832500
19,1261900
20,1268900
21,1640800
22,1790700
23,1716500
24,1427600
25,1466100
26,1633400
27,1714200
28,2444500
29,1954900
30,1653000
31,2425900
32,1883200
33,1430000
34,1309400
35,2199700
36,1819000
37,1353700
38,1310200
39,1176600
40,1187200
41,1875200
42,1669900
43,1501200
44,1511600
45,1709200
46,2286200
47,2071300
48,2309000
49,2225700
50,1518500
51,1193000
52,1176900
53,1155700
54,1513100
55,2095900
56,1489200
57,1697100
58,2317000
59,1598600
60,1415500
61,1478200
62,1541200
63,2031600
64,1771100
65,1635400
66,1533900
67,1547200
68,2075400
69,1382800
70,1168400
71,1204700
72,1239000
73,1457700
74,1750500
75,1425900
76,1604000
77,1824500
78,1944200
79,1501700
80,1186900
81,1074300
82,1131200
83,1106200
84,1651500
85,1568100
86,1343900
87,1151700
88,1449100
89,1526200
90,1190000
91,1014800
92,931100
93,1037000
94,1205100
95,2443500
96,1472700
97,1249500
98,1106500
99,1134900
100,1404300
101,1696600
102,1194500
103,1089300
104,1110200
105,1288200
106,1493400
107,1841300
108,2255000
109,1655200
110,1425100
111,1931500
112,1255500
113,1101300
114,1455300
115,1319100
116,2160000
117,1511400
118,1320100
119,1136200
120,1432100
121,1630300
122,1194400
123,1042900
124,1416100
125,1160400
126,1191400
127,2627700
128,2092000
129,1478700
130,1365700
131,2043100
132,1554100
133,1289600
134,1124200
135,1124600
136,1086400
137,1702800
138,1354800
139,1237200
140,1475800
141,1386900
142,1819300
143,1860200
144,1252900
145,1098600
146,1112900
147,956200
148,1509900
149,1542400
150,1092300
151,1035400
152,1009800
153,1358200
154,2337600
155,1316300
156,1379300
157,1254900
158,1096500
159,1631300
160,1386000
161,1415100
162,1078300
163,1105300
164,1047700
165,1395500
166,2011600
167,1301600
168,1155800
169,1455600
170,1475600
171,1861200
172,1395300
173,2335800
174,2294400
175,2401200
176,1579100
177,1573700
178,1396400
179,1968500
180,1951300
181,1343700
182,1225000
183,1427600
184,1240400
185,1030300
186,959300
187,913600
188,831100
189,955600
190,955600
191,1472500
192,1274100
193,982100
194,1009200
195,1659800
196,1493300
197,2056300
198,1326200
199,980100
200,862000
201,911000
202,845800
203,828700
204,1173600
205,1279300
206,1019400
207,909900
208,1263700
209,1115700
