frame,frame_time_ns
1,224300000
2,2900300
3,2363000
4,1745800
5,1640600
6,2172300
7,1849300
8,1605900
9,1936600
10,1972700
11,1561700
12,1488000
13,1737200
14,1844700
15,2009300
16,2622700
17,2802300
18,2496700
19,2430300
20,2049900
21,1871600
22,1655200
23,1931500
24,1675200
25,2053800
26,2737200
27,1663300
28,1508100
29,2237700
30,1994400
31,1600300
32,1980700
33,2534000
34,1578400
35,1533600
36,2007700
37,2199200
38,1771100
39,1890200
40,2091000
41,1793000
42,1814500
43,2161100
44,1926800
45,1712300
46,3019200
47,2216000
48,2116400
49,2385900
50,2873200
51,3155700
52,2936200
53,2627600
54,2500500
55,2383400
56,2264400
57,3298700
58,2533600
59,2348400
60,1606200
61,1374600
62,1904600
63,1610300
64,1655000
65,1540400
66,1607300
67,1894100
68,1598100
69,2041100
70,1972000
71,1947500
72,1475800
73,1306500
74,1603700
75,2146300
76,1449600
77,1505600
78,1416900
79,1802400
80,1518900
81,1567800
82,1831200
83,2193300
84,1936100
85,2192900
86,3039800
87,2106800
88,2532700
89,2002600
90,1366300
91,1434100
92,1525200
93,1926500
94,2361300
95,2506200
96,2929100
97,2513700
98,2733700
99,2312400
100,1670200
101,2021600
102,1536400
103,1769000
104,1711300
105,2185300
106,1661100
107,1661500
108,1869800
109,2235700
110,1628500
111,1727400
112,1914400
113,2289300
114,1788000
115,1281800
116,1172900
117,2038200
118,1392200
119,1234400
120,1146300
121,1175400
122,1777300
123,1375600
124,1149200
125,1172000
126,1448400
127,1454600
128,1149500
129,997000
130,1009400
131,1014800
132,1585400
133,1943000
134,1314500
135,1254300
136,1102900
137,1113100
138,1605300
139,1375000
140,1143200
141,1140600
142,1095000
143,1444900
144,1232300
145,1225800
146,1161600
147,1306800
148,1391500
149,1506800
150,1211300
151,1184300
152,1491100
153,1406600
154,1938500
155,1614000
156,1629300
157,2123300
158,1695900
159,1398200
160,1219800
161,1194100
162,1818700
163,1337700
164,2030900
165,1960700
166,2456600
167,2474300
168,1573700
169,1528200
170,1822300
171,1598800
172,1384300
173,1967400
174,1740700
175,1293200
176,1202700
177,1078100
178,1281200
179,2128500
180,1270900
181,1145800
182,2103900
183,1546400
184,1305700
185,1246800
186,1203300
187,1332600
188,1822000
189,1544700
190,1289300
191,1374700
192,1878700
193,1360600
194,1166100
195,1079700
196,1163100
197,1744900
198,1708600
199,1380600
200,1591000
201,1308100
202,1696600
203,1372600
204,1129000
205,1240500
206,1170500
207,1720600
208,1662900
209,1553400
210,1447500
211,1777900
212,1559800
213,1392600
214,1277000
215,2363000
216,1508600
217,1307800
218,1190700
219,1156200
220,1802200
221,1360400
222,1212200
223,1032300
224,1035800
225,1092200
226,2270800
227,1635300
228,1266800
229,1227000
230,1569600
231,1466100
232,1236400
233,1188200
234,1062000
235,1054700
236,1994400
237,1393300
238,1316800
239,1227300
240,1650900
241,1379300
242,1242700
