frame,frame_time_ns
1,292764300
2,5210500
3,9314100
4,4437000
5,9521300
6,4990500
7,10056100
8,4948300
9,8254500
10,6013600
11,5275200
12,5523500
13,4593400
14,9440100
15,4801200
16,5783700
17,5395000
18,4605100
19,5401700
20,9265500
21,5696900
22,5219400
23,9706900
24,13263300
25,5445000
26,10363200
27,5121100
28,9374400
29,4970800
30,7060600
31,4832200
32,4667300
33,4480000
34,8100000
35,4251500
36,8741900
37,4045800
38,9916700
39,4523600
40,5108800
41,7575300
42,4686100
43,5854100
44,7022200
45,6479200
46,6933600
47,5286000
48,9750900
49,4443200
50,8689100
51,4725800
52,5263300
53,10451500
54,5073500
55,4331500
56,4112500
57,5212900
58,4866200
59,6863700
60,3971300
61,4206400
62,8371300
63,3985300
64,4124200
65,3802800
66,4948200
67,8751800
68,4714900
69,3310300
70,10094000
71,4140500
72,10263000
73,4202800
74,3815700
75,3653600
76,4083100
77,9475400
78,3837800
79,8552100
80,4386100
81,8376400
82,4577000
83,7039000
84,3690000
85,3878000
86,3554200
87,8658700
88,4418700
89,7001400
90,3495200
91,8575000
92,4585000
93,7662800
94,4252700
95,3796700
96,9649900
97,4087400
98,6175400
99,3666800
100,4565600
101,9386100
102,3885300
103,3041300
104,8869700
105,4084500
106,9842300
107,5737400
108,11053500
109,4165300
110,5578200
111,8318600
112,5271100
113,4793900
114,8849200
115,4102900
116,4879700
117,4066500
118,4320200
119,4100500
120,10145900
121,4511000
122,8979000
123,3437700
124,4229200
125,8940500
126,3903500
127,4579400
128,9684200
129,4608600
130,8684400
131,4042100
132,8185200
133,4800900
134,4850000
135,9878800
136,4963300
137,5239300
138,4919200
139,9086700
140,3204000
141,5038500
142,4727000
143,9204000
144,3803900
145,3666100
146,9394200
147,4435300
148,6008200
149,4852900
150,5116300
151,5034800
152,8951400
153,3936400
154,7170300
155,4427600
156,4539000
157,8507800
158,4904300
159,4605300
160,5395200
161,5736200
162,5546400
163,9587700
164,4704800
165,12850200
166,3496900
167,8822700
168,4115900
169,8949400
170,4438900
171,6145900
172,5479400
173,5532800
174,9529500
175,4716800
176,5069100
177,9705500
178,3826900
179,5400200
180,4786900
181,6196900
182,3983300
183,4741200
184,8962500
185,2855500
186,4531600
187,4742400
188,3592700
189,4277300
190,4609100
191,9333900
192,3960200
193,6379400
194,5693100
195,5470900
196,4703300
197,5891700
198,7505300
199,6923100
200,5072000
201,5598800
202,5042900
203,9827000
204,3750300
205,5512300
206,5184900
207,9647200
208,4026800
209,5493900
210,4665500
211,4648600
212,4659900
213,7428200
214,4967600
215,7995700
216,4557000
217,8686100
218,4077700
219,4759100
220,4354200
221,9808500
222,4563600
223,9887500
224,4376700
225,4897300
226,9696900
227,4664400
228,9284400
229,4279600
230,4104000
231,5697900
232,4134300
233,4529600
234,8320200
235,3739400
236,4375500
237,9693300
238,4231900
239,6433800
240,4464500
241,4964900
242,9410100
243,4680800
244,4648600
245,4269400
246,5254200
247,9131900
248,5000800
249,6293000
250,5206100
251,6486200
252,4007700
253,5936800
254,4198600
255,9322500
256,3196200
257,5180600
258,8224600
259,4118300
260,4256500
261,8384600
262,3256900
263,8943800
264,4245700
265,4040500
266,9644200
267,3333600
268,6254900
269,4717900
270,3820900
271,4011200
272,8211100
273,3174400
274,8663700
275,4225900
276,8656600
277,2670300
278,4171900
279,4129700
280,7715000
281,4587100
282,3685600
283,4233300
284,5257200
285,4390200
286,9701400
287,3958900
288,9693300
289,4021400
290,8941000
291,4287300
292,10583400
293,4136400
294,4036000
295,10127700
296,4125400
297,2934500
298,7563900
299,4324100
300,9538900
301,4087700
302,7857600
303,3886200
304,3564300
305,2441700
306,7569900
307,2861100
308,7049000
309,3556100
310,3629000
311,9441400
312,3549300
313,8397800
314,5292200
315,9507300
316,4207200
317,4082600
318,9250700
319,4042200
320,4669400
321,4499900
322,4641200
323,4358600
324,5751600
325,4562000
326,5191800
327,5669300
328,7384800
329,3092700
330,8183500
331,3361000
332,8957300
333,3719100
334,3800400
335,9205400
336,3704400
337,7743200
338,3734700
339,8757100
340,4662600
341,8112700
342,3849600
343,8413500
344,3445600
345,3391100
346,7836200
347,3700700
348,3465300
349,8186500
350,4230700
351,8253300
352,3789600
353,9230400
354,4017600
355,9273200
356,4430600
357,4312900
358,8297900
359,3841900
360,8915100
361,3963200
362,4514900
363,9160700
364,4271400
365,5757100
366,2750300
367,4029000
368,4235900
369,8158800
370,3282600
371,4365400
372,2906100
373,9132500
374,3816700
375,8342600
376,3711500
377,9409500
378,3559800
379,8513200
380,4051500
381,8140800
382,3873400
383,9431200
384,3530800
385,4763000
386,2957000
387,9636000
388,4136100
389,7597800
390,4033400
391,9961100
392,3948300
393,8959500
394,3128000
395,7091000
396,2963500
397,3643300
398,8935000
399,3473200
400,3946000
401,8000800
402,2936300
403,3431900
404,8732500
405,3878000
406,6427700
407,3656500
408,9384000
409,3714100
410,8725000
411,3150700
412,4036600
413,2959300
414,7784700
415,3430900
416,9757600
417,3452800
418,8762400
419,3982600
420,3419900
421,8129500
422,3130100
423,9966500
424,3479600
425,8571100
426,4172500
427,8457100
428,3787200
429,7533100
430,3962300
431,3946200
432,9306600
433,3596800
434,8600400
435,3155100
436,3966900
437,7948700
438,3724900
439,4972800
440,9114900
441,4232700
442,10258700
443,4203600
444,6609800
445,3501100
446,8527800
447,4522400
448,4288600
449,8463500
450,3764300
451,8094700
452,3790200
453,3912200
454,6906400
455,3869800
456,3407800
457,8616500
458,3402800
459,9121800
460,4124600
461,9279500
462,3498900
463,8950400
464,3327900
465,3630400
466,6866900
467,3147300
468,4552500
469,9754500
470,3476100
471,8288300
472,3341200
473,3733900
474,3567300
475,3461401
476,4611500
477,4524900
478,7972701
479,4218400
480,4660200
481,8591601
482,4178099
483,9113000
484,3743199
485,4443400
486,8387100
487,3360500
488,5674900
489,8472701
490,3394200
491,7490900
492,3330800
493,8172200
494,3799001
495,3632000
496,9297400
497,3502600
498,6573300
499,3312900
500,8072300
501,4431700
502,4021800
503,9427200
504,4183399
505,3433099
506,8273500
507,4423900
508,9580199
509,4872199
510,4072300
511,10136800
512,3572200
513,7964900
514,4603200
515,7979400
516,4354300
517,3962299
518,10335800
519,2664500
520,9344299
521,3669699
522,9543701
523,3892401
524,9597700
525,4527800
526,3165000
527,8923599
528,4690200
529,8191701
530,4789700
531,8585200
532,4893100
533,3047501
534,9768799
535,3596099
536,9436299
537,3644200
538,9511400
539,3214900
540,2935100
541,8440600
542,3519599
543,8894099
