frame,frame_time_ns
1,199926800
2,2935300
3,2461900
4,1569400
5,1915100
6,1639800
7,1419800
8,1353700
9,1501800
10,1857600
11,1829600
12,1721100
13,2297700
14,1841700
15,2304000
16,1958900
17,2204700
18,1943500
19,1854900
20,1532300
21,1622900
22,1542400
23,2036400
24,2178800
25,2674700
26,2440500
27,2108400
28,1427000
29,1902300
30,1825100
31,1759100
32,1476000
33,1451900
34,1978000
35,1805500
36,1778300
37,2255700
38,1933700
39,1886500
40,2293800
41,2691800
42,1900600
43,1894500
44,1587700
45,2182900
46,1889500
47,1896700
48,1842700
49,2310500
50,2007400
51,2160900
52,2100600
53,2102300
54,1870900
55,1995600
56,3334800
57,2019300
58,2101700
59,4341900
60,2148100
61,2145400
62,2074500
63,1871600
64,2680900
65,3401400
66,3090300
67,3058400
68,2344300
69,1895900
70,1644900
71,1596500
72,2010700
73,1834400
74,1731700
75,1670600
76,1974900
77,1698100
78,1777900
79,2319000
80,2052600
81,1908200
82,2518000
83,2929900
84,1992900
85,1775400
86,2186100
87,1944700
88,2005200
89,1595600
90,1610900
91,2162300
92,1682800
93,1639500
94,1607500
95,2428200
96,1984300
97,1718800
98,1606500
99,2364600
100,1798100
101,2727100
102,3346800
103,1942200
104,2153500
105,2813600
106,1759300
107,1555100
108,1570600
109,2183800
110,1789900
111,1534600
112,1475700
113,1535800
114,1943100
115,1523500
116,1478000
117,1300600
118,1746900
119,1925200
120,1665600
121,1532800
122,1376700
123,1728100
124,1763300
125,1274700
126,1158100
127,1103000
128,1118400
129,1494700
130,1325300
131,1135900
132,1096500
133,1102300
134,1453300
135,1622800
136,1548200
137,1298500
138,1134500
139,1071300
140,1096400
141,1098400
142,1523300
143,1230900
144,1249000
145,1086900
146,1049000
147,1051400
148,1364700
149,1423300
150,1269200
151,1121300
152,1264100
153,1218100
154,1382800
155,1375900
156,1680500
157,1252400
158,1104500
159,1345800
160,1767600
161,1596900
162,1399600
163,1108500
164,1025500
165,1447500
166,1417700
167,1159100
168,1069300
169,1276700
170,1787000
171,2144200
172,1458600
173,1230500
174,1087600
175,1062500
176,1138500
177,1902600
178,1254500
179,1119700
180,1044800
181,1047500
182,1384400
183,1742800
184,1431500
185,1155100
186,1048000
187,1044200
188,1016000
189,1207100
190,1610400
191,1215700
192,1243400
193,1089300
194,1022000
195,1095200
196,1739200
197,1553100
198,1384100
199,1159600
200,1051300
201,1658200
202,1400500
203,1137300
204,1175700
205,1168500
206,1649800
207,2910900
208,2208500
209,2186900
210,2109300
211,2862600
212,1870200
213,1458000
214,1948400
215,1484600
216,1456100
217,1288200
218,1148600
219,1447500
220,1578400
221,1764300
222,1180000
223,1154000
224,1328300
225,1529700
226,1196900
227,1108800
228,1153100
229,1088900
230,1290600
231,1761300
232,1439300
233,1252300
234,1252500
235,1424100
236,1905700
237,1429900
238,1314000
239,1132700
