frame,frame_time_ns
1,331033800
2,4673401
3,3482600
4,4553000
5,5075500
6,4173400
7,3738400
8,2567500
9,3830800
10,3529000
11,4941300
12,3740900
13,4353700
14,3486901
15,2732899
16,3191500
17,4543001
18,4806000
19,2641801
20,3550100
21,3024300
22,3644401
23,3725101
24,3598999
25,2919999
26,2943299
27,4438401
28,4082800
29,3752101
30,3175599
31,2652999
32,4075600
33,4235500
34,4327800
35,5384500
36,4132299
37,3662300
38,4447101
39,2634201
40,4356100
41,4604799
42,3426700
43,4516301
44,3189501
45,3871000
46,4273800
47,3637299
48,2888300
49,3846700
50,3857000
51,3820401
52,3229800
53,4632600
54,4491899
55,3805701
56,5508000
57,5968800
58,4284699
59,4906900
60,4353299
61,4673700
62,4346901
63,4595800
64,3767400
65,5584700
66,4900000
67,3636600
68,4126100
69,3859499
70,5005000
71,4501101
72,4688599
73,4269700
74,4859600
75,4936700
76,4561799
77,5146100
78,4239900
79,5253000
80,4298800
81,4502100
82,4173700
83,3454800
84,2988100
85,4585601
86,4647100
87,5091900
88,4123199
89,3092800
90,2854201
91,4598300
92,3098900
93,2723600
94,4624300
95,4585201
96,4723400
97,3852700
98,4655500
99,4328800
100,3076700
101,3354400
102,4893001
103,4317799
104,4149001
105,3703000
106,4272701
107,4034699
108,3689399
109,2616999
110,3018300
111,3844301
112,2788800
113,3286099
114,2752600
115,4504700
116,4893300
117,4129900
118,3213001
119,3892700
120,3834100
121,3062999
122,2873200
123,3877200
124,4463899
125,3215000
126,3342100
127,4661000
128,4565700
129,4026799
130,2877100
131,2978900
132,4206801
133,3162900
134,4021000
135,4575799
136,4499800
137,4589401
138,5002100
139,5096600
140,4314300
141,4846799
142,4794099
143,5493601
144,4549200
145,4300601
146,4438500
147,4512800
148,5067701
149,5426699
150,4584500
151,3570300
152,4596901
153,4846600
154,4906001
155,4666099
156,4405801
157,5390500
158,4944299
159,4457700
160,5013700
161,5328199
162,4904400
163,5409700
164,7379699
165,5271400
166,5082699
167,5581499
168,4855300
169,4949000
170,5515299
171,5138800
172,5048200
173,4983801
174,5062600
175,3330900
176,5744101
177,4962100
178,4992399
179,3037100
180,4555600
181,4538300
182,4162400
183,5176400
184,3672500
185,5022600
186,4242800
187,4244000
188,3845500
189,3167100
190,4623300
191,4994400
192,4278700
193,4152900
194,3991600
195,3770900
196,3267100
197,3590400
198,3298100
199,3882500
200,3904300
201,4195600
202,3817300
203,3050000
204,4385300
205,3878400
206,4136700
207,4944000
208,4684600
209,3652700
210,3815200
211,2901500
212,3742500
213,4589600
214,2991900
215,2981100
216,3620600
217,3894300
218,2867800
219,3234300
220,2661300
221,3968600
222,3984800
223,4440400
224,3070100
225,4170900
226,4301700
227,4484300
228,3290600
229,4723100
230,4352200
231,3760800
232,2779400
233,2949700
234,3399300
235,3866600
236,2914800
237,2613100
238,3391000
239,3932200
240,2811500
241,3030800
242,3845200
243,3754300
244,3310800
245,2455700
246,3256200
247,2826000
248,3165800
249,2435600
250,2468600
251,3688000
252,2990900
253,2207400
254,2663500
255,4419400
256,3755900
257,3564100
258,2330100
259,3453800
260,3402800
261,4007300
262,3157900
263,2848300
264,3791200
265,3247600
266,3171300
267,3560400
268,3887400
269,3723300
270,2829900
271,3383100
272,3277800
273,3774200
274,3682200
275,2814500
276,3119100
277,3795300
278,2780600
279,2984400
280,2243600
281,3542700
282,3663800
283,2675500
284,3045400
285,2405700
286,3655700
287,3064500
288,2875900
289,2297800
290,2651300
291,3012100
292,2893000
293,3548900
294,2340300
295,2349200
296,3292800
297,2672200
298,3506000
299,2348300
300,3242600
301,3331500
302,2630900
303,2946300
304,3142000
305,3057600
306,2745700
307,3651200
308,2298300
309,3815800
310,3575400
311,2894200
312,2550400
313,2138400
314,3430100
315,3528400
316,3161600
317,2097000
318,3840800
319,3456800
320,3458500
321,3215500
322,3877100
323,3926300
324,3702800
325,3545900
326,3204000
327,3165900
328,3745600
329,3234100
330,2834500
331,3323400
332,4009300
333,2820900
334,2784700
335,3403900
336,3186400
337,3335100
338,2635500
339,2918900
340,3424200
341,2866100
342,3107700
343,3136200
344,2890900
345,3581500
346,3144900
347,2820000
348,2826100
349,2644500
350,3532700
351,3081100
352,3503700
353,3249500
354,4607200
355,4464200
356,4596900
357,4829800
358,3791400
359,3357600
360,2680000
361,3490100
362,3504800
363,4077800
364,4524800
365,2526000
366,3936300
367,3423400
368,3650300
369,2978100
370,3220700
371,3460000
372,5179100
373,3882100
374,3546400
375,2811800
376,3496600
377,2568700
378,2978700
379,2536400
380,3286800
381,3793500
382,3058000
383,3123000
384,2529500
385,3566300
386,3405600
387,3535700
388,2487400
389,2555800
390,2953500
391,4035400
392,3889600
393,3570800
394,3439000
395,3883300
396,2626200
397,3061300
398,3385700
399,3375400
400,2928700
401,2931900
402,2391600
403,2833500
404,3354500
405,2399800
406,2289200
407,2553400
408,3193500
409,3328300
410,3022400
411,2232700
412,2723000
413,3383300
414,3396700
415,2842400
416,3255500
417,4620600
418,3177700
419,3005500
420,2242700
421,3525100
422,3734700
423,2498200
424,3431500
425,2896000
426,3427200
427,3283100
428,3036900
429,2419900
430,2842700
431,3283000
432,2649700
433,2828600
434,2278200
435,2143300
436,3679500
437,3093600
438,2526800
439,3474400
440,3841300
441,4299500
442,2682300
443,2674400
444,2895400
445,3153000
446,3735600
447,2985600
448,2627300
449,3673500
450,3328600
451,3680300
452,3849300
453,3554000
454,2548200
455,3799100
456,3270200
457,3299200
458,2615500
459,3636700
460,3153100
461,2944500
462,2421500
463,3342300
464,2815800
465,3481300
466,2117000
467,3167600
468,3748400
469,3189200
470,2470500
471,2346700
472,3549100
473,3003000
474,2685900
475,3100600
476,3028000
477,3618100
478,2569800
479,3046400
480,2391400
481,3434400
482,2551000
483,4044400
484,2185400
485,2848700
486,3439000
487,2775100
488,3189800
489,2265300
490,3018200
491,3230700
492,2680700
493,2790300
494,2394600
495,3715800
496,2849300
497,2879200
498,2277700
499,2156000
500,3453500
501,3835100
502,3805100
503,2679000
504,2414100
505,3365900
506,3142200
507,3268100
508,2736800
509,3687600
510,3613600
511,3556600
512,2963500
513,3363700
514,2277200
515,3958800
516,3307900
517,2729800
518,2706200
519,2245400
520,4365300
521,3166200
522,3452100
523,3261000
524,4313100
525,3908400
526,19644900
527,6186600
528,3563200
529,2745000
530,4115100
531,3188900
532,3130100
533,3389700
534,4152100
535,3564700
536,3228700
537,3731800
538,3591300
539,3860000
540,3501700
541,2912700
542,3521400
543,2666500
544,4161800
545,3678000
546,3295700
547,2612200
548,3265200
549,4070900
550,3463700
551,3066500
552,3915200
553,3634200
554,3169400
555,3392400
556,3342500
557,4114400
558,4197200
559,3344200
560,3135500
561,3127000
562,3559900
563,3759300
564,3629700
565,3484600
566,3811300
567,3949500
568,4294200
569,4093700
570,27651000
571,3970300
572,3296400
573,3448900
574,4206400
575,3310900
576,4337400
577,3650800
578,4004800
579,3587100
580,3194900
581,2952100
582,3951800
583,4475600
584,3628400
585,3424800
586,2364900
587,3481600
588,3554500
589,3022500
590,3296600
591,5162300
592,3917300
593,2968600
594,2540300
595,3307300
596,3089400
597,3145300
598,2794200
599,2529000
600,3010100
601,2780300
602,3072100
603,3278000
604,3174400
605,2861300
606,3502000
607,3358900
608,2284600
609,4078200
610,2948200
611,3556500
612,2404400
613,2477400
614,3027000
615,3231900
616,3596400
617,2593800
618,2822400
619,4964900
620,3155900
621,3089400
622,3776900
623,5029600
624,3038900
625,3526300
626,2699000
627,3318600
628,3143900
629,3245700
630,2866000
631,3088500
632,3460400
633,4168100
634,3010200
635,3207500
636,3945600
637,4068900
638,2917300
639,3310600
640,3042700
641,2768900
642,3345800
643,3855900
644,2609100
645,3355100
646,4097200
647,2950700
648,2831000
649,2078200
650,3445800
651,3205600
652,2941800
653,3196400
654,3181700
655,3145500
656,3350600
657,2398100
658,3090600
659,3071400
660,3482300
661,3287900
662,2875800
663,2459700
664,2869000
665,2687000
666,3041000
667,3618900
668,2748800
669,3105500
670,3240000
671,2935700
672,3501500
673,3521200
674,4291400
675,2997100
676,2665500
677,3302100
678,3803200
679,3287600
680,2864700
681,2864000
682,3649900
683,2835200
684,2449000
685,3520400
686,3548800
687,4000200
688,3194400
689,2329600
690,2919000
691,3864000
692,3211100
693,2890300
694,2992500
695,3286200
696,2773200
697,2561000
698,2996800
699,3041100
700,3461600
701,2938500
702,4833700
703,3290100
704,3282900
705,3528800
706,3205300
707,2834400
708,3166300
709,2905200
710,3030900
711,3627800
712,4144800
713,2780000
714,2959000
715,3001900
716,2663700
717,3091300
718,3174300
719,2704000
720,3139600
721,3532800
722,3236300
723,2905100
724,2742300
725,3272300
726,2769200
727,2694500
728,2906700
729,2211000
730,3402800
731,3355300
732,3810600
733,2464200
734,4158500
735,3054900
736,3352400
737,2577000
738,3656200
739,3232500
740,3010800
741,3071300
742,2553700
743,4278100
744,3006900
745,3263600
746,2553700
747,3934100
748,4001900
749,4835900
750,4061900
751,3977800
752,3251900
753,3346900
754,3124800
755,4307000
756,3009700
757,3612800
758,3299900
759,3203800
760,4170500
761,3354900
762,3723500
763,3547300
764,4366900
765,3533000
766,3101600
767,2597800
768,3372600
769,3976000
770,2810300
771,2779700
772,3042700
773,3015100
774,4139100
775,3382400
776,4132100
777,2578700
778,3995200
779,3275300
780,3303000
781,2494900
782,2698500
783,3818000
784,4088200
785,2876400
786,2609600
787,3123200
788,3648800
789,3548400
790,2765600
791,3041700
792,3829800
793,3932800
794,3730100
795,2706400
796,4600800
797,3851600
798,4824800
799,3260900
800,3723600
801,3173800
802,2808300
803,3086700
804,3300900
805,3090700
806,3622800
807,2347600
808,2918100
809,3150600
810,3694600
811,3190700
812,2910500
813,2660500
814,3243000
815,3430700
816,2801100
817,3226200
818,3385300
819,3045200
820,2426400
821,2591900
822,2358500
823,3336200
824,4495500
825,3157300
826,3778100
827,3614800
828,3790500
829,3022200
830,3070500
831,3576500
832,3711600
833,3078900
834,3547300
835,4735400
836,4086700
837,3763700
838,2315200
839,3127300
840,3459900
841,3414900
842,2256800
843,3127200
844,3701400
845,2986600
846,3546300
847,2217600
848,3594600
849,3002800
850,2625100
851,2838300
852,2165200
853,3404300
854,3509800
855,2933900
856,2404800
857,1977700
858,3294600
859,2968600
860,3165200
861,2580200
862,2704700
863,3348500
864,2758000
865,3194800
866,2459000
867,3619800
868,3771800
869,3189900
870,2719800
871,2387200
872,2923900
873,3257900
874,2941300
875,2465900
876,2627400
877,2949400
878,3129000
879,3262900
880,2699100
881,3068700
882,2789500
883,3229400
884,2675200
885,2187700
886,2778800
887,2980500
888,3125500
889,2930300
890,2340400
891,3094600
892,2684900
893,2667500
894,3049200
895,2308100
896,3151300
897,2892900
898,3410100
899,3111100
900,4027900
901,2798300
902,3073700
903,2587500
904,2154900
905,3059000
906,3432400
907,3392900
908,2247900
909,3437000
910,3150400
911,2899300
912,2435200
913,2194900
914,3314400
915,3268400
916,2962900
917,2578500
918,4090500
919,3583400
920,3461800
921,2340900
922,2599500
923,3324700
924,3452800
925,2569500
926,2681200
927,3350100
928,3136500
