frame,frame_time_ns
1,362438601
2,5740400
3,4716200
4,4477599
5,4530400
6,4358900
7,2488600
8,4602999
9,3917401
10,4216399
11,4137000
12,4084400
13,4235600
14,3879001
15,4434901
16,3290400
17,4400999
18,4678900
19,3432699
20,4714401
21,6718299
22,6558599
23,5710600
24,4261500
25,4451201
26,4556700
27,4476701
28,4402501
29,5249500
30,4361101
31,4031900
32,4016100
33,3755600
34,5322500
35,4990000
36,4016101
37,4009699
38,3959299
39,4753900
40,4356600
41,4438000
42,4219801
43,4858500
44,3756200
45,5073501
46,3117199
47,3689901
48,4857400
49,3914700
50,4018899
51,5259199
52,4135800
53,4057801
54,3303400
55,3551000
56,4539800
57,4200999
58,3751800
59,3303500
60,3832901
61,4056400
62,3220700
63,3742800
64,4328000
65,4403200
66,4228200
67,3947300
68,3712400
69,4699300
70,4421099
71,4968900
72,4772300
73,4585700
74,4673901
75,2662800
76,3879200
77,4005800
78,4738400
79,4136800
80,3698000
81,4778900
82,3562400
83,3347600
84,3100100
85,3943100
86,3631200
87,3062100
88,3230200
89,3784100
90,4121200
91,2903600
92,3468700
93,2583500
94,3047100
95,3973100
96,4012400
97,2551000
98,2887300
99,3248200
100,3216000
101,4270700
102,3473000
103,3534900
104,4324300
105,3981500
106,3181100
107,2901600
108,3577700
109,4154100
110,4609800
111,3188500
112,3251500
113,3641800
114,3586800
115,3542900
116,2511200
117,3394400
118,4024400
119,3697200
120,2791200
121,2973400
122,3295300
123,3371100
124,3838900
125,3631400
126,3660500
127,4614600
128,3547600
129,3010000
130,3463600
131,5053000
132,4465800
133,2915400
134,3462400
135,4398800
136,2746700
137,4882300
138,3889900
139,3433900
140,3353400
141,3583300
142,4635400
143,4619000
144,4456900
145,4715600
146,3860000
147,3364700
148,3840800
149,3291000
150,4945900
151,3331500
152,4442100
153,4177100
154,5133700
155,5146600
156,4804000
157,5343900
158,4077500
159,3867400
160,4927600
161,4156100
162,5065500
163,4065900
164,5072400
165,4446200
166,4909900
167,4415500
168,4241200
169,4606200
170,4765000
171,3918400
172,3597100
173,3348400
174,4168200
175,4576200
176,4113600
177,3456100
178,4464900
179,4419000
180,4352100
181,4006300
182,4189400
183,4018900
184,3104400
