frame,frame_time_ns
1,197559500
2,3576600
3,3295200
4,3309400
5,3868500
6,4745500
7,4095800
8,4766300
9,3834500
10,4111400
11,2921500
12,4536400
13,4299500
14,3231500
15,3911500
16,4182000
17,5126100
18,3361300
19,4105200
20,3692200
21,4251600
22,4768400
23,3632600
24,4250900
25,4832700
26,3897800
27,5099800
28,6048300
29,4059100
30,4976800
31,4612700
32,3943000
33,4506600
34,3732000
35,4413300
36,3766200
37,4179000
38,4702100
39,3219600
40,4051800
41,3354300
42,4094200
43,4874100
44,3334200
45,3182800
46,3741800
47,3265600
48,3816500
49,3046700
50,3625300
51,3121800
52,3843400
53,3336900
54,3434200
55,2706000
56,3530900
57,2668300
58,3307600
59,3344100
60,3477700
61,3173800
62,3109200
63,3455200
64,2745300
65,3296100
66,2711100
67,3719600
68,3096300
69,3371100
70,2999600
71,3243000
72,2937800
73,2380100
74,4606900
75,2859200
76,3382400
77,2555900
78,2625000
79,2891100
80,2656100
81,3263500
82,2394200
83,2284400
84,2992100
85,2389700
86,2299700
87,3624600
88,2397200
89,3674300
90,2518800
91,2305600
92,3080500
93,2639500
94,3007800
95,2487800
96,2211700
97,3038000
98,2424900
99,2656600
100,3038600
101,2241700
102,2762300
103,2664000
104,2340400
105,4195300
106,3199900
107,3592900
108,2820400
109,2947400
110,2448600
111,2097500
112,3613600
113,2604200
114,2493300
115,2787800
116,2534100
117,3761300
118,2947700
119,2599500
120,3338300
121,2316800
122,3396300
123,2632900
124,2358400
125,3261500
126,2368700
127,3536000
128,3171800
129,2711100
130,2336100
131,2091800
132,3487600
133,3950000
134,3862000
135,2735900
136,2915500
137,3442200
138,2606000
139,3321000
140,2941700
141,3493300
142,2843400
143,3811800
144,2768300
145,3770200
146,2916500
147,2917100
148,4208500
149,2758700
150,3299400
151,2937100
152,2933600
153,2783900
154,4167400
155,2783900
156,3160500
157,3046600
158,2496100
159,4204800
160,2856900
161,4056000
162,3609700
163,4410000
164,4852900
165,3537800
166,4720500
167,3640300
168,4477600
169,3377700
170,4498500
171,4263100
172,3944900
173,4120000
174,3759500
175,4126300
176,3681900
177,5221300
178,4540100
179,3830800
180,4658800
181,3457700
182,5122100
183,3823200
184,3450200
185,2512700
186,3515700
187,2932500
188,3502900
189,2482500
190,3040100
191,2589700
192,4269700
193,3199200
194,4068500
195,3086900
196,3240200
197,3323200
198,3097100
199,3877500
200,3777400
201,2862600
202,2637200
203,3064700
204,2538700
205,2468700
206,3130200
207,3083100
208,4950600
209,2793400
210,4248400
211,3015800
212,6672600
213,4086700
214,4136100
215,3536800
216,4579300
217,4085800
218,4647300
219,3082000
220,3995600
221,2954500
222,3418500
223,2935900
224,3584700
225,3223000
226,3426000
227,3128300
228,2761200
229,3566300
230,3035300
231,3957800
232,3123700
233,3913800
234,2843200
235,3388600
236,3010200
237,3814500
238,3080300
239,2990900
240,3609200
241,3784400
242,3273200
243,3198000
244,3357700
245,3328700
246,3901300
247,2802900
248,4117800
249,2951300
250,4226000
251,3890800
252,3346900
253,3705500
254,3371800
255,3471500
256,3921700
257,3401700
258,4211700
259,2872900
260,3175000
261,3161900
262,2784800
263,2862900
264,3141800
265,2295300
266,2200200
267,3079400
268,2378700
269,3670500
270,2979500
271,2288500
272,3023600
273,2643000
274,2324200
275,2615700
276,2788400
277,3413700
278,3102100
279,3471600
280,2481800
281,2096800
282,2834600
283,2710200
284,2647900
285,3385200
286,2438000
287,3121200
288,2585500
289,2446800
290,3039500
291,2451600
292,3326000
293,3148100
294,2439000
295,2908200
296,2599300
297,2763300
298,2682200
299,2239200
300,3229200
301,2486100
302,2230400
303,3197500
304,2944300
305,2311600
306,2750200
307,2779800
308,3567700
309,2379600
310,2782500
311,2861500
312,2242900
313,2351700
314,3284900
315,2262700
316,3162100
317,2444200
318,2134900
319,3050800
320,2530700
321,2349400
322,3471500
323,2484300
324,3413500
325,2509500
326,3575300
327,3237700
328,2920400
329,2909000
330,2551500
331,3424600
332,2794200
333,15501000
334,4367800
335,3103600
336,3697200
337,3054200
338,3383100
339,3234500
340,3073500
341,4370300
342,3571600
343,3668900
344,3325300
345,3885100
346,3998600
347,3323700
348,4054500
349,3352500
350,4041400
351,2998000
352,4698100
353,3351600
354,3531700
355,3208700
356,3961200
357,2968300
358,3398800
359,2970300
360,3341400
361,3387400
362,3173900
363,3257800
364,3195200
365,29188400
366,5578200
367,3359000
368,3193600
369,2813200
370,4150800
371,2788900
372,3649900
373,2745200
374,3985400
375,2715600
376,3239500
377,3055800
378,3322600
379,3445600
380,2747900
381,3567700
382,3327600
383,4122900
384,2811700
385,3546400
386,3046400
387,3284300
388,3436900
389,3806700
390,2815800
391,2777000
392,3136600
393,2743900
394,3834200
395,2786300
396,3506100
397,2937900
398,4103000
399,3057600
400,2569200
401,3905000
402,2870500
403,3195800
404,2968100
405,4610400
406,3261900
407,2973800
408,2549500
409,3889300
410,2779200
411,3384900
412,2718600
413,2224000
414,2894400
415,2818600
416,3414300
417,2996000
418,2381300
419,3222700
420,2654300
421,2806900
422,2643900
423,2289500
424,3819400
425,2842400
426,2468600
427,2689500
428,2568100
429,3425500
430,2713600
431,2504600
432,2609400
433,2326500
434,2949800
435,2964400
436,3005400
437,3365800
438,2987200
439,3700500
440,2791700
441,2881800
442,3154700
443,2852800
444,3691500
445,2739900
446,3813100
447,2919500
448,3424200
449,2924300
450,3375400
451,3246100
452,3231900
453,3515900
454,2414900
455,3603300
456,2523300
457,2319600
458,3103400
459,2461700
460,3280800
461,2483300
462,2261800
463,3158700
464,2367400
465,3950700
466,2916500
467,3589100
468,3184500
469,3019700
470,3713400
471,2657400
472,3258600
473,2807600
474,3580200
475,2492100
476,3351500
477,3010700
478,2588400
479,3405500
480,2748000
481,3324300
482,3267200
483,2519200
484,3184100
485,2628200
486,3237400
487,2793800
488,3394300
489,2708100
490,2253100
491,3325900
492,2500800
493,2244000
494,3072600
495,3008900
496,4389700
497,2966100
498,3502000
499,2236700
500,2159900
501,2807300
502,2246700
503,2297000
504,2857000
505,2308000
506,2448300
507,2355300
508,2861500
509,3008700
510,2711500
511,3004200
512,3043200
513,2220700
514,2755100
515,2692600
516,2248300
517,2667200
518,2842300
519,2144300
