frame,frame_time_ns
1,443840800
2,10854800
3,11094300
4,9398300
5,10174700
6,9835300
7,10792200
8,9744200
9,9671300
10,10822700
11,9060700
12,11373400
13,10371000
14,11002600
15,8273700
16,8143200
17,10536800
18,8510600
19,9660100
20,9281400
21,8725700
22,10024800
23,8392600
24,8955300
25,9671200
26,10084500
27,10239700
28,10034100
29,9419500
30,8744200
31,10102900
32,11564100
33,8113100
34,7896600
35,9696200
36,8707100
37,8651900
38,10321000
39,8440900
40,10622500
41,9247000
42,9328900
43,10756000
44,8717200
45,9013600
46,11872500
47,8889000
48,10973600
49,10734500
50,10149300
51,11440000
52,8606300
53,9203200
54,9844800
55,8344500
56,10090200
57,8510400
58,9336500
59,9090900
60,8132800
61,9181900
62,11006100
63,9076900
64,9842300
65,9085800
66,8969100
67,9530700
68,9507800
69,8311500
70,9062700
71,9190200
72,9970400
73,9509000
74,8636600
75,9593300
76,8773700
77,9175900
78,10207900
79,8655600
80,7516100
81,7682300
82,8460000
83,8412400
84,11072600
85,7651700
86,8752300
87,9479500
88,8646600
89,9633900
90,9300800
91,9300000
92,10526000
93,8780600
94,8301800
95,9378200
96,12805000
97,10057200
98,8977800
99,8441200
100,9991400
101,10022000
102,8820900
103,9361800
104,10013400
105,9768600
106,10837800
107,8532400
108,10031500
109,8690300
110,9151200
111,10517100
112,8746500
113,9998900
114,10328600
115,9517500
116,8833600
117,8374400
118,9916900
119,9655800
120,8497400
121,45153300
122,11485500
123,10435300
124,11105300
125,9333700
126,9071100
127,11133300
128,10002300
129,10930100
130,10037400
131,8247100
132,10637300
133,9992500
134,11395000
135,9460800
136,8578400
137,9773100
138,9328500
139,10876100
140,10280500
141,9327100
142,10664700
143,8591500
144,11520900
145,9231500
146,10387400
147,9925600
148,8513800
149,10923400
150,8521800
151,8768100
152,9184900
153,9229000
154,9526500
155,9122800
156,8677900
157,9103700
158,8431900
159,9015800
160,8059600
161,8029900
162,7887500
163,8541800
164,8757300
165,8169200
166,7883400
167,8731400
168,8231100
169,8021100
170,9490600
