frame,frame_time_ns
1,409257600
2,22659700
3,10143300
4,8130200
5,12048600
6,11224000
7,7857500
8,7327900
9,7756100
10,11920900
11,8142700
12,7679800
13,7538300
14,8246700
15,10448500
16,6379100
17,5935400
18,7227000
19,8878600
20,12079500
21,6952200
22,7098000
23,6909400
24,10787200
25,7064300
26,6017600
27,6588800
28,6895200
29,8259200
30,10856900
31,6213000
32,7379100
33,6695700
34,7834200
35,9787400
36,5917300
37,7112600
38,8141100
39,9548300
40,7742600
41,9397800
42,8401200
43,7141400
44,12790000
45,6982900
46,7114500
47,6307700
48,5989200
49,9256700
50,5139600
51,5576100
52,6676400
53,6485500
54,24004100
55,8683400
56,5940400
57,5643300
58,9205500
59,6366100
60,7021500
61,6433200
62,6319200
63,6102300
64,8831800
65,26916800
66,6487500
67,9581100
68,6333900
69,6340000
70,7083800
71,6617000
72,6835400
73,9061700
74,5798000
75,6539300
76,7117400
77,6805800
78,11098300
79,10894200
80,5907800
81,6441300
82,6479500
83,6065800
84,8395900
85,5904000
86,5993200
87,9740300
88,5883100
89,6372800
90,8417600
91,5841200
92,6106600
93,6383300
94,5608300
95,6250800
96,9408600
97,5813500
98,5473300
99,5194200
100,6181600
101,5363400
102,8389500
103,8685500
104,6030800
105,5544400
106,10089400
107,6336100
108,8955400
109,6173800
110,5896000
111,5260700
112,6262600
113,10389600
114,7860100
115,5625400
116,6241100
117,6252700
118,5810300
119,6004200
120,7686300
121,7244300
122,5213900
123,8199200
124,5732400
125,10455400
126,8173200
127,5330000
128,5919800
129,5257900
130,4832800
131,5373100
132,5735300
133,10867800
134,5094500
135,5722100
136,4981100
137,4982500
138,5487600
139,6481000
140,9570200
141,5539700
142,4867000
143,5993700
144,5384500
145,5471200
146,11297200
147,8447000
148,6488700
149,5215600
150,4871100
151,5283100
152,8903100
153,5980000
154,9185300
155,5783500
156,6059700
157,6011800
158,8861300
159,5540900
160,7305700
161,6372200
162,5352700
163,5204900
164,7443700
165,4858600
166,3944300
167,5464500
168,5708900
169,5415500
170,6568100
171,7570000
172,5273900
173,4989000
174,6408900
175,5098400
176,5122700
177,5921100
178,7597900
179,5345100
180,7760900
181,4346100
182,5655700
183,4769000
184,4911800
185,9288200
186,4914800
187,4073600
188,5030700
189,4577700
190,5935800
191,5493900
192,5373800
193,6829500
194,5015800
195,4749400
196,5634900
197,7281400
198,5619500
199,9383200
200,5615700
201,5200900
202,5079200
203,4812500
204,5908600
205,6716600
206,8451700
207,4783600
208,4769700
209,4865700
210,5453900
211,5033400
212,5889200
213,4817400
214,6976400
215,5839700
216,5953800
217,5231800
218,5444400
219,5313700
220,5601200
221,7177900
222,5060900
223,5761400
224,4988700
225,5559600
