frame,frame_time_ns
1,414094800
2,12070000
3,8273100
4,7566100
5,9868800
6,7738900
7,6427200
8,6750500
9,5741700
10,5781700
11,13123000
12,6596100
13,6701400
14,6689400
15,6505400
16,9361700
17,7720100
18,6911900
19,6842900
20,6882800
21,12291300
22,8438000
23,7144600
24,10237500
25,6198900
26,6073300
27,5344900
28,6859300
29,5981200
30,8440800
31,5746400
32,5463000
33,5749900
34,8131800
35,10471400
36,6107200
37,5988300
38,8710100
39,9515500
40,12918300
41,8088200
42,7880000
43,9932900
44,6676400
45,9256100
46,8463500
47,6169400
48,11105200
49,7294800
50,7222200
51,6109200
52,5498100
53,10159700
54,8733000
55,6084800
56,7663000
57,8819400
58,12232000
59,6885200
60,6950700
61,7564200
62,10897200
63,6111800
64,6629600
65,10533900
66,7259200
67,12509800
68,7171900
69,8024700
70,6989600
71,9365900
72,7593100
73,7065400
74,8123800
75,7350700
76,11540200
77,7247200
78,5733300
79,8835800
80,7510400
81,9442400
82,7770800
83,9392200
84,7760300
85,10170500
86,6410500
87,6561300
88,6522400
89,7013500
90,11062900
91,6579800
92,6862700
93,6953300
94,6963800
95,6360000
96,10635000
97,7084800
98,6850600
99,7835100
100,7792700
101,11630300
102,6915700
103,6473100
104,7196500
105,10935900
106,6818300
107,7174500
108,7245400
109,6830800
110,11509300
111,6737000
112,6644100
113,6633400
114,6651500
115,10808700
116,6092400
117,6877800
118,6163800
119,6322300
120,6219500
121,8334200
122,7343000
123,7027700
124,6347300
125,6374900
126,6448900
127,9955000
128,6648400
129,5910200
130,5793400
131,6868300
132,9363900
133,6065100
134,15979600
135,5805000
136,6852500
137,10801200
138,6319600
139,6013800
140,6198300
141,6173100
142,9531100
143,6680200
144,5966900
145,6175500
146,6285500
147,5943100
148,8866800
149,5124100
150,6249900
151,4723400
152,4960600
153,4082100
154,2977200
155,8158500
156,3355100
157,4882000
158,6209300
159,7517100
160,5047100
161,6070900
162,7647400
163,5395500
164,5316200
165,5622900
166,5449300
167,5330900
168,4997500
169,9489600
170,5657900
171,7902800
172,5943300
173,5944500
174,5764200
175,7706200
176,5794900
177,6622000
178,6129200
179,6689800
180,9496800
181,5644500
182,5376100
183,5278000
184,4959500
185,5362700
186,4727700
187,7466400
188,5194600
189,4667900
190,5186500
191,5656000
192,5768400
193,8668400
194,3685000
195,4365600
196,4269200
197,4338900
198,4014600
199,5220700
200,4349100
201,4481400
202,6843500
203,4228300
204,4058000
205,4176100
206,5027400
207,6256200
208,4059700
209,8279800
210,3910800
211,4649900
