frame,frame_time_ns
1,552968800
2,9123900
3,8741700
4,7753400
5,8683600
6,8144600
7,7488500
8,7386600
9,7242800
10,6885600
11,7284800
12,7839300
13,8877600
14,6902000
15,7546400
16,7169400
17,8172300
18,7706900
19,6937400
20,7325500
21,7652600
22,7483400
23,8075500
24,7257200
25,7560800
26,7960700
27,7590500
28,6030500
29,8362500
30,8480900
31,7976500
32,7150700
33,7379200
34,7882700
35,7149700
36,5921100
37,6487300
38,7662600
39,8045600
40,6678100
41,4804500
42,5745500
43,4610800
44,4196800
45,4231500
46,5877900
47,5936700
48,4260200
49,4257800
50,4833900
51,9098400
52,11776800
53,5033700
54,3848900
55,4951600
56,4095400
57,3989200
58,4671000
59,3879600
60,4832200
61,4109500
62,3581500
63,3714600
64,4017200
65,3781000
66,5431400
67,6867300
68,6105300
69,5922900
70,4771300
71,7083000
72,6250800
73,5665900
74,6492900
75,7549200
76,7649200
77,8066000
78,6178400
79,7359000
80,7608300
81,8359300
82,8525400
83,8383100
84,7350900
85,6780900
86,7967800
87,6912700
88,6559000
89,8016000
90,6903400
91,6247100
92,7349900
93,7246400
94,4732700
95,4266600
96,5752400
97,6425700
98,7559900
99,8130200
100,5990300
101,5754200
102,6842800
103,7966600
104,7452900
105,6925600
106,5976300
107,6487300
108,6401400
109,4997300
110,4734000
111,6310200
112,6887400
113,6123700
114,6468100
115,6885900
116,4272400
117,5305100
118,5575200
119,6144600
120,4392500
121,4224700
122,4981400
123,6931000
124,4617800
125,5277200
126,6255600
127,5088600
128,6805200
129,6073100
130,6013400
131,7094900
132,4017300
133,4904000
134,5128900
135,6687900
136,5876400
137,5453400
138,4640100
139,5104900
140,4115100
141,3386600
142,3504300
143,3384200
144,3988200
145,4343000
146,4247100
147,3563700
148,3705400
149,4341600
150,4161200
151,3986700
152,3880500
153,3300200
154,3363100
155,3450800
156,3247200
157,3469600
158,3538200
159,3678900
160,3876000
161,3892100
162,5369400
163,4440900
164,3747600
165,3838600
166,5583000
167,3231100
168,4380800
169,3073600
170,3320200
171,3120500
172,3127800
173,3114900
174,3412400
175,3467500
176,3202200
177,3211100
178,3249700
179,3431100
180,4397000
181,3403000
182,3400700
183,2894000
184,3122600
185,3127200
186,4774600
187,4391200
188,3304500
189,3150200
190,3439400
191,3263800
192,3223900
193,2596200
194,3210800
195,3053400
196,3775100
197,4467300
198,3597300
199,3288900
200,3156400
201,3307900
202,3499600
203,5359800
204,4985000
205,4280100
206,3977000
207,4052000
208,4637800
209,3306500
210,3559100
211,3894200
212,3502000
213,4126400
214,4427700
215,4338200
216,3201500
217,3390400
218,4201500
219,3090000
220,5455700
221,4263600
222,3494200
223,3228300
224,3651400
225,3487600
226,3616200
227,4132600
228,4470000
229,5654500
230,4050800
231,3728400
232,3061000
233,3500700
234,4513300
235,4992000
236,4022900
237,3296800
238,3608700
239,4197000
240,4222600
241,3787700
242,4495600
243,3151400
244,3043500
245,3712500
246,5291400
247,3923700
248,3762500
249,3392000
250,3063300
251,3080900
252,2792900
253,3160200
254,2729000
255,2959500
256,3193500
257,4074900
258,3719200
259,3257200
260,3376200
261,4028900
262,3618700
263,3131000
264,3859300
265,3283700
266,17755100
267,5815100
268,3843900
269,3490700
270,3665400
271,3647400
272,4270000
273,4511600
274,3612600
275,3413200
276,3417400
277,3786700
278,3795300
279,4757900
280,5206900
281,4436700
282,3341300
283,4120800
284,3695900
285,3769000
286,3950600
287,3886400
288,4203800
289,3745200
290,4018400
291,3988100
292,4983900
293,3410200
294,3254100
295,3634300
296,3302300
297,3185200
298,3286300
299,3624400
300,2953700
301,3119800
302,3231400
303,24613400
304,6300600
305,3258900
306,3055900
307,2749800
308,3434000
309,3418500
310,3464900
311,3537700
312,3966100
313,3687900
314,2892900
315,2799900
316,3009600
317,2825800
318,2860500
319,2695500
320,2601700
321,3220600
322,2985000
323,2480200
324,2484300
325,2581200
326,3491400
327,2662700
328,3096200
329,2952700
330,3491800
331,2876000
332,3074100
333,3289700
334,3296500
335,3411000
336,2930800
337,3084300
338,2857800
339,3044900
340,3053800
341,2984000
342,3040900
343,3066000
344,2624300
345,2860000
346,3105000
347,3289000
348,3252800
349,2980300
350,2643900
351,2701100
352,3078600
