frame,frame_time_ns
1,376893700
2,17036200
3,5334700
4,5444300
5,4709300
6,5747600
7,26326000
8,6282800
9,4774600
10,6490500
11,8649300
12,5899000
13,4802000
14,4349100
15,5418900
16,5164500
17,5990900
18,5101400
19,5940500
20,7542200
21,6825500
22,7088400
23,5471400
24,7024500
25,7184400
26,5330400
27,4374900
28,3693500
29,3943900
30,4797800
31,4463100
32,5151400
33,7003100
34,5019300
35,5922900
36,5219400
37,5052600
38,4825600
39,4454400
40,5478500
41,5097000
42,5027700
43,3922100
44,3645700
45,4130600
46,4166500
47,4791900
48,6706400
49,5260400
50,4686900
51,4619900
52,5226700
53,4822300
54,4779200
55,4695900
56,6383500
57,4768500
58,4881900
59,5047200
60,4675300
61,4636800
62,4360900
63,5677000
64,5695800
65,4624800
66,5085400
67,4833000
68,4214500
69,4251900
70,4687400
71,3758300
72,4075100
73,4067200
74,4606500
75,4747700
76,4602100
77,4241000
78,5265600
79,4372600
80,4530300
81,4665200
82,4734900
83,4363800
84,3813500
85,4992400
86,4492500
87,4770900
88,4486700
89,3966700
90,4303200
91,4533000
92,5007500
93,5091200
94,4891500
95,5796200
96,5780000
97,5483100
98,5479700
99,6076400
100,6257400
101,4631000
102,5002600
103,4665500
104,4858500
105,4706100
106,5083800
107,4718900
108,4944800
109,4430500
110,5022800
111,5083200
112,4883900
113,4919300
114,4999200
115,4958600
116,4963400
117,4985600
118,5730800
119,5808000
120,5160100
121,4878600
122,6188900
123,5279200
124,4536700
125,5189600
126,4340000
127,4446900
128,4526900
129,5583400
130,3596100
131,3994300
132,3882300
133,3098900
134,3743900
135,3184300
136,3944200
137,2887200
138,4019400
139,4349800
140,3725000
141,3985200
142,4655800
143,3545500
144,3957400
145,3739600
146,3632600
147,3095800
148,2987500
149,2610200
150,3986700
151,3138400
152,4962800
153,4272200
154,4708500
155,4744100
156,2993800
157,3751500
158,3189700
159,4038800
160,3900000
161,3994600
162,3722700
163,2804100
164,3719100
165,3433500
166,3000500
167,4066500
168,3729000
169,3257500
170,3762600
171,3206000
172,3467700
173,3340100
174,3018000
175,2950800
176,3034300
177,3232200
178,4925900
179,3845700
180,3204800
181,3998700
182,3449800
183,3128800
184,3194300
185,3119600
186,3356800
187,2803300
188,3135000
189,3047000
190,4266100
191,3223500
192,3825700
193,3766300
194,3164900
195,4074800
196,3101100
197,3054000
198,3276700
199,3216700
200,3017000
201,3515200
202,2785500
203,3048200
204,3837700
205,3395300
206,2871500
207,3316800
208,3192300
209,3778600
210,3127600
211,3550700
212,2917300
213,3947500
214,2950100
215,3701200
216,4222100
217,3473700
218,3577300
219,3791400
220,3358000
221,3752200
222,3306700
223,3135300
224,4170500
225,3125400
226,3569900
227,4005800
228,3822700
229,4086200
230,3660600
231,3656300
232,2993900
233,2899100
234,3372300
235,3827300
236,3471000
237,3986300
238,3567100
239,3495300
240,4732300
241,3460400
242,4115400
243,3385000
244,3375000
245,2862500
246,3054300
247,3220900
248,3677000
249,3781100
250,2881800
251,1924000
252,2435800
253,2995700
254,2596900
255,3798100
256,3014600
257,2843600
258,2376900
259,2410700
260,2895800
261,3823400
262,3502700
263,17416200
264,3597800
265,4207800
266,3909100
267,3482100
268,3675400
269,3376800
270,3310500
271,2912600
272,3075500
273,2777400
274,2551500
275,2912600
276,2185900
277,1835400
278,3102700
279,1979900
280,4156100
281,3810300
282,4567200
283,2651200
284,2661400
285,1882500
286,2625300
287,2449000
288,3816100
289,3211700
290,2003600
291,2471200
292,2361900
293,2968900
294,1991100
295,2202100
296,2735200
297,2685900
298,2980900
299,1927600
300,2193400
301,2397200
302,1859000
303,1654800
304,2180500
305,2253700
306,2209800
307,2595800
308,2183700
309,2098000
310,1820500
311,1499400
312,2335700
313,1973800
314,1706600
315,1599800
316,2247100
317,1831000
318,1843500
319,2367100
320,1789400
321,1720300
322,1671100
323,2266700
324,2019700
325,1684000
326,1992000
327,2085400
328,1873600
329,1989100
330,1522400
331,1395700
332,1566000
333,1790000
334,1836000
335,1877800
336,1358900
337,1421700
338,1592000
339,1661000
340,1817800
341,2034100
342,2302000
343,1806600
344,1417200
345,1909600
346,1655400
347,1217700
348,1325300
349,1323000
350,1960200
351,1656800
352,1665600
353,2413500
354,2023600
355,1707300
356,2316700
357,1917600
358,1948000
359,2376600
360,2457100
361,1533600
362,1268500
363,1611400
364,1765300
365,1351000
366,1466200
367,2138100
368,2136500
369,1810800
370,1895000
371,2319900
372,2002200
373,2640700
374,1925800
375,1742100
376,3010400
377,2327900
378,2211200
379,2815200
380,1917100
381,2171300
382,3208100
383,3248300
384,3380300
385,3171900
386,3119800
387,2419500
388,3332200
389,1930300
390,2433900
391,2171600
392,2380200
393,2757300
394,2440000
395,2322700
396,3225200
397,2876500
398,2695000
399,1935700
400,2633500
401,3716800
402,3850400
403,2976000
404,3030700
405,3073400
406,3051400
407,2817500
408,2710200
