frame,frame_time_ns
1,374162400
2,16418000
3,6225600
4,6135700
5,4463900
6,4890500
7,7307900
8,6230100
9,6317600
10,5384100
11,5437700
12,4865400
13,6924800
14,5411200
15,5553100
16,6213800
17,5904300
18,5362400
19,5130200
20,6656400
21,5455700
22,6357800
23,6471700
24,5806400
25,6086000
26,7783000
27,5540900
28,5175200
29,6018600
30,4841300
31,4766900
32,9694500
33,5624900
34,5069700
35,5327800
36,5197700
37,4955200
38,5490700
39,6908200
40,5883200
41,5038600
42,5631100
43,5106100
44,4737300
45,4932700
46,7464200
47,6530500
48,5128500
49,7618500
50,4764300
51,5347500
52,5331900
53,5969200
54,5016200
55,4707700
56,5486400
57,5088900
58,5739400
59,4988300
60,5396400
61,7035900
62,5591700
63,9177800
64,6233300
65,5394800
66,5839300
67,5136200
68,5985800
69,4946000
70,5182500
71,4376000
72,4906300
73,6762400
74,4996800
75,6162100
76,4770600
77,4029600
78,4703100
79,5866300
80,5018300
81,5668500
82,5111400
83,4788200
84,4936500
85,4554100
86,7745200
87,4979800
88,5336300
89,5526200
90,4948000
91,6954200
92,5181500
93,6335400
94,5553300
95,5937600
96,5700600
97,5261900
98,4695100
99,4947400
100,6354700
101,5270700
102,6234300
103,4804500
104,4759800
105,4979400
106,5024900
107,4485100
108,5010000
109,4694500
110,4153900
111,4435900
112,4452700
113,3799800
114,3263400
115,3971400
116,3964100
117,3676000
118,3383400
119,4774600
120,3743800
121,4300700
122,4097700
123,5529100
124,4776100
125,4189400
126,3817800
127,3444000
128,4322400
129,5031200
130,5789300
131,7205000
132,6475900
133,5127100
134,5402200
135,6384200
136,5663500
137,5805400
138,5068200
139,5310400
140,4695700
141,4856300
142,4884400
143,5366300
144,5176900
145,5013600
146,4656500
147,5856800
148,6155800
149,9568100
150,5208800
151,28242500
152,8044500
153,8642900
154,5263200
155,4887100
156,5057700
157,5870100
158,5445700
159,4533500
160,4899400
161,4860900
162,4354800
163,4181200
164,3748000
165,4163100
166,4813900
167,4052700
168,4359500
169,4499700
170,3981000
171,3935500
172,4486100
173,4114000
174,3288800
175,4977900
176,5561000
177,4603100
178,5089900
179,4251200
180,4294300
181,4207000
182,3798000
183,3810500
184,5416700
185,4076000
186,4719700
187,4818500
188,4025200
189,4160100
190,3867400
191,3203200
192,3693100
193,44979200
194,5170000
195,3892200
196,3483300
197,4289300
198,3783200
199,3920400
200,3861600
201,4076800
202,3840700
203,3408000
204,4747300
205,4179900
206,5420600
207,3680200
208,4105100
209,3974200
210,3881900
211,4004800
212,4063000
213,4761500
214,3744900
215,3718700
216,4842500
217,3943200
218,3626100
219,3537100
220,3409100
221,2705400
222,3559400
223,3394000
224,3187000
225,3924200
226,4471100
227,3723300
228,3340800
229,4254900
230,3590300
231,3664900
232,3612100
233,4399400
234,3348000
235,3734500
236,4011000
237,3911500
238,3464500
239,3841500
240,3702700
241,3851100
242,3604500
243,3787100
244,4326700
245,3826800
246,4657200
247,4110100
248,3554000
249,4348600
250,4189200
251,3982000
252,4021100
253,4466900
254,4063800
255,4339600
256,4238000
257,3603600
258,4158500
259,3968800
260,4040600
261,4196200
262,5465200
263,3995600
264,4381500
265,4140400
266,3985200
267,3698500
268,3692200
269,4143600
270,4265200
271,4833200
272,4096400
273,3976700
274,4094900
275,4050700
276,4126900
277,4430300
278,3818500
279,3772200
280,3940300
281,5161300
282,3555000
283,4304400
284,4390400
285,3910700
286,3724600
287,3532200
288,3742900
289,3390900
290,4210200
291,3487900
292,3767700
293,3702500
294,3833900
295,3718300
296,3726400
297,3983700
298,3876000
299,3346000
