frame,frame_time_ns
1,270982600
2,4115500
3,4054500
4,4137800
5,5028600
6,4500900
7,4074600
8,3130700
9,3809800
10,3020400
11,5089500
12,3621500
13,3418400
14,3639000
15,4378700
16,4531300
17,3577300
18,3851100
19,3328200
20,4150800
21,4496100
22,5568800
23,3864800
24,3767400
25,3499200
26,4030100
27,2917600
28,3939000
29,3723400
30,2841800
31,2579000
32,2697300
33,3402900
34,2749300
35,2948900
36,2490400
37,2311900
38,2903100
39,2965200
40,2841300
41,2893800
42,2480900
43,2490700
44,2917000
45,2464100
46,2606500
47,2600700
48,2194800
49,2170400
50,2724100
51,2953100
52,3963700
53,3649200
54,3524900
55,2878100
56,2469100
57,2689500
58,2334000
59,2410900
60,2642200
61,2638200
62,2311700
63,2823400
64,2379700
65,2316300
66,2537000
67,3075400
68,2456000
69,2419000
70,2372000
71,2752600
72,2975100
73,2323700
74,2255600
75,2795600
76,2573700
77,2845400
78,2755200
79,2703100
80,2090100
81,2060900
82,2995300
83,2572700
84,2171500
85,2750500
86,2405700
87,2240400
88,2611000
89,2163800
90,1956600
91,2851100
92,2423600
93,2446800
94,2673700
95,2398000
96,2521300
97,2983800
98,2868700
99,2806800
100,2840500
101,2327200
102,2530800
103,3127900
104,2335700
105,2351000
106,2992800
107,2564700
108,2883300
109,3125600
110,3207600
111,3330100
112,2642200
113,2711600
114,3013100
115,2522900
116,2995800
117,3263600
118,2530900
119,3296800
120,2500900
121,2641700
122,2901700
123,2432800
124,3508300
125,3179400
126,2748700
127,3447100
128,2679300
129,3680400
130,4360200
131,4117900
132,3094900
133,3893600
134,3615000
135,3393300
136,3178900
137,3109300
138,3307400
139,3054300
140,3929200
141,3350700
142,3706500
143,2728700
144,2679400
145,3363200
146,2678400
147,2872900
148,3461200
149,3360900
150,3953800
151,4138700
152,4204000
153,4757500
154,4588900
155,5695300
156,6010400
157,4739800
158,5003200
159,3741000
160,3834300
161,4276700
162,4379300
163,4207800
164,3698300
165,4086700
166,3401700
167,3862300
168,2752500
169,2845000
170,3454200
171,2625300
172,5167500
173,4181400
174,3394600
175,4132000
176,3567800
177,3119600
178,3649600
179,3078400
180,3745100
181,3070300
182,2770200
183,3807800
184,2756500
185,3193500
186,2624600
187,2331300
188,3208800
189,3103800
190,3250000
191,2543700
192,2520900
193,3560900
194,3686500
195,4454600
196,3946100
197,4426500
198,3098300
199,3401400
200,3328600
201,4129500
202,3526800
203,4354700
204,4042000
205,3726300
206,3044600
207,2385500
208,2731100
209,2256400
210,2654400
211,3838000
212,2491900
213,2628400
214,2488800
215,2656200
216,2576600
217,3038900
218,3404800
219,3573400
220,3125600
221,3156700
222,3336400
223,3076800
224,3793200
225,3810500
226,4208500
227,3263500
228,3935900
229,3528100
230,3760600
231,4200800
232,3751700
233,3780600
234,4247800
235,4082900
236,3232000
237,3136300
238,3811600
239,3211500
240,3986600
241,3515900
242,4147100
243,5724100
244,4310000
245,4952900
246,3560800
247,5846200
248,5587900
249,5037900
250,3988900
251,5723600
252,5400000
253,4186700
254,4921900
255,5536200
256,4080800
257,4002200
258,5025400
259,5948000
260,5299200
261,5246500
262,4582500
263,5489700
264,4796500
265,24426400
266,5907900
267,6488300
268,5748200
269,4648900
270,4081100
271,4698400
272,3239100
273,4727200
274,3085000
275,4296900
276,3372100
277,4432300
278,3479100
279,5110100
280,3643700
281,3355000
282,2936800
283,3946300
284,3313700
285,3594800
286,3067900
287,4590300
288,4879900
289,4793200
290,5022700
291,4303100
292,4592900
293,3098700
294,3671300
295,3318800
296,3557300
297,2776900
298,2916100
299,3173600
300,2708500
301,2776700
302,2840400
303,2619300
304,4820300
305,4664400
306,5017700
307,3709900
308,3673900
309,2990800
310,6117100
311,3034200
312,2566600
313,2328600
314,3041100
315,2937300
316,2799200
317,4540100
318,3783900
319,3510400
320,2644100
321,3226500
322,2858500
323,3459600
324,3842600
325,2939500
326,2744900
327,2208200
328,2096800
329,3307300
330,2598900
331,2650800
332,2582500
333,2353600
334,3896600
335,2767900
336,3156200
337,2829200
338,3262700
339,4042000
340,3214800
341,3099500
342,3042900
343,2919300
344,3852000
345,3760100
346,4364100
347,3578500
348,2928800
349,2877000
350,3203400
351,4628300
352,4540900
353,4304900
354,4971100
355,4405500
356,4239300
357,3361100
358,3401500
359,2629600
360,3135200
361,2492900
362,3270200
363,3722800
364,2893900
365,2893300
366,2703200
367,2671800
368,2991100
369,2149000
370,2269400
371,3141200
372,2530400
373,2502400
374,3108400
375,2577700
376,3204100
377,2884900
378,3062400
379,3777400
380,3252400
381,4291100
382,4612100
383,4566500
384,4431600
385,3241200
386,3680500
387,4253800
388,4661700
389,4036700
390,4236900
391,4278400
392,5038900
393,2832700
394,3282800
395,2621400
396,2536900
397,3100100
398,2426400
399,2634300
400,2993900
401,2494100
402,3339600
403,2491900
404,2563200
405,2682900
406,2388700
407,2450700
408,2679600
409,2150400
410,2271700
411,2721300
412,2702300
413,2312200
414,2904100
415,2922400
416,2408100
417,2509700
418,2398200
419,2512900
420,3615000
421,2632700
422,2931800
423,3089200
424,2995500
425,3484700
426,4162300
427,3978300
428,2981200
429,3834700
430,2631300
431,2609600
432,2907100
433,3012200
434,2220000
435,2538200
436,2128300
437,2001000
438,3184600
439,3915700
440,3394900
441,2610700
442,2250400
443,3022300
444,4449800
445,3651700
446,3025900
447,2665100
448,3294500
449,2664400
450,3104500
451,3134400
452,2487800
453,3223900
454,2864000
455,2394300
456,3666800
457,3367700
458,3709600
459,2867800
460,3076500
461,2987600
462,2421000
463,2924600
464,3139200
465,2471200
466,5055400
467,3564900
468,3625000
469,4005900
470,3658700
471,2744100
472,3517400
473,2522700
474,2716400
475,3946700
476,3560100
477,3870500
478,3103500
479,3567800
480,3374600
481,6108900
482,4389500
483,3562700
484,4407000
485,3267700
486,3293500
487,3880200
488,3336200
489,4800800
490,3892100
491,2953700
492,2953500
493,3392400
494,3700900
495,4244200
496,2898700
497,3048900
498,3796800
499,1962800
500,2893600
501,2393700
502,2571200
503,3026500
504,2575000
505,3139200
506,2971000
507,2563900
508,2532200
509,2655500
510,2183900
511,2420600
512,2539600
513,2016000
514,1834800
515,2489200
516,2014300
517,2546100
518,2990600
519,2871900
520,1889700
521,2117500
522,2414100
523,2428900
524,2661600
525,2400100
526,2025300
527,1889800
528,2742700
529,2639900
530,2459100
531,2948000
532,2752500
533,2534300
534,2965300
535,2906900
536,3743700
537,3051900
538,2572400
539,2927800
540,3659800
