
                                                 Allocation by Site

Method                                                                                           Allocation Pressure
------------------------------------------------------------------------------------------------ -------------------
net.minecraft.world.level.chunk.PalettedContainer.reencodeContents(BitStorage, Palette, Palette)              51,24%
net.minecraft.world.level.chunk.storage.SerializableChunkData.write()                                         26,66%
jdk.internal.classfile.impl.SplitConstantPool.<init>()                                                        19,14%
java.time.Instant.create(long, int)                                                                            1,38%
java.lang.invoke.DirectMethodHandle.allocateInstance(Object)                                                   0,54%
java.util.concurrent.CompletableFuture.waitingGet(boolean)                                                     0,43%
jdk.internal.classfile.impl.BufWriterImpl.join(BufWriterImpl, BufWriterImpl)                                   0,12%
jdk.jfr.internal.PlatformRecorder.getListeners()                                                               0,11%
java.util.HashMap.newNode(int, Object, Object, HashMap$Node)                                                   0,08%
com.google.common.collect.ImmutableList.of(Object)                                                             0,07%
jdk.internal.misc.Unsafe.allocateUninitializedArray(Class, int)                                                0,06%
jdk.internal.misc.Unsafe.allocateInstance(Class)                                                               0,04%
java.util.HashMap.resize()                                                                                     0,04%
sun.nio.ch.Net.accept(FileDescriptor, FileDescriptor, InetSocketAddress[])                                     0,03%
net.minecraft.nbt.StringTag.valueOf(String)                                                                    0,02%
com.mojang.serialization.DataResult.success(Object, Lifecycle)                                                 0,02%
java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.newConditionNode()                       0,01%
jdk.jfr.internal.periodic.PeriodicEvents.doPeriodic()                                                          0,01%
java.lang.StringBuffer.toString()                                                                              0,00%
