
 Version: 2.1
 Chunks: 1
 Start: 2026-09-04 14:34:44 (UTC)
 Duration: 30 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ModuleExport                         1677         19983
 jdk.NativeMethodSample                   1475         16226
 jdk.ThreadPark                            761         26076
 jdk.ModuleRequire                         492          5412
 jdk.BooleanFlag                           491         15551
 jdk.ActiveSetting                         403         11379
 jdk.ThreadAllocationStatistics            300          3595
 jdk.NativeLibrary                         159         10277
 jdk.LongFlag                              137          4534
 jdk.Checkpoint                             95        206699
 jdk.UnsignedLongFlag                       93          3238
 jdk.ObjectCount                            60          1102
 jdk.UnsignedIntFlag                        48          1630
 jdk.Deoptimization                         47          1116
 jdk.FileWrite                              45          1098
 jdk.IntFlag                                43          1564
 jdk.ExecutionSample                        40           448
 jdk.ThreadCPULoad                          39           663
 jdk.StringFlag                             32           959
 jdk.TenuringDistribution                   30           362
 jdk.CPULoad                                28           560
 jdk.JavaThreadStatistics                   28           336
 jdk.ClassLoadingStatistics                 28           336
 jdk.CompilerStatistics                     28           952
 jdk.ExceptionStatistics                    28           308
 minecraft.ServerTickTime                   28           448
 minecraft.ClientFps                        28           392
 jdk.ObjectAllocationSample                 26           408
 jdk.ClassRedefinition                      20           260
 jdk.FileRead                               20           443
 jdk.DoubleFlag                             16           661
 jdk.GCPhasePauseLevel2                     14           626
 jdk.ClassLoaderStatistics                  14           380
 jdk.ExecuteVMOperation                     12           208
 jdk.ThreadEnd                              10           100
 jdk.GCPhasePauseLevel1                     10           402
 minecraft.ChunkRegionWrite                  9           478
 jdk.MetaspaceChunkFreeListSummary           8           152
 jdk.GCReferenceStatistics                   8            93
 jdk.SafepointBegin                          7           105
 jdk.ThreadStart                             6            72
 jdk.CodeCacheStatistics                     6           192
 jdk.DirectBufferStatistics                  5           110
 jdk.GCHeapSummary                           4           161
 jdk.MetaspaceSummary                        4           208
 jdk.G1HeapSummary                           4            97
 jdk.GarbageCollection                       2            48
 jdk.OldGarbageCollection                    2            26
 jdk.GCPhasePause                            2            48
 jdk.CompilationFailure                      2           114
 jdk.ThreadContextSwitchRate                 2            24
 jdk.SymbolTableStatistics                   2            78
 jdk.StringTableStatistics                   2            78
 jdk.PhysicalMemory                          2            36
 jdk.GCConfiguration                         2            52
 jdk.JavaErrorThrow                          2            34
 jdk.Metadata                                1        116124
 jdk.JavaMonitorEnter                        1            25
 jdk.RetransformClasses                      1            17
 jdk.MetaspaceGCThreshold                    1            17
 jdk.Compilation                             1            29
 jdk.OSInformation                           1           116
 jdk.VirtualizationInformation               1            22
 jdk.CPUInformation                          1          1672
 jdk.CPUTimeStampCounter                     1            19
 jdk.CompilerConfiguration                   1            12
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            11
 jdk.GCTLABConfiguration                     1            13
 jdk.GCHeapConfiguration                     1            27
 jdk.YoungGenerationConfiguration            1            18
 jdk.ActiveRecording                         1            72
 jdk.ResidentSetSize                         0             0
 jdk.JavaMonitorWait                         0             0
 jdk.JavaMonitorNotify                       0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.JavaMonitorDeflate                      0             0
 jdk.JavaMonitorStatistics                   0             0
