frame,frame_time_ns
1,309323300
2,7097300
3,1871600
4,4413700
5,4167100
6,2674700
7,2370500
8,2681100
9,3221100
10,2478100
11,2610100
12,2431600
13,2764300
14,3083600
15,2040200
16,5176200
17,3077100
18,2968500
19,2502700
20,8044300
21,2994600
22,2370400
23,2137300
24,6896800
25,2782500
26,3128800
27,3795100
28,3990300
29,3327000
30,2485600
31,2323300
32,2148200
33,2175000
34,1797700
35,4615700
36,4575800
37,2183600
38,2317200
39,3104400
40,2022000
41,2016200
42,2947600
43,3096100
44,2966000
45,2863700
46,3166100
47,2677700
48,1670600
49,3089000
50,3462600
51,1963700
52,1950000
53,1999500
54,3136300
55,3086800
56,3349700
57,3227800
58,1801000
59,1950400
60,1708000
61,7665200
62,2258800
63,2635600
64,2168200
65,2825900
66,3146900
67,2838500
68,1792600
69,2271800
70,2116200
71,1648400
72,5057800
73,3504000
74,2922800
75,2496900
76,2819200
77,2183300
78,2455600
79,2105900
80,1730900
81,2183300
82,1655300
83,1355800
84,1301700
85,4395100
86,3337400
87,2021600
88,2980800
89,2623400
90,3462500
91,2610200
92,2579900
93,2370500
94,1800300
95,1659400
96,1823400
97,1590000
98,1476800
99,1414600
100,5017100
101,2016400
102,1887200
103,1974100
104,1720500
105,2134200
106,2624900
107,2480700
108,2667600
109,2156500
110,1699200
111,1364200
112,1861500
113,4473600
114,1698900
115,1539000
116,1523100
117,1854400
118,2499200
119,2023500
120,2345600
121,1702200
122,1540200
123,2232000
124,1800700
125,1307900
126,5694200
127,1854500
128,2774700
129,2610200
130,2809300
131,2416100
132,1876400
133,1555200
134,1819200
135,1497100
136,1434900
137,1628300
138,4582300
139,2827900
140,2620600
141,2167400
142,2452400
143,2406100
144,2648500
145,1676400
146,1599700
147,1667000
148,1593500
149,1281200
150,1823500
151,2832500
152,2687200
153,1890100
154,1981000
155,1846700
156,2672600
157,1744800
158,2305800
159,1743500
160,1584200
161,1413400
162,1205500
163,1405600
164,1970000
165,1489600
166,1377700
167,4105300
168,3323700
169,1633100
170,2721700
171,2449700
172,2734800
173,2251900
174,2153900
175,1915400
176,2332200
177,1761700
178,1696000
179,1911600
180,1735100
181,1390900
182,1427100
183,5469400
184,1827000
185,1923800
186,2799700
187,2560100
188,2563400
189,2788900
190,2193400
191,1744900
192,1775600
193,1963800
194,1850200
195,1548300
196,1343900
