frame,frame_time_ns
1,285030200
2,3400200
3,8179100
4,3084000
5,5911200
6,3806100
7,3702700
8,7949700
9,1948700
10,4235500
11,3162600
12,4275000
13,4351400
14,6334300
15,3425000
16,4009700
17,8093200
18,2941300
19,8249800
20,3091800
21,2574100
22,8123400
23,3057300
24,8842100
25,2117000
26,6299100
27,2896300
28,6564700
29,3662800
30,3460700
31,9222800
32,3405300
33,6077900
34,2897600
35,3786400
36,3294300
37,9541600
38,2207200
39,6171600
40,3263200
41,6904400
42,3842900
43,6734600
44,1790900
45,7061200
46,2368200
47,2784200
48,2527200
49,5137400
50,2916200
51,3150300
52,7996300
53,2878000
54,3486400
55,5587700
56,2452200
57,6151600
58,2148100
59,8531100
60,3359000
61,5924100
62,3378700
63,6562400
64,1937000
65,9667700
66,5061900
67,2266600
68,6700900
69,3026200
70,8978500
71,1847900
72,5906500
73,1999200
74,3310800
75,4387400
76,2470700
77,2321800
78,9333500
79,3280200
80,2929000
81,2778300
82,5078100
83,3246600
84,5617800
85,2075500
86,9912500
87,2438800
88,5280300
89,2795600
90,6332600
91,1857700
92,9478500
93,2544900
94,6118600
95,3093500
96,2187000
97,8755900
98,4084300
99,3824100
100,2297800
101,4966900
102,2823700
103,5827800
104,2200300
105,7938300
106,3693300
107,4838900
108,2231000
109,5619800
110,3208300
111,9110400
112,1852100
113,7199000
114,2630000
115,2872900
116,3466900
117,3199000
118,8183500
119,1638700
120,7121400
121,2439100
122,7129700
123,2371500
124,3067000
125,3395300
126,3136900
127,3319500
128,8810500
129,3649100
130,4739500
131,2371400
132,3434000
133,5706100
134,1876000
135,10050100
136,2583800
137,6248900
138,2456800
139,2982300
140,8309200
141,2172300
142,4589000
143,3216500
144,6597200
145,3015900
146,10767100
147,2275200
148,4391900
149,3058000
150,3979600
151,3381000
152,4066700
153,7852900
154,2842000
155,7145300
156,3183900
157,5938900
158,3119900
159,3243200
160,8652100
161,2437800
162,2617700
163,7013000
164,3055900
165,3431300
166,9737300
167,2015600
168,6489600
169,2727200
170,5990300
171,3050200
172,3592100
173,9966200
174,2596300
175,4433600
176,5465200
177,3828800
178,4341700
179,8097900
180,2493900
181,7469700
182,2996700
183,6688700
184,3576800
185,3638800
186,9631400
187,3093100
188,3110900
189,6441900
190,2636900
191,4100200
192,4397500
193,7091900
194,2197600
195,9906700
196,6909000
197,3756100
198,8176000
199,2206100
200,8465400
201,2290700
202,5689800
203,2901500
204,6654000
205,3042100
206,9494200
207,2269700
208,2588100
209,7757900
210,2931000
211,7645700
212,2011700
213,7866300
214,2852300
215,7294400
216,3116400
217,3573700
218,10532600
219,3607800
220,6055500
221,3182300
222,3325000
223,8846900
224,1924400
225,5203100
226,2423000
227,4151100
228,2523300
229,5065200
230,2878800
231,6296300
232,2470900
233,9415100
234,2549300
235,6105500
236,3362200
237,7142000
238,2259200
239,9946300
240,2647100
241,6614000
242,3099500
243,7827400
244,2276100
245,7890400
246,2384200
247,6480600
248,2746900
249,2175200
250,8226200
251,2879600
252,2791900
253,4688000
254,2945500
255,5486000
256,2024200
257,10604700
258,2382200
259,2409700
260,3651400
261,5578900
262,2014400
263,9992600
264,2124200
265,5845600
266,2932600
267,6482700
268,1698400
269,9340200
270,2565800
271,6617000
272,2531700
273,5436200
274,2017200
275,8324700
276,3657500
277,4276600
278,2583000
279,6298400
280,1905600
281,7999600
282,4345900
283,4314600
284,2693300
285,3085300
286,6374400
287,1923600
288,8537600
289,2738800
290,5229200
291,2570400
292,5814800
293,1825400
294,8265900
295,2166000
296,4857600
297,3560200
298,3576800
299,4348600
300,3557300
301,8310800
302,1846000
303,5372300
304,2290600
305,5944700
306,2422000
307,5987200
308,1966900
309,8044500
310,4405800
311,3760000
312,5968500
