frame,frame_time_ns
1,279800200
2,4560700
3,4538000
4,4273700
5,4117600
6,4506100
7,3103100
8,2831500
9,2657300
10,2889500
11,4604900
12,3212500
13,3681700
14,5590800
15,5102600
16,4563500
17,4408700
18,2879500
19,5186600
20,4687000
21,5225900
22,5742300
23,4262900
24,5416100
25,5255500
26,5481700
27,4743500
28,3897700
29,4710000
30,4450000
31,3030400
32,3924300
33,6201100
34,4664600
35,5142900
36,4512100
37,3192300
38,3453900
39,3955200
40,3813600
41,3462900
42,3257500
43,3974800
44,4772600
45,3974000
46,2950600
47,2875300
48,4843400
49,2839200
50,4986400
51,4851600
52,4067300
53,3791000
54,2776900
55,3092000
56,2461700
57,5567100
58,2726100
59,3870100
60,3345900
61,3454300
62,2945000
63,2999700
64,2448000
65,3949500
66,2784300
67,2993800
68,3680700
69,3063400
70,2496200
71,2422900
72,4135500
73,3866700
74,3328300
75,2909600
76,3654300
77,2554000
78,2354200
79,4190000
80,3366300
81,2787500
82,2533900
83,3229200
84,3092500
85,2286300
86,4103700
87,2018900
88,2326300
89,2284000
90,2113100
91,3626700
92,3231900
93,4279400
94,3088600
95,2635200
96,3367000
97,2319400
98,3565700
99,2495900
100,2876000
101,3307600
102,3107800
103,2167900
104,3591800
105,2270200
106,3317900
107,2713600
108,2643900
109,3713200
110,3412700
111,4766900
112,2983000
113,2408300
114,3285800
115,2697100
116,3060200
117,3751200
118,3334800
119,3847800
120,3475200
121,4062100
122,3477100
123,2818300
124,3628200
125,3655400
126,3700600
127,2813000
128,3054900
129,2774200
130,3669700
131,3876300
132,3352900
133,2574400
134,2485600
135,4543100
136,3387900
137,2710500
138,3589700
139,3169300
140,4314500
141,2303800
142,4339100
143,3760300
144,3146300
145,2689100
146,3567600
147,2838800
148,4450500
149,2243400
150,5443100
151,3131500
152,3559900
153,3570000
154,3734200
155,3202700
156,2638200
157,2729500
158,5400600
159,3289600
160,3300800
161,3513400
162,3263700
163,2515300
164,2605600
165,2358300
166,3282400
167,2752800
168,2486400
169,3604000
170,3499000
171,2325400
172,3078400
173,2399200
174,5076300
175,3236400
176,2544300
177,3543000
178,2931400
179,3002300
180,3334400
181,3630800
182,5679900
183,3466700
184,3495400
185,4865400
186,3390200
187,3530000
188,3050200
189,3930600
190,2976600
191,3573600
192,4055200
193,4506500
194,3606200
195,2829200
196,2370700
197,2476600
198,3186700
199,3165800
200,2934700
201,3762000
202,3430000
203,2945800
204,2565900
205,2471200
206,3710100
207,3990500
208,2710600
209,2921600
210,3603100
211,3313500
212,3128900
213,2280900
214,8633300
215,2835400
216,2638800
217,2222900
218,4533900
219,2805400
220,3289800
221,3790000
222,3184800
223,2912800
224,3277600
225,2452400
226,5121600
227,2782700
228,3491200
229,3823700
230,3817000
231,2713700
232,2633100
233,3114200
234,3307500
235,3370900
236,2977800
237,4084700
238,4563800
239,4041900
240,3644200
241,3887700
242,4384800
243,4403500
244,4337300
245,3440500
246,3043800
247,3154500
248,2899100
249,3779300
250,2665100
251,2479200
252,3254800
253,3335100
254,4351700
255,3326900
256,2642300
257,2727000
258,3666100
259,4264900
260,3297600
261,4144600
262,3930600
263,3430400
264,4449200
265,2996600
266,4044800
267,2695700
268,2938700
269,3332100
270,3111600
271,2436600
272,2168900
273,5941700
274,2621200
275,2986300
276,2863600
277,3106700
278,2652100
279,4335400
280,2524100
281,4464000
282,3610100
283,3601400
284,2930400
285,3230700
286,2814600
287,4997300
288,3849000
289,2575400
290,2621000
291,3216900
292,2969400
293,2574200
294,4417900
295,2219700
296,3992000
297,2756000
298,3546400
299,3826600
300,3495900
301,2469600
302,3443700
303,2386500
304,3533100
305,2984700
306,2478400
307,3405600
308,3059600
309,2785600
310,2184600
311,4670700
312,2762100
313,2914600
314,3279800
315,3486200
316,2715000
317,3123500
318,2564700
319,3542000
320,3624400
321,2765300
322,2674500
323,3156800
324,2924300
325,4385800
326,2283000
327,5065300
328,2534800
329,3027300
330,3075500
331,3032500
332,2283200
333,4378400
334,2350800
335,3886800
336,2676500
337,3004600
338,3297100
339,3144600
340,4422100
341,2516400
342,4068300
343,2327100
344,2099000
345,3385300
346,2805400
347,2964800
348,3063000
349,2917400
350,2403900
351,2898300
352,2814900
353,3195700
354,3216700
355,2507100
356,3278600
357,2751000
358,2946100
359,2638000
360,3977600
361,3250100
362,2529300
363,3597100
364,3690500
365,2783500
366,4485500
367,2711500
368,3567600
369,3998500
370,2681700
371,3099600
372,3196000
373,3289600
374,4447300
375,2339400
376,3646600
377,3106300
378,3826700
379,4540500
380,3200200
381,4716300
382,2205600
383,4656300
384,2574000
385,2643500
386,3394300
387,3132000
388,2550600
389,2445100
390,4014700
391,3724600
392,2735400
393,2803500
394,3607400
395,3835600
396,2697500
397,2577400
398,2573000
399,4537500
400,3186000
401,3478800
402,3844100
403,4227200
404,2608500
405,3532300
406,3998000
407,3326700
408,2882000
409,3078300
410,2855900
411,2887100
412,2554200
413,4212900
414,2950000
415,3213200
416,2821400
417,3434100
418,2741800
419,4465200
420,2486900
421,4521700
422,3218600
423,2976100
424,3822400
425,4357300
426,2280800
427,2338000
428,2357000
429,2047800
430,4128300
431,2870400
432,2579000
433,2954600
434,2819300
435,2582400
436,3982900
437,2450900
438,4024300
439,2992700
440,2947400
441,3186300
442,2811100
443,4167200
444,2543800
445,2217600
446,4384000
447,2810500
448,3066500
449,2948200
450,3256000
451,2325000
452,4353900
453,2338100
454,3805800
455,3186900
456,3146000
457,3401300
458,3322900
459,2613000
460,2414400
461,2375500
462,5538400
463,3118100
464,2790200
465,3823700
466,2326800
467,4040400
468,1990900
469,3039600
470,2318800
471,3856300
472,2469100
473,2875400
474,3913800
475,3207400
476,2441100
477,4466700
478,2434200
479,2170200
480,2625400
481,3066900
482,3739000
483,3113200
484,2764200
485,2647000
486,4520600
487,3111400
488,3195500
489,2890800
490,3219700
491,3560800
492,3517600
493,2629500
494,4276100
495,3255100
496,2718400
497,2717500
498,3275700
499,2906900
500,3114600
501,3497500
502,2681200
503,3474800
504,3666400
505,2695000
506,3428700
507,3980500
508,4326600
509,2469100
510,3156200
511,3626800
512,2782700
513,2671900
514,3250900
515,3818800
516,7162000
517,3393500
518,5082200
519,2964300
520,4173900
521,3959900
522,3911300
523,3143300
524,3613500
525,3061700
526,5323600
527,3953800
528,3764800
529,5244400
530,3488600
531,3656200
532,2910900
533,2660500
534,4040200
535,3232900
536,3246900
537,3995600
538,3659100
539,2813000
540,2629400
541,2699700
542,4638500
543,3299300
544,2494800
545,3316300
546,3857800
547,2949900
548,4313300
549,2297200
550,3510300
551,2679700
552,2925700
553,3524000
554,3900000
555,2420400
556,20928700
557,4267300
558,3431100
559,3149900
560,3166800
561,2801700
562,4037600
563,2934200
564,3234200
565,3295900
566,4008700
567,3757400
568,3000800
569,2464100
570,2621000
571,3736000
572,2967100
573,4150100
574,3010100
575,4028300
576,2361400
577,3053500
578,2778900
579,2518000
580,3173400
581,2993500
582,2842800
583,4299900
584,2023200
585,4257400
586,3624700
587,3154800
588,3261700
589,2502800
590,3753200
591,1813100
592,3369500
593,2156200
594,2158300
595,3631400
596,2735800
597,2683300
598,3527700
599,3221300
600,2343900
601,4560000
602,2251200
603,2818900
604,2990300
605,2365900
606,3538600
607,2823700
608,3041300
609,2366400
610,3321100
611,2292800
612,4616700
613,2623200
614,3386600
615,3139600
616,2701900
617,2796200
618,2379200
619,4547000
620,3228700
621,2492500
622,3209400
623,3890800
624,2904400
625,2798800
626,2943700
627,3416200
628,3131300
629,2623900
630,3343800
631,3828600
632,2815200
633,3095900
634,2194900
635,5084700
636,2923700
637,2881900
638,3021300
639,3127700
640,2710400
641,4636300
642,3888400
643,3122700
644,3249000
645,3845000
646,2814600
647,3493000
648,2372500
649,4790200
650,2705400
651,2724300
652,3276800
653,3034600
654,4248900
655,2477000
656,3962800
657,3760400
658,2985600
659,2571300
660,3405800
661,3489700
662,2679900
663,2835800
664,4402500
665,2820600
666,3511200
667,3149300
668,3449400
669,3419800
670,2971600
671,2988800
672,2916900
673,3092700
674,2541100
675,3307900
676,3073200
677,3193100
678,2772300
679,2414500
680,2538000
681,3373700
682,3070100
683,3073800
684,3052200
685,2947900
686,4640400
687,2412000
688,5956700
689,3062600
690,3703600
691,3328000
692,2754300
693,3004600
694,3375800
695,2655500
696,4242400
697,3173400
698,2716500
699,2964900
700,2888900
701,3015500
702,2302600
703,2577100
704,2273200
705,3858800
706,2917800
707,2603200
708,3415100
709,2987700
710,2690900
711,4193300
712,2320800
713,3285900
714,3138300
715,3403800
716,4105700
717,3110800
718,4333300
719,2005600
720,3774700
721,2246100
722,1804100
723,1675100
724,1926600
725,2152600
726,1705500
727,1753600
728,2221400
729,2256300
730,2310700
731,3921600
732,2830400
733,2715900
734,2881400
735,3197800
736,2645300
737,2734600
738,2819700
739,4585700
740,2860400
741,2505700
742,3534800
743,3648100
744,2598600
745,2327500
746,4193300
747,2529600
748,2877100
749,3009100
750,3052200
751,4269900
752,3500000
753,2748800
754,2317100
755,4914800
756,2874900
757,2483900
758,3200000
759,3184300
760,2509000
761,4333400
762,2203100
763,3327100
764,3008000
765,2450000
766,3452500
767,3045000
768,2502000
769,4355500
770,2553800
771,2625100
772,3041900
773,2626100
774,3198100
775,3644400
776,2423700
777,4634600
778,2754200
779,3119400
780,3435600
781,2811100
782,3182500
783,3384700
784,3213200
785,4430900
786,3362200
787,2889100
788,2833600
789,3142700
790,4143700
791,2984900
792,3130100
793,2570500
794,4089700
795,2916400
796,3637200
797,3285600
798,3517200
799,2939700
800,2812600
801,4374200
802,3835300
803,3457900
804,3445400
805,4308300
806,2453100
807,5007700
808,2751900
809,3372400
810,3248800
811,2602600
812,3906700
813,2552600
814,3469200
815,2441800
816,3082800
817,2690100
818,4097600
819,2359900
820,2448600
821,3482400
822,2497200
823,2924800
824,3267100
825,2509100
826,4205300
827,2232400
828,4602500
829,2597100
830,3158600
831,3745800
832,3746100
833,2301900
834,2612900
835,3061800
836,2901000
837,3671700
838,4141300
839,4935100
840,3962300
841,2876700
842,2455500
843,5469200
844,3066900
845,2819900
846,3080300
847,2395500
848,3895000
849,1910100
850,1693800
851,1967700
852,2199400
853,2319000
854,5379400
855,2952900
856,3760000
857,3319800
858,2979300
859,3027200
860,4548700
861,4836700
862,2883000
863,3212700
864,3960800
865,2377200
866,3152200
867,3948200
868,3594300
869,2843600
870,2728600
871,3369600
872,3418600
873,2682100
874,2949900
875,4689200
876,3113400
877,2520800
878,3033800
879,3403500
880,2921800
881,4334600
882,2189500
883,4112900
884,2840700
885,2453700
886,3356200
887,2729000
888,3144400
889,2731800
890,3256400
891,3889600
892,3026400
893,3515100
894,3402800
895,2533400
896,2399000
897,3470000
898,4947100
899,3590100
900,2750500
901,2983400
902,3650500
903,2403900
904,4440600
905,2354000
906,3576400
907,3422300
908,2912400
909,2966600
910,2945600
911,2346600
912,2963500
913,3335100
914,4315700
915,3017400
916,3320200
917,2806800
918,3345900
919,2127500
920,4330600
921,3368400
922,2872100
923,4288400
924,3904100
925,2802100
926,2345100
927,2650000
928,3124000
929,3887800
930,2426700
931,2907700
932,4035700
933,3703500
934,3313700
935,2615100
936,4409300
937,3319200
938,2698800
939,2450400
940,3454100
941,3136600
942,4166900
943,2148800
944,3108700
945,3317900
946,2654900
947,2854300
948,3857500
949,3161700
950,4485000
951,2437200
952,2212900
953,4314900
954,2753700
955,3351900
956,3287800
957,2854000
958,4323900
959,2846800
960,3463900
961,2688400
962,2624800
963,3071000
964,3132000
965,2750600
966,2375000
967,5911700
968,2837700
969,3136900
970,3200700
971,2916100
972,3625000
973,3634100
974,1822000
975,4104300
976,2219200
977,2423400
978,4720900
979,3176600
980,3378600
981,3576900
982,2998700
983,4358400
984,3010700
985,3839200
986,2679900
987,2714700
988,3427700
989,3603500
990,2550200
991,4446100
992,2721900
993,3959000
994,2683900
995,4301500
996,3216700
997,3185000
998,3533300
999,2753200
1000,3213300
1001,3001400
1002,2754700
1003,2758700
1004,3030800
1005,2819200
1006,4315900
1007,3399800
1008,3208700
1009,2502800
1010,3182700
1011,3552600
1012,2664400
1013,3952600
1014,2299200
1015,2889200
1016,2882100
1017,2800300
1018,3192000
1019,2816200
1020,2898400
1021,3133900
1022,3970600
1023,4787600
1024,2917900
1025,3709700
1026,3110100
1027,2757800
1028,4329800
1029,2668800
1030,3026100
1031,2911600
1032,2756700
1033,3955100
1034,2986400
1035,4826200
1036,2720700
1037,3650800
1038,2800200
1039,2945100
1040,3396300
1041,3487100
1042,2365400
1043,4707700
1044,2204100
1045,3589400
1046,2548700
1047,2666400
1048,3275700
1049,2921000
1050,3435500
1051,2364400
1052,2342700
1053,3124900
1054,2691100
1055,2513700
1056,3037000
1057,3101300
1058,2421500
1059,5010900
1060,2479100
1061,3703300
1062,3024500
1063,2686800
1064,3879200
1065,3668700
1066,2886800
1067,2485800
1068,3009500
1069,4195700
1070,3249100
1071,3233500
1072,3111900
1073,2849100
1074,3489700
1075,2325200
1076,4228300
1077,3806100
1078,2674900
1079,2938300
1080,3358300
1081,2898600
1082,3680600
1083,2122000
1084,5114000
1085,2786500
1086,2479800
1087,3196400
1088,3277700
1089,3177900
1090,4220100
1091,2251500
1092,3682100
1093,2749900
1094,2859100
1095,3077500
1096,3029300
1097,2209100
1098,3139900
1099,2239500
1100,1873800
1101,2208600
1102,2384700
1103,2448300
1104,3082900
1105,2606800
1106,2809000
1107,4517300
1108,3737300
1109,2446000
1110,3897100
