frame,frame_time_ns
1,256353500
2,3184800
3,5453600
4,2714300
5,2395000
6,3231800
7,2982000
8,2845100
9,2899100
10,2626900
11,2851300
12,2585400
13,2606700
14,2902600
15,2416000
16,2851000
17,2527400
18,2326300
19,2739400
20,2454100
21,2661600
22,2232200
23,2015000
24,1745300
25,2844900
26,2340800
27,2298700
28,2993600
29,2629200
30,3118100
31,2619500
32,2575700
33,2843900
34,2533100
35,2393900
36,2764500
37,2601200
38,2748000
39,2539900
40,2803200
41,1836200
42,1960400
43,1950600
44,1984400
45,1698400
46,2375500
47,1983800
48,2169800
49,2031700
50,2167500
51,2304700
52,2005100
53,1948500
54,2631900
55,2062800
56,2354000
57,2142200
58,2088600
59,2118000
60,2612700
61,2349800
62,1924000
63,2669200
64,2528600
65,2688500
66,2970800
67,2617100
68,2470500
69,2327500
70,2051700
71,1476200
72,1747500
73,1558000
74,1541400
75,2102900
76,2435200
77,2407400
78,2443300
79,2583200
80,2113000
81,2185400
82,2826300
83,2765000
84,2824500
85,2541800
86,2278500
87,2565700
88,2081500
89,1457500
90,1457000
91,2731900
92,2004600
93,2676400
94,2305700
95,2127000
96,2277700
97,2477300
98,2261800
99,2346700
100,2287300
101,1788500
102,1792800
103,1846100
104,2030400
105,1806900
106,1799300
107,2326000
108,2061600
109,2124500
110,2355300
111,2473300
112,2382500
113,1975500
114,1798900
115,1754700
116,2009700
117,1861500
118,1856600
119,1751800
120,2647600
121,2311900
122,2107000
123,2657200
124,2263500
125,2082600
126,2393900
127,2367100
128,2054000
129,2024000
130,2169100
131,1945100
132,2340300
133,2060700
134,1843300
135,1846900
136,2847500
137,2216200
138,1885200
139,2127800
140,2151500
141,1827200
142,1648700
143,2152000
144,1985300
145,1834900
146,1681400
147,2068000
148,1815300
149,1635200
150,1591300
151,2009700
152,1946100
153,1684500
154,2200000
155,1954000
156,1691900
157,1655300
158,1856300
159,2028300
160,1292900
161,1196000
162,1190200
163,1732700
164,1555400
165,1391700
166,1418800
167,1285800
168,1548900
169,1557800
170,1360400
171,1311900
172,1851400
173,2248900
174,2026300
175,2114600
176,2644200
177,2132900
178,2492800
179,2559400
180,2140100
181,2030300
182,2441000
183,2195100
184,6989400
185,3514200
186,2692900
187,2464500
188,2703100
189,2526800
190,2318500
191,2470000
192,2483700
193,2793300
194,2379500
195,2136300
196,2697700
197,2389100
198,2333900
199,3113000
200,2740800
201,2920000
