frame,frame_time_ns
1,276355100
2,2820000
3,2027200
4,1660600
5,1822700
6,1452100
7,1804800
8,2125500
9,2422200
10,1565400
11,1947900
12,2327800
13,2359500
14,1978800
15,1856300
16,2262200
17,1755500
18,1546500
19,1798100
20,1764100
21,1959500
22,2259400
23,2120800
24,2718200
25,2422300
26,2030600
27,1931200
28,2717500
29,2156400
30,2198200
31,2337200
32,2187600
33,2206200
34,2636600
35,2407500
36,2864800
37,3068400
38,2360400
39,3281100
40,2050300
41,2344600
42,3086700
43,2221300
44,2629200
45,2235100
46,2577100
47,3057500
48,2730700
49,2480700
50,3025100
51,2851900
52,3192300
53,3436600
54,3263900
55,2758100
56,3181000
57,3019400
58,3402900
59,3177400
60,3765900
61,2764500
62,2543800
63,3387100
64,2957600
65,3228700
66,3193400
67,2675000
68,2559900
69,3075700
70,2971200
71,3047200
72,3114400
73,2600600
74,3025400
75,2336700
76,2493400
77,2734600
78,2748400
79,2575300
80,1894000
81,1947200
82,2295300
83,1819100
84,1583200
85,2177200
86,1638600
87,2269200
88,2729700
89,2327500
90,2154900
91,2214200
92,2069600
93,1965200
94,2501900
95,2359400
96,2222000
97,2159900
98,2391600
99,2265600
100,2003900
101,1753900
102,1362200
103,1382900
104,1442800
105,1680600
106,1505800
107,1348000
108,1854600
109,2021000
110,1598700
111,1610000
112,1536800
113,1836300
114,1624800
115,1458800
116,1398000
117,1692600
118,1573100
119,1781100
120,1603400
121,1581800
122,1671700
123,1697900
124,1712200
125,2810800
126,1614800
127,1564400
128,1654700
129,2388300
130,2132600
131,2086500
132,2182900
133,1788800
134,1722500
135,1745800
136,2038300
137,1530300
138,1474400
139,1482500
140,1902200
141,1602500
142,1707300
143,1609900
144,1931500
145,1914900
146,1730900
147,1929000
148,1486000
149,1518700
150,1417000
151,1391500
152,2464500
153,1534000
154,1294700
155,1395700
156,1801300
157,1350900
158,1235400
159,1073500
160,906000
161,893500
162,1578500
163,1530200
164,1293600
165,1192500
166,1273000
167,1579600
168,1418800
169,1141100
170,1443700
171,1489100
172,1768900
173,1527200
174,1306400
175,1192000
176,1700100
177,1175100
178,1056500
179,927800
180,889500
181,927800
182,1541200
183,1388800
184,1183900
185,1126400
186,1344400
187,1414400
188,1496300
189,1101500
190,1201100
191,1018100
192,1085500
193,1343600
194,1186200
195,977000
196,858700
197,896800
198,915500
199,887200
200,1367300
201,1185300
202,997800
203,875600
204,891400
205,868800
206,967400
207,1191200
208,1048600
209,1495500
210,1255500
211,1042300
212,1360800
213,1349200
214,1315300
215,1114700
216,1072600
217,1166700
218,2212900
219,1161600
220,1094100
221,1068200
222,1637200
223,1624900
224,1125100
225,891500
226,869700
227,856600
228,861500
229,1245400
230,1231500
231,1072100
232,911100
233,1064900
234,1348400
235,1536000
236,1449500
237,1291600
238,1170900
239,1207900
240,1405700
241,1800800
242,1760500
243,1378000
244,1633600
245,1541700
246,1705100
247,1232400
248,1027800
249,1434900
250,1595900
251,1533900
252,1553400
253,1750100
254,1207400
255,952000
256,841800
257,1326700
258,1169600
259,1359600
260,1363200
261,1160900
262,1276400
263,1147600
264,1095900
265,1725300
266,1346900
267,1214800
268,1134000
269,1259900
270,1370000
271,1540000
272,1675000
273,1378200
274,1675300
275,1515800
276,1536800
277,1265600
278,1265300
279,1730100
280,1447500
281,1311700
282,1363100
283,1564400
284,1946700
285,1455300
286,1287700
287,1164200
288,1937500
289,1911100
290,1460900
291,1265400
292,1240800
293,1788100
294,1559800
295,1422300
296,1373900
297,1297300
298,1382500
299,1603800
300,1322100
301,1170200
302,1183700
303,1533100
304,1345300
305,1962900
306,1127300
307,1245800
308,1453000
309,1277900
310,1132100
311,1191500
312,1284400
313,1613600
314,1263600
315,1184400
316,1151700
317,1131000
318,1484000
319,1911500
320,1304300
321,1331800
322,1152200
323,1162900
324,1559500
325,1328900
326,1137200
327,1134800
328,1151200
329,1673000
330,1500200
331,1270100
332,1221900
333,1572100
334,1378600
335,1188800
336,1228100
337,1218500
338,1233200
339,1711900
340,1310000
341,1242300
342,1240700
343,1513300
344,1526400
345,1474500
346,1211600
347,1195300
348,1063100
349,1442000
350,1313400
351,1210700
352,1310200
353,1236800
354,1205800
355,1516700
356,1261700
357,1220900
358,1180400
359,1351800
360,1643100
361,1582200
362,1322700
363,1165200
364,1254700
365,1256700
366,982200
367,869000
368,851900
369,890400
370,835800
371,1215800
372,1277200
373,1386500
374,1316400
375,1266100
376,1737000
377,2004200
378,1685200
379,1377400
380,1723000
381,1842600
382,1923700
383,1519500
384,2067900
385,1833900
386,1666400
387,1848900
388,2274400
389,1453700
390,1283400
391,1326500
392,1458000
393,1615100
394,1499800
395,1711600
396,2001100
397,1785800
398,1529900
399,1524000
400,2018700
401,1891800
402,2051100
403,1946100
404,1868400
405,1709000
406,1804100
407,1412400
408,1538200
409,1832000
410,1731500
411,1653500
412,1848400
413,1957200
414,1791700
415,1945200
416,1718300
417,1519200
418,1852100
419,2320500
420,1853100
421,1635400
422,1655200
423,1954700
424,1658600
425,1751500
426,1862600
427,1336900
428,1593800
429,1812800
430,1881000
431,1722700
432,1496600
433,1829100
434,1674000
435,1743000
436,1749100
437,1543600
438,2000800
439,1774600
440,1621900
441,1627400
442,2043800
443,1451400
444,1552600
445,1745400
446,1991400
447,1513900
448,1751700
449,1678600
450,1665600
451,1602500
452,1428400
453,1467100
454,1182800
455,1832300
456,1455900
457,1509300
458,1493400
459,2024700
460,1944300
461,1864900
462,1827700
463,1765800
464,1818100
465,1622700
466,1602400
467,1718100
468,1411500
469,1461300
470,1471700
471,1933200
472,1496100
473,1297900
474,1135300
475,1245200
476,1617500
477,1478200
478,1240100
479,1338600
480,1204000
481,1723900
482,1505600
483,1364500
484,1287200
485,1292000
486,1611000
487,1659500
488,1347700
489,1294800
490,1651400
491,1283000
492,1229000
493,1195400
494,1176900
495,1205500
496,1458800
497,1539100
498,1229700
499,1181700
500,1607100
501,1809800
502,1316800
503,1257200
504,1149900
505,1328400
506,1556900
507,1548200
508,1377400
509,1302600
510,1209400
511,1577400
512,1287400
513,1308900
514,1258300
515,1157200
516,1525400
517,1527200
518,1313200
519,1174200
520,1251200
521,1600900
522,1334800
523,1228200
524,1096200
525,1010800
526,1269400
527,1073900
528,1078500
529,1226500
530,999600
531,1263800
532,1634500
533,1452800
534,1358100
535,1253700
536,1204000
537,1795300
538,1420000
539,1272200
540,1349100
541,1413400
542,1746000
543,1503900
544,1287600
545,1373600
546,1303000
547,1905700
548,1609900
549,1418400
550,1407800
551,1778300
552,1483300
553,1406800
554,1264400
555,1558200
556,1636700
557,1479700
558,1250400
559,1372000
560,1691300
561,1700400
562,1351300
563,1327700
564,1136200
565,1633600
566,1507100
567,1248100
568,1140400
569,1214100
570,1223500
571,1930100
572,1389000
573,1326000
574,1093300
575,1097600
576,1660000
577,1571900
578,1311400
579,1135900
580,1680800
581,1408700
582,1281200
583,1178100
584,1383300
585,1785200
586,1411400
587,1204700
588,1151300
589,1385100
590,1762100
591,1525900
592,1222800
593,1153200
594,1149000
595,1211800
596,1663700
597,1502400
598,1208400
599,1126700
600,1469100
601,1717500
602,1622700
603,1396100
604,1219600
605,1598100
606,1588800
607,1205500
608,1193100
609,1477000
610,1422700
611,1351500
612,1179400
613,1228300
614,1137900
615,1514200
616,1146500
617,944300
618,817000
619,1076500
620,1063300
621,1262800
622,1035600
623,938900
624,1179900
625,1188400
626,1170300
627,1379000
628,1465600
629,1418400
630,1198900
631,1300700
632,1300900
633,1555500
634,1207000
635,1187100
636,1117900
637,1149800
638,1614500
639,1662000
640,1483100
641,1332200
642,1565800
643,1429200
644,1336600
645,1216500
646,1239800
647,1501200
648,1473800
649,1375200
650,1312000
651,1309400
652,1501300
653,1558000
654,1296200
655,994000
656,1340900
657,1547400
658,1618900
659,1359000
660,1179100
661,1198100
662,1331300
663,1543900
664,1339300
665,1148800
666,1216400
667,1053600
668,1472900
669,1578200
670,1167800
671,1017800
672,1183000
673,1667900
674,1301600
675,1207700
676,1175700
677,1183900
678,1248600
679,1374300
680,1222800
681,1096900
682,1124500
683,1521700
684,1801900
685,1376400
686,1133600
687,1153100
688,1139500
689,1400900
690,1300400
691,973200
692,905600
693,899000
694,7404500
695,2191600
696,2001200
697,2097800
698,1949400
699,1826900
700,1507900
701,1580400
702,1599300
703,1841100
704,1505700
705,1488500
706,1537200
707,2085300
708,1741700
709,1579600
710,1363700
711,1576600
712,1829000
713,1611900
714,1454800
715,1427700
716,1737700
717,1568200
718,1500600
719,1074300
720,1117400
721,1331800
722,1328900
723,1169600
724,1221600
725,1242400
726,1424200
727,1097100
728,1062900
729,1045000
730,1050500
731,1374400
732,1756600
733,1603200
734,1463500
735,1605400
736,1877100
737,1447500
738,1260200
739,1335300
740,1482400
741,1930600
742,1562100
743,1445500
744,1423900
745,2256800
746,1666700
747,1505200
748,1474000
749,2110800
750,2060700
751,1798800
752,2284500
753,1970800
754,1746000
755,1726900
756,2061300
757,1980100
758,1826600
759,1950500
760,1518700
761,1655400
762,1757900
763,1892100
764,1803100
765,1712200
766,1776500
767,2025400
768,1798500
769,1592700
770,1633400
771,1811500
772,1641200
773,1570700
774,12379600
775,2063500
776,1639100
777,2237800
778,1789100
779,1607400
780,1596800
781,2230000
782,1805300
783,1606600
784,1627900
785,2115200
786,1912100
787,1737900
788,1635700
789,2272000
790,1957000
791,1691500
792,2047200
793,1662700
794,1562300
795,1848400
796,1771400
797,1565000
798,1613500
799,1957600
800,1796700
801,2108500
802,1791100
803,1774200
804,1515800
805,1470700
806,1297500
807,1193800
808,1573500
809,1292200
810,1233000
811,1193900
812,1206100
813,1355800
814,1564400
815,1190900
816,995700
817,941700
818,1090200
819,1607200
820,1340500
821,1187600
822,962100
823,1194600
824,1471500
825,1312600
826,1288300
827,1172900
828,1314600
829,1688800
830,1670000
831,1247300
832,1321700
833,1248800
834,1675400
835,1602800
836,1306000
837,1219600
838,1177500
839,1621100
840,1640100
841,1406000
842,1251400
843,1109200
844,1474200
845,1813100
846,1246000
847,1130000
848,1040900
849,1603000
850,1444500
851,1248700
852,1062500
853,1151200
854,1319600
855,1637800
856,1273600
857,1309000
858,1315100
859,1550100
860,1552900
861,1391600
862,1142900
863,1117500
864,1127300
865,1660400
866,1276700
867,1183000
868,1135300
869,1139900
870,1478900
871,1358400
872,1382500
873,927600
874,824800
875,833500
876,894700
877,1184900
878,1036200
879,905800
880,831900
881,1010500
882,1120400
883,1633200
884,1330500
885,1143200
886,1223000
887,1207300
888,1376400
889,1410200
890,1212500
891,1135800
892,1292500
893,1619300
894,1870100
895,1538100
896,1398700
897,1317100
898,1534300
899,1381800
900,1452500
901,1302900
902,1186300
903,1359400
904,1470600
905,1355300
906,1336800
907,1242300
908,1469600
909,1620400
910,1592900
911,1369100
912,1700400
913,1619800
914,1367900
915,1321800
916,1208000
917,1544600
918,1738900
919,1495700
920,1596300
921,1580900
922,1897300
923,1707900
924,1331700
925,1195400
926,1412100
927,1259100
928,1217600
929,1307600
930,1265000
931,1227300
932,1529700
933,1325100
934,1168300
935,1181300
936,1121700
937,1674600
938,1496100
939,1271300
940,1144200
941,1130100
942,1450200
943,1327300
944,1126600
945,1142500
946,1157800
947,1150600
948,1402000
949,1344300
950,1349200
951,1425400
952,1548900
953,1631200
954,1297500
955,1285800
956,1258200
957,1393300
958,1461000
959,1330600
960,1161200
961,1126500
962,1150500
963,1319800
964,1452000
965,1283800
966,1253800
967,1189700
968,1237300
969,1512800
970,1127600
971,981000
972,856700
973,885700
974,929900
975,1112700
976,925700
977,866900
978,877500
