frame,frame_time_ns
1,238485200
2,2610900
3,2047600
4,1833700
5,2075700
6,2361500
7,2061600
8,1755400
9,2087600
10,2817900
11,1830900
12,1849900
13,2047400
14,2646100
15,2072300
16,1864600
17,2354700
18,2181300
19,1924500
20,2517000
21,1914200
22,1751700
23,1876100
24,2223100
25,1753300
26,1611900
27,1533600
28,1946800
29,2009400
30,1563500
31,1478700
32,1332700
33,1636800
34,1786400
35,1637000
36,1572500
37,1367000
38,1666000
39,1433300
40,1257000
41,1656800
42,1687900
43,1985600
44,1738100
45,1338600
46,1782400
47,2053000
48,1877900
49,1901200
50,1578700
51,1921600
52,1912700
53,1538500
54,1423900
55,1342900
56,1841400
57,1700100
58,1820000
59,1571200
60,1865500
61,1867000
62,1619900
63,1545500
64,1504800
65,1985700
66,1715500
67,1570800
68,1388100
69,1681800
70,2195500
71,1560000
72,1254300
73,1142700
74,1934300
75,1997300
76,1570900
77,1490600
78,1569200
79,1851500
80,1612400
81,1370600
82,1194900
83,1252700
84,1734000
85,1400800
86,1212600
87,1153300
88,1669100
89,1952400
90,1942000
91,1703200
92,1445200
93,1375700
94,1965900
95,1607700
96,1640800
97,1546600
98,1821200
99,1810100
100,1542800
101,1793400
102,2246700
103,1697900
104,1795900
105,1629500
106,1693900
107,1726600
108,1548600
109,1548300
110,1401300
111,1732200
112,1744600
113,1722200
114,1497400
115,1612100
116,2033200
117,1983100
118,1717000
119,1591700
120,1632800
121,1763800
122,1570700
123,1484600
124,1728800
125,2069200
126,1438300
127,1965200
128,1850900
129,2135800
130,1802300
131,1489800
132,1708500
133,2220100
134,1926100
135,1753000
136,1624900
137,1973000
138,1404800
139,1222000
140,1147800
141,1131600
142,1268200
143,1449000
144,1991100
145,1635900
146,1583500
147,1486100
148,1997400
149,1482300
150,1710700
151,1509500
152,2197700
153,1591700
154,1225000
155,1559900
156,1555800
157,2120300
158,1791800
159,1488200
160,1731300
161,1641700
162,1601700
163,1287000
164,1478700
165,1601500
166,1723200
167,1992600
168,1514600
169,1738000
170,1638200
171,2003100
172,1480400
173,1267700
174,1169300
175,1224400
176,1591900
177,1827000
178,1403000
179,1250100
180,1040900
181,1158700
182,1508200
183,2046400
184,1300900
185,1118700
186,1537200
187,1894600
188,1606600
189,1325100
190,1254000
191,1337800
192,1866000
193,1440600
194,1346500
195,1327700
196,1305300
197,1671800
198,1578200
199,1395800
200,1446900
201,1207300
202,1250300
203,1846600
204,1601600
205,1543800
206,1652700
207,1904700
208,2099900
209,1616700
210,1523100
211,2064200
212,1632100
213,1743900
214,1693700
215,2145700
216,1936300
217,1633900
218,1492900
219,1705700
220,1752500
221,1486700
222,1095300
223,1171200
224,1367800
225,2171000
226,1458800
227,1545400
228,1318100
229,1227200
230,1778200
231,1529900
232,1475600
233,1109900
234,1388400
235,1532300
236,1924000
237,1488000
238,1232000
239,1219500
240,1898300
241,1540900
242,1197600
243,1206900
244,1269700
245,1323700
246,1948000
247,1374900
248,1312700
249,1156900
250,1198000
251,1610700
252,1616500
253,1469400
254,1511800
255,1294600
256,1495600
257,1658600
258,1257100
259,1181100
260,1042300
261,1313900
262,1458100
263,1888300
264,1734300
265,1497000
266,1233100
267,1594000
268,1737900
269,1412400
270,1274900
271,1240800
272,1341200
273,2020500
274,1565500
275,1360200
276,1268200
277,1565400
278,1463900
279,1234500
280,1541900
281,1458200
282,1612800
283,2540300
284,1401100
285,1338300
286,1316700
287,1432500
288,1579100
289,1172600
290,1010000
291,1633200
292,1154100
293,1492600
294,1917400
295,1475500
296,1262600
297,1110300
298,1175500
299,1719400
300,1462800
301,1243400
302,1183900
303,1140300
304,2035900
305,1558100
306,1402300
307,1183100
308,1123900
309,1273700
310,1714600
311,1322000
312,1152600
313,1169400
314,1183400
315,1118000
316,3527400
317,1670000
318,1399400
319,1717300
320,1758600
321,1376600
322,1366600
323,1251800
324,1294000
325,1646200
326,2031300
327,1579300
328,1370300
329,1446900
330,1488200
331,1420400
332,1202600
333,1261600
334,1455200
335,1971800
336,1718800
337,1332800
338,1433000
339,1367500
340,1450000
341,1346300
342,1350300
343,1184900
344,1171900
345,1438300
346,2342000
347,1725100
348,1510300
349,1440500
350,1863900
351,1582800
352,1373000
353,1345600
354,1382400
355,1622200
356,1638900
357,1394300
358,1250800
359,1379500
360,1360800
361,1854900
362,1467300
363,1171300
364,1155400
365,1264700
366,2118800
367,1583000
368,1323600
369,1243000
370,1162600
371,1659400
372,1953300
373,1715900
374,1430900
375,1621200
376,1783400
377,1394300
378,1218800
379,1232100
380,1258800
381,1404000
382,1454800
383,1363600
384,1262000
385,1233600
386,1207300
