frame,frame_time_ns
1,218814900
2,2412700
3,2388000
4,1736900
5,2102200
6,1742300
7,2165600
8,1683100
9,1704000
10,1506300
11,1582200
12,1537000
13,2579800
14,2689700
15,2244000
16,2296600
17,2546400
18,3021100
19,2068800
20,1875100
21,1719600
22,2065400
23,1750000
24,1504800
25,2602000
26,2211800
27,2380500
28,1660700
29,1724600
30,1672100
31,1582100
32,2111400
33,1518100
34,1789800
35,1641300
36,1643700
37,1264400
38,1370700
39,1494900
40,1522200
41,1761300
42,1314400
43,1508600
44,1218500
45,1188100
46,1454500
47,1137600
48,1383200
49,2002700
50,2356000
51,2092300
52,2165100
53,2026300
54,1949900
55,2213400
56,2092400
57,1770000
58,2102800
59,1916000
60,2107300
61,2335900
62,2555300
63,1990400
64,1671900
65,1470100
66,1626900
67,1609000
68,1582000
69,1460800
70,1295500
71,1865900
72,1439500
73,1647400
74,1462800
75,1583800
76,1500000
77,1862500
78,1529400
79,2022100
80,1506000
81,1788200
82,1482600
83,2226600
84,1950400
85,2380400
86,2475800
87,2341800
88,1911500
89,1826000
90,1648300
91,1426300
92,1688000
93,1501000
94,2363600
95,2338800
96,1763100
97,2084000
98,1642300
99,1711500
100,1908100
101,1910800
102,3422100
103,2930100
104,2709900
105,1773800
106,2230100
107,2010400
108,1800100
109,1842200
110,1689900
111,1808400
112,1663000
113,1763300
114,1965400
115,2209200
116,1662200
117,2040900
118,1852600
119,1737900
120,2297500
121,1559700
122,1904300
123,1720100
124,1804300
125,1543800
126,1883400
127,2122700
128,2804900
129,2508000
130,2566200
131,1551100
132,1642600
133,1617800
134,1742000
135,1333900
136,1137200
137,1425300
138,1157600
139,1120600
140,1402600
141,1127500
142,1837400
143,1473400
144,1507100
145,1181300
146,1510000
147,1242800
148,1068000
149,1459100
150,1158000
151,1087500
152,1576400
153,1404100
154,1605300
155,1307200
156,1225400
157,1338600
158,1081800
159,1304900
160,1401200
161,1277600
162,1489500
163,1187300
164,1156100
165,1467800
166,1161700
167,1175600
168,1315000
169,1055600
170,1207800
171,1265700
172,1512700
173,1568000
174,1356200
