frame,frame_time_ns
1,233814800
2,1475200
3,970600
4,1100300
5,742700
6,1127400
7,1372600
8,680200
9,1153200
10,1085500
11,600200
12,817400
13,469700
14,764900
15,561200
16,1066900
17,495600
18,644400
19,906900
20,977000
21,354500
22,623800
23,698000
24,564900
25,1444500
26,924100
27,511100
28,1017500
29,773500
30,444500
31,869500
32,367800
33,741100
34,870100
35,903900
36,748700
37,862100
38,1093100
39,779300
40,1464100
41,790900
42,833800
43,923800
44,374800
45,1522100
46,555300
47,362200
48,702900
49,299400
50,696700
51,779100
52,565900
53,527000
54,1026800
55,1403900
56,924300
57,1045000
58,367100
59,987400
60,368900
61,478600
62,1146400
63,606200
64,1290300
65,798200
66,814100
67,966100
68,745300
69,514200
70,465400
71,628100
72,481900
73,1057500
74,717100
75,369200
76,1001400
77,524600
78,736200
79,685900
80,435000
81,707000
82,473200
83,862300
84,565700
85,1065100
86,662600
87,647600
88,830900
89,518700
90,459800
91,715500
92,597700
93,1484400
94,712500
95,614400
96,729300
97,751900
98,715000
99,558800
100,717600
101,648000
102,668600
103,1548200
104,589600
105,291700
106,931600
107,1101100
108,393100
109,624800
110,793500
111,523600
112,914000
113,408400
114,1803000
115,1055400
116,554100
117,787800
118,812100
119,316100
120,957400
121,392700
122,787600
123,1570500
124,385500
125,1318100
126,719900
127,947300
128,284500
129,646100
130,644900
131,777200
132,369600
133,979200
134,661100
135,965600
136,1137900
137,508300
138,669300
139,658200
140,480800
141,641400
142,500400
143,670000
144,575900
145,1104100
146,562900
147,867500
148,856800
149,541600
150,654900
151,786900
152,1011200
153,977200
154,938000
155,796000
156,477700
157,839100
158,560700
159,930700
160,576100
161,669800
162,1571700
163,561600
164,237300
165,815300
166,776600
167,769000
168,598600
169,593900
170,575300
171,514800
172,693800
173,483100
174,1214800
175,811700
176,415500
177,725900
178,813000
179,513200
180,719300
181,547800
182,619900
183,440900
184,584000
185,461200
186,1287900
187,1335700
188,467700
189,609700
190,563200
191,747300
192,630400
193,426800
194,756500
195,534500
196,793900
197,1465000
198,727300
199,1114500
200,264400
201,671800
202,628100
203,644000
204,512500
205,740500
206,545600
207,591900
208,745400
209,698700
210,529500
211,851900
212,702000
213,709000
214,542600
215,807600
216,888000
217,319300
218,1467100
219,318100
220,695400
221,774100
222,694600
223,828300
224,577700
225,1216800
226,1539600
227,1083200
228,639400
229,238100
230,898400
231,523700
232,819900
233,773600
234,765800
235,762700
236,1444400
237,497200
238,893600
239,678700
240,772400
241,647300
242,672400
243,637500
244,698300
245,700700
246,1333700
247,436400
248,830200
249,600700
250,827400
251,411600
252,717000
253,564900
254,731100
255,554400
256,852000
257,889900
258,575400
259,1260000
260,701000
261,817800
262,721400
263,528900
264,672500
265,502000
266,993700
267,688900
268,601900
269,1017000
270,861900
271,623500
272,768800
273,713200
274,783900
275,712000
276,1737200
277,479300
278,883300
279,569700
280,749300
281,678300
282,794600
283,626400
284,818300
285,507300
286,837000
287,2023000
288,413600
289,607300
290,822000
291,580700
292,797500
293,720600
294,933600
295,412800
296,1314500
297,1182500
298,579500
299,1033500
300,891900
301,480400
302,915800
303,741500
304,1012700
305,1175400
306,835400
307,777000
308,587100
309,723100
310,617500
311,751500
312,533000
313,713100
314,519300
315,1343000
316,605700
317,861200
318,514500
319,652100
320,792300
321,748500
322,510500
323,794100
324,788100
325,702400
326,1265000
327,339200
328,793300
329,612300
330,784100
331,623300
332,831200
333,944300
334,1295000
335,963100
336,512800
337,869300
338,698600
339,753500
340,575500
341,712800
342,607400
343,1124900
344,1345900
345,1035600
346,888100
347,241900
348,703000
349,641300
350,741200
351,602000
352,837100
353,379700
354,1436700
355,1564700
356,329700
357,756500
358,755300
359,553400
360,810600
361,708000
362,850100
363,504400
364,1035500
365,678800
366,1415000
367,475000
368,680000
369,529100
370,771300
371,547900
372,697000
373,302300
374,1673200
375,1011300
376,604900
377,628200
378,495800
379,641400
380,612800
381,715900
382,593200
383,1048100
384,613000
385,919500
386,640900
387,686000
388,589900
389,878100
390,648600
391,903700
392,472600
393,1838600
394,388100
395,973700
396,518000
397,725700
398,700800
399,537200
400,718500
401,595400
402,1386600
403,1811900
404,900100
405,214000
406,830600
407,635000
408,958500
409,544100
410,794800
411,509500
412,1856300
413,1007700
414,285000
415,828400
416,533700
417,689500
418,611800
419,730000
420,527600
421,1134200
422,1734400
423,424900
424,835700
425,222500
426,704500
427,548000
428,680600
429,691600
430,795700
431,1010600
432,1428600
433,918400
434,699800
435,719100
436,493400
437,717700
438,618800
439,818500
440,776500
441,645500
442,909700
443,871700
444,359700
445,752700
446,530400
447,446900
448,814000
449,973000
450,1328500
451,767500
452,855400
453,777500
454,634200
455,737800
456,564300
457,719900
458,622100
459,1191800
460,800000
461,1272300
462,713200
463,760700
464,620900
465,856200
466,674800
467,812600
468,374500
469,1363900
470,1475600
471,454300
472,718300
473,552500
474,872400
475,588900
476,828400
477,580700
478,1358900
479,1059200
480,602900
481,877500
482,760500
483,783700
484,654100
485,863700
486,606400
487,566100
488,1477000
489,1387700
490,791600
491,958800
492,783900
493,647100
494,802300
495,659300
496,643300
497,849800
498,865700
499,675800
500,823100
501,582900
502,752000
503,829300
504,1251600
505,1305000
506,627000
507,921100
508,873400
509,235900
510,1100500
511,310000
512,770100
513,426500
514,1320500
515,649400
516,728200
517,933400
518,627900
519,947100
520,749400
521,773300
522,705500
523,738000
524,1546700
525,394800
526,833200
527,784100
528,941600
529,842200
530,643300
531,946400
532,742300
533,1129400
534,1133000
535,639800
536,859800
537,665500
538,770500
539,554600
540,756300
541,340600
542,1567900
543,920400
544,985300
545,631300
546,902900
547,714000
548,843100
549,904500
550,654200
551,755000
552,972900
553,618200
554,826200
555,565700
556,819500
557,547800
558,1140100
559,688000
560,824100
561,1579700
562,307000
563,777700
564,603300
565,845600
566,256100
567,796800
568,304700
569,1576000
570,519100
571,974500
572,1908400
573,519300
574,829500
575,819100
576,989500
577,1029800
578,1421200
579,1389400
580,447500
581,1644500
582,797800
583,1542700
584,738900
585,1152800
586,712300
587,1079000
588,406000
589,604700
590,693600
591,497800
592,756700
593,865300
594,1059800
595,1071100
596,955700
597,362600
598,840500
599,745600
600,770300
601,695200
602,1124600
603,576300
604,746400
605,692800
606,721100
607,588900
608,658200
609,567700
610,725200
611,654500
612,1480000
613,792400
614,864800
615,574100
616,773000
617,614700
618,714900
619,518700
620,762400
621,921500
622,593100
623,994200
624,857200
625,945000
626,859900
627,659800
628,846200
629,653700
630,774300
631,944900
632,520100
633,743800
634,1203700
635,630700
636,853800
637,586400
638,723100
639,530200
640,818300
641,795500
642,626500
643,1127600
644,531900
645,286100
646,637500
647,775600
648,550700
649,935100
650,650100
651,1136500
652,553800
653,1878500
654,888100
655,231800
656,584300
657,720800
658,535900
659,685200
660,546000
661,530100
662,936000
663,1179000
664,424300
665,820300
666,614800
667,777200
668,508300
669,697600
670,913200
671,1459800
672,1002300
673,296400
674,704900
675,522000
676,895800
677,557000
678,700700
679,666600
680,609000
681,1201700
682,1514300
683,703400
684,1877400
685,409400
686,872100
687,549400
688,1080200
689,793500
690,1160500
691,840800
692,812200
693,345200
694,816400
695,702300
696,852700
697,1451900
698,1528700
699,1757700
700,635400
701,880200
702,659800
703,880500
704,827500
705,1052700
706,1475600
707,406400
708,1017300
709,306800
710,971000
711,391100
712,978900
713,407600
714,1193900
715,952300
716,1732600
717,677300
718,689400
719,2165800
720,1172500
721,701500
722,531400
723,1311400
724,533800
725,1205900
726,932600
727,820800
728,1868100
729,559600
730,1042900
731,1444300
732,661100
733,1463300
734,1080800
735,1514100
736,606100
737,1227500
738,418600
739,875700
740,931400
741,1055800
742,1251700
743,1784000
744,596500
745,1050100
746,933400
747,572400
748,1307300
749,879000
750,1516600
751,1081000
752,419000
753,686200
754,730700
755,716900
756,1104300
757,979000
758,994200
759,508600
760,766800
761,445000
762,375300
763,849800
764,943200
765,2127300
766,1305600
767,619300
768,926200
769,683200
770,870300
771,524200
772,1243000
773,1275000
774,1259700
775,893900
776,1080900
777,458500
778,754600
779,1245000
780,1043600
781,1050800
782,1062800
783,697000
784,649200
785,859300
786,424300
787,901900
788,848900
789,959400
790,1325000
791,933900
792,1634200
793,498800
794,491400
795,777400
796,1283100
797,1252500
798,626400
799,974200
800,346600
801,643900
802,237400
803,609200
804,686900
805,481700
806,890700
807,717100
808,877300
809,1030900
810,312100
811,593200
812,763000
813,655200
814,693400
815,299900
816,1078400
817,761800
818,869000
819,1492000
820,442200
821,908400
822,542100
823,983100
824,701600
825,1134800
826,691100
827,1379900
828,1071800
829,1387300
830,535700
831,1231700
832,981100
833,1115600
834,1114900
835,1463700
836,1015100
837,747300
838,1687200
839,802600
840,1688000
841,1008100
842,1094900
843,347600
844,877400
845,360600
846,800300
847,743100
848,836900
849,2002500
850,1677300
851,761800
852,1180300
853,1003300
854,696000
855,980200
856,969900
857,412200
858,1125700
859,726000
860,722000
861,1427800
862,1299300
863,1328800
864,392200
865,978100
866,389600
867,1355700
868,1331200
869,1232800
870,925800
871,1598600
872,1165100
873,1391700
874,1357500
875,1436600
876,1441900
877,885200
878,1811200
879,1143000
880,2007900
881,751300
882,1719900
883,1106900
884,781700
885,2298400
886,1367800
887,924800
888,814100
889,1838600
890,702000
891,905700
892,2339900
893,1013400
894,676500
895,984900
896,1130400
897,2229200
898,999100
899,1302500
900,1383600
901,477100
902,795300
903,1656600
904,2183500
905,558900
906,546300
907,1338900
908,604800
909,699200
910,1634700
911,724900
912,1147900
913,449100
914,1004700
915,1027100
916,648800
917,1502900
918,1361200
919,1171400
920,1857600
921,501900
922,399000
923,867600
924,634100
925,1571500
926,888100
927,888200
928,1498100
929,531300
930,359800
931,695900
932,585200
933,1094800
934,1397900
935,1007200
936,1352300
937,383200
938,890300
939,323000
940,1132000
941,1476200
942,1386900
943,494400
944,870800
945,550700
946,604400
947,762100
948,1025000
949,695200
950,929500
951,836600
952,1069200
953,1478100
954,534700
955,540100
956,1493900
957,822100
958,1735000
959,657900
960,807800
961,1014000
962,367600
963,960200
964,398600
965,1111400
966,584100
967,674000
968,1357700
969,1230800
970,433000
971,618700
972,749000
973,490500
974,995800
975,623600
976,1822300
977,602400
978,847100
979,852400
980,1092800
981,618400
982,829400
983,1499300
984,419400
985,970100
986,730500
987,613700
988,741100
989,792800
990,1195600
991,883400
992,581700
993,1073400
994,864200
995,447900
996,774600
997,846900
998,759200
999,824500
1000,521300
1001,766100
1002,688400
1003,957300
1004,483800
1005,801900
1006,617700
1007,751400
1008,398500
1009,750300
1010,1359500
1011,1277900
1012,1174200
1013,1004900
1014,864600
1015,684900
1016,594000
1017,1611100
1018,877700
1019,782700
1020,627400
1021,1488400
1022,1157600
1023,760800
1024,1819200
1025,909300
1026,2105600
1027,670800
1028,1873600
1029,769300
1030,943800
1031,1385100
1032,1230700
1033,670600
1034,577200
1035,997300
1036,1025500
1037,2084200
1038,1984500
1039,832000
1040,1862200
1041,839300
1042,1468100
1043,890300
1044,805000
1045,881400
1046,1986700
1047,1268700
1048,1271900
1049,2549700
1050,2152800
1051,905100
1052,1177400
1053,1048500
1054,2086300
1055,1381800
1056,688000
1057,1314300
1058,1251700
1059,737700
1060,1644000
1061,1263400
1062,1194300
1063,622800
1064,1334700
1065,1502500
1066,1195800
1067,389700
1068,1005500
1069,559700
1070,1335200
1071,1017800
1072,1698000
1073,1752700
1074,508800
1075,840600
1076,896100
1077,804800
1078,1291400
1079,473900
1080,402600
1081,882500
1082,686300
1083,936600
1084,552400
1085,740800
1086,373400
1087,909700
1088,539400
1089,1082200
1090,1156500
1091,1092000
1092,716500
1093,1011100
1094,391400
1095,663900
1096,888100
1097,664600
1098,755100
1099,950800
1100,316400
1101,696000
1102,563100
1103,1604700
1104,309100
1105,889300
1106,810800
1107,1467900
1108,1746400
1109,1127100
1110,1321900
1111,475700
1112,1085800
1113,845900
1114,1092900
1115,779700
1116,1098400
1117,1285900
1118,692600
1119,849600
1120,2519400
1121,1080700
1122,1551800
1123,935800
1124,2148100
1125,1318000
1126,964900
1127,1363500
1128,730600
1129,1858900
1130,958100
1131,992000
1132,985600
1133,1463600
1134,550200
1135,923200
1136,468200
1137,1562800
1138,855200
1139,963800
1140,1053100
1141,1752900
1142,1018600
1143,2842100
1144,1023300
1145,1091400
1146,1448700
1147,747600
1148,1200500
1149,1113900
1150,1671100
1151,1375700
1152,937800
1153,1918900
1154,768500
1155,1036900
1156,1313000
1157,1699200
1158,777800
1159,990400
1160,1849400
1161,631700
1162,676300
1163,1063000
1164,1363100
1165,906400
1166,662800
1167,1844300
1168,1438200
1169,710200
1170,991200
1171,481600
1172,1357000
1173,714000
1174,1454500
1175,786600
1176,1462400
1177,1086600
1178,873400
1179,975200
1180,844800
1181,1970600
1182,933500
1183,1121900
1184,1170100
1185,744000
1186,1287300
1187,1255800
1188,1305000
1189,483000
1190,1106100
1191,1139200
1192,1246100
1193,772000
1194,770400
1195,1109000
1196,614200
1197,462200
1198,952100
1199,677600
1200,1050900
1201,1018600
1202,747300
1203,1382200
1204,588600
1205,456400
1206,1149300
1207,782200
1208,1884300
1209,1761900
1210,637700
1211,697900
1212,2004600
1213,626500
1214,843000
1215,746900
1216,1195200
1217,708700
1218,577600
1219,1777900
1220,762100
1221,563700
1222,888900
1223,613100
1224,434600
1225,789400
1226,904000
1227,798700
1228,1241300
1229,794700
1230,363800
1231,758800
1232,726700
1233,347300
1234,1226200
1235,675600
1236,951900
1237,281900
1238,1180200
1239,472000
1240,774800
1241,703000
1242,569800
1243,909700
1244,663800
1245,898800
1246,528200
1247,652600
1248,365900
1249,854500
1250,441500
1251,640000
1252,933400
1253,605400
1254,1769300
1255,852400
1256,651800
1257,631000
1258,873700
1259,1224600
1260,416600
1261,1186200
1262,719200
1263,1038200
1264,654100
1265,432900
1266,441700
1267,956600
1268,367200
1269,707900
1270,984500
1271,604400
1272,971200
1273,1336400
1274,428100
1275,381500
1276,814500
1277,1520700
1278,989100
1279,526100
1280,882500
1281,348200
1282,598400
1283,705700
1284,532200
1285,969400
1286,1018300
1287,256700
1288,618800
1289,873600
1290,981600
1291,340200
1292,737000
1293,1042700
1294,488900
1295,1034100
1296,937400
1297,501600
1298,830200
1299,584300
1300,816700
1301,275500
1302,510800
1303,652000
1304,481900
1305,1228000
1306,654900
1307,603000
1308,961900
1309,374600
1310,1066100
1311,419700
1312,702400
1313,727600
1314,501700
1315,722200
1316,586900
1317,1585000
1318,562000
1319,679600
1320,329500
1321,594700
1322,851400
1323,519700
1324,730400
1325,571700
1326,1021300
1327,502300
1328,777700
1329,400700
1330,1053800
1331,414700
1332,630400
1333,771100
1334,526300
1335,674400
1336,515700
1337,1244900
1338,656700
1339,504200
1340,399200
1341,626000
1342,621400
1343,617700
1344,476600
1345,672500
1346,522100
1347,1296100
1348,1045700
1349,467300
1350,589200
1351,682500
1352,565200
