frame,frame_time_ns
1,185060100
2,577300
3,871700
4,656100
5,795800
6,599000
7,983700
8,539600
9,783000
10,880800
11,574000
12,922400
13,601700
14,763700
15,517200
16,766900
17,642400
18,1085900
19,762400
20,1511500
21,1296900
22,478100
23,914900
24,733700
25,779900
26,1045000
27,1243300
28,768300
29,784900
30,572000
31,837700
32,581500
33,753400
34,559700
35,1113000
36,579200
37,1052200
38,1377800
39,514200
40,910200
41,982300
42,960600
43,637100
44,542800
45,1040900
46,775400
47,936100
48,615900
49,738100
50,468900
51,664500
52,698000
53,485000
54,776400
55,609500
56,975800
57,910800
58,581500
59,812800
60,1029700
61,702700
62,765300
63,924700
64,969800
65,948300
66,1081200
67,645600
68,798400
69,706600
70,705700
71,619500
72,750000
73,827300
74,686900
75,1240400
76,470200
77,873400
78,1116000
79,779200
80,879600
81,740300
82,608400
83,1352500
84,539700
85,751800
86,817300
87,487600
88,790000
89,426200
90,628500
91,438500
92,605800
93,408800
94,744200
95,570800
96,1160800
97,632600
98,800600
99,543400
100,846200
101,393000
102,736500
103,558600
104,689200
105,1272700
106,545800
107,657600
108,617200
109,704000
110,501900
111,692600
112,793900
113,731100
114,511400
115,573900
116,1212400
117,1065500
118,471300
119,278900
120,588300
121,740000
122,602400
123,753700
124,656800
125,784800
126,603500
127,852000
128,1024900
129,579800
130,928200
131,504500
132,649000
133,496400
134,714700
135,512800
136,711800
137,495900
138,975600
139,1118000
140,826400
141,480500
142,455900
143,700200
144,502000
145,759700
146,486600
147,662900
148,548300
149,886500
150,1112600
151,686300
152,804600
153,784900
154,481500
155,683800
156,537900
157,576400
158,883700
159,693200
160,918600
161,863400
162,472900
163,655000
164,787800
165,551300
166,746900
167,409400
168,878300
169,565900
170,719500
171,774700
172,514600
173,672400
174,336900
175,565300
176,661000
177,473500
178,873800
179,626900
180,875300
181,495700
182,686300
183,728100
184,624500
185,504700
186,607300
187,445400
188,658200
189,482300
190,659800
191,439400
192,685100
193,1005700
194,1008900
195,519800
196,635900
197,440800
198,630100
199,442300
200,768600
201,606300
202,725300
203,542900
204,838500
205,511900
206,893100
207,860000
208,512800
209,669400
210,465200
211,628500
212,496100
213,666200
214,627400
215,687500
216,714200
217,1006100
218,956900
219,506800
220,676900
221,525300
222,647200
223,329500
224,529500
225,649400
226,481800
227,633900
228,560500
229,920000
230,1009500
231,547400
232,746500
233,549800
234,833700
235,439000
236,904500
237,526600
238,756400
239,1159300
240,536600
241,683700
242,921300
243,828100
244,642200
245,811400
246,589700
247,861000
248,568400
249,1213500
250,919600
251,763800
252,619700
253,669400
254,659400
255,686700
256,519400
257,648700
258,814100
259,1081800
260,807800
261,808500
262,631900
263,720300
264,441900
265,676100
266,620800
267,663700
268,497800
269,1024700
270,897400
271,765500
272,775300
273,656500
274,513900
275,660400
276,609100
277,680300
278,466700
279,681900
280,824200
281,1069300
282,606800
283,824100
284,510200
285,674200
286,650000
287,668600
288,487700
289,697800
290,472300
291,921800
292,804600
293,949700
294,532400
295,818700
296,638800
297,864700
298,650000
299,354300
300,1190600
301,963900
302,795200
303,490000
304,250800
305,577600
306,754900
307,710200
308,477200
309,827900
310,568800
311,784400
312,555900
313,875900
314,943300
315,545900
316,654500
317,480000
318,681300
319,443700
320,630000
321,436400
322,714000
323,551200
324,1014800
325,949100
326,588300
327,615000
328,601700
329,888000
330,815700
331,561400
332,688700
333,482000
334,567600
335,635200
336,1435500
337,1120800
338,535400
339,803800
340,375000
341,719800
342,686900
343,579900
344,822900
345,457000
346,1053400
347,857500
348,557000
349,608100
350,437100
351,620100
352,449600
353,626700
354,434300
355,638900
356,495400
357,723800
358,360100
359,763900
360,908300
361,499900
362,732400
363,401200
364,811700
365,718200
366,542700
367,565200
368,872300
369,843600
370,438500
371,679100
372,517700
373,377300
374,590000
375,422000
376,615500
377,488600
378,629000
