frame,frame_time_ns
1,372597300
2,33546800
3,9606700
4,2895000
5,2961700
6,2336500
7,7349000
8,5819000
9,3312100
10,2462400
11,2208200
12,2254000
13,2127000
14,1911800
15,5202200
16,6098200
17,4445300
18,5512000
19,3950400
20,2713300
21,1643800
22,2084100
23,2506400
24,1766800
25,1792000
26,2633900
27,5105400
28,9564900
29,4997500
30,2893600
31,1582100
32,1514500
33,1283900
34,1011100
35,1077000
36,1330300
37,1307200
38,1629000
39,1437000
40,1877400
41,2163700
42,3460800
43,2444600
44,3993200
45,3884700
46,1988100
47,1360100
48,1387900
49,1125900
50,996600
51,1175300
52,894400
53,1316500
54,2437000
55,4139700
56,5824800
57,2133600
58,1048800
59,1196000
60,1026200
61,875900
62,1077200
63,3828000
64,4192900
65,1946800
66,1464900
67,3701400
68,4901900
69,1676300
70,1118600
71,1174700
72,1260700
73,824500
74,713700
75,879200
76,1317200
77,4944600
78,1718100
79,1299200
80,2993900
81,3311100
82,3495300
83,2246000
84,1341100
85,1203900
86,972800
87,711500
88,713500
89,744300
90,1218500
91,951300
92,694600
93,1157400
94,1652500
95,4374200
96,3832700
97,1407300
98,707600
99,669900
100,821500
101,733100
102,593600
103,1238300
104,1323900
105,3832300
106,4029500
107,1984900
108,3262500
109,4179200
110,3076800
111,1245600
112,1030100
113,933900
114,697200
115,721900
116,636400
117,549100
118,511900
119,598800
120,2158800
121,1603000
122,2961600
123,1809600
124,2851100
125,3896000
126,2600900
127,883900
128,673700
129,943500
130,827900
131,660500
132,633600
133,823500
134,643200
135,560800
136,567900
137,1687600
138,3670500
139,2561000
140,3063400
141,3960800
142,1318800
143,802100
144,815500
145,756900
146,942400
147,1278000
148,1233600
149,995600
150,1085400
151,726100
152,734100
153,616300
154,661400
155,4288600
156,2174100
157,2173000
158,2523300
159,3965100
160,1852000
161,1047100
162,850500
163,860200
164,695100
165,561900
166,514800
167,498800
168,488800
169,570400
170,895500
171,4244700
172,2612000
173,3856700
174,3802200
175,2773300
176,1926800
177,1096700
178,1280000
179,815900
180,669200
181,1319900
182,2184300
183,3090700
184,2744100
185,3727400
186,3786400
187,1489000
188,976500
189,891500
190,832500
191,1011700
192,968500
193,720400
194,640500
195,1785900
196,2396800
197,2198200
198,4552700
199,1894200
200,1054900
201,1330200
202,1029400
203,972900
204,1280400
205,991700
206,1482800
207,3109700
208,3922100
209,1883800
210,3635300
211,3377000
212,2161300
213,1151000
214,1737200
215,1322400
216,1251900
217,1319900
218,1387600
219,1771600
220,1083900
221,884800
222,714000
223,1464100
224,5039000
225,1936600
226,1381100
227,2859900
228,2695800
229,4121800
230,2478300
231,1653800
232,1275400
233,1436100
234,1704400
235,1554200
236,3347600
237,4908200
238,2197700
239,4220300
240,3662700
241,1766900
242,1368900
243,1657600
244,1455900
245,1059700
246,1028300
247,1951800
248,3713600
249,2960400
250,3610200
251,4210000
252,3059300
253,1687000
254,1941700
255,1781800
256,1356300
257,988700
258,1278600
259,1938200
260,2357600
261,2968100
262,2297900
263,4933100
264,2208400
265,1248900
266,1151800
267,1080300
268,867200
269,1073700
270,1042900
271,1297500
272,1954300
273,945300
274,1370800
275,3057400
276,3357900
277,1652600
278,2872100
279,3145800
280,2032800
281,1655600
282,1847600
283,1158000
284,1227900
285,1225200
286,1526700
287,953000
288,1641100
289,1588700
290,1109100
291,937000
292,813500
293,1073100
294,1240700
295,2671100
296,3461200
297,1690100
298,2477100
299,4170600
300,4003300
301,1432100
302,1422700
303,1045300
304,1033300
305,1316900
306,914200
307,1534600
308,862800
309,3094200
310,8010900
311,3601600
312,3626900
313,1708300
314,833900
315,935300
316,1655500
317,1081500
318,884500
319,879700
320,908400
321,4741700
322,5145200
323,3177100
324,4835700
325,3445900
326,1459800
327,1566300
328,1540400
329,1202200
330,1132900
331,1282100
332,1187300
333,1337300
334,793700
335,703600
336,678800
337,3734600
338,4033900
339,4350200
340,3680500
341,1844800
342,1477100
343,1521500
344,1478600
345,1236900
346,1272700
347,1114100
348,1307300
349,1162000
350,800000
351,820200
352,1090600
353,3050400
354,4043700
355,7193600
356,4087700
357,1348900
358,802300
359,833700
360,1217800
361,994800
362,728400
363,641600
364,880800
365,1017000
366,1627400
367,5194900
368,4373000
369,4109500
370,2183700
371,1313000
372,1138600
373,1024400
374,793500
375,741500
376,994700
377,937100
378,686100
379,775200
380,3574600
381,5083300
382,3187400
383,3186700
384,3731300
385,3782300
386,1639200
387,1376900
388,1021500
389,1066400
390,989300
391,1319600
392,1274900
393,762000
394,607400
395,592900
396,631600
397,968900
398,4433100
399,4724400
400,3359600
401,3608400
402,2796100
403,2455600
404,985600
405,1312100
406,1344100
407,1160600
408,1111300
409,1288700
410,1515000
411,2788900
412,4974000
413,3731600
414,3257100
415,3475500
416,3764200
417,1948500
418,1212100
419,1019400
420,986700
421,895400
422,728900
423,608700
424,1921900
425,4357800
426,4923400
427,3096700
428,4089100
429,3340700
430,1269400
431,884100
432,1026400
433,1601900
434,1099600
435,932500
436,691700
437,591800
438,608100
439,2773300
440,4882700
441,4548500
442,4174000
443,3127800
444,1274100
445,1207500
446,1104700
447,943100
448,1177800
449,1138500
450,893400
451,1301000
452,1042400
453,919900
454,755600
455,1165800
456,1679000
457,3837300
458,4421000
459,4298300
460,1731700
461,1456400
462,1396400
463,1035200
464,910400
465,833700
466,706400
467,813500
468,1399900
469,5447400
470,3993800
471,3169500
472,3428200
473,2942200
474,1660300
475,1571500
476,1662000
477,1787400
478,2639800
479,4457700
480,2607100
481,3934100
482,4048700
483,3250500
484,1830300
485,1226300
486,2001700
487,1353000
488,1553500
489,1499600
490,5607400
491,3789600
492,2319200
493,3784300
494,2836900
495,2004300
496,1197600
497,1005100
498,1214400
499,1129800
500,782800
501,677600
502,651200
503,850600
504,1162600
505,847900
506,644000
507,509900
508,502800
509,480600
510,471100
511,463900
512,3941200
513,3116300
514,1865800
515,1239100
516,3813200
517,3495000
518,1229200
519,1190000
520,1417400
521,939400
522,728000
523,610300
524,523000
525,497000
526,584300
527,506400
528,1056400
529,3633500
530,7570200
531,5816400
532,1302900
533,1219600
534,861000
535,669800
536,742100
537,560500
538,534100
539,538100
540,684300
541,1129300
542,5033700
543,2864000
544,5421700
545,3407800
546,1266300
547,928600
548,835200
549,733700
550,652300
551,946100
552,651100
553,576900
554,9885600
555,3859300
556,2434700
557,2943600
558,1247000
559,1017300
560,1261900
561,937600
562,716300
563,657100
564,547300
565,588200
566,518300
567,496800
568,731600
569,2146300
570,3856800
571,1701100
572,3294800
573,3625100
574,1843100
575,1175600
576,1398700
577,960600
578,643600
579,533100
580,487100
581,492500
582,484300
583,616700
584,1202300
585,2870900
586,2988600
587,2327900
588,3477700
589,3528800
590,2743700
591,1338000
592,953400
593,856200
594,712700
595,566700
596,513000
597,552000
598,1545200
599,3212500
600,4509400
601,2244200
602,3289500
603,3924700
604,1729600
605,1201100
606,1170300
607,1025600
608,1170100
609,729800
610,712300
611,938700
612,766200
613,659100
614,2512200
615,1842600
616,2672900
617,1693100
618,2784800
619,980800
620,1153600
621,952400
622,760200
623,675700
624,568300
625,657300
626,613500
627,656200
628,678700
629,724200
630,888100
631,1426200
632,3229300
633,2295600
634,2258900
635,5488300
636,2527500
637,919600
638,604100
639,638000
640,585300
641,836200
642,585600
643,1179200
644,1287000
645,2285300
646,3482600
647,2191200
648,3737300
649,3676700
650,1500400
651,1150200
652,1124700
653,1078100
654,922400
655,591500
656,501000
657,476300
658,842600
659,1033400
660,878500
661,635600
662,572500
663,565100
664,550700
665,555100
666,718000
667,2546500
668,3966800
669,5656500
670,3514300
671,3308100
672,1622500
673,1577500
674,1458300
675,1734200
676,1060700
677,712300
678,622500
679,839000
680,2180500
681,3603500
682,1621100
683,3802500
684,3593200
685,2134100
686,918100
687,1098400
688,1148000
689,904000
690,676800
691,566900
692,598200
693,505100
694,528700
695,548700
696,6914300
697,2117700
698,2580900
699,2524100
700,3110100
701,2609400
702,1358500
703,802100
704,916100
705,837600
706,711500
707,623900
708,1576600
709,2480300
710,3940400
711,1830700
712,3256400
713,3480600
714,2434700
715,1088600
716,990700
717,1169700
718,880500
719,1333200
720,1181800
721,1050600
722,3360600
723,3511300
724,2538500
725,3929700
726,1697200
727,1037200
728,1143600
729,1189100
730,972700
731,904300
732,659700
733,598700
734,567200
735,755900
736,2359800
737,1910900
738,4370200
739,3051500
740,3503600
741,4079600
742,2248800
743,1855500
744,1177200
745,1053300
746,997000
747,1144500
748,1637100
749,1902700
750,2202000
751,3656400
752,2898100
753,3401100
754,1867800
755,1166200
756,1537800
757,1835600
758,1069200
759,962700
760,809300
761,1614500
762,962400
763,628300
764,512100
765,569000
766,591900
767,632600
768,1616000
769,2766800
770,2159900
771,3230000
772,3754900
773,3432400
774,1715700
775,966700
776,1217100
777,1491100
778,1130000
779,937000
780,1000300
781,1058200
782,1360400
783,1999700
784,3102900
785,4653900
786,3554300
787,1760600
788,1377800
789,1440400
790,1054400
791,1338800
792,1080800
793,859800
794,1156500
795,1559900
796,2426300
797,3007200
798,1450000
799,3368400
800,2554300
801,1226300
802,1089700
803,1288400
804,1192500
805,1041500
806,931600
807,988700
808,1162600
809,1064000
810,744900
811,685600
812,790300
813,654300
814,877000
815,3021900
816,3132300
817,2223200
818,1812300
819,4408500
820,3951300
821,1451200
822,1147400
823,1165800
824,908900
825,851900
826,883000
827,856400
828,1285100
829,840400
830,769900
831,592500
832,516800
833,514600
834,680500
835,748200
836,2281300
837,3254000
838,1907400
839,2402100
840,3215000
841,3331200
842,2421000
843,1257200
844,1120500
845,1082500
846,1118000
847,741800
848,641100
849,618600
850,804600
851,1367000
852,1838100
853,4183000
854,1343200
855,3027800
856,3325500
857,2676600
858,1182100
859,756900
860,1196600
861,1116300
862,697500
863,608400
864,542700
865,515700
866,769300
867,763800
868,1358900
869,1865800
870,2432700
871,4867200
872,2746200
873,1372200
874,1339400
875,1174600
876,846400
877,715400
878,608300
879,631600
880,952100
881,1139000
882,2549400
883,2051300
884,2266900
885,1630400
886,3079000
887,4276600
888,1237400
889,1174300
890,900300
891,684500
892,580300
893,535400
894,650600
895,845000
896,831300
897,637500
898,2241200
899,3012000
900,2344900
901,2490200
902,3510600
903,3637300
904,1972500
905,1034800
906,741800
907,775900
908,721200
909,673600
910,690300
911,1151900
912,745600
913,625200
914,793700
915,583000
916,3260600
917,1634600
918,6076100
919,2426000
920,1115100
921,1057500
922,1292400
923,1680200
924,879700
925,945600
926,673900
927,724900
928,574800
929,2226300
930,2408900
931,1956100
932,1362500
933,2988300
934,4209800
935,1772000
936,1545500
937,1214900
938,925800
939,731100
940,504300
941,720400
942,749100
943,672800
944,1204500
945,2889900
946,4136100
947,1631100
948,2803000
949,3811600
950,3591700
951,1466600
952,818600
953,902800
954,802000
955,1126600
956,955900
957,563500
958,515700
959,531000
960,2519600
961,4151500
962,1508800
963,2524700
964,3454300
965,3703000
966,1721200
967,1274800
968,908400
969,1198000
970,1489900
971,800700
972,645800
973,818200
974,645900
975,823400
976,3120800
977,3644200
978,3445600
979,4300300
980,1747800
981,1057300
982,1179300
983,1472200
984,1213100
985,1165800
986,966600
987,1292500
988,1307100
989,683900
990,709000
991,864300
992,690600
993,612300
994,799400
995,804800
996,4098400
997,2548800
998,1352500
999,1783100
1000,2386200
1001,3288800
1002,1498700
1003,836600
1004,760800
1005,942400
1006,849900
1007,739500
1008,1209900
1009,1330100
1010,1098300
1011,1003400
1012,1306200
1013,2503100
1014,3930600
1015,1734200
1016,2880600
1017,4634500
1018,2794500
1019,1569400
1020,1159900
1021,869900
1022,727500
1023,669700
1024,735700
1025,1148700
1026,1281800
1027,2603500
1028,2868600
1029,2566200
1030,2174600
1031,3171000
1032,3383700
1033,2040200
1034,1132400
1035,1072200
1036,1300600
1037,1105000
1038,1050100
1039,996400
1040,942200
1041,920700
1042,2978400
1043,1679800
1044,2585300
1045,3525000
1046,3334900
1047,3314800
1048,1619900
1049,1721200
1050,2187400
1051,1186700
1052,892600
1053,932600
1054,1083800
1055,1801600
1056,2223300
1057,5126300
1058,2157400
1059,2916800
1060,3069300
1061,2808400
1062,1599300
1063,1439100
1064,1593900
1065,1337200
1066,1035100
1067,1228900
1068,1197000
1069,1177100
1070,1151000
1071,1092300
1072,1063700
1073,1237200
1074,1047400
1075,1030400
1076,2889800
1077,1999400
1078,1348400
1079,2990100
1080,2785600
1081,3200800
1082,2671100
1083,1580400
1084,1376000
1085,1007200
1086,1121500
1087,1391500
1088,1064900
1089,1503600
1090,1666800
1091,1055500
1092,904700
1093,3893900
1094,4929700
1095,4723400
1096,3355800
1097,1546900
1098,1083000
1099,1268500
1100,1670100
1101,1737500
1102,1343900
1103,1174600
1104,963900
1105,889300
1106,1135300
1107,978100
1108,1747100
1109,1187300
1110,871800
1111,711600
1112,827500
1113,3909600
1114,2361200
1115,4415200
1116,3765300
1117,2545900
1118,1248000
1119,830500
1120,946900
1121,1361400
1122,1480200
1123,1431700
1124,2014400
1125,1670000
1126,3244800
1127,4763900
1128,1992500
1129,3103600
1130,2975900
1131,1479600
1132,1288600
1133,1319300
1134,954100
1135,788400
1136,732500
1137,1016100
1138,1011600
1139,892900
1140,966500
1141,2567400
1142,3998900
1143,1813200
1144,3084800
1145,3734700
1146,1898000
1147,930600
1148,773400
1149,1409100
1150,1494900
1151,988600
1152,636700
1153,731000
1154,605000
1155,549900
1156,745100
1157,2868800
1158,2952000
1159,1746900
1160,2810500
1161,4393400
1162,3334800
1163,1289200
1164,987700
1165,987800
1166,813900
1167,663200
1168,551900
1169,580200
1170,504500
1171,496600
1172,680700
1173,928300
1174,768900
1175,573400
1176,504200
1177,483500
1178,561300
1179,554000
1180,1389100
1181,1910900
1182,2620600
1183,3940800
1184,1654600
1185,2622800
1186,3717800
1187,4040300
1188,1902600
1189,1534000
1190,1711400
1191,1324900
1192,1030200
1193,842600
1194,911500
1195,1011400
1196,1180000
1197,879100
1198,808900
1199,1265200
1200,2142700
1201,3857500
1202,3189200
1203,2573600
1204,1098600
1205,812400
1206,1122100
1207,1229900
1208,686100
1209,696200
1210,541600
1211,623000
1212,642500
1213,664900
1214,688100
1215,623900
1216,849000
1217,8492800
1218,2189900
1219,1497000
1220,913700
1221,1091200
1222,756300
1223,788300
1224,625700
1225,549300
1226,514500
1227,479000
1228,476800
1229,611100
1230,939700
1231,604800
1232,496900
1233,465400
1234,450400
1235,446600
1236,477800
1237,568800
1238,670100
1239,1811200
1240,6315200
1241,7455900
1242,1661200
1243,1081500
1244,1199000
1245,854800
1246,630900
1247,516500
1248,483700
1249,467100
1250,477800
1251,614000
1252,676900
1253,744100
1254,874800
1255,4322500
1256,2471900
1257,4170900
1258,2417600
1259,891700
1260,609200
1261,735200
1262,1077400
1263,676600
1264,622400
1265,704500
1266,734600
1267,827200
1268,669300
1269,1077000
1270,984400
1271,802300
1272,675500
1273,629400
1274,612800
1275,1428600
1276,3176400
1277,1761300
1278,4868800
1279,5638200
1280,2609100
1281,1359500
1282,704700
1283,672300
1284,750300
1285,688500
1286,592600
1287,526400
1288,501000
1289,549500
1290,562800
1291,1299800
1292,783800
1293,584800
1294,1984000
1295,2404400
1296,2316600
1297,1788700
1298,3363900
1299,1166700
1300,832000
1301,822000
1302,832000
1303,882200
1304,716200
1305,706000
1306,744300
1307,912100
1308,947500
1309,818500
1310,797800
1311,3205300
1312,4193400
1313,1349500
1314,1313400
1315,2778100
1316,2844400
1317,1659700
1318,1083800
1319,1493400
1320,2690800
1321,699500
1322,1309000
1323,647600
1324,751400
1325,2871300
1326,2345600
1327,1943500
1328,2696400
1329,2897700
1330,3191400
1331,1047400
1332,811700
1333,1024400
1334,2385400
1335,753800
1336,617600
1337,1176900
1338,609200
1339,715000
1340,2803500
1341,3345800
1342,7312400
1343,3291100
1344,1667600
1345,896600
1346,1026700
1347,868500
1348,975800
1349,1179500
1350,2271100
1351,996500
1352,2404500
1353,4544100
1354,1562400
1355,1281600
1356,2922100
1357,2018300
1358,1017200
1359,795300
1360,799400
1361,1015200
1362,2390200
1363,641800
1364,598800
1365,1176600
1366,691800
1367,961100
1368,3186600
1369,3201900
1370,4648900
1371,4313300
1372,1261000
1373,877200
1374,1683000
1375,706600
1376,602500
1377,557300
1378,1217500
1379,1144100
1380,1635800
1381,1835200
1382,2977800
1383,2258400
1384,3788800
1385,4747700
1386,2722900
1387,2359700
1388,1086300
1389,782200
1390,686900
1391,817500
1392,3075900
1393,935200
1394,2627900
1395,3972500
1396,3104300
1397,2701500
1398,3104000
1399,1496700
1400,677400
1401,760900
1402,937800
1403,941800
1404,1059100
1405,862600
1406,595600
1407,507600
1408,492100
1409,668800
1410,651700
1411,517900
1412,589200
1413,1279200
1414,3561600
1415,1569000
1416,1264000
1417,1321300
1418,3075700
1419,3917900
1420,2828000
1421,1115700
1422,844100
1423,680900
1424,622700
1425,554300
1426,515900
1427,723600
1428,1038600
1429,1049800
1430,596400
1431,619400
1432,488600
1433,508600
1434,498000
1435,489500
1436,477200
1437,692000
1438,1175400
1439,2181300
1440,5467600
1441,2425100
1442,1406800
1443,3354600
1444,2995000
1445,1532300
1446,1406600
1447,1024300
1448,685500
1449,584700
1450,532200
1451,483600
1452,497500
1453,550300
1454,504300
1455,734700
1456,722800
1457,3407400
1458,4650900
1459,3697800
1460,2687700
1461,2699500
1462,1688700
1463,936200
1464,1082300
1465,1129900
1466,955500
