frame,frame_time_ns
1,285737400
2,723100
3,538200
4,537100
5,797300
6,670700
7,483300
8,654500
9,622801
10,615200
11,712799
12,524700
13,452001
14,438599
15,411500
16,366399
17,369201
18,378500
19,427200
20,336400
21,287499
22,565499
23,642700
24,443200
25,541801
26,468300
27,554399
28,532601
29,705401
30,563801
31,692200
32,613200
33,481101
34,283501
35,260300
36,388601
37,437601
38,501600
39,394700
40,347999
41,365799
42,405699
43,522499
44,630200
45,490400
46,553200
47,477099
48,407000
49,399800
50,261800
51,221900
52,190800
53,177601
54,172000
55,196800
56,194400
57,485200
58,413399
59,351399
60,274599
61,273800
62,271799
63,261100
64,261200
65,266600
66,260700
67,320300
68,259500
69,268700
70,256599
71,275300
72,280500
73,499899
74,691100
75,412600
76,344500
77,268500
78,221499
79,228500
80,241700
81,235400
82,218100
83,226500
84,244399
85,230400
86,388900
87,571501
88,431400
89,319999
90,209300
91,243800
92,248901
93,224899
94,268801
95,245200
96,223001
97,204200
98,247100
99,235701
100,200700
101,206200
102,232699
103,204900
104,388700
105,463501
106,387600
107,294700
108,306600
109,284701
110,285100
111,300700
112,771600
113,396100
114,287700
115,238499
116,248100
117,240001
118,245000
119,332600
120,335100
121,342800
122,327100
123,312301
124,294900
125,291001
126,241400
127,244700
128,212800
129,219800
130,226799
131,210300
132,169500
133,204199
134,189001
135,204400
136,264600
137,297600
138,249799
139,257500
140,263899
141,218099
142,208200
143,214800
144,212999
145,229900
146,218000
147,223699
148,208900
149,252799
150,221301
151,223101
152,167299
153,204401
154,178499
155,169300
156,193800
157,219700
158,189501
159,214600
160,237600
161,262499
162,252801
163,217599
164,202701
165,196301
166,185000
167,170999
168,202801
169,162099
170,179800
171,198000
172,164100
173,175799
174,238000
175,199200
176,174899
177,220900
178,224400
179,167501
180,200199
181,211199
182,509899
183,277400
184,253699
185,187000
186,212200
187,177499
188,186400
189,222800
190,189500
191,166800
192,201200
193,199301
194,203800
195,230100
196,175300
197,200900
198,238900
199,239600
200,261100
201,200900
202,185800
203,166600
204,195800
205,196800
206,246000
207,218700
208,230700
209,221199
210,173200
211,251100
212,222899
213,205400
214,157501
215,199400
216,151400
217,149400
218,149900
219,149200
220,194300
221,158400
222,182700
223,221699
224,198999
225,183400
226,173801
227,159100
228,158000
229,164899
230,154900
231,154700
232,221400
233,160200
234,164300
235,353399
236,167800
237,165000
238,163399
239,156900
240,211300
241,322600
242,167200
243,396399
244,272599
245,284101
246,404300
247,339701
248,292701
249,274100
250,283300
251,273400
252,276501
253,264600
254,219400
255,254200
256,219500
257,191100
258,220301
259,223400
260,228899
261,200800
262,202000
263,246000
264,276700
265,281400
266,272400
267,216600
268,187201
269,174800
270,157500
271,164300
272,159900
273,162700
274,153500
275,202500
276,176900
277,158900
278,158900
279,161501
280,158300
281,155800
282,152199
283,180800
284,154600
285,150600
286,174799
287,261399
288,470199
289,341400
290,214999
291,300700
292,208800
293,184300
294,389601
295,315499
296,267599
297,241400
298,238300
299,237200
300,249701
301,233300
302,209700
303,219200
304,235399
305,250401
306,548001
307,275900
308,253700
309,220100
310,302800
311,246600
312,219600
313,232400
314,215200
315,212800
316,236099
317,243401
318,225900
319,215500
320,236200
321,248201
322,256700
323,264200
324,210899
325,216400
326,196800
327,233899
328,228001
329,205300
330,232500
331,217501
332,222101
333,220601
334,213300
335,207600
336,218100
337,262899
338,197000
339,217301
340,209800
341,226100
342,226901
343,298700
344,244800
345,228699
346,208900
