frame,frame_time_ns
1,257800800
2,1429500
3,1137000
4,1363100
5,1036200
6,971500
7,981400
8,1149900
9,1219100
10,1184800
11,1250600
12,1952100
13,1241400
14,1394500
15,1208400
16,1302500
17,1503600
18,1119400
19,1279900
20,1672500
21,1654100
22,1175300
23,965300
24,922300
25,808800
26,780900
27,1151900
28,1018300
29,826300
30,815600
31,878800
32,862900
33,652900
34,974700
35,874900
36,775100
37,705700
38,713800
39,742100
40,702000
41,632400
42,721900
43,1310800
44,1075800
45,1318100
46,1635100
47,1141000
48,996700
49,1041800
50,1192000
51,1034400
52,1271400
53,1160700
54,1437400
55,1354700
56,1459800
57,1460000
58,1369900
59,1673300
60,1519800
61,1746200
62,1393500
63,1338500
64,1469400
65,1881600
66,1340100
67,1295900
68,1508000
69,1729900
70,1413300
71,1130800
72,1902500
73,1377500
74,1169900
75,1183400
76,1177900
77,1792000
78,1598500
79,1462900
80,1468100
81,1901600
82,1299900
83,1607600
84,1252100
85,1383800
86,1589600
87,1336800
88,1098600
89,1101300
90,1302100
91,1393900
92,1170500
93,1103100
94,1175100
95,1414900
96,1546200
97,1143100
98,1081400
99,1748100
100,1485200
101,1205900
102,1277900
103,1727300
104,1349800
105,1360000
106,1228700
107,1405900
108,1229400
109,1320900
110,1173800
111,1188200
112,1426100
113,1239000
114,1397700
115,1364900
116,1451500
117,1777800
118,1565700
119,1299400
120,1415700
121,1706900
122,1256300
123,1102200
124,2712800
125,1573700
126,1351000
127,1135700
128,1112600
129,1291800
130,938100
131,1051400
132,1125500
133,1056800
134,1471900
135,1048400
136,869100
137,853000
138,768900
139,766300
140,807800
141,1246600
142,1192600
143,1195600
144,1417800
145,1322000
146,1793000
147,1269200
148,813000
149,712600
150,802800
151,773400
152,732600
153,902700
154,1001900
155,838900
156,795100
157,1643100
158,981400
159,914900
160,861300
161,759400
162,733700
163,716300
164,861600
165,939200
166,835000
167,746700
168,883500
169,1148100
170,939600
171,1041600
172,1376700
173,1082000
174,1022400
175,962000
176,983500
