frame,frame_time_ns
1,213809000
2,2142100
3,2000500
4,2224000
5,1394100
6,850600
7,974200
8,857300
9,831800
10,1329800
11,1746100
12,900400
13,763100
14,796900
15,1056100
16,895700
17,929400
18,1343600
19,1065300
20,894700
21,1324500
22,2102600
23,1429700
24,1567200
25,1081500
26,1267300
27,1276500
28,1233100
29,1311200
30,1572000
31,1831300
32,950900
33,844500
34,1159200
35,1945300
36,1076400
37,1461000
38,898800
39,3014900
40,1978400
41,972400
42,1196300
43,1413700
44,1818600
45,1237800
46,989600
47,975600
48,931200
49,797700
50,911400
51,826500
52,1514000
53,1227600
54,1312000
55,1208000
56,879100
57,1057000
58,1672000
59,1198800
60,975200
61,1202600
62,1202900
63,1015500
64,1287800
65,1563600
66,1235900
67,823600
68,813200
69,1023600
70,760000
71,1181000
72,1845300
73,870200
74,754100
75,997900
76,2139200
77,1194900
78,816300
79,955600
80,1064700
81,1002000
82,1280700
83,1626100
84,1064100
85,775900
86,914200
87,1774200
88,1792000
89,1601200
90,1573600
91,1516900
92,1425600
93,1757300
94,1438300
95,1321600
96,1359600
97,1141700
98,1240300
99,1238200
100,1106900
101,1409900
102,1002000
103,1093200
104,1100600
105,1465000
106,1264800
107,1108600
108,1103400
109,2344400
110,2344100
111,951400
112,1051900
113,1462500
114,1434500
115,1380600
116,1006100
117,1027100
118,1077700
119,958300
120,819000
121,1399200
122,1967600
123,908700
124,1032600
125,1015100
126,1370800
127,1459400
128,1583100
129,1435000
130,978300
131,793900
132,796600
133,934900
134,1870800
135,1037700
136,814100
137,946200
138,701700
139,944700
140,955800
141,713000
142,1176200
143,1009600
144,1096600
145,1176400
146,1042500
147,1589800
148,931600
149,825800
150,718400
151,917100
152,730300
153,1234600
154,592200
155,712100
156,1828400
157,909400
158,882900
159,1145600
160,998200
161,676700
162,614700
163,582300
164,1007200
165,947200
166,784500
167,1209000
168,911500
169,981700
170,1022100
171,911000
172,1397500
173,1142700
174,1017600
175,911200
176,842400
177,1116000
178,924500
179,983800
180,1158800
181,1215600
182,736200
183,754200
184,1077500
185,1186600
186,836500
187,1154700
188,960900
189,1190100
190,862600
191,967400
192,1523000
193,1939900
194,1115100
195,657500
196,776900
197,1164900
198,983900
199,631500
200,962900
201,944600
202,1237200
203,659100
204,685600
