frame,frame_time_ns
1,217073600
2,1535900
3,1476500
4,1158400
5,851300
6,734800
7,992600
8,1133000
9,1055900
10,996400
11,786200
12,746800
13,741500
14,720900
15,710800
16,719000
17,953700
18,1021200
19,755500
20,1146100
21,1247000
22,1426500
23,1570200
24,1134200
25,901700
26,1016300
27,988600
28,780600
29,979900
30,893500
31,772300
32,917500
33,832500
34,1603400
35,1060200
36,779300
37,676400
38,687800
39,676500
40,709000
41,793300
42,1381800
43,1066600
44,827800
45,796000
46,717900
47,705800
48,693300
49,753300
50,1035600
51,839100
52,732000
53,665700
54,712600
55,837500
56,702500
57,975400
58,1395900
59,1175700
60,1230400
61,1129000
62,1188700
63,1132500
64,886700
65,856900
66,829800
67,757100
68,844400
69,1159000
70,1064600
71,846500
72,714000
73,626800
74,1196700
75,1229900
76,915500
77,875600
78,883600
79,880500
80,1089700
81,1122200
82,1138200
83,1118600
84,876600
85,781200
86,691700
87,640400
88,602600
89,972000
90,1006300
91,678700
92,616900
93,573600
94,793600
95,1098900
96,1083800
97,1406500
98,891200
99,990800
100,976500
101,887000
102,670400
103,761800
104,1084300
105,796000
106,816900
107,750500
108,695100
109,669600
110,626900
111,642300
112,1210900
113,859400
114,775800
115,821300
116,1155600
117,1176800
118,1035300
119,1305700
120,1633600
121,1394300
122,1733500
123,1470500
124,1711300
125,1102600
126,1078900
127,1305100
128,1114900
129,1213700
130,908800
131,959000
132,1354400
133,1068500
134,1067000
135,1443600
136,1090200
137,1417500
138,1224000
139,928100
140,832900
141,836900
142,755000
143,737500
144,1142600
145,880800
146,768000
147,737900
148,708900
149,1652600
150,1117600
151,851000
152,794300
153,695400
154,693300
155,670000
156,653200
157,987100
158,984000
159,937900
160,901400
161,695600
162,685900
163,666900
164,633000
165,873800
166,1180600
167,755000
168,689400
169,657300
170,671300
171,670200
172,669900
173,933500
174,1006700
175,767900
176,849500
177,1004900
178,1008800
179,905900
180,1316200
181,966000
182,849900
183,794500
184,726400
185,826100
186,850900
187,919900
188,896800
189,695300
190,711200
191,802800
192,1281200
193,1098000
194,819400
195,665500
196,599000
197,578200
198,577500
199,568700
200,586100
201,579800
202,658600
203,909400
204,934500
205,895600
206,994400
207,871700
208,819800
209,833800
210,1151900
211,1032400
212,854000
213,811900
214,811400
215,802500
216,783800
217,948300
218,1408200
219,1269000
220,1303600
221,1254600
222,1086700
223,1095400
224,765300
225,658800
226,628000
227,632600
228,627500
229,621500
230,800100
231,1387400
232,869300
233,712200
234,669000
235,615100
236,796400
237,1473200
238,968000
239,743500
240,677600
241,608000
242,593300
243,678900
244,658600
245,809000
246,987700
247,745000
248,644200
249,654000
250,876600
251,646800
252,614800
253,578400
254,698600
255,1052300
256,712100
257,619300
258,613100
259,648700
260,1178900
261,820300
262,849700
263,910700
264,734600
265,1024200
266,1072100
267,932500
268,785300
269,949700
270,1149600
271,885100
272,1070000
273,868900
274,767800
275,707600
276,646100
277,908700
278,696400
279,579100
280,554100
281,550100
282,557300
283,564700
284,1072600
285,1433200
286,921500
287,702300
288,680400
289,640800
290,654200
291,670900
292,959300
293,887200
294,652000
295,578100
296,581800
297,628400
298,607900
299,575800
300,602300
301,629800
302,1642800
303,942600
304,666600
305,594600
306,575100
307,562100
308,569100
309,561800
310,564400
311,666700
312,850100
313,663200
314,601100
315,844600
316,1054400
317,959300
318,846500
319,1231500
320,1234800
321,1339900
322,1061300
323,1317700
324,1449000
325,1261300
326,1126200
327,1001900
328,1952400
329,1155600
330,1045700
331,979600
332,1016400
333,1250900
334,1824200
335,1168800
336,1051200
337,1573700
338,1720600
339,1259000
340,1355300
341,1293800
342,1594900
343,1334400
344,1291200
345,1605200
346,1540800
347,1493600
348,1222200
349,1584400
350,1847300
351,2058800
352,1838300
353,1777200
354,1175700
355,1254400
356,1123100
357,1489400
358,2103900
359,1618900
360,1154900
361,1053200
362,1296300
363,1162200
364,1146500
365,970300
366,941500
367,1057800
368,1399900
369,1409000
370,1114900
371,981800
372,1078600
373,1160700
374,921500
375,863900
376,849700
377,799300
378,854400
379,1206200
380,1026500
381,909500
382,981500
383,953200
384,1850900
385,1053400
386,997400
387,973700
388,1306800
389,1487000
390,1073800
391,969000
392,822100
393,792800
394,818800
395,1018700
396,1209500
397,893300
398,877100
399,879600
400,952700
401,898200
402,1200000
403,1216200
404,1179000
405,1273800
406,1177100
407,1340500
408,1061400
409,904900
410,997900
411,968200
412,855000
413,843900
414,1189900
415,972400
416,971200
417,955700
418,1943600
419,1094000
420,1169100
421,1038200
422,960700
423,983700
424,1455500
425,997600
426,937500
427,1005500
428,1087700
429,1117600
430,1238100
431,1128400
432,1183100
433,1194800
434,1033400
435,1256300
436,1003400
437,1012800
438,1021500
439,1030600
440,1024000
441,1296500
442,1227900
443,1044200
444,965800
445,941400
446,865800
447,1421900
448,1173700
449,1027600
450,989200
451,2443100
452,1442600
453,1057800
454,1098600
455,1364100
456,1188300
457,1105400
458,1101000
459,1169500
460,1184500
461,1442200
462,1212200
463,1118200
464,1075900
465,998000
466,1373600
467,1083000
468,1059800
469,1005800
470,813600
471,1361400
472,1200400
473,945300
474,856200
475,759300
476,671800
477,664100
478,653700
479,989700
480,815100
481,832500
482,693600
483,638800
484,702400
485,1485800
486,1006400
487,810100
488,759900
489,788800
490,984200
491,810400
492,1102800
493,993300
494,749600
495,677200
496,1128200
497,900200
498,775200
499,865100
500,1098300
501,821400
502,835800
503,736400
504,728700
505,715100
506,737100
507,1349000
508,1054500
509,1339600
510,1057200
511,910500
512,710200
513,863100
514,942900
515,825600
516,845700
517,745100
518,723000
519,649500
520,675600
521,726600
522,956700
523,877500
524,795100
525,704800
526,686900
527,1322700
528,1083800
529,740900
530,720000
531,700800
532,593200
533,583200
534,575300
535,577600
536,594900
537,878500
538,1297400
539,856300
540,678400
541,761500
542,557300
543,556800
544,561100
545,982400
546,856500
547,674200
548,667300
549,593200
550,578700
551,572300
552,578000
553,565000
554,561000
555,967200
556,885600
557,907100
558,997700
559,778700
560,678700
561,575800
562,621500
563,942100
564,823500
565,669300
566,591600
567,612900
568,635400
569,593400
570,587200
571,619600
572,733900
573,954400
574,812900
575,654000
576,603600
577,596400
578,644100
579,1082300
580,952700
581,705700
582,668200
583,632100
584,624800
585,595100
586,560100
587,699100
588,615000
589,778800
590,948800
591,728100
592,626900
593,613700
594,603900
595,601000
596,591700
597,605600
598,589500
599,899400
600,834500
601,722900
602,692300
603,599700
604,760900
605,740100
606,644300
607,619300
608,812200
609,856600
610,721400
611,789300
612,814400
613,795200
614,690100
615,655700
616,764400
617,918100
618,736800
619,725500
620,838100
621,820600
622,768300
623,758500
624,603200
625,811300
626,697300
627,595500
628,573600
629,583400
630,565900
631,546700
632,1010700
633,1024400
634,823400
635,723100
636,655800
637,603600
638,569900
639,570600
640,569800
641,567700
642,854200
643,954800
644,740700
645,694400
646,661200
647,625600
648,1326600
649,818100
650,1183200
651,1502100
652,1115700
653,1073800
654,1281800
655,1644200
656,1167500
657,1270200
658,1039600
659,958400
660,1484300
661,980600
662,774800
663,771600
664,741500
665,733800
666,723100
667,922400
668,1234400
669,934500
670,933300
671,852100
672,1757900
673,999400
674,990900
675,873600
676,758700
677,747300
678,796600
679,1080700
680,849800
681,727000
682,728000
683,729300
684,888500
685,974400
686,1549300
687,1132600
688,954000
689,927900
690,920200
691,776400
692,837000
693,960500
694,873600
695,940600
696,1068300
697,959300
698,802300
699,1009100
700,960300
701,975900
702,812300
703,805900
704,758500
705,716900
706,855400
707,1088000
708,787200
709,726200
710,808900
711,767200
712,1496300
713,950400
714,853700
715,812200
716,817000
717,729900
718,703400
719,1035700
720,1041100
721,914300
722,836800
723,750200
724,758700
725,696100
726,665600
727,848700
728,1126700
729,853500
730,779400
731,732500
732,706400
733,707500
734,861300
735,1161700
736,1085700
737,954600
738,986300
739,881100
740,752100
741,686000
742,1026300
743,874400
744,781700
745,801300
746,779900
747,699900
748,695100
749,669900
750,1042300
751,1029700
752,994500
753,1047300
754,1027500
755,1708100
756,934300
757,762600
758,718100
759,683900
760,659000
761,838300
762,1388100
763,962900
764,993400
765,880300
766,746700
767,757500
768,685600
769,1038200
770,903800
771,815000
772,719600
773,688300
774,676500
775,746800
776,821700
777,1062100
778,825700
779,887900
780,934500
781,783800
782,677100
783,644300
784,761100
785,1071500
786,871900
787,885600
788,929400
789,1020600
790,890100
791,1044000
792,1103100
793,926200
794,861700
795,763700
796,1576200
797,1068300
798,782000
799,757100
800,662700
801,745200
802,692800
803,650800
804,818200
805,918200
806,824700
807,686700
808,638300
809,607100
810,599100
811,615600
812,610800
813,658300
814,974300
815,692400
816,582300
817,539100
818,632100
819,607900
820,610200
821,558700
822,543600
823,731500
824,892100
825,673500
826,617900
827,738900
828,740300
829,644500
830,594600
831,618100
832,612800
833,738900
834,955200
835,697600
836,819300
837,788200
838,648900
839,598600
840,579600
841,625400
842,676400
843,781400
844,622500
845,559600
846,545900
847,564300
848,794600
849,1182800
850,1330700
851,909300
852,704000
853,714100
854,649000
855,586400
856,612200
857,627400
858,949200
859,736700
860,626200
861,814800
862,841000
863,787900
864,782400
865,790500
866,1642600
867,1271400
868,982000
869,838600
870,804700
871,832600
872,879000
873,915300
874,839900
875,902400
876,923200
877,975600
878,862700
879,899500
880,1027900
881,840900
882,837100
883,827300
884,695600
885,799100
886,745100
887,880100
888,1113800
889,942500
890,855300
891,812900
892,1269700
893,1031700
894,785300
895,644400
896,590300
897,566700
898,583000
899,592900
900,611300
901,591300
902,846300
903,887000
904,637300
905,567800
906,566100
907,628900
908,573800
909,570500
910,554300
911,543100
912,706900
913,816200
914,627000
915,558000
916,702600
917,560100
918,545400
919,549100
920,548800
921,585800
922,654100
923,858700
924,661900
925,698500
926,1005900
927,978600
928,882500
929,945500
930,1078700
931,743800
932,591400
933,580000
934,574900
935,558500
936,551600
937,551400
938,563100
939,553100
940,763100
941,814100
942,707400
943,645000
944,591300
945,652000
946,602800
947,1072600
948,1033200
949,827600
950,643500
951,591200
952,574200
953,571400
954,578700
955,586400
956,583500
957,920800
958,1123200
959,773700
960,666300
961,632400
962,594900
963,578000
964,569000
965,578700
966,861600
967,853700
968,666000
969,585300
970,644200
971,653200
972,674000
973,574300
974,582800
975,647300
976,1110600
977,887700
978,970500
979,942600
980,879600
981,774000
982,848900
983,1296800
984,952500
985,834200
986,874500
987,841200
988,836700
989,941900
990,1180500
991,952400
992,892600
993,766700
994,1152500
995,1062100
996,770400
997,746500
998,652700
999,643800
1000,769900
1001,809600
1002,660000
1003,797600
1004,824600
1005,624600
1006,550000
1007,551800
1008,542800
1009,565100
1010,554300
1011,542500
1012,540600
1013,609800
1014,829600
1015,799600
1016,648000
1017,582300
1018,554800
1019,603400
1020,647200
1021,691300
1022,592600
1023,656100
1024,879100
1025,680000
1026,611000
1027,741200
1028,674500
1029,596600
1030,563300
1031,544400
1032,536100
1033,731000
1034,870500
1035,652100
1036,564400
1037,553100
1038,745300
1039,611900
1040,569600
1041,561200
1042,614700
1043,611000
1044,826900
1045,638800
1046,552000
1047,613500
1048,629200
1049,595300
1050,961800
1051,850600
1052,830000
1053,671400
1054,815900
1055,774400
1056,654900
1057,589500
1058,596500
1059,665200
1060,915400
1061,846800
1062,615600
1063,558900
1064,561500
1065,550700
1066,535700
1067,542600
1068,587000
1069,589300
1070,603700
1071,854600
1072,816600
1073,633100
1074,557100
1075,546800
1076,539300
1077,536300
1078,529500
1079,546400
1080,535000
1081,684200
1082,957100
1083,688500
1084,657700
1085,656400
1086,573900
1087,544300
1088,523800
1089,524700
1090,520200
1091,618400
1092,1129100
1093,885600
1094,641300
1095,689800
1096,675300
1097,706900
1098,653000
1099,637500
1100,991000
1101,823000
1102,686700
1103,656600
1104,641000
1105,669200
1106,1564800
1107,1090000
1108,879300
1109,876200
1110,950000
1111,813700
1112,703600
1113,945100
1114,1118400
1115,967500
1116,870700
1117,782000
1118,797700
1119,676600
1120,611900
1121,898100
1122,863700
1123,668500
1124,636900
1125,582400
1126,596300
1127,570300
1128,569000
1129,560800
1130,567100
1131,913300
1132,770800
1133,670300
1134,831800
1135,1037000
