frame,frame_time_ns
1,220097100
2,2749900
3,2531700
4,2569400
5,2285400
6,2561800
7,2882000
8,2895600
9,2864100
10,2828900
11,2870600
12,2611700
13,2530200
14,2489000
15,2387100
16,2366900
17,2939900
18,2417800
19,2490800
20,2652800
21,2420000
22,2518500
23,2770200
24,2552600
25,3124900
26,2469100
27,2725600
28,3363100
29,3033400
30,3249300
31,3199100
32,2351600
33,2422100
34,2767000
35,2252100
36,2422800
37,2366100
38,2131200
39,2300400
40,2343400
41,2511100
42,2661700
43,2456000
44,2456600
45,2119500
46,2586100
47,2556300
48,2295000
49,2331100
50,2279700
51,2202700
52,2385100
53,2315800
54,3113000
55,2520200
56,2829500
57,3045000
58,2665100
59,2256300
60,2587400
61,2813800
62,2539100
63,2950000
64,2838300
65,2643100
66,2444400
67,3203100
68,3205100
69,3003900
70,2946000
71,3458200
72,3173400
73,2863100
74,2707900
75,2591500
76,2672700
77,2657400
78,2941400
79,2597800
80,2389500
81,2759500
82,2530900
83,3021100
84,2586900
85,2693500
86,3897500
87,3309800
88,3912800
89,2647500
90,2695800
91,2295500
92,2460100
93,2431100
94,2154800
95,2442800
96,2309300
97,2068300
98,2280400
99,2378000
100,2597800
101,2686500
102,2946400
103,2587000
104,2011500
105,2212600
106,2181400
107,2288500
108,2124600
109,1956500
110,2045800
111,2088000
112,2368500
113,2409000
114,2947900
115,2608600
116,2092300
117,1921500
118,2268800
119,2410500
120,2562500
121,3100200
122,2546200
123,2740900
124,2401100
125,2155600
126,3228000
127,2681200
128,3319100
129,2652500
130,2148900
131,1880700
132,2140000
133,1983100
134,2343300
135,2237600
136,2140200
137,2158900
138,2692200
139,3240000
140,3627900
141,3330500
142,2792500
143,2307500
144,3065100
145,2531500
146,2583400
147,2350100
148,2465500
149,2370500
150,2204300
151,2285500
152,2105200
153,2301400
154,2892200
155,2497000
156,2079000
157,2389000
158,2309400
159,2227100
160,3080900
161,3676700
162,3732800
163,3824400
164,4015400
165,3348400
166,3199200
167,2483400
168,2390800
169,3881200
170,2955200
171,2869100
172,3137400
173,2901700
174,2509500
175,2354500
176,2503100
177,2334000
178,2041400
179,2224900
180,2281900
181,2310700
182,2208400
183,2373200
184,2361800
185,3061100
186,2794700
187,2232800
188,2365200
189,2256600
190,2014400
191,2172400
192,1925100
193,2102600
194,2115400
195,2920500
196,2194800
197,1912500
198,2112400
199,1959900
200,2425300
201,2488300
202,2556200
203,2069700
204,2518000
205,2478200
206,2404100
207,2094600
208,2333900
209,2327000
210,2498400
211,2388000
212,2553100
213,2336000
214,2461900
215,1996200
216,2116700
217,2063900
218,2226400
219,2377400
220,2064800
221,2131100
222,2507500
223,2626300
224,2344900
225,2437700
226,2227000
227,2213000
228,2304000
229,2318100
230,2261700
231,2596500
232,2211200
233,2137700
234,1896600
235,2091100
236,2420600
237,2084300
238,2320000
239,2085400
240,2132200
241,2405200
242,2159300
243,2026000
244,2277400
245,1992000
246,2176100
247,2224200
248,2243500
249,2194600
250,1960800
251,2261100
252,2233700
253,2069700
254,2712600
255,2365400
256,2199400
257,2178900
258,2906300
259,2205400
260,3246300
261,2211700
262,2256700
263,2048200
264,2433800
265,2119200
266,2056400
267,2017200
268,2194900
269,2307200
270,1997600
271,2411100
272,2721400
273,2338000
274,2255200
275,3299100
276,2849200
277,2457700
278,3163900
279,2923200
280,2525300
281,2416300
282,2434200
283,2527400
284,2483900
285,3360200
286,3218500
287,2619000
288,2603300
289,2754900
290,3259000
291,2875800
292,2440600
293,3084800
294,2892100
295,2551900
296,2659000
297,2448300
298,2584200
299,3038100
300,3123700
301,2697400
302,2393300
303,2631900
304,2796000
305,4126500
306,2968200
307,2528600
308,3609000
309,2981900
310,2836600
311,2644000
312,2992600
313,2913600
314,2777500
315,2681200
316,2943800
317,3327000
318,2820700
319,2563400
320,2953400
321,2851400
322,2991200
323,3002200
324,2757300
325,2625800
326,2480100
327,3499900
328,2968900
329,2710000
330,2116600
331,2167700
332,3174300
333,3315900
