frame,frame_time_ns
1,248037100
2,1759900
3,1886900
4,2107000
5,1928200
6,1536900
7,1760800
8,2294400
9,2323700
10,3418100
11,2693000
12,2187200
13,2402700
14,1986300
15,1995700
16,1582400
17,2097100
18,1990000
19,2190100
20,2099800
21,1606900
22,1529700
23,1637300
24,2362200
25,2474900
26,1862900
27,1731000
28,1911000
29,1784000
30,1549700
31,1824200
32,1638700
33,2138800
34,1940000
35,1822400
36,1530600
37,2129900
38,2446500
39,1908500
40,2056100
41,1879700
42,1990400
43,1890500
44,1837000
45,1712900
46,1818600
47,1646500
48,2226500
49,1772900
50,1491400
51,1448200
52,1309500
53,1302700
54,1848700
55,1911300
56,1613900
57,1922600
58,2149300
59,1946500
60,1614200
61,1549600
62,1811600
63,2420100
64,1785100
65,1738400
66,2413900
67,2133300
68,1788600
69,2056300
70,2230600
71,2792700
72,1676000
73,1839000
74,1903500
75,1622700
76,1537700
77,1902700
78,2201300
79,1448400
80,1415300
81,1291100
82,1414400
83,1910600
84,1463400
85,1329000
86,1305800
87,2124700
88,1969000
89,1639200
90,1467200
91,1470000
92,2056200
93,1734000
94,2075100
95,1795100
96,2015400
97,1581000
98,1483500
99,1320900
100,1217500
101,1771500
102,1536500
103,1407000
104,1787800
105,1819300
106,2048100
107,1347300
108,1268100
109,1166300
110,1186700
111,1429600
112,1564100
113,1625600
114,1608400
115,1377800
116,1366300
117,1667300
118,1397100
119,1215200
120,1362000
121,2408400
122,2462700
123,2391300
124,2198200
125,1798500
126,1410600
127,1438500
128,1432800
129,2027100
130,1787900
131,1425500
132,1347600
133,1289000
134,1452600
135,1899500
136,1793600
137,1846900
138,1875100
139,2104100
140,1872500
141,1813700
142,1667500
143,2122900
144,1687900
145,1745400
146,1826800
147,2703200
148,2270400
149,1875700
150,2059300
151,2830000
152,1785600
153,2224900
154,2062100
155,1870100
156,1690900
157,1885000
158,1972700
159,1941500
160,1707600
161,1934800
162,2365100
163,1790400
164,1673700
165,1557300
166,2166400
167,1842600
168,1823000
169,2028800
170,2077500
171,2535600
172,1740700
173,2506100
174,1738100
175,1690600
176,1415900
177,1884000
178,1988800
179,1626700
180,1784300
181,3093600
182,2518100
183,1817900
184,1702400
185,1968200
186,1808000
187,1920100
188,2020500
189,2568300
190,1890100
191,1984700
192,3388000
193,2512400
194,2574800
195,2418800
196,1998600
197,1880300
198,2116600
199,3437800
200,2821700
201,3025400
202,2122200
203,1936200
204,1743100
205,2400100
206,1952900
207,1962900
208,1959800
209,3223100
210,1772100
211,1738900
212,2540100
