frame,frame_time_ns
1,235647400
2,7108900
3,3446700
4,2220300
5,1866800
6,2075700
7,1832100
8,1695800
9,2363000
10,2600700
11,1668800
12,1585000
13,2334600
14,1908200
15,2393100
16,2500400
17,1691100
18,1714000
19,1701300
20,1934900
21,1662300
22,2878300
23,2871200
24,2402600
25,2347100
26,2844600
27,2055200
28,2141300
29,2172500
30,1740000
31,1386800
32,1887400
33,1827100
34,1521400
35,1521500
36,1917300
37,1566800
38,1436700
39,1414300
40,2183500
41,1763700
42,1620600
43,1674600
44,2475600
45,2143600
46,1664800
47,2253500
48,1634000
49,1406100
50,1771400
51,1927600
52,1672900
53,1571600
54,1851900
55,1967800
56,1570700
57,1582100
58,1363500
59,1984700
60,1750700
61,2145300
62,1773300
63,1749800
64,1465200
65,1711500
66,2326000
67,1707600
68,1827000
69,1578500
70,1847400
71,1583300
72,1400900
73,1432100
74,1877000
75,1901800
76,1474800
77,1460700
78,1690900
79,1576400
80,1326100
81,1452200
82,1268800
83,1719500
84,1954000
85,2083000
86,1483500
87,1982400
88,1572100
89,1381200
90,1446100
91,2019600
92,2029100
93,1383600
94,1409400
95,1560300
96,1884800
97,1631700
98,1565000
99,2129900
100,1559200
101,1436300
102,1429600
103,2138900
104,1588600
105,1942700
106,1620300
107,2509800
108,1884500
109,1570100
110,1897800
111,1703500
112,1505800
113,1849600
114,2451700
115,1717400
116,1620900
117,1601300
118,1783400
119,1575300
120,1616900
121,1871400
122,1572500
123,1533000
124,1607400
125,1356500
126,1645900
127,1460700
128,1358600
129,1412100
130,1419300
131,1679100
132,1599500
133,1504600
134,1434400
135,2041300
136,1674300
137,1766700
138,1594100
139,1595600
140,1431800
141,1183500
142,1066400
143,1086300
144,1506200
145,1582000
146,1547200
147,1287000
148,1483700
149,1381800
150,1277900
151,1170700
152,1079200
153,1142700
154,1520300
155,1560400
156,1333900
157,1181100
158,1079200
159,1435700
160,1474400
161,1273100
162,1108500
163,1100700
164,1061600
165,1615800
166,1481100
167,1276500
168,1338100
169,1229600
170,1674800
171,1391500
172,1637000
173,1603200
174,2405900
175,1756500
176,1408500
177,1289700
178,2124800
179,2301600
180,1913800
181,2272900
182,1776400
183,1416500
184,1392800
185,1499000
186,1425100
187,1225500
188,1091400
189,1772600
190,1410000
191,1662200
192,1165300
193,1191100
194,1201000
195,1725300
196,1541100
197,1183400
198,1070000
199,1335400
200,1410200
201,1756100
202,1367400
203,1399500
204,1198500
205,1520400
206,1277300
207,1299700
208,1266700
209,1167100
210,1254300
211,1449200
212,1137900
213,1038000
214,1085200
215,1015200
216,1186900
217,1355400
218,1330500
219,1252400
220,1123200
221,1037000
222,1483700
223,1265400
224,1147900
225,1050500
226,1297900
227,1330300
228,1459300
229,1632500
230,1282300
231,1143600
232,1098800
233,1535700
234,1355000
235,1142400
236,1279600
237,1303100
238,1763800
239,1485900
240,1188200
241,1166300
242,1242900
243,1507800
244,1356700
245,1188300
246,1051300
247,1036100
248,1264100
249,2266400
250,1636600
251,1398200
252,1521900
253,1989500
254,1498200
255,1531600
256,2200200
257,2174400
258,1773300
259,1583800
260,1075800
261,1215700
262,1696800
263,1552700
264,1648400
265,2427900
266,2085400
267,1423200
268,1379700
269,1661900
270,1323100
271,1237700
272,1174400
273,1084900
274,1424700
275,1281800
276,1148900
277,1188700
278,1283600
279,1058900
280,1371100
281,1265700
282,1425200
283,1399800
284,1374400
285,1470400
286,1363300
287,1180200
288,1040600
289,1155200
290,1090600
291,1734300
292,1410700
293,1190900
294,1059600
295,1151900
296,1650100
297,1203200
298,1097300
299,1061100
300,1079300
301,1147500
302,1747000
303,1605700
304,1291200
305,1066100
306,1102900
307,1418100
308,1247900
309,1147100
310,1026900
311,1085600
312,1083200
313,1709800
314,1397500
315,1321100
316,1414700
317,1417400
318,1423200
319,1248000
320,1121700
321,1036100
322,1035600
323,1500500
324,1629700
325,1274900
326,1233300
327,1198000
328,1451800
329,1214100
330,1309100
331,1112700
332,1317200
333,1581600
334,1508000
335,1150700
336,1056500
337,1202600
338,1201800
339,1539600
340,1271700
341,1179000
342,1736700
343,1907600
344,2119800
345,1722700
346,1859800
347,2322600
348,1793800
349,1598000
350,1585000
351,1744000
352,1575100
353,1554100
354,1296300
355,1571000
356,1686600
357,1396500
358,1405200
359,2587400
360,1484800
361,1269500
362,1191100
363,1239200
364,1347400
365,1495900
366,1512700
367,1403200
368,1287900
369,1471400
370,1612700
371,1348500
372,1379100
373,1488700
374,2063400
375,1995100
376,1462900
377,1346900
378,1549600
379,1480000
380,1272200
381,1266600
382,1127000
383,1579000
384,1642300
385,1245500
386,1084800
387,1077600
388,1443500
389,1497500
390,1309900
391,1106900
392,1083000
393,1325300
394,1871200
395,1625900
396,1306100
397,1152500
398,1223800
399,1475500
400,1472700
401,1358600
402,1429800
403,1525500
404,1465600
405,1320000
406,1318900
407,1271500
408,1240800
409,1539900
410,1266300
411,1507700
412,2054600
413,1678200
414,1225000
415,1164700
416,1059800
417,1025100
418,1396700
419,1315200
420,1237400
421,1234900
422,1175800
423,1079000
424,1513300
425,1231000
426,1146800
427,1315400
428,1490200
429,1871900
430,1855300
431,1547700
432,1658300
433,1847000
434,1529400
435,1346900
436,1374900
437,1422200
438,2240800
439,1866100
440,1788700
441,2099600
442,1731700
443,1397700
444,1380700
445,1912100
446,1484400
447,1376900
448,1349000
449,1538700
450,1550800
451,1388700
452,1405200
453,1345300
454,2327800
455,1577200
456,1633100
457,1714500
458,1833300
459,1514700
460,1540100
461,1460100
462,1920900
463,1649600
464,1407400
465,1342300
466,1548600
467,8045100
468,1647100
469,1413200
470,1368000
471,1469200
472,1908600
473,1567600
474,1716300
475,1570600
476,1930600
477,1766700
478,1687200
479,1645300
480,1926800
481,1566900
482,2043900
483,1718100
484,1713200
485,1559800
486,1400500
487,1480700
488,1756500
489,1714300
490,1420600
491,1344400
492,1692900
493,1546400
494,1361700
495,1329600
496,1382100
497,1725900
498,1634300
499,1488300
500,1400300
501,1636800
502,1578500
503,1385000
504,1850100
505,1911600
506,1977800
507,1647100
508,1633200
509,1965600
510,1682700
511,1612200
512,1560500
513,2232900
514,1602200
515,1503600
516,1527500
517,1771300
518,1358300
519,1313300
520,1243700
521,1393300
522,1482500
523,1240100
524,1120200
525,1043400
526,1554500
527,1400900
528,1286900
529,1117100
530,1124800
531,1310400
532,1508000
533,1502600
534,1241100
535,1085100
536,1041300
537,1051000
538,1420100
