frame,frame_time_ns
1,213009400
2,2092500
3,1194100
4,788200
5,822600
6,1065700
7,1181700
8,1280900
9,1416800
10,1499700
11,881300
12,846300
13,1346200
14,1603500
15,1845500
16,914400
17,1354800
18,1209300
19,1179700
20,1596100
21,1182200
22,1357600
23,1868100
24,809200
25,1553800
26,1581200
27,1126300
28,846600
29,816200
30,881300
31,1121200
32,1234500
33,897400
34,722900
35,883200
36,1045800
37,711500
38,877600
39,814300
40,1080900
41,1710800
42,812600
43,746800
44,982400
45,1009400
46,626300
47,934800
48,631200
49,1305800
50,1244900
51,756400
52,717700
53,726600
54,719100
55,730600
56,709300
57,890000
58,1386700
59,1189700
60,671900
61,674000
62,925400
63,813800
64,816700
65,896600
66,1353700
67,1035000
68,1805400
69,1736600
70,957700
71,898600
72,1071400
73,887000
74,627600
75,818900
76,695000
77,1529500
78,1032700
79,875700
80,1591200
81,794300
82,784200
83,1378100
84,963200
85,967100
86,876600
87,1311200
88,751700
89,684500
90,1002500
91,749900
92,760700
93,887200
94,1697700
95,1033900
96,1107000
97,1216900
98,1086100
99,692100
100,863800
101,1182700
102,1413600
103,954300
104,1043300
105,738900
106,758400
107,1145200
108,1079200
109,752500
110,1382800
111,1228800
112,604200
113,604200
114,879400
115,978600
116,765900
117,668200
118,521600
119,522000
120,519700
121,715800
122,810000
123,474100
124,559100
125,1016200
126,774100
127,802400
128,1460000
129,679900
130,677900
131,1074500
132,523900
133,651000
134,1043000
135,650300
136,887600
137,653800
138,838200
139,720300
140,858700
141,519000
142,619000
143,1075500
144,475100
145,561700
146,1363700
147,1139000
148,630100
149,718000
150,773600
151,583200
152,1257600
153,531000
154,607500
155,1442800
156,634700
157,693800
158,1316000
159,640400
160,623000
161,1063600
162,492300
163,617700
164,1291400
165,945400
166,1266100
167,894200
168,540100
169,658400
170,1077000
171,739200
172,989300
173,1006800
174,628000
175,579800
176,1009000
177,462800
178,613700
179,1037100
180,487000
181,666100
182,1238800
183,1071500
184,700600
185,1101300
186,631900
187,646100
188,914100
189,750700
190,1364700
191,874800
192,660000
193,648700
194,697700
195,607600
196,633500
197,774800
198,478400
199,617900
200,1750600
201,809600
202,693900
203,915600
204,880100
205,636300
206,1173800
207,634800
208,609100
209,646300
210,1254100
211,894400
212,571700
213,740900
214,858900
215,857100
216,1063600
217,783900
218,1162000
219,1307400
220,1420300
221,1517100
222,693500
223,1143500
224,867500
225,851900
226,894400
227,748900
228,1193600
229,731500
230,950700
231,903300
232,1182900
233,1044600
234,984700
235,549500
236,698400
237,842300
238,787700
239,859900
240,843300
241,1342400
242,1086200
243,1289600
244,1039200
245,552000
246,806100
247,1088600
248,1127200
249,1360300
250,1064200
251,512700
252,696800
253,483200
254,840400
255,808500
256,464400
257,700200
258,1167200
259,1136500
260,916800
261,1228100
262,1069700
263,1051500
264,570700
265,708100
266,1458300
267,889600
268,1817300
269,1549400
270,782600
271,1363600
272,1305800
273,864900
274,942100
275,818000
276,963000
277,1098700
278,809900
279,902200
280,1067400
281,1070500
282,719300
283,871600
284,804800
285,948000
286,1458000
287,1279900
288,1312700
289,1172600
290,1006600
291,1034000
292,1237100
293,1348100
294,755800
295,967900
296,1051900
297,1147000
298,770000
299,945300
300,1813100
301,1362800
302,1603800
303,1217600
304,758000
305,888500
306,1314100
307,1382400
308,1733200
309,2405200
310,1478100
311,1636500
312,1066800
313,842900
314,711000
315,979300
316,1344100
317,1547400
318,864000
319,956900
320,798000
321,862300
322,1366700
323,1382100
324,2127100
325,1495300
326,1631000
327,1607500
328,892900
329,1734600
330,1340600
331,1355500
332,1793500
333,2472600
334,1211100
335,1817700
336,1680700
337,1450400
338,1941200
339,1580000
340,1694500
341,1027000
342,1529200
343,1732400
344,1162400
345,1070100
346,1486600
347,1122700
348,1387700
349,1345600
350,1212600
351,1071200
352,934100
353,921400
354,1506700
355,1124000
356,1006600
357,729500
358,711200
359,739700
360,978000
361,933700
362,2052100
363,1872200
364,1229100
365,963800
366,1076700
367,1548100
368,1482400
369,850000
370,1563100
371,1745900
372,946200
373,1170100
374,1472400
375,1275300
376,1800100
377,681200
378,896600
379,1045700
380,1185600
381,784700
382,944000
383,1142000
384,861000
385,1708600
386,1889400
387,700900
388,751900
389,1066500
390,774700
391,942200
392,805900
393,1079300
394,1246800
395,913900
396,768800
397,768100
398,735000
399,774500
400,2173900
401,1574800
402,1097300
403,940100
404,870700
405,815400
406,985200
407,2005200
408,2066500
409,1640100
410,1221100
411,978700
412,1281100
413,1549000
414,1354800
415,2027700
416,1235400
417,1177900
418,732400
419,713500
420,927600
421,1194800
422,918400
423,1081100
424,1951500
425,848200
426,908300
427,1204800
428,1032800
429,862900
430,922200
431,1167300
432,1084500
433,1245200
434,1330300
435,1131700
436,819700
437,873600
438,1270700
439,982500
440,831500
441,676600
442,878700
443,1032200
444,785000
445,1014800
446,2312600
447,1790900
448,1075500
449,1187900
450,765000
451,1120300
452,1602300
453,1322300
454,2093100
455,1225800
456,1372400
457,1254300
458,897200
459,697600
460,711400
461,937400
462,1007100
463,914100
464,1172700
465,979200
466,600900
467,647000
468,1159000
469,551300
470,820100
471,660100
472,1121500
473,839300
474,802200
475,1160400
476,599100
477,787900
478,729200
479,633900
480,581000
481,589200
482,1056100
483,1068600
484,825900
485,994600
486,946900
487,1034400
488,732900
489,799500
490,1475900
491,1195200
492,1269100
493,813000
494,927000
495,820100
496,647700
497,942000
498,900100
499,2148400
500,1820800
501,2133900
502,1168500
503,905500
504,850800
505,782700
506,800300
507,721900
508,1079300
509,1066100
510,1236700
511,749900
512,1003300
513,1519100
514,687000
515,730600
516,909300
517,1121300
518,1233800
519,1088200
520,639900
521,787300
522,998000
523,1036400
524,682400
525,1101800
526,2230200
527,916200
528,766400
529,1206800
530,858200
531,809100
532,873200
533,930600
534,829000
535,1200200
536,684300
537,706900
538,892300
539,684600
540,888400
541,821700
542,1412900
543,1219400
544,1187300
545,763900
546,480700
547,624600
548,1134100
549,732800
550,867000
551,996800
552,732300
553,912300
554,738700
555,1110400
556,977900
557,1413800
558,1111400
559,676400
560,873200
561,1189100
562,891300
563,675000
564,1068700
565,1594900
566,962900
567,595300
568,646200
569,809900
570,859600
571,602900
572,1268800
573,780600
574,889900
575,1321700
576,567000
577,632900
578,1143400
579,525000
580,762400
581,1028000
582,701600
583,1371300
584,1373500
585,892500
586,1091000
587,788300
588,726000
589,583600
590,535800
591,829500
592,764600
593,877700
594,844500
595,1277500
596,656200
597,630800
598,1184500
599,887000
600,683900
601,856700
602,898500
603,607400
604,793800
605,993700
606,1025800
607,1344000
608,773000
609,592900
610,530200
611,469300
612,498900
613,490600
614,623300
615,557000
616,496700
617,489100
618,522000
619,860100
620,774300
621,591900
622,484600
623,581100
624,595900
625,1066100
626,556300
627,635600
628,1171900
629,570300
630,874700
631,1068100
632,660100
633,806200
634,870200
635,593900
636,984200
637,510800
638,559000
639,1019100
640,1037700
641,1080800
642,869500
643,1005800
644,680700
645,757700
646,847600
647,792000
648,639100
649,1322900
650,931700
651,1267200
652,824700
653,584100
654,673200
655,985200
656,1100600
657,1332700
658,671400
659,984000
660,717600
661,821100
662,646600
663,856400
664,1163600
665,951900
666,1142700
667,615600
668,603600
669,747400
670,603900
671,1108900
672,473800
673,535000
674,1859900
675,826700
676,746800
677,905500
678,670700
679,944600
680,607800
681,788400
682,1024400
683,940800
684,1139700
685,569200
686,637300
687,1116500
688,517700
689,672400
690,920100
691,867500
692,1583600
693,870300
694,980900
695,977600
696,776000
697,957000
698,636300
699,745600
700,1218400
701,1225200
702,1664200
703,752500
704,734700
705,765200
706,1207500
707,795700
708,991500
709,954200
710,694000
711,851000
712,678800
713,830600
714,670600
715,1454400
716,751200
717,767300
718,949500
719,915700
720,953900
721,997300
722,522000
723,517100
724,634600
725,1023800
726,1148100
727,561400
728,684500
729,894900
730,652800
731,881100
732,822800
733,1120900
734,949800
735,1037100
736,1142800
737,1092200
738,1454900
739,870400
740,1415300
741,1696700
742,847300
743,795800
744,927400
745,1130600
746,817000
747,861500
748,1010400
749,991700
750,990600
751,1576000
752,806600
753,812800
