frame,frame_time_ns
1,217165100
2,1209700
3,1131400
4,1318500
5,1092400
6,1014100
7,800800
8,817100
9,792400
10,930200
11,1233400
12,904700
13,743400
14,680200
15,656500
16,692000
17,793800
18,1093700
19,1175600
20,1411300
21,976100
22,896600
23,888600
24,1227600
25,1055500
26,1053400
27,858300
28,760700
29,958600
30,1247800
31,1243000
32,1207400
33,912000
34,853100
35,757100
36,745200
37,1073500
38,930700
39,782900
40,741800
41,1568600
42,1265100
43,815300
44,774900
45,733300
46,713900
47,698100
48,795500
49,1349300
50,1064200
51,1165000
52,1380600
53,1636200
54,1648700
55,1004100
56,954400
57,830300
58,998200
59,1592200
60,1205800
61,1403700
62,1168900
63,1139300
64,1331100
65,1044100
66,1026000
67,863900
68,975200
69,850300
70,1090300
71,878000
72,775300
73,751400
74,1288000
75,1231000
76,905400
77,816200
78,884300
79,900500
80,869400
81,1064800
82,1068800
83,997500
84,932600
85,788600
86,754600
87,846500
88,950400
89,1075400
90,866900
91,1033300
92,904100
93,820200
94,725700
95,846400
96,1141900
97,1035000
98,790200
99,714600
100,663700
101,697300
102,694200
103,1021600
104,975400
105,831400
106,907400
107,828500
108,826500
109,680700
110,680900
111,1152800
112,824700
113,704700
114,660300
115,614000
116,1116600
117,1018400
118,835000
119,669800
120,646300
121,686500
122,654900
123,609400
124,592500
125,1058600
126,1552400
127,1115300
128,939900
129,897700
130,905800
131,961200
132,1258900
133,1153100
134,950600
135,891800
136,915900
137,1092100
138,1095100
139,1115400
140,917600
141,770900
142,685900
143,613200
144,592100
145,613500
146,891300
147,809800
148,698300
149,596400
150,691400
151,792600
152,828000
153,730800
154,904800
155,887300
156,710000
157,678500
158,673400
159,1250900
160,1084800
161,777100
162,664400
163,611700
164,686000
165,705700
166,676600
167,688900
168,1038400
169,1047600
170,736100
171,675200
172,685800
173,666800
174,779000
175,700500
176,757500
177,920500
178,734400
179,1133400
180,900600
181,781200
182,881000
183,899600
184,1235200
185,1224800
186,1010300
187,881500
188,761600
189,695000
190,742100
191,1134200
192,946000
193,729900
194,666900
195,615600
196,605200
197,741900
198,785300
199,914900
200,735400
201,616500
202,633900
203,572800
204,973000
205,696100
206,1159900
207,844900
208,698000
209,657600
210,802000
211,674300
212,661500
213,632400
214,823600
215,955400
216,795600
217,1003200
218,992100
219,846600
220,746800
221,969900
222,1067000
223,768800
224,611300
225,586100
226,574200
227,752400
228,599200
229,639400
230,647900
231,891700
232,768700
233,811300
234,677500
235,579800
236,594400
237,552800
238,633900
239,776700
240,1153000
241,934200
242,912000
243,834900
244,827700
245,733800
246,672100
247,822000
248,807000
249,759100
250,670000
251,633600
252,1246400
253,909800
254,842700
255,661400
256,606800
257,558900
258,555000
259,633500
260,661900
261,597300
262,572900
263,612500
264,810900
265,646900
266,555600
267,588000
