frame,frame_time_ns
1,219978600
2,2399400
3,1941700
4,1078700
5,1360600
6,1136200
7,642900
8,873400
9,1166700
10,1053600
11,1191400
12,1861200
13,1414700
14,934300
15,912100
16,1087500
17,858400
18,1029700
19,1181100
20,1246900
21,927500
22,1564700
23,1648300
24,1477000
25,1177800
26,948400
27,698600
28,1063900
29,768800
30,1256300
31,1085000
32,1324300
33,858900
34,834800
35,811300
36,844000
37,1257800
38,1244200
39,1084900
40,859400
41,983700
42,896600
43,1047400
44,928700
45,998000
46,1858200
47,1235300
48,805800
49,965400
50,824700
51,1327800
52,1176500
53,1198800
54,1723000
55,860300
56,797200
57,753900
58,919400
59,897000
60,1172200
61,1423100
62,2372500
63,1805000
64,2021600
65,2898700
66,1264100
67,1612400
68,1099600
69,1300000
70,1298500
71,824500
72,766000
73,1072800
74,1613700
75,1333300
76,697500
77,844900
78,1252700
79,902800
80,851500
81,1697800
82,1116900
83,975300
84,1221500
85,1137900
86,1082200
87,1170200
88,1626200
89,1044300
90,1125500
91,1117400
92,860500
93,963700
94,1513800
95,1824800
96,1446300
97,2210700
98,1048000
99,1031800
100,1004100
101,946800
102,1187400
103,1019400
104,1223800
105,1194600
106,716700
107,931200
108,1164000
109,798200
110,854800
111,880100
112,1380500
113,1157400
114,966900
115,897600
116,1075900
117,896200
118,1084300
119,1126900
120,1629900
121,1404200
122,1032200
123,887400
124,756800
125,1038200
126,942200
127,1633800
128,840700
129,789300
130,995600
131,1102300
132,943600
133,1952900
134,1740300
135,1535100
136,1935300
137,1644800
138,1213100
139,932400
140,1128900
141,1082300
142,1286600
143,1515700
144,1331300
145,1039800
146,930300
147,987000
148,1422400
149,1500100
150,1894400
151,1143300
152,1259600
153,1472400
154,1181900
155,1481600
156,1177500
157,1567200
158,1441300
159,1583900
160,1495500
161,1793200
162,2162200
163,1269200
164,1171800
165,1280700
166,1599700
167,1933100
168,2089500
169,1395000
170,1169100
171,1143000
172,1443500
173,1015900
174,1278100
175,1503800
176,1018700
177,1360500
178,947500
179,979600
180,1172900
181,1469100
182,1124600
183,1352600
184,840200
185,840900
186,734200
187,1097900
188,930000
189,1106400
190,707300
191,926700
192,971100
193,705600
194,695300
195,1378500
196,897300
197,1096400
198,915800
199,760500
200,644100
201,597200
202,579700
203,913300
204,1057600
205,592900
206,1107900
207,1222800
208,1427100
209,2027200
210,1201400
211,1209400
212,978600
213,653000
214,632800
215,1297800
216,600300
217,644400
218,1146400
219,968400
220,797800
221,1245700
222,602700
223,738200
224,757400
225,900100
226,620500
227,1045400
228,1302600
229,986200
230,594100
231,628100
232,1100900
233,569800
234,623100
235,1057900
236,609800
237,1054900
238,1204900
239,796500
240,897000
241,1156900
242,986800
243,996500
244,960200
245,1261100
246,945700
247,760700
248,677900
249,607600
250,578600
251,560000
252,581100
253,595600
254,532000
255,790800
