frame,frame_time_ns
1,200155100
2,485000
3,438400
4,1016800
5,1125300
6,923100
7,579400
8,900700
9,456500
10,737500
11,935200
12,1420600
13,908800
14,1190700
15,753600
16,743300
17,883100
18,1194800
19,1460500
20,532600
21,847300
22,811100
23,960400
24,973200
25,1123800
26,1725200
27,936100
28,648400
29,1009800
30,1082500
31,648200
32,1360100
33,1785200
34,658200
35,1574400
36,4105600
37,1363900
38,1450500
39,2279700
40,1077200
41,1947600
42,1457100
43,1125700
44,1075900
45,843600
46,690000
47,774500
48,1462300
49,1533000
50,738700
51,1169400
52,1618100
53,1384200
54,4899600
55,1647500
56,1258900
57,1047900
58,2099600
59,1256700
60,1369000
61,994200
62,1533800
63,2128700
64,2185300
65,992900
66,1879100
67,1610100
68,607000
69,887000
70,849600
71,1264800
72,1018700
73,1676000
74,757800
75,618500
76,1102800
77,862600
78,1084800
79,451000
80,972800
81,460000
82,1689300
83,2139600
84,1216000
85,1139900
86,1166800
87,911400
88,1530800
89,1415300
90,708300
91,1394300
92,636500
93,530600
94,1685600
95,2054400
96,816400
97,1844400
98,710000
99,914900
100,1277200
101,674600
102,1205600
103,655000
104,864800
105,1548400
106,1743400
107,741400
108,1199200
109,497500
110,1089500
111,733400
112,1390200
113,1071900
114,1192700
115,1035100
116,568700
117,1250400
118,985500
119,1622600
120,1000100
121,1500300
122,464300
123,958100
124,652000
125,1650000
126,1205700
127,1420800
128,556600
129,999000
130,2464200
131,1394600
132,645200
133,1231300
134,557300
135,1029500
136,524800
137,1828700
138,1320400
139,1261800
140,502100
141,842600
142,1283000
143,859400
144,1372800
145,663400
146,1275000
147,1373300
148,1606600
149,1250800
150,728700
151,1462800
152,1433100
153,1465100
154,1496400
155,546500
156,939800
157,1080200
158,819400
159,1119300
160,1220600
161,1384500
162,630600
163,1270900
164,1142100
165,1341900
166,630700
167,1708700
168,1012500
169,594900
170,1080000
171,1058300
172,1254800
173,1681700
174,1689200
175,850900
176,1696000
177,1221500
178,1050600
179,1161300
180,744700
181,1306000
182,679600
183,1361400
184,1302600
185,1656500
186,731600
187,1187500
188,726200
189,1887100
190,529200
191,1065800
192,580400
193,1573400
194,1034300
195,2031500
196,1168600
197,1685100
198,1331800
199,700400
200,1531500
201,763300
202,1191000
203,669100
204,1156100
205,1544800
206,1359400
207,737800
208,973700
209,1254100
210,859700
211,645800
212,960000
213,1618800
214,1492500
215,597700
216,1157900
217,910700
218,972100
219,771500
220,1450700
221,1482200
222,964400
223,988300
224,607500
225,1425100
226,1010600
227,993700
228,792400
229,926400
230,1061400
231,916400
232,1270300
233,1576800
234,1262900
235,1360400
236,545600
237,1592100
238,1017000
239,1264400
240,714000
241,879000
242,1714700
243,1104600
244,1790800
245,1487800
246,1048000
247,828100
248,927900
249,991600
250,811800
251,1017500
252,2041200
253,1222700
254,1981900
255,2063000
256,939300
257,2241700
258,2590600
259,1345800
260,2155800
261,2013500
262,2296200
263,879500
264,1296800
265,1769600
266,1167300
267,2053300
268,2021800
269,1609200
270,2072200
271,1398500
272,1607300
273,745600
274,1099900
275,2052000
276,1912600
277,987600
278,772800
279,1494000
280,2001400
281,794100
282,882100
283,1808900
284,614200
285,1272800
286,1639700
287,1670900
288,1503300
289,1210200
290,926000
291,1428100
292,1468600
293,1109000
294,1295900
295,705800
296,1061700
297,2012000
298,2152200
299,1180200
300,978700
301,1560500
302,951900
303,1941600
304,1483300
305,1466800
306,935600
307,1912600
308,1653000
309,779700
310,635000
311,1325400
312,670200
313,1664800
314,919100
315,953900
316,709500
317,803400
318,1133000
319,1182000
320,1913400
321,1359200
322,1299900
323,1056600
324,1173700
325,1056600
326,1828000
327,1014400
328,1242100
329,1364900
330,1421000
331,1320800
332,1663200
333,962300
334,1107200
335,1013700
336,1100900
337,954100
338,1112900
339,1209900
340,1276600
341,1310000
342,573000
343,1675700
344,1152500
345,1287100
346,1572100
347,662000
348,1315000
349,718300
350,1453400
351,1144700
352,2197000
353,1450200
354,1304900
355,1937000
356,1280200
357,1428900
358,1071800
359,1525100
360,1923900
361,2109100
362,2642800
363,1931100
364,1193400
365,1983500
366,2140800
367,1657000
368,2153500
369,2103100
370,919000
371,1686000
372,1197900
373,1632000
374,1374600
375,944600
376,1203200
377,1629100
378,1718000
379,1408200
380,1589900
381,969300
382,864000
383,1520000
384,1695900
385,1235100
386,1026200
387,1093000
388,1563100
389,1532200
390,1082900
391,1165800
392,1005200
393,1099400
394,884200
395,1469400
396,1301600
397,841700
398,1032500
399,1123300
400,1100700
401,1012300
402,1275100
403,1115400
404,1171800
405,779700
406,376500
407,808900
408,642200
409,1250600
410,1052100
411,1154000
412,895800
413,1131000
414,1169500
415,624200
416,1105300
417,1679000
418,990000
419,1227200
420,709200
421,889700
422,651500
423,611500
424,1218900
425,1002000
426,1132300
427,1274000
428,1415500
429,815700
430,946000
431,849200
432,916400
433,1144600
434,582400
435,653800
436,926300
437,782500
438,672400
439,841800
440,1049600
441,1672500
442,780800
443,803400
444,1077000
445,1295200
446,1064800
447,1473500
448,1158400
449,1145000
450,871100
451,1051900
452,492100
453,1309600
454,2136900
455,778500
456,645100
457,846100
458,1313300
459,819800
460,1360000
461,935700
462,733100
463,1215600
464,660200
465,1087700
466,818900
467,1049000
468,1115000
469,1094600
470,1272600
471,345000
472,690800
473,745800
474,656500
475,905800
476,956500
477,1249100
478,1098400
479,960500
480,605800
481,789900
482,518100
483,518600
484,508000
485,796200
486,1115000
487,1510100
488,736100
489,545200
490,838000
491,898900
492,617400
493,761100
494,542000
495,764400
496,964600
497,718700
498,849500
499,670900
500,523800
501,569600
502,533100
503,525500
504,1382000
505,1188100
506,676900
507,839700
508,581500
509,530000
510,576000
511,845300
512,723000
513,1002300
514,1526300
515,778200
516,830100
517,649700
518,806900
519,845600
520,757100
521,1013200
522,1463500
523,605400
524,733800
525,642700
526,840200
527,585700
528,608100
529,844600
530,533300
531,499700
532,924800
533,965400
534,932300
535,874500
536,687600
537,800200
538,679900
539,558900
540,513800
541,507200
542,479400
543,816800
544,721400
545,861000
546,551300
547,492900
548,493600
549,543000
550,558800
551,469100
552,800600
553,517700
554,707700
555,806300
556,1453500
557,1174600
558,1019600
559,849300
560,514300
561,1224700
562,1572800
563,604400
564,621100
565,808500
566,553400
567,552900
568,561700
569,733700
570,520500
571,541400
572,1207100
573,928400
574,882200
575,592800
576,612200
577,495300
578,516300
579,527200
580,464100
581,510800
582,833800
583,631600
584,754700
585,1097500
586,540700
587,511700
588,667100
589,526100
590,502500
591,500100
592,810100
593,1007200
594,1181100
595,1438900
596,588900
597,748500
598,549600
599,629900
600,579800
601,754100
602,572800
603,595000
604,687500
605,1066400
606,850600
607,546100
608,523600
609,472300
610,496600
611,503500
612,866400
613,683300
614,567300
615,475100
616,635200
