frame,frame_time_ns
1,213449100
2,768800
3,590200
4,469700
5,380500
6,392300
7,524400
8,352000
9,288800
10,250100
11,237400
12,333400
13,254100
14,257500
15,258600
16,262300
17,240100
18,253400
19,223500
20,249900
21,257400
22,233500
23,648100
24,478900
25,329500
26,326900
27,297600
28,269000
29,224100
30,207000
31,200900
32,195700
33,214300
34,235200
35,201200
36,195400
37,198900
38,206000
39,207300
40,200700
41,200400
42,197600
43,215700
44,247200
45,252300
46,240500
47,246200
48,223500
49,212000
50,196000
51,196400
52,243600
53,195500
54,193200
55,193100
56,195200
57,196500
58,202700
59,201600
60,195100
61,204200
62,200600
63,227200
64,301900
65,229200
66,271000
67,295100
68,301600
69,261000
70,296800
71,236000
72,225900
73,232200
74,290700
75,229500
76,226100
77,321500
78,247400
79,223100
80,228500
81,209100
82,217000
83,196900
84,196500
85,217400
86,226200
87,233900
88,380800
89,385300
90,477500
91,326300
92,236300
93,235300
94,260800
95,331200
96,239300
97,269200
98,300900
99,295100
100,231700
101,214400
102,385300
103,390200
104,300800
105,351800
106,227400
107,215200
108,209500
109,201600
110,217600
111,209200
112,231700
113,215600
114,230800
115,255900
116,199500
117,202500
118,201800
119,215300
120,223200
121,219500
122,200500
123,197000
124,261800
125,238800
126,333700
127,232200
128,210400
129,237500
130,219400
131,202000
132,206300
133,207700
134,195000
135,234900
136,251500
137,281900
138,204400
139,209100
140,207000
141,219100
142,211900
143,219000
144,251800
145,236800
146,314700
147,298900
148,250800
149,211100
150,192600
151,211900
152,199200
153,210200
154,214300
155,200800
156,240200
157,192100
158,251300
159,198700
160,227900
161,212100
162,202700
163,201500
164,202700
165,210200
166,212800
167,192800
168,195500
169,231000
170,276600
171,242600
172,216100
173,237500
174,311400
175,224900
176,205900
177,197700
178,400500
179,230500
180,251800
181,228200
182,210000
183,214800
184,219600
185,225700
186,190200
187,193600
188,213300
189,212200
190,237400
191,287500
192,246600
193,224300
194,196800
195,199600
196,191600
197,193200
198,192100
199,192800
200,211400
201,272500
202,218800
203,211500
204,191300
205,195200
206,456300
207,349700
208,205400
209,205300
210,194500
211,213900
212,233200
213,237500
214,233000
215,432000
216,392400
217,261600
218,229900
219,221200
220,471500
221,347700
222,294100
223,272300
224,239900
225,211600
226,227600
227,268100
228,316600
229,317300
230,280800
231,253500
232,226200
233,212300
234,204200
235,195100
236,192400
237,188000
238,197100
239,212300
240,200300
241,196200
242,235100
243,205600
244,188600
245,189100
246,188100
247,188800
248,187500
249,188200
250,187400
251,203000
252,212700
253,263700
254,229500
255,283600
256,234000
257,326500
258,317200
259,326800
260,255400
261,224100
262,276100
263,220500
264,215600
265,200500
266,197600
267,187900
268,187800
269,187200
270,189200
271,198800
272,254900
273,255700
274,256100
275,224700
276,245000
277,202700
278,228200
279,199400
280,197600
281,215200
282,184600
283,239900
284,195100
285,186900
286,184900
287,207900
288,188900
289,221200
290,189700
291,211100
292,187100
293,182900
294,185300
295,198500
296,261400
297,312800
298,288000
299,263400
300,220400
301,215100
302,220800
303,220100
304,204700
305,228200
306,190600
307,188800
308,188400
309,186900
310,188100
311,188800
312,188300
313,186800
314,187000
315,188200
316,187400
317,188000
318,187500
319,193100
320,227700
321,233300
322,249000
323,228900
324,206000
325,208700
326,253000
327,189900
328,197200
329,190100
330,202200
331,189000
332,189600
333,189000
334,188600
335,186500
336,186900
337,186600
338,187900
339,187700
340,187100
341,187200
342,186700
343,222700
344,414600
345,332000
346,400900
347,297800
348,208800
349,209300
350,228800
351,193400
352,187300
353,185300
354,185100
355,184700
356,185300
357,183800
358,184200
359,186000
360,188500
361,196400
362,184900
