frame,frame_time_ns
1,287663100
2,3612500
3,3681500
4,4857900
5,3473900
6,11204400
7,4149500
8,4502100
9,3931000
10,4325200
11,2898600
12,4181300
13,4861500
14,5476300
15,4313400
16,4014300
17,5448700
18,3169300
19,4342300
20,2683200
21,4098400
22,3696900
23,4345000
24,3032200
25,4213800
26,3824500
27,4122800
28,4046300
29,4529300
30,3597400
31,3703900
32,3303000
33,3808100
34,2469600
35,3388100
36,3544700
37,3567800
38,3567400
39,3383800
40,3031100
41,2337600
42,3216400
43,3167200
44,3019500
45,3203800
46,2403700
47,3773800
48,2718400
49,2916600
50,2619200
51,2235300
52,1933800
53,3586100
54,2606000
55,3282300
56,2978500
57,2331600
58,3313400
59,2199200
60,2707800
61,3050400
62,2413200
63,2730500
64,2560600
65,2240200
66,2719400
67,3030100
68,2280300
69,3195500
70,2778300
71,2513100
72,3253500
73,2729500
74,2198200
75,3748900
76,2512900
77,2971800
78,2707700
79,2475400
80,3453800
81,2668800
82,2275400
83,3246100
84,2399900
85,2277200
86,3495700
87,2427800
88,2347100
89,3274200
90,2720700
91,3498400
92,2623600
93,2349600
94,2884800
95,2522600
96,2504100
97,2840300
98,2210000
99,2515000
100,3165600
101,2111300
102,2088000
103,2884800
104,2216400
105,2027000
106,2567300
107,2555700
108,2261800
109,2247800
110,2909600
111,2278700
112,2565000
113,2721800
114,2157100
115,3085100
116,2288300
117,2035700
118,2115300
119,2898000
120,2342800
121,1892900
122,3016100
123,2392400
124,2134900
125,2536900
126,1748200
127,1696500
128,1706400
129,2600200
130,2034700
131,1705800
132,2813300
133,2326200
134,1950800
135,1885900
136,2531000
137,1723600
138,1716600
139,2041900
140,2623800
141,1891200
142,1778500
143,2730500
144,2007500
145,1692900
146,2059400
147,2715600
148,2512000
149,1852900
150,2309200
151,2120200
152,1848900
153,2460000
154,2589200
155,2112800
156,1828500
157,3000400
158,2002900
159,1818600
160,2748800
161,2506900
162,2193800
163,2195900
164,2847800
165,2202400
166,2303800
167,3122600
168,2323400
169,2014500
170,2712600
171,1805600
172,1431000
173,2618000
174,3013400
175,2419500
176,3199200
177,2087800
178,1744700
179,1817400
180,2886400
181,2305500
182,1966200
183,2972600
184,2232300
185,2228700
186,2892000
187,2575300
188,2099900
189,2275000
190,2714300
191,2022400
192,2810100
193,2820200
194,2205400
195,2133700
196,3029100
197,2107000
198,1962800
199,2796500
200,2619400
201,1721500
202,2300600
203,2198200
204,1980300
205,2328500
206,3653400
207,2526100
208,2232500
209,3092900
210,2173300
211,2993800
212,2589900
213,2165500
214,3135600
215,2414600
216,2246300
217,2694600
218,2820100
219,1929000
220,2421600
221,2636100
222,2556200
223,2371700
224,2870600
225,3153700
226,3519700
227,2207700
228,1963500
229,2329000
230,3093000
231,2482800
232,3099300
233,2178600
234,1996100
235,2091100
236,2306800
237,1720800
238,1681000
239,2884600
240,2127200
241,1709600
242,2002300
243,2540500
244,2794200
245,1932000
246,2277600
247,2288100
248,1767800
249,2879200
250,2692400
251,1908600
252,2931500
253,2284200
254,2226600
255,3019600
256,3407400
257,2547200
258,3125700
259,2271600
260,2738200
261,3788900
262,2951600
263,3058600
264,2902700
265,2380900
266,3140900
267,3011100
268,3585900
269,2773700
270,2611600
271,3012200
272,2926700
273,3047600
274,3014800
275,2939400
276,3123300
277,2334400
278,1898300
279,2516800
280,2607600
281,2325700
282,3186000
283,2428500
284,1922800
285,3554400
286,2242400
287,2875000
288,3406500
289,2511100
290,3266200
291,3132900
292,2881400
293,4258900
294,2766300
295,4184500
296,3159100
297,3513200
298,2118200
299,3496300
300,2971000
301,2591800
302,2810300
303,3706800
304,3309100
305,3344200
306,2266400
307,3001200
308,4000700
309,2745300
310,2753900
311,2029700
312,2822400
313,3180600
314,2497300
315,3676100
316,2622300
317,3188600
318,3216200
319,2629700
320,3327400
321,2677600
322,3142500
323,3773000
324,2721900
325,4064300
326,2616500
327,3500200
328,2339400
329,2297700
330,3423900
331,2398800
332,2885100
333,2963600
334,2529600
335,2756000
336,3258500
337,2530800
338,3050200
339,2936200
340,2370000
341,2815100
342,2447500
343,2174400
344,3232100
345,1916500
346,2627300
347,3761000
348,2639100
349,3823600
350,2353100
351,2021700
352,3275400
353,2733400
354,3098400
355,2668900
356,2653000
357,3402100
358,2784000
359,2719500
360,2476600
361,2194800
362,4305300
363,2709700
364,2044800
365,2496900
366,2769200
367,2124000
368,2357000
369,2217300
370,1700200
371,2404600
372,2430000
373,2475700
374,2347300
375,2429400
376,1769800
377,1482800
378,2199400
379,2753400
380,2308700
381,1904000
382,2715300
383,1989800
384,1651900
385,1775400
386,2728600
387,2198600
388,2051200
389,1896900
390,2728100
391,2031600
392,2225200
393,3620200
394,2157700
395,1870300
396,2774400
397,2053600
398,1946000
399,3464500
400,2009700
401,1892800
402,2382100
403,2326600
404,1795600
405,1798100
406,2471000
407,2630000
408,2042900
409,2166300
410,2330600
411,1827400
412,1833400
413,3273800
414,2488500
415,2268300
416,3155400
417,19949600
418,2845500
419,2472600
420,1990300
421,1939200
422,2495700
423,2316600
424,1837900
425,2517200
426,2604500
427,2269000
428,2454500
429,2592200
430,2162400
431,2500600
432,2470400
433,2065800
434,2211400
435,4019100
436,2472300
437,2403100
438,2465500
439,2076600
440,1791400
441,2963400
442,2200400
443,1976800
444,2718100
445,2073700
446,1927300
447,1786800
448,2763700
449,1849200
450,2031100
451,2232900
452,2368300
453,2067600
454,3174100
455,2590500
456,2772100
457,4019500
458,2777700
459,2541700
460,3184100
461,2455700
462,3203500
463,3131100
464,2489600
465,3032600
466,2191200
467,2511000
468,2830400
469,2453500
470,2740600
471,2962100
472,2343700
473,2092700
474,3175800
475,2220800
476,1968800
477,3398900
478,2540600
479,2446600
480,3772300
481,2773600
482,3180000
483,2798000
484,2574200
485,3516400
486,2650100
487,3955200
488,3136300
489,2965100
490,3211600
491,3263000
492,3462400
493,2633300
494,3669900
495,3401900
496,2900000
497,4201300
498,3528800
499,3430900
500,2471000
501,3466400
502,2733300
503,2481000
504,3380600
505,2588100
506,2233400
507,3069600
508,2190500
509,3212200
510,2987900
511,2040400
512,1943800
513,3258100
514,2759900
515,3952200
516,2876300
517,3425200
518,2268700
519,2464200
520,2921500
521,2766200
522,1925500
523,2593500
524,2451100
525,2072200
526,2220800
527,2921100
528,2127300
529,2083300
530,2536600
531,2053300
532,2045300
533,2992500
534,2360800
535,2456500
536,3195600
537,2160600
538,1703900
539,2089300
540,2615200
541,2712000
542,2027000
543,2624400
544,2159600
545,2119900
546,2612600
547,2936800
548,2031700
549,2021200
550,2641700
551,1908000
552,2697100
553,2928000
554,2015100
555,2122500
556,3571900
557,2380700
558,2522900
559,2857400
560,2042500
561,1813400
562,2533200
563,2037000
564,2256300
565,3089800
566,3084600
567,2230300
568,3441600
569,3021500
570,2986500
571,2483000
572,2346500
573,3279900
574,2676300
575,2539100
576,3210000
577,2603300
578,2524900
579,3062400
580,2712000
581,3191300
582,2548600
583,2060700
584,1576000
585,2198100
586,1767100
587,1481700
588,1852000
589,2295600
590,1601400
591,1474200
592,1732500
593,2547700
594,2276800
595,1738100
596,1936000
597,2393500
598,2410000
599,1794600
600,1734100
601,2762100
602,2392900
603,2522700
604,2452600
605,2372600
606,2084500
607,2430500
608,2121600
609,1825500
610,3369900
611,2152600
612,2141500
613,2867800
614,2401000
615,1891300
616,1705800
617,2757200
618,11815700
619,2513800
620,2645900
621,2201900
622,2126600
623,2650900
624,1949600
625,2334300
626,2806200
627,2232000
628,1906100
629,2529000
630,2285100
631,1877600
632,1801900
633,2861500
634,2603500
635,1831100
636,1995100
637,2369900
638,1871300
639,2111500
640,3129400
641,2215500
642,1932300
643,2273600
644,2431800
645,1922200
646,3245500
647,2292800
648,1829200
649,1997100
650,2499600
651,1769400
