frame,frame_time_ns
1,278853400
2,2901000
3,2677100
4,2696600
5,3699300
6,3072000
7,3838000
8,3479100
9,3721400
10,4913400
11,5000500
12,3869500
13,3996000
14,3060900
15,2815300
16,3556700
17,3716500
18,3850900
19,4091600
20,3056400
21,4156300
22,3856600
23,3916500
24,3227400
25,3478800
26,4062400
27,3671500
28,4468200
29,3892900
30,3987500
31,3224700
32,4447100
33,6313800
34,4118400
35,4038900
36,3921400
37,2679900
38,4708600
39,3501200
40,4090300
41,4041200
42,4858400
43,4036400
44,4058500
45,3826900
46,3817800
47,3588600
48,3546700
49,3258200
50,3283100
51,3284500
52,2988600
53,3491600
54,3691900
55,2742000
56,4133000
57,3387800
58,3612500
59,2781700
60,3256500
61,2759700
62,2882100
63,3131400
64,3231700
65,3004300
66,2498900
67,2873300
68,8500300
69,7065500
70,3591800
71,3356000
72,4270800
73,3825900
74,3603500
75,3037800
76,3877700
77,3319100
78,4536600
79,3127200
80,3198100
81,3175000
82,4033100
83,4219700
84,4187800
85,3723300
86,3564000
87,3936900
88,2396500
89,4758300
90,4148500
91,3927400
92,4472800
93,3482300
94,3554800
95,3225400
96,3389900
97,2737700
98,2944400
99,3219200
100,3782100
101,3055500
102,3173200
103,3945900
104,4169200
105,3478900
106,3668900
107,3407700
108,3679800
109,3631400
110,3710200
111,3963900
112,3669200
113,2625000
114,2845600
115,2766900
116,26352100
117,4213400
118,3665800
119,3693100
120,3472000
121,3715600
122,4787600
123,3341800
124,4857300
125,3515700
126,3751600
127,2993900
128,4386800
129,3328900
130,3625600
131,2754200
132,3670000
133,3206300
134,3350000
135,2762700
136,3320200
137,2866000
138,3056500
139,2637800
140,2991100
141,3185400
142,3023500
143,4266700
144,4113300
145,3619600
146,3649200
147,3117600
148,2810000
149,2971800
150,2668600
151,3199000
152,2891000
153,3058600
154,2793800
155,2697700
156,3909300
157,2564000
158,3143900
159,2561700
160,3046400
161,2876900
162,2701200
163,3090500
164,2639700
165,2823900
166,3048500
167,2815600
168,2769300
169,2990500
170,3184900
171,2707900
172,3737400
173,3346300
174,4145000
175,2790600
176,3998600
177,2894500
178,3679200
179,3284800
180,3227000
181,3029300
182,3321200
183,3172500
184,3193000
185,3942400
186,3705900
187,2608100
188,2262000
189,3031200
190,3392000
191,3729100
192,3076000
193,3654600
194,3823900
195,3958300
196,3336300
197,3568800
198,3228500
199,3799900
