frame,frame_time_ns
1,248390000
2,1835000
3,3799600
4,3945700
5,2791300
6,2989400
7,2520100
8,2061500
9,2388301
10,2501701
11,1827600
12,1556900
13,1532800
14,1726900
15,1431700
16,1248900
17,1336100
18,1400300
19,1426699
20,1953800
21,2125400
22,1974900
23,1528999
24,1594800
25,2024400
26,2093400
27,1371700
28,1496700
29,1650599
30,2193201
31,1895900
32,1601900
33,1356000
34,1644900
35,1555700
36,1550901
37,1765200
38,1631800
39,1751401
40,1876500
41,1781700
42,1792899
43,1593900
44,1951700
45,1824100
46,1684001
47,1597501
48,1600700
49,1636800
50,1686400
51,1689700
52,1671000
53,2476901
54,3931899
55,1845800
56,1764200
57,1486501
58,1972201
59,1427100
60,1471500
61,1620200
62,1637400
63,1619800
64,1623700
65,1433800
66,1558900
67,1878499
68,1527200
69,1416600
70,1525800
71,1799000
72,1988900
73,1928000
74,1730100
75,1226400
76,1756699
77,2262800
78,3000500
79,2516201
80,2954799
81,1399199
82,1681399
83,1472200
84,1373400
85,1780400
86,1411400
87,1256600
88,1280800
89,1084999
90,1207400
91,1031100
92,1451200
93,1637200
94,1360399
95,1148601
96,1089100
97,921100
98,1493900
99,1271000
100,1143900
101,1457400
102,1146400
103,1259601
104,1193001
105,1467700
106,1709200
107,1268500
108,1798500
109,1667300
110,1821400
111,1732500
112,1640700
113,1515300
114,1640300
115,1524699
116,1628100
117,1471599
118,1681600
119,1582700
120,1727301
121,1396400
122,1116500
123,1386600
124,1424000
125,1683701
126,1672000
127,1256300
128,1371000
129,1421000
130,1415599
131,1476900
132,1343100
133,1084499
134,1319400
135,1394900
136,1269801
137,1617799
138,1283201
139,1489900
140,1421101
141,2046700
142,2245600
143,2350399
144,1884801
145,1657100
146,1906900
147,1504901
148,1766700
149,1573000
150,1267800
151,1191899
152,1447199
153,1250800
154,1529400
155,1494701
156,1319699
157,1316101
158,1163200
159,1224199
160,1846400
161,1476501
162,1711600
163,1635201
164,1458201
165,1415200
166,1275301
167,1642900
168,1395500
169,1948901
170,1397600
171,1632000
172,1666800
173,1335900
174,1598900
175,1423800
176,1810800
177,1602699
178,1513101
179,1750100
180,1539200
181,1651500
182,1370200
183,1304600
184,1459099
185,1260100
186,1366000
187,1388900
188,1691300
189,1750699
190,1503400
191,1948200
192,1548299
193,1521600
194,1236700
195,976899
196,1682199
197,1253801
198,1342001
199,1479400
200,1119499
201,1290999
202,1234900
203,1047700
204,1139700
205,1376600
206,1456000
207,1661601
208,1277600
209,1207999
210,1962200
211,1320101
212,1051200
213,1255101
214,1461200
215,1315200
216,1217900
217,1319400
218,1322901
219,1350399
220,1272500
221,1673300
222,1480100
223,1222899
224,1325400
225,1153300
226,1097801
227,1395700
228,1298199
229,1014300
230,1737499
231,1011399
232,1566001
233,1496900
234,1072600
235,1152101
236,1082500
237,947800
238,937199
239,1339700
240,1165199
241,922299
242,1157399
243,975400
244,1036200
245,853900
246,858901
247,1297199
248,1179299
249,999199
250,1002200
251,1027801
252,1015700
253,776500
254,965000
255,973599
256,856500
257,840101
258,1489201
259,1022500
260,950300
261,979300
262,1109700
263,1348600
264,1045100
265,909801
266,934300
267,1201901
268,1083799
269,1015200
270,957700
271,872100
272,1073900
273,1118699
274,863900
275,785100
276,1453700
277,1028000
278,1108500
279,1200000
280,1355501
