frame,frame_time_ns
1,215324200
2,1722800
3,1774900
4,2069300
5,1380500
6,1264100
7,1393500
8,1448300
9,1293900
10,1487800
11,1245800
12,1405500
13,1866400
14,1566500
15,1537600
16,1710600
17,1472700
18,1292100
19,1308600
20,1297500
21,1668800
22,1773200
23,1175000
24,1095900
25,1349100
26,1826900
27,1433900
28,1361100
29,1112000
30,1672300
31,1592300
32,1471700
33,1179500
34,1539900
35,1616500
36,1501100
37,1344000
38,1215600
39,1532200
40,1501800
41,1504800
42,1239000
43,1510000
44,1710600
45,1593400
46,1456600
47,1523500
48,1652700
49,1562700
50,1582400
51,1383300
52,1642400
53,1278100
54,1235500
55,1577100
56,2011000
57,2002700
58,1665300
59,1669100
60,1900900
61,1636800
62,1385400
63,1486900
64,2099200
65,2319400
66,1888100
67,2039200
68,1638200
69,1404100
70,1344800
71,1084000
72,1466100
73,1201200
74,950600
75,823300
76,846600
77,868100
78,865700
79,1236800
80,1088600
81,923100
82,764100
83,712700
84,750600
85,743900
86,786700
87,1513000
88,1096800
89,854200
90,731000
91,775100
92,737200
93,800000
94,1043100
95,1177100
96,915500
97,801800
98,752000
99,700800
100,702000
101,751100
102,1095400
103,1270900
104,932300
105,839600
106,762400
107,797200
108,985600
109,1192200
110,1061500
111,844400
112,733700
113,890600
114,838200
115,837600
116,1156000
117,1179300
118,903600
119,796400
120,728200
121,806100
122,770400
123,823900
124,1276700
125,1038000
126,766900
127,806100
128,716300
129,855800
130,811900
131,837800
132,1368100
133,1218900
134,877500
135,767600
136,770500
137,757600
138,729400
139,1023000
140,1187300
141,982300
142,787200
143,807600
144,792700
145,754800
146,1011100
147,1258100
148,958900
149,803300
150,805600
151,757000
152,766800
153,1030300
154,1405100
155,1690200
156,1168100
157,1102400
158,884600
159,1147900
160,1392600
161,1020500
162,815300
163,805600
164,749400
165,939700
166,1103800
167,1283600
168,1206400
169,943400
170,769500
171,814500
172,790900
173,1147800
174,1517400
175,1054200
176,833300
177,798500
178,753000
179,719800
180,1275500
181,1309000
182,955900
183,1147100
184,1120800
185,1254000
186,1801600
187,1625400
188,1467900
189,1638700
190,2213100
191,1415000
192,1718900
193,1870700
194,2694500
195,2053500
196,1516300
197,1929500
198,1267800
199,1036000
200,930900
201,879600
202,1914000
203,1562000
204,1300400
205,979300
206,890000
207,978400
208,1516000
209,1334700
210,1032600
211,854400
212,857000
213,780700
214,1112500
215,1396100
216,1017800
217,944900
218,1156800
219,1276600
220,1656200
221,1318100
222,975400
223,1109200
224,1067000
225,1382100
226,1499000
227,1108900
228,1180400
229,1008600
230,919100
231,1550800
232,1203200
233,977600
234,834900
235,803600
236,844900
237,920600
238,1569600
239,1415700
240,1217700
241,980400
242,818200
243,735500
244,1139200
245,1018100
246,839500
247,797700
248,851100
249,756300
250,1012900
251,848300
252,1469700
253,1096000
254,1010700
255,830500
256,899000
257,848600
258,874300
259,1492000
260,1108500
261,904300
262,1062900
263,841100
264,871400
265,1174200
266,968800
267,931200
268,917000
269,808300
270,767500
271,804500
272,1144400
273,1317500
274,1021100
275,871700
276,813600
277,993900
278,849500
279,1485600
280,1133700
281,857200
282,919400
283,816300
284,801400
285,758700
286,1381900
287,1149600
288,946100
289,810400
290,745700
291,938200
292,739800
293,1229600
294,1372400
295,1149800
296,992100
297,1006900
298,1139800
299,1289900
300,1001200
301,875100
302,727200
303,1147300
304,1110700
305,1442700
306,1383500
307,1013000
308,915300
309,765200
310,727500
311,883800
312,1267900
313,945600
314,800300
315,727600
316,799000
317,813200
318,725600
319,761300
320,1673000
321,1412600
322,1240000
323,891100
324,904300
325,834500
326,1151300
327,1041300
328,837400
329,865700
330,767600
331,726800
332,699200
333,797200
334,979300
335,1105700
336,839700
337,838600
338,723200
339,1133900
340,792000
341,960300
342,1280300
343,1159200
344,882700
345,1085500
346,1101600
347,1640100
348,1215100
349,963300
350,841100
351,810500
352,816100
353,835000
354,1661600
355,1230400
356,995900
357,789700
358,762600
359,799300
360,905500
361,1471000
362,1194200
363,1447700
364,900900
365,771700
366,768900
367,1543800
368,1231000
369,898800
370,816200
371,750500
372,768700
373,831700
374,1273400
375,1181000
376,957700
377,790500
378,707700
379,700200
380,835000
381,1576000
382,1100300
383,818700
384,920000
385,803300
386,734500
387,802200
388,1294800
389,1552900
390,910700
391,844700
392,876500
393,849900
394,1016900
395,1193500
396,1171900
397,934300
398,852400
399,788500
400,832300
401,871700
402,1276500
403,950100
404,852400
405,759700
406,788000
407,731700
408,834000
409,830600
410,1179700
411,1002000
412,872400
413,779600
414,740000
415,711300
416,756300
417,829500
418,1379700
419,1060400
420,889700
421,818500
422,791600
423,781800
424,873000
425,1302800
426,1062800
427,844600
428,898000
429,765400
430,737900
431,769400
432,1676000
433,1140900
434,902300
435,724200
436,776000
437,728600
438,701100
439,929400
440,1134500
441,865000
442,719400
443,701400
444,789500
445,708300
446,712600
447,793900
448,1414200
449,1229200
450,911900
451,747400
452,786900
453,762300
454,697900
455,1004400
456,1067700
457,874500
458,768400
459,742600
460,697100
461,727900
462,701900
463,809800
464,1424400
465,1182100
466,881400
467,912100
468,742100
469,840700
470,1316800
471,1315300
472,1027700
473,830600
474,942700
475,775500
476,915400
477,1312500
478,1015700
479,807600
480,743500
481,705200
482,692900
483,742200
484,751700
485,1226700
486,1148100
487,895700
488,759000
489,758900
490,739000
491,707600
492,765100
493,1217000
494,1469600
495,1063300
496,1083000
497,777000
498,738800
499,915800
500,1337600
501,1055600
502,844900
503,748500
504,829100
505,729100
506,915100
507,1260200
508,1173900
509,976900
510,787000
511,829500
512,905700
513,1075600
514,1180300
515,914400
516,772200
517,1008500
518,1062300
519,1518900
520,1599800
521,1141600
522,994100
523,845100
524,763700
525,857000
526,1311200
527,942700
528,803400
529,870500
530,743500
531,810000
532,769000
533,816900
534,1225400
535,1124400
536,925300
537,883700
538,762900
539,742100
540,711300
541,908900
542,1129800
543,987000
544,814100
545,844700
546,743100
547,743800
548,703100
549,876900
550,1108000
551,938500
552,890200
553,850100
554,897200
555,920200
556,964800
557,1347900
558,1103900
559,885000
560,1016800
561,916800
562,792000
563,1446100
564,1112500
565,865600
566,786900
567,951900
568,902300
569,793800
570,1020700
571,1146100
572,1436900
573,860000
574,774500
575,867800
576,769900
577,1022200
578,1576700
579,1082800
580,911800
581,789100
582,789200
583,732800
584,1541200
585,1272200
586,946100
587,946600
588,888100
589,770100
590,694300
591,909300
592,1469500
593,1203800
594,1018900
595,866300
596,1009300
597,978300
598,1547800
599,884100
600,1008700
601,827900
602,745800
603,1280300
604,1326200
605,908900
606,784900
607,793300
608,932500
609,952500
610,1471000
611,1094000
612,900700
613,767600
614,1076600
615,779700
616,776600
617,991500
618,1137500
619,843400
620,868600
621,802300
622,788500
623,772600
