frame,frame_time_ns
1,278232300
2,5005600
3,1952800
4,2442200
5,2016500
6,2437400
7,1834600
8,1950800
9,2453800
10,2317900
11,1436500
12,1757600
13,2153900
14,2101800
15,1821300
16,2158100
17,2159900
18,2187700
19,2370500
20,2226400
21,1825200
22,1906100
23,2572000
24,1484100
25,2782100
26,2472800
27,2049700
28,1891600
29,1221300
30,1325800
31,1290800
32,891000
33,1693000
34,1215000
35,2797700
36,2609100
37,2888100
38,2530700
39,2285700
40,2245000
41,2493000
42,1374300
43,1217900
44,1100100
45,955200
46,1105900
47,2344500
48,1387200
49,1434900
50,1051000
51,1383000
52,1729300
53,2251300
54,1467500
55,2733300
56,2208400
57,1956000
58,1876700
59,2202200
60,2273400
61,2040000
62,2015700
63,1295700
64,1805800
65,1277300
66,1063700
67,1068300
68,1627200
69,1085600
70,1379500
71,1606900
72,1147300
73,1283900
74,1001000
75,2269000
76,2084700
77,2278000
78,2396800
79,1889700
80,1740400
81,1609900
82,1126000
83,1086000
84,899900
85,679100
86,699500
87,1090800
88,819700
89,714000
90,660800
91,1041400
92,961500
93,809200
94,1164300
95,1665000
96,990400
97,1042500
98,1279200
99,1492700
100,2009900
101,1476200
102,1673100
103,1327000
104,2481800
105,1150800
106,1771900
107,2144900
108,1661500
109,2357700
110,1498500
111,1826000
112,1491300
113,1813600
114,1674800
115,1591600
116,1161300
117,1195400
118,1143600
119,795700
120,621800
121,568900
122,1069900
123,1079600
124,682300
125,706500
126,1147300
127,778000
128,655800
129,1086100
130,1130800
131,911300
132,2062700
133,1273600
134,1942200
135,1977600
136,2251400
137,1760700
138,1690000
139,1640700
140,2053600
141,1468500
142,1603000
143,1769300
144,2019400
145,1654300
146,1440400
147,1010200
148,1561700
149,1375900
150,1995600
151,1294900
152,1890700
153,1470800
154,1659900
155,1057300
156,954800
157,1582900
158,1061300
159,1230700
160,1365100
161,1588800
162,1665700
163,2159300
164,2125100
165,1891800
166,1849200
167,1558000
168,1053900
169,764400
170,1109500
171,1241800
172,814700
173,1342200
174,1012200
175,943800
176,1293900
177,855700
178,1153700
179,1579900
180,1738500
181,1501500
182,1094700
183,1521500
184,1211500
185,1926500
186,1279600
187,1626100
188,898100
189,669000
190,762800
191,919100
192,684900
193,629400
194,601100
195,943000
196,700800
197,665500
198,879700
199,1397900
200,1477200
201,759800
202,720600
203,1009800
204,941900
205,754800
206,957500
207,875700
208,1123000
209,1563900
210,1298300
211,1916500
212,1636300
213,1812400
214,1650400
215,1963600
216,1076700
217,1273500
218,1109500
219,865400
220,1316300
221,914900
222,773900
223,1587400
224,1259500
225,2113200
226,1336500
227,1500100
228,1871200
229,1233200
230,1441800
231,1076100
232,1002500
233,1264300
234,1145500
235,1312200
236,1260800
237,796700
238,2088000
239,1368100
240,1461900
241,1282000
242,1283700
243,1518100
244,1738000
245,1561700
246,1218000
247,1041600
248,832700
249,758200
250,968700
251,798500
252,657800
253,771800
254,1149300
255,905300
256,903300
257,1369400
258,1037700
259,734500
260,769600
261,912500
262,625000
263,618000
264,539000
265,863900
266,774400
267,622700
268,685200
269,923100
270,1047600
271,695800
272,757500
273,1797000
274,1204600
275,1212000
276,892800
277,807900
278,1292800
279,913100
280,846100
281,1539700
282,889300
283,781100
284,949700
285,767800
286,832400
287,930000
288,903700
289,589500
290,490400
291,513700
292,910200
293,1062600
294,893400
295,1204700
296,1245700
297,1037100
298,853400
299,1159000
300,1164800
301,807800
302,678500
303,959700
304,740800
305,564000
306,515300
307,1031000
308,845500
309,611100
310,902300
311,2102900
312,1794200
313,1445100
314,1629400
315,1033900
316,1017900
317,1466600
318,1380200
319,1316800
320,1064100
321,962100
322,1419200
323,928300
324,722000
325,1028100
326,903200
327,705500
328,843600
329,1056500
330,1189600
331,878600
332,733700
333,1266500
334,1008000
335,777700
336,1130800
337,1486900
338,1468000
339,1129200
340,1091100
341,1936800
342,1126700
343,1615600
344,1477100
345,1525600
346,1434900
347,1431500
348,1431400
349,1244500
350,1403400
351,1087700
352,1108800
353,823900
354,651700
355,714500
356,1111900
357,947300
358,738000
359,1140900
360,1137500
361,1219500
362,812100
363,732200
364,1315200
365,743200
366,593600
367,624600
368,1269600
369,816600
370,617400
371,1043400
372,871500
373,630500
374,541800
375,1472800
376,1327800
377,1373500
378,1344600
379,987800
380,1615100
381,958700
382,991500
383,1120400
384,775700
385,713500
386,1158900
387,902700
388,766800
389,774000
390,1013900
391,706800
392,627300
393,839700
394,1022300
395,761300
396,720800
397,965600
398,1319700
399,794700
400,661100
401,728800
402,946300
403,950900
404,780500
405,1348600
406,1047200
407,1044700
408,1461500
409,1031200
410,1920900
411,1288600
412,1311300
413,941800
414,724600
415,1038400
416,875100
417,748000
418,890300
419,1198000
420,1186600
421,1151900
422,1093000
423,813000
424,1058400
425,1515400
426,1414800
427,1427600
428,927800
429,1425200
430,1372900
431,1273400
432,1667500
433,959200
434,783700
435,1166200
436,1077300
437,746700
438,1003000
439,1068500
440,983900
441,2141900
442,1799300
443,1490300
444,2272900
445,2604800
446,2280400
447,1587900
448,1256200
449,1852400
450,1712800
451,1405100
452,1632700
453,1572400
454,2254000
455,1502200
456,1786700
457,1370700
458,1348200
459,1093700
460,1268300
461,1268200
462,2125900
463,1743500
464,1501000
465,1188200
466,1428600
467,1169500
468,1171400
469,1579200
470,2122900
471,1768400
472,1674800
473,926200
474,972400
475,1587600
476,841100
477,973100
478,1428300
479,1219000
480,965700
481,1803600
482,1584700
483,1863100
484,1827100
485,1629600
486,2924100
487,2731100
488,1524000
489,2330000
490,2032700
491,1307400
492,1942400
493,1337200
494,1933300
495,1375700
496,1620700
497,1760000
498,1911100
499,1947500
500,1652600
501,1883700
502,1702300
503,1262800
504,1081100
505,1859000
506,1902500
507,1653100
508,1954400
509,1271400
510,1628800
511,1130000
512,1055800
513,1205400
514,1007900
515,1179300
516,1196900
517,981000
518,1191300
519,965200
520,1016400
521,1093100
522,1184800
523,1149400
524,979500
525,1310300
526,1399500
527,1263700
528,1010300
529,915900
530,978600
531,1143900
532,1150100
533,1625100
534,1068100
535,1407700
536,1489900
537,1887300
538,1017000
539,1008100
540,1255000
541,792800
542,737300
543,1187200
544,880100
545,853800
546,1422400
547,776800
548,593000
549,879600
550,1456200
551,976700
552,1242200
553,1249700
554,1199500
555,1475500
556,987100
557,817900
558,854900
559,1139400
560,959700
561,820200
562,882000
563,1012100
564,736500
565,913700
566,1479700
567,808300
568,821000
569,928000
570,721200
571,585900
572,532100
573,978800
574,1152700
575,1083400
576,1463000
577,952700
578,859700
579,1181400
580,1012700
581,842500
582,987300
583,853400
584,580400
585,542800
586,845900
587,780800
588,624900
589,609200
590,969300
591,752500
592,1517800
593,1427800
594,1690300
595,927600
596,1136300
597,1071500
598,740200
599,759600
600,1280200
601,730500
602,932300
603,1593500
604,1249000
605,1932500
606,1276900
607,1481100
608,978200
609,875200
610,1397700
611,1007600
612,867300
613,1112700
614,734600
615,688700
616,1150700
617,739000
618,601000
619,613900
620,1060400
621,715700
622,559200
623,519300
624,639200
625,1160400
626,882300
627,587400
628,534400
629,557300
630,814000
631,703400
632,606300
633,573400
634,646000
635,913800
636,844400
637,827800
638,1525900
639,919300
640,776500
641,1220500
642,839600
643,715900
644,1177300
645,909000
646,871600
647,1234000
648,1099300
649,940500
650,1245400
651,1007500
652,739700
653,1099100
654,928800
655,711600
656,855200
657,1106000
658,1024300
659,956400
660,1159600
661,794400
662,797900
663,905400
664,639300
665,1004800
666,644100
667,539500
668,500900
669,697200
670,855900
671,616500
672,548100
673,547700
674,1017400
675,749200
676,531700
677,422600
678,434800
679,562200
680,774400
681,787100
682,745300
683,996500
684,924800
685,748100
686,614200
687,835400
688,561400
689,479200
690,461900
691,463300
692,1210400
693,866800
694,855400
695,1161000
696,857500
697,578700
698,468300
699,556300
700,806400
701,579800
702,470800
703,458400
704,443900
705,704400
706,644600
707,503600
708,509700
709,516900
710,545300
711,680900
712,590600
713,497000
714,452300
715,441200
716,902600
717,637500
718,1134600
719,775800
720,621000
721,587200
722,688900
723,785800
724,709800
725,695200
726,741900
727,1052100
728,763700
729,572100
730,592800
731,794900
732,624500
733,532800
734,549900
735,1178000
736,1136100
737,745000
738,975600
739,828800
740,560200
741,475500
742,446400
743,711100
744,612900
745,453700
746,429200
747,540500
748,654000
749,895100
750,636200
751,502400
752,455300
753,648100
754,760500
755,572600
756,460800
757,446700
758,500500
759,1366100
760,1188900
761,1511800
762,929800
763,782600
764,665600
