frame,frame_time_ns
1,222643300
2,1707000
3,1145200
4,881000
5,2030200
6,764200
7,688700
8,1684200
9,504900
10,608800
11,1402000
12,2171300
13,674600
14,478200
15,1008500
16,587600
17,434900
18,1416500
19,963000
20,1172000
21,671000
22,719500
23,291500
24,920100
25,568100
26,756300
27,553200
28,1256300
29,720900
30,1110200
31,633000
32,887900
33,489900
34,716400
35,776800
36,581700
37,441900
38,993700
39,760600
40,987300
41,832300
42,1035400
43,1017600
44,354300
45,720000
46,521900
47,771600
48,968400
49,2283900
50,663200
51,453800
52,935500
53,652200
54,1144100
55,1818200
56,1257800
57,642000
58,897700
59,912700
60,1512300
61,1118400
62,1038200
63,526300
64,663300
65,484400
66,619800
67,436000
68,751100
69,450300
70,414500
71,635900
72,309200
73,601500
74,970000
75,321300
76,555100
77,709600
78,495000
79,283200
80,525800
81,434200
82,723900
83,212600
84,216400
85,188400
86,176000
87,182200
88,266900
89,290900
90,376600
91,641000
92,605700
93,865000
94,491000
95,831200
96,460000
97,741000
98,245500
99,243900
100,241400
101,247000
102,873400
103,1019200
104,1043500
105,529700
106,462400
107,635800
108,429400
109,727400
110,478300
111,406900
112,632800
113,299800
114,847600
115,2295000
116,767300
117,515600
118,1098900
119,547500
120,789200
121,1552300
122,1295000
123,643700
124,656600
125,658100
126,912600
127,449100
128,773000
129,648800
130,984200
131,649200
132,785600
133,240400
134,254400
135,186900
136,290900
137,230200
138,180000
139,189900
140,185700
141,160900
142,247900
143,345400
144,215800
145,272000
146,299500
147,388800
148,438800
149,461400
150,464300
151,762300
152,299000
153,515500
154,789700
155,454200
156,430000
157,438300
158,609200
159,453300
160,805700
161,449700
162,728100
163,739000
164,225400
165,233500
166,247200
167,186800
168,185300
169,194700
170,193300
171,181000
172,188600
173,275200
174,760600
175,294000
176,468100
177,909100
178,393500
179,254100
180,243700
181,184700
182,169300
183,720000
184,447100
185,639200
186,176000
187,218400
188,228300
189,213700
190,207200
191,213200
192,224000
193,200200
194,174000
195,183800
196,231000
197,1458500
198,654500
199,1039000
200,832100
201,803800
202,599800
203,1017800
204,508500
205,453700
206,1070600
207,1226300
208,324300
209,652500
210,1036400
211,573700
212,521200
213,844800
214,360800
215,969800
216,1354300
217,453400
218,576500
219,444600
220,693500
221,420600
222,667500
223,413500
224,803400
225,518000
226,1467200
227,587200
228,503200
229,696900
230,222000
231,233400
232,205000
233,241300
234,247800
235,205900
236,195100
237,191200
238,182600
239,174500
240,216300
241,214400
242,207700
243,303700
244,557800
245,580800
246,498100
247,925200
248,278500
249,284900
250,165000
251,186000
252,211600
253,177900
254,235100
255,570600
256,497700
257,686200
258,566500
259,385400
260,1066900
261,509100
262,907900
263,512700
264,702900
265,697700
266,218400
267,219400
268,267300
269,218500
270,217900
271,211000
272,251200
273,394700
274,619800
275,998500
276,1265000
277,1076200
278,788300
279,792100
280,1588500
281,961900
282,1146600
283,1156900
284,394800
285,560000
286,615200
287,1039900
288,569900
289,535800
290,307700
291,184300
292,261400
293,204400
294,213000
295,215100
296,178300
297,319700
298,427000
299,430800
300,268300
301,327200
302,294000
303,329000
304,512900
305,512700
306,547700
307,513100
308,800800
309,229100
310,241800
311,218700
312,583000
313,355000
314,632000
315,441600
316,654100
317,172000
318,279500
319,805700
320,567700
321,1171500
322,532600
323,418100
324,646800
325,387300
326,627100
327,194900
328,202400
329,276500
330,198300
331,187700
332,255100
333,662000
334,509300
335,1049000
336,609300
337,804400
338,220600
339,555500
340,677100
341,469300
342,260800
343,731700
344,507800
345,597300
346,936000
347,614600
348,566600
349,1032000
350,765200
351,1143000
352,499900
353,1063600
354,423000
355,906600
356,713800
357,899500
358,473200
359,854300
360,544700
361,983100
362,752800
363,1197400
364,1082800
365,660400
366,332000
367,663600
368,452200
369,614000
370,428600
371,655800
372,394100
373,655600
374,440000
375,958900
376,922600
377,491300
378,229500
379,576100
380,647100
381,181700
382,277400
383,253300
384,547900
385,325700
386,590700
387,547500
388,348700
389,734800
390,1310800
391,671100
392,736900
393,434800
394,723400
395,452400
396,659700
397,698900
398,243200
399,638800
400,500400
401,563700
402,907100
403,468600
404,476000
405,723200
406,255600
407,293300
408,644100
409,635000
410,246400
411,559400
412,704800
413,731000
414,987700
415,1220800
416,1062000
417,561200
418,826300
419,411900
420,859200
421,495200
422,1499500
423,704300
424,553600
425,615600
426,1052700
427,473600
428,474000
429,503600
430,1068300
431,704800
432,620300
433,1352800
434,419400
435,741200
436,738000
437,496700
438,238900
439,593600
440,252300
441,882500
442,837600
443,576900
444,756200
445,442000
446,628500
447,597100
448,406300
449,596300
450,392700
451,750200
452,282200
453,660600
454,493100
455,1004500
456,500100
457,719800
458,451000
459,709600
460,462000
461,659400
462,626800
463,203000
464,595700
465,715700
466,464500
467,272500
468,1008400
469,554300
470,767000
471,402500
472,650000
473,704700
474,405400
475,364400
476,595700
477,194300
478,785200
479,342900
480,845100
481,981300
482,1498500
483,1761600
484,601300
485,908500
486,791700
487,632900
488,670700
489,883100
490,723800
491,481300
492,857500
493,547000
494,735200
495,439300
496,778600
497,553900
498,839100
499,664600
500,995200
501,549300
502,591900
503,649300
504,382400
505,287800
506,602600
507,458700
508,632300
509,377500
510,770400
511,628800
512,855400
513,339800
514,840800
515,469500
516,674400
517,261100
518,443300
519,739600
520,171900
521,168400
522,193300
523,585900
524,227400
525,767800
526,992800
527,569300
528,762700
529,229900
530,547800
531,210900
532,920500
533,450900
534,759400
535,546000
536,753200
537,889800
538,1137300
539,448800
540,993000
541,462100
542,647300
543,661000
544,477400
545,893800
546,531800
547,524100
548,1086000
549,1396600
550,802400
551,823800
552,675600
553,1171500
554,547900
555,830200
556,430800
557,881500
558,709000
559,471200
560,582000
561,655200
562,411800
563,401700
564,474400
565,761800
566,955200
567,1168000
568,517400
569,426900
570,1237500
571,506600
572,726700
573,472100
574,592800
575,220000
576,476600
577,219800
578,523200
579,907200
580,782700
581,498800
582,824800
583,519100
584,348400
585,797200
586,440400
587,636100
588,204400
589,505800
590,658600
591,379200
592,251400
593,389500
594,903800
595,942900
596,643400
597,538000
598,647600
599,434000
600,710400
601,213400
602,548500
603,684200
604,647300
605,412000
606,529500
607,1442800
608,503300
609,589000
610,644700
611,180900
612,154700
613,505300
614,195700
615,443800
616,622000
617,382500
618,184400
619,539800
620,668500
621,456100
622,1078000
623,785800
624,919700
625,362400
626,520400
627,372700
628,612800
629,367300
630,361400
631,626600
632,379100
633,912300
634,578600
635,471000
636,362300
637,549800
638,332900
639,520400
640,590900
641,156800
642,161000
643,742400
644,430000
645,1214700
646,532700
647,821900
648,484200
649,780500
650,292600
651,505300
652,430800
653,671000
654,175000
655,517700
656,246500
657,556400
658,719100
659,619100
660,561700
661,391500
662,600900
663,366000
664,669300
665,234800
666,706800
667,216300
668,524000
669,755500
670,604800
671,490600
672,775800
673,959400
674,460700
675,781300
676,720200
677,391700
678,218400
679,485300
680,782800
681,182000
682,180000
683,170600
684,252800
685,157900
686,161200
687,584900
688,206700
689,670500
690,838500
691,431100
692,754700
693,622400
694,295100
695,524600
696,702100
697,379600
698,581700
699,356900
700,527600
701,500100
702,803300
703,649100
704,473800
705,1004600
706,523700
707,762500
708,749200
709,408500
710,195400
711,489300
712,194800
713,482300
714,574300
715,360200
716,721700
717,606700
718,499600
719,651400
720,551500
721,595100
722,379500
723,631300
724,411200
725,374900
726,656900
727,825300
728,383100
729,768500
730,426200
731,883100
732,538100
733,575800
734,388500
735,628700
736,153200
737,179100
738,153700
739,149100
740,603600
741,227700
742,569400
743,334700
744,966500
745,397100
746,536400
747,903600
748,475600
749,591300
750,657800
751,395600
752,369900
753,567900
754,212700
755,851400
756,513000
757,620200
758,1003400
759,967300
760,337400
761,669100
762,653200
763,413800
764,626800
765,188200
766,159300
767,542500
768,272600
769,576200
770,611300
771,1543000
772,634900
773,815900
774,380500
775,629300
776,234900
777,601300
778,270600
779,584900
780,819100
781,583900
782,659600
783,1150000
784,671700
785,939900
786,486700
787,717500
788,720100
789,362700
790,385600
791,593100
792,409900
793,885000
794,550900
795,654700
796,715400
797,463100
798,627000
799,271300
800,662900
801,391400
802,638200
803,831100
804,527000
805,734600
806,1049000
807,330900
808,611900
809,263700
810,553700
811,618800
812,380400
813,598300
814,390300
815,615800
816,581000
817,203700
818,969500
819,1377700
820,492200
821,682200
822,447600
823,798900
824,447700
825,569100
826,667900
827,425800
828,593400
829,434200
830,473300
831,1145700
832,784500
833,533400
834,809800
835,471700
836,723700
837,272300
838,533300
839,854700
840,616900
841,490000
842,440600
843,1191500
844,607900
845,667000
846,434700
847,770000
848,408400
849,383300
850,798900
851,445700
852,327200
853,1073400
854,1125800
855,1698700
856,685600
857,818100
858,460100
859,941500
860,449600
861,381900
862,970900
863,735100
864,1042700
865,670100
866,804500
867,481700
868,490700
869,840700
870,366100
871,1289400
872,554300
873,772900
874,1212600
875,570700
876,202600
877,878100
878,291700
879,993300
880,290900
881,651300
882,509100
883,745300
884,392600
885,594100
886,808100
887,221200
888,601300
889,221300
890,532900
891,746100
892,434900
893,195000
894,485300
895,640400
896,615000
897,479900
898,970600
899,543000
900,652300
901,220200
902,516200
903,648100
904,163600
905,181200
906,923500
907,569700
908,486600
909,538600
910,1270400
911,808300
912,995500
913,518100
914,484600
915,647200
916,988300
917,557900
918,487100
919,643400
920,207400
921,1146100
922,648000
923,741500
924,594700
925,850500
926,490700
927,618900
928,783600
929,408800
930,177000
931,654600
932,253000
933,1306000
934,664200
935,1133000
936,510900
937,727900
938,239200
939,389300
940,685700
941,1087500
942,1020200
943,647600
944,780200
945,513800
946,643400
947,804400
948,356100
949,778600
950,415900
951,677100
952,311400
953,420500
954,918800
955,572700
956,898400
957,361600
958,678000
959,690000
960,430100
961,235500
962,547600
963,341100
964,581600
965,398800
966,315500
967,1238700
968,553900
969,951800
970,602000
971,583700
972,400900
973,736700
974,240400
975,551200
976,272400
977,597600
978,520200
979,1414600
980,600400
981,494700
982,1255300
983,406400
984,822100
985,495600
986,653700
987,442000
988,574600
989,847000
990,1093300
991,851700
992,636300
993,1584100
994,602100
995,361600
996,773600
997,325000
998,558200
999,1685700
1000,700200
1001,714700
1002,422000
1003,736700
1004,480500
1005,899100
1006,497000
1007,1756100
1008,869700
1009,802100
1010,478000
1011,417400
1012,480300
1013,1140300
1014,616100
1015,614900
1016,1182700
1017,835900
1018,730000
1019,413300
1020,874100
1021,759000
1022,1199500
1023,539600
1024,397200
1025,916500
1026,634800
1027,802800
1028,860200
1029,819900
1030,470200
1031,776700
1032,442200
1033,447400
1034,1183800
1035,528400
1036,1206800
1037,879800
1038,698100
1039,872700
1040,261900
1041,552400
1042,776700
1043,490500
1044,224900
1045,754900
1046,431200
1047,380900
1048,1207600
1049,1073600
1050,888400
1051,841800
1052,453200
1053,897100
1054,414800
1055,593700
1056,610700
1057,260400
1058,599700
1059,584000
1060,816900
1061,469900
1062,1081300
1063,495200
1064,381700
1065,609000
1066,1139700
1067,865000
1068,936500
1069,652300
1070,616700
1071,283800
1072,595700
1073,391800
1074,631600
1075,400800
1076,662700
1077,428400
1078,235200
1079,597600
1080,699100
1081,826600
1082,1088900
1083,623800
1084,771100
1085,413300
1086,660400
1087,722300
1088,388700
1089,189100
1090,681500
1091,473300
1092,461300
1093,937000
1094,629000
1095,891200
1096,541000
1097,230200
1098,527400
1099,682800
1100,339300
1101,670700
1102,396800
1103,714700
1104,281900
1105,1368300
1106,805700
1107,495900
1108,693000
1109,500000
1110,774500
1111,631900
1112,452200
1113,632000
1114,402800
1115,611400
1116,237000
1117,2138000
1118,1029900
1119,541500
1120,738900
1121,421000
1122,670700
1123,245600
1124,640200
1125,447400
1126,818600
1127,714600
1128,525900
1129,1135400
1130,384400
1131,569200
1132,671000
1133,421800
1134,735400
1135,698600
1136,886000
1137,889600
1138,1342200
1139,704900
1140,1108700
1141,453600
1142,1005100
1143,14982600
1144,1035100
1145,943800
1146,1765600
1147,702200
