frame,frame_time_ns
1,243570100
2,2531900
3,1094700
4,1216000
5,1536100
6,2155500
7,1817000
8,1859200
9,1105000
10,921600
11,544400
12,609800
13,792600
14,1233900
15,1078900
16,1204700
17,1201000
18,803400
19,1342100
20,1295300
21,1003600
22,824600
23,681900
24,1466200
25,1072600
26,1100000
27,785100
28,636500
29,562800
30,548400
31,1110900
32,871500
33,849800
34,711200
35,602300
36,512300
37,426500
38,522800
39,642700
40,819400
41,708800
42,537300
43,511700
44,827800
45,810000
46,854700
47,742000
48,557300
49,509100
50,491500
51,677800
52,841300
53,1185000
54,823200
55,1057400
56,2224400
57,1453700
58,1503300
59,885900
60,1095700
61,1266800
62,1207000
63,923700
64,700400
65,947000
66,1093000
67,1093700
68,1196700
69,939500
70,868200
71,991300
72,1070600
73,1173400
74,913200
75,1265700
76,1550900
77,1188900
78,717700
79,485300
80,421400
81,453500
82,523200
83,937500
84,788600
85,1168400
86,791300
87,723200
88,764000
89,859900
90,947800
91,882200
92,689400
93,612700
94,550000
95,647000
96,828500
97,927500
98,835100
99,725500
100,658400
101,545200
102,1061600
103,1361700
104,958000
105,941600
106,1048500
107,1230000
108,1395200
109,2245200
110,1186900
111,1580000
112,1509000
113,1567100
114,1842100
115,1805500
116,1573200
117,1798000
118,1185100
119,1173300
120,1672200
121,1518300
122,1281900
123,1219600
124,1407200
125,1398900
126,1378400
127,926000
128,1219400
129,1016900
130,1315500
131,1234600
132,1850700
133,1613600
134,1284800
135,1305000
136,1735700
137,1684500
138,2005700
139,1653300
140,1599800
141,1334200
142,1222000
143,1641800
144,1503600
145,1426700
146,1253300
147,1717600
148,1435000
149,1147400
150,710300
151,646800
152,1034600
153,844100
154,550200
155,513800
156,492100
157,401900
158,554100
159,1093800
160,756300
161,835200
162,828000
163,570900
164,575800
165,678500
166,737700
167,599300
168,617200
169,1561100
170,807600
171,955000
172,2146800
173,962500
174,847300
175,876500
176,1518700
177,814800
178,698000
179,842600
180,516200
181,392100
182,324600
183,312900
184,624000
185,813200
186,691600
187,558400
188,404400
189,572100
190,445600
191,415500
192,384400
193,387900
194,620000
195,774600
196,738800
197,474500
198,506600
199,477600
200,517800
201,486000
202,781400
203,746900
204,660100
205,563300
206,597600
207,536300
208,500900
209,431600
210,1046900
211,1382100
212,688600
213,1248000
214,1051100
215,1022800
216,798900
217,1173400
218,794600
219,662600
220,544400
221,449600
222,355800
223,330900
224,325500
225,663400
226,874400
227,1016700
228,915700
229,754900
230,556900
231,456400
232,415300
233,563000
234,1108500
235,1064500
236,683800
237,788500
238,668900
239,726700
240,1066700
241,782000
242,503400
243,459400
244,435300
245,499800
246,504100
247,579100
248,1131000
249,931700
250,514300
251,401500
252,445300
253,469100
