frame,frame_time_ns
1,200383600
2,2957900
3,2458900
4,1808900
5,1618100
6,2503200
7,1976400
8,2004600
9,1637500
10,2106400
11,1942800
12,1806500
13,2404200
14,1917300
15,1696700
16,2469600
17,2055500
18,1992400
19,2815200
20,2424600
21,1836800
22,1755200
23,2343600
24,1695900
25,1538900
26,1456000
27,2504400
28,2008800
29,1661600
30,1924000
31,2166000
32,2056300
33,2158000
34,2126900
35,1684700
36,1554500
37,1987500
38,2009900
39,1807200
40,2692500
41,2818000
42,2021400
43,1802600
44,2214100
45,1846100
46,1962000
47,2105900
48,2410000
49,1844000
50,1687800
51,2640300
52,2486300
53,2175000
54,2352900
55,1872200
56,1650100
57,2446700
58,1955900
59,2074200
60,1980000
61,2216500
62,1829000
63,1563000
64,2168900
65,2547600
66,1923500
67,2064800
68,2216700
69,1813800
70,1824100
71,2894900
72,2091100
73,2124900
74,1926400
75,1566300
76,1666300
77,2025500
78,2226600
79,1902100
80,2152900
81,2296700
82,2143700
83,2177200
84,2524000
85,2372200
86,1925600
87,2540600
88,2132300
89,2065800
90,2346700
91,2510000
92,2223600
93,2933100
94,2127200
95,1900700
96,2534800
97,2486700
98,2374800
99,2690100
100,2184600
101,1767600
102,2474400
103,2604200
104,2062800
105,3243100
106,2344900
107,2120100
108,2307000
109,1956100
110,1699800
111,2176500
112,2031300
113,1608800
114,1542300
115,1867200
116,2210600
117,2052100
118,2086500
119,3355800
120,1951400
121,1962100
122,2260000
123,1740100
124,1664400
125,2090800
126,1974000
127,1916900
128,1927500
129,2395900
130,2300000
131,2146400
132,2143000
133,1820900
134,1614300
135,1696600
136,2727800
137,2325400
138,2227200
139,2301400
140,1811000
141,1730100
142,2616100
143,2012900
144,2018700
145,2108400
146,2905500
147,1871800
148,1716600
149,2116600
150,2071000
151,1787900
152,1834600
153,1562600
154,1415000
155,1328800
156,1747900
157,2142000
158,1855000
159,1501200
160,1913200
161,1687400
162,1449200
163,1346800
164,1418600
165,1963200
166,1784200
167,1527400
168,1362900
169,1439800
170,1826800
171,1695700
172,1410600
173,1330600
174,2386000
175,1765900
176,1446000
177,1414300
178,1958900
179,1534400
180,1427400
181,1772500
182,1996100
183,1637700
184,1634300
185,1655500
186,1912000
187,2036400
188,1570500
189,1763700
190,2110200
191,1935000
192,1457700
193,1403900
194,1510000
195,1865800
196,1485700
197,1917300
198,1623600
199,2395300
200,1867200
201,1665500
202,2054100
203,1593900
204,1447100
205,1335800
206,1650900
207,2093200
208,1585600
209,1795600
210,2042400
211,1819000
212,1601900
213,1378600
214,1527500
215,2039100
216,1658700
217,1506400
218,1509800
219,1755000
220,1907400
221,1753400
222,1846200
223,2478500
224,2186300
225,2550100
226,2120400
227,1899600
228,1928600
229,2343600
230,1889600
231,2350000
232,2059200
233,1970200
234,1765100
235,1437500
236,2470000
237,1795800
238,1661800
239,1700300
240,2291900
241,1751500
242,1651100
243,1893700
244,2316100
245,2153300
246,2425700
247,1913400
248,1634500
249,1762800
250,2671200
251,2180500
252,2183400
253,2351100
254,1988200
255,2196300
256,2058000
257,2486600
258,1719200
259,1605100
260,1871500
261,2005100
262,2189000
263,1572500
264,2039500
265,2004500
266,1623400
267,2022500
268,1839900
269,1590000
270,1493300
271,1629000
272,2299400
273,1913400
274,1683400
275,2010000
276,2001300
277,2044000
278,2332600
279,2522700
280,1657200
281,1361400
282,1748000
283,1883100
284,1831600
285,1593900
286,1886300
287,1987900
288,1918100
289,2140000
290,1844700
291,1643900
292,1622800
293,1558700
294,2177200
295,2012300
296,1756400
297,2619800
298,2293100
299,2258400
300,2095800
301,2093700
302,1773300
303,1597600
304,2435700
305,2295800
306,1860200
307,1805000
308,2707300
309,1813300
310,1785400
311,2203700
312,1750300
313,1542800
314,1574300
315,2462600
316,1924700
317,1967400
318,2205800
319,1975800
320,1626300
321,1546200
322,1724900
323,2059900
324,1554200
325,1365200
326,1649700
327,2166000
328,1539400
329,1427700
330,1285800
331,1473200
332,1950800
333,1950700
334,1771500
335,1895700
336,1536500
337,1355700
338,2154700
339,2297800
340,1929900
341,1608700
342,2179800
343,1783700
344,1408100
345,1307200
346,1319800
347,1998300
348,1846000
349,1508800
350,1326800
351,1806800
352,1687900
353,1396000
354,1334700
355,1301300
356,2257400
357,2143300
358,1913300
359,2210500
360,1931400
361,1771800
362,1748000
363,3055600
364,2413000
365,2312800
366,2371400
367,1879000
368,1904800
369,2359600
370,1984900
371,1967100
372,1949300
373,2202800
374,1808300
375,1988100
376,2371200
377,2035000
378,1831400
379,2432400
380,1830800
381,1925300
382,2620900
383,2440500
384,2353700
385,2292900
386,2067300
387,1843700
388,1928400
389,2595900
390,2111500
391,1828200
392,2394000
393,2009400
394,2107900
395,3066400
396,2039800
397,1843100
398,2280000
399,2140500
400,1826300
401,1820700
402,2099200
403,1758900
404,1977600
405,2229300
406,2305300
407,1851600
408,1879500
409,2607700
410,1975500
411,1801200
412,3373100
413,4733700
414,2545100
415,2075500
416,2744900
417,2050600
418,1689900
419,1846300
420,2785900
421,2196400
422,1978200
423,2420700
424,2353500
425,1872800
426,2308500
427,2001300
428,2265700
429,1975200
430,2140500
431,1825200
432,1770800
433,2391800
434,2019500
435,1775200
436,1889500
437,1998000
438,1596900
439,1325600
440,1340100
441,1998900
442,1669800
443,1807200
444,1627900
445,1843200
446,1559400
447,1320800
448,1407600
449,1436400
450,1939100
451,1645700
452,1445700
453,1315200
454,1613800
455,1778500
456,1501700
457,1452100
458,1369700
459,2381900
460,2464400
461,2789400
462,1624500
463,1550300
464,1385800
465,2308200
466,1925900
467,2351400
468,3091200
469,1929600
470,1514100
471,1367200
472,2574000
473,1779100
474,1445700
475,1261900
476,1436800
477,1895200
478,1752700
479,1400700
480,1281200
481,2148300
482,1765200
483,1677700
484,2050800
485,1547100
486,1514000
487,1536200
488,1952800
489,2065100
490,1753600
491,1581200
492,1779900
493,1836800
494,1428100
495,1462200
496,1281900
497,1705900
498,1918300
499,1638100
500,1375700
501,1348100
502,1917100
503,1494100
504,1396500
505,1376300
506,1411200
507,1830500
508,1718500
509,1461000
510,1981500
511,1481500
512,1598000
513,1355000
514,1361500
515,2529200
516,2132100
517,2045000
518,2513200
519,1803400
520,2011900
521,1809400
522,1812200
523,1546800
524,1358900
525,1256700
526,1887300
527,1649500
528,1532600
529,1413200
530,1517100
531,2202600
532,1987300
533,1916100
534,1937100
535,1531300
536,1480800
537,1454700
538,1994000
539,1991600
540,1860800
541,1768000
542,1886300
543,1566200
544,1369400
545,1253500
546,1305700
547,2024600
548,1814300
549,1528000
550,1346300
551,1920000
552,1673300
553,1688700
554,1324800
555,1390000
556,2293300
557,2246800
558,1818700
559,1951500
560,1602600
561,1360900
562,1298900
563,1779800
564,2012500
565,1934500
566,1927600
567,2374600
568,2219200
569,1404600
570,1289200
571,1613800
572,1774700
573,1680300
574,1556800
575,1429800
576,1869900
577,1502500
578,1328300
579,1288200
580,1921400
581,2152200
582,1587400
583,1504400
584,2031700
585,1799600
586,1594100
587,1404100
588,1660300
589,1933900
590,1655500
591,1551000
592,1467500
593,1894600
594,1478000
595,1634800
596,1307100
597,1665500
598,1985900
599,1502800
600,1308100
601,1352900
602,1770900
603,1741600
604,1547000
605,1453600
606,1661200
607,2044700
608,1566700
609,1464400
610,1877700
611,1527300
612,1705800
613,1551700
614,2100100
615,1707700
616,1452500
617,2217900
618,2207400
619,1636500
620,1596300
621,1643800
