frame,frame_time_ns
1,205568300
2,5616900
3,5503900
4,4546100
5,5511200
6,5665600
7,5358000
8,5041300
9,4354200
10,4834600
11,4127100
12,4950400
13,5684900
14,4199600
15,5033600
16,5318000
17,6546700
18,6177000
19,6451900
20,6126700
21,4488300
22,6686800
23,6329300
24,4475700
25,3881000
26,4326200
27,3696900
28,4647600
29,4472300
30,3999600
31,4322000
32,4021400
33,5255000
34,5193500
35,3619600
36,3989800
37,3570100
38,4126300
39,3937800
40,4180500
41,3574800
42,3770100
43,3918600
44,5402500
45,3717600
46,4186700
47,3504600
48,4262000
49,4060900
50,4223800
51,4097900
52,5410200
53,3535000
54,3942800
55,3394900
56,4332100
57,3678100
58,4244500
59,4163000
60,3700600
61,4006900
62,3523300
63,3115100
64,3935200
65,3447000
66,4322600
67,3667800
68,4060100
69,3172800
70,3840700
71,3992800
72,4489900
73,3335200
74,4587100
75,3468300
76,4224100
77,3449200
78,4391100
79,3845500
80,3889600
81,3271100
82,4688100
83,3808100
84,4217000
85,3791300
86,23139400
87,7350500
88,4907700
89,4490300
90,4415500
91,5091900
92,4302900
93,5718000
94,4710900
95,4858100
96,5423600
97,6285700
98,3954300
99,4518700
100,4035000
101,4691300
102,4207300
103,4246000
104,4235400
105,4253100
106,6831300
107,5380500
108,4304000
109,4667700
110,4805900
111,4636800
112,4503700
113,4958900
114,17113600
115,8106600
116,5283500
117,6190000
118,4388500
119,3721700
120,4242500
121,4803800
122,3850200
123,3226600
124,4101800
125,3124200
126,3180400
127,3524300
128,3659500
129,3615100
130,3493100
131,4064700
132,3249500
133,5036100
134,4017800
135,4760100
136,5887800
137,3525900
138,3924900
139,3655600
140,3735600
141,3375300
142,3384900
143,4028100
144,3650700
145,3849500
146,4765800
147,4048000
148,4344500
149,3227100
150,4262500
151,3345400
152,4263600
153,3587200
154,4063000
155,3633600
156,4299400
157,3727400
158,4277100
159,3258500
160,4865100
161,3757600
162,5454600
163,4427600
164,4836400
165,4818300
166,4118900
167,4779700
168,4561000
169,5145900
170,5002600
171,4128200
172,5123800
173,4389400
174,5655200
175,4764100
176,3712000
177,4563400
178,4259200
179,5130200
180,4981100
181,3874100
182,4586600
183,3819600
184,4328500
185,3793400
186,4150400
187,4039200
188,4246100
189,3669500
190,4495200
191,4119900
192,3725400
193,4624300
194,3481600
195,4012600
196,3487500
197,4032400
198,3851800
199,4156300
200,3875400
201,4263900
202,3954200
203,3905400
204,3261200
205,3952400
206,3373400
207,3188300
208,3137400
209,2584600
210,3217100
211,3079900
212,2611800
213,3303400
214,2975600
215,4353700
216,2986100
217,3321100
218,3336200
219,3130100
220,4040500
221,3127100
222,4052400
223,3951000
224,5237500
225,3085000
226,3795400
227,4157700
228,4618200
229,3457600
230,3586300
231,4244700
232,6754100
233,4729600
234,3407800
235,4031200
236,7450400
237,3325700
238,3886100
239,3264400
240,4465000
241,3274000
242,3656600
243,3558200
244,4060500
245,3349300
246,2942400
247,4308700
248,3219000
