frame,frame_time_ns
1,267709100
2,2859400
3,2127800
4,2693500
5,2437500
6,1953600
7,1973000
8,2147200
9,1764100
10,1773000
11,2553300
12,2914200
13,3020500
14,2664500
15,2581600
16,3610200
17,2859700
18,3938300
19,4147500
20,2125800
21,2451800
22,1913300
23,1679100
24,1698100
25,3165200
26,2842800
27,2839300
28,2846800
29,3663300
30,3798600
31,3442900
32,4350200
33,5759600
34,4289500
35,4480700
36,4036600
37,3605900
38,4173600
39,4386000
40,4242700
41,7673500
42,3913000
43,7497600
44,4293900
45,4690600
46,3847100
47,3774000
48,4402200
49,3861200
50,2987100
51,3396500
52,2791300
53,3643100
54,2369500
55,3622900
56,2408400
57,3198200
58,4279000
59,3650800
60,3162500
61,2369400
62,3225500
63,3311500
64,3963700
65,3907200
66,4052900
67,3721700
68,3287400
69,3017800
70,3481700
71,2759000
72,3043400
73,3709400
74,1967300
75,4144200
76,3358600
77,3650300
78,3241100
79,3514200
80,3197900
81,2018700
82,2492800
83,2591800
84,2522900
85,3080700
86,3312800
87,2745600
88,3446000
89,3711000
90,2826200
91,2893500
92,3426300
93,3758300
94,3668200
95,3054000
96,1800800
97,2369800
98,3455900
99,2046600
100,2885200
101,2601400
102,2133300
103,2567600
104,3219500
105,4317500
106,3192100
107,3898100
108,3469500
109,3233300
110,2332600
111,2495800
112,2850200
113,2341200
114,2310200
115,2342700
116,1946700
117,1690000
118,1682800
119,2283100
120,2914100
121,2972200
122,3098500
123,2953400
124,3745000
125,2795500
126,1894300
127,2175100
128,2416200
129,2208000
130,2247000
131,1684900
132,1717100
133,1555000
134,1892900
135,2636300
136,1847000
137,1727000
138,2320300
139,1849300
140,1810300
141,1893000
142,2868100
143,2336500
144,1738700
145,2131300
146,1737100
147,1549900
148,1899900
149,2531200
150,1794900
151,1644900
152,1425600
153,1578500
154,2477200
155,2544000
156,1708100
157,2494100
158,2342400
159,1872500
160,2891800
161,3131700
162,3848400
163,4587800
164,3336700
165,2332500
166,2418600
167,3122800
168,2469100
169,1827600
170,2003200
171,2579400
172,2331200
173,2818100
174,1550900
175,1601800
176,1823100
177,2189300
178,1637100
179,1525600
180,1309100
181,2670000
182,1973000
183,2103500
184,2666400
185,2735600
186,2158900
187,2020800
188,2085800
189,1640200
190,1820800
191,2079700
192,2265500
193,2250400
194,3253900
195,2448700
196,2364500
197,3200800
198,3082700
199,2056900
200,3491600
201,2305100
202,2126600
203,2610500
204,1955900
205,1507900
206,1599100
207,2020800
208,1812600
209,1547900
210,1551900
211,2219300
212,1774600
213,1496900
214,1509700
215,1654800
216,3212700
217,2812200
218,20972900
219,5797300
220,3560300
221,3803200
222,3278300
223,3454100
224,3088800
225,3656600
226,3023200
227,3768200
228,3227900
229,2944600
230,3583000
231,3425100
232,4031500
233,4927000
234,5460500
235,3573700
236,3476500
237,4282000
238,4923200
239,3465300
240,3343400
241,3438800
242,3073400
243,3767500
244,3676300
245,3384500
246,3139300
247,3160200
248,3617200
249,4305700
250,4014800
251,8846900
252,4168200
253,3241900
254,4750400
255,3255700
256,3800600
257,4050700
258,3479200
259,4476900
260,4139200
261,3362900
262,3220500
263,2987300
264,2597800
265,16663000
266,3604600
267,3252300
268,2808100
269,3240400
270,2447000
271,2374900
272,2435000
273,2828600
274,3181700
275,3468400
276,3624400
277,3291200
278,2313200
279,2655800
280,3482400
281,2138300
282,2565100
283,2093800
284,1766900
285,2042600
286,2887000
287,2610300
288,2088200
289,3173900
290,3429100
291,2474900
292,3398200
293,2123100
294,2579700
295,2873500
296,3788500
297,2954100
298,2887200
299,3090200
300,2779800
301,6035800
302,4610700
303,12219100
304,4896600
305,12311900
306,4578800
307,5102300
308,3456200
309,3066000
310,2374700
311,2532900
312,2669800
313,2370800
314,4267900
315,3728800
316,3403200
317,4358800
318,3342400
319,3567700
320,2721200
321,2269200
322,3455600
323,2523100
324,2850300
325,3066100
326,2504400
327,3705900
328,2860200
329,3047600
330,3299700
331,2758300
332,3842100
333,3607200
334,4012200
335,3311100
336,3245200
337,3121500
338,3179300
339,3256500
340,2670500
341,2847100
342,2908300
343,3286800
344,2633800
345,2616700
346,3003800
347,1841400
348,3268900
349,2189100
350,1859600
351,1916300
352,3837500
353,2878600
354,3631500
355,3730600
356,3628800
357,6113900
358,3276000
359,3856700
360,3234300
361,3125800
362,3375300
363,2938300
364,3969700
365,2991100
366,2806300
367,2956500
368,3290200
369,3414500
370,3554900
371,3944700
372,3096900
373,4136900
374,2932600
375,3152300
376,2550100
377,3298100
378,3431300
379,2427600
380,3519100
381,2456000
382,2362400
383,2720300
384,2028300
385,3084600
386,3621400
387,2974000
388,3765700
389,2956300
390,3765900
391,3490500
392,3590200
393,2884900
394,2435200
395,3333000
396,3147000
397,3129300
398,3605600
399,3170400
400,3055600
401,3660700
402,2718200
403,2750800
404,3736900
405,2891500
406,3567700
407,2969300
408,3050700
409,2782400
410,2813600
411,2608700
412,1653200
413,1794000
414,2687900
415,2835800
416,2552400
417,2858800
418,1848200
419,1738900
420,1676000
421,2947800
422,1898100
423,1784000
424,2460900
425,2618900
426,1947700
427,2765200
428,3127900
429,1954800
430,2607300
431,3126000
432,2275200
433,2798600
434,2287000
435,2328900
436,2498700
437,1979900
438,1982700
439,2301000
440,2258400
441,2346900
442,2763600
443,1949300
444,1552100
445,1362400
446,1276800
447,2011500
448,1728100
449,1694100
450,1681600
451,2613900
452,2121000
453,1816800
454,2052400
455,2398000
456,2218000
