frame,frame_time_ns
1,197815200
2,657100
3,641700
4,593300
5,646800
6,330300
7,272300
8,227100
9,248900
10,261500
11,241900
12,243800
13,254000
14,213200
15,214500
16,213200
17,210500
18,212100
19,214300
20,220400
21,214800
22,232900
23,358900
24,668300
25,428400
26,269600
27,240900
28,236800
29,213800
30,233600
31,267900
32,228700
33,211600
34,210900
35,233300
36,225300
37,218800
38,244500
39,229000
40,257100
41,230300
42,390600
43,480300
44,475700
45,320300
46,344000
47,324800
48,249600
49,234300
50,226200
51,296300
52,239500
53,215500
54,228600
55,246900
56,212700
57,233700
58,224900
59,213500
60,330400
61,497500
62,573400
63,351100
64,365500
65,303500
66,242900
67,249100
68,277600
69,290800
70,305400
71,245000
72,227600
73,230300
74,227900
75,278600
76,253300
77,631200
78,396000
79,311800
80,266000
81,258200
82,277100
83,278700
84,286000
85,322400
86,303100
87,302000
88,478600
89,831500
90,486800
91,330100
92,294000
93,310000
94,256500
95,276700
96,234800
97,237600
98,222900
99,221900
100,226100
101,230000
102,238600
103,223900
104,220300
105,227600
106,372400
107,569600
108,426200
109,450700
110,263700
111,241800
112,229800
113,271500
114,243900
115,246600
116,247000
117,237300
118,234900
119,236800
120,272900
121,235800
122,249500
123,249900
124,374200
125,440700
126,374600
127,394200
128,645600
129,399300
130,269000
131,243300
132,237100
133,280600
134,306200
135,279400
136,252000
137,228200
138,218700
139,255500
140,316900
141,433900
142,446100
143,372100
144,355000
145,360500
146,299900
147,253000
148,268200
149,235200
150,276800
151,270000
152,235200
153,239800
154,244100
155,238100
156,247600
157,250200
158,405900
159,489200
160,429300
161,305800
162,251000
163,228500
164,246800
165,281200
166,231600
167,225500
168,246100
169,251400
170,251200
171,235800
172,288400
173,237500
174,331100
175,245700
176,996400
177,788000
178,608300
179,410000
180,327900
181,302300
182,277100
183,270900
184,269900
185,259900
186,305400
187,472100
188,540700
189,469100
190,856200
191,711400
192,501900
193,538500
194,521600
195,530700
196,416200
197,470800
198,362700
199,376400
200,672100
201,551200
202,447100
203,378000
204,352900
205,345700
206,320000
207,252500
208,241500
209,233100
210,244100
211,265100
212,268000
213,238500
214,270100
215,830200
216,366500
217,277000
218,261200
219,228100
220,303500
221,252500
222,239000
223,225000
224,273100
225,734600
226,601100
227,777300
228,523500
229,462800
230,344000
231,325800
232,245800
233,226600
234,235900
235,227800
236,262400
237,232000
238,237900
239,253200
240,233700
241,247400
242,241800
243,260600
244,621500
245,573800
246,339600
247,259900
248,247000
249,230000
250,228100
251,228800
252,236000
253,237800
254,379000
255,268100
256,282600
257,243800
258,233700
259,267600
260,233600
261,382000
262,544600
263,472500
264,332200
265,280500
266,277800
267,253600
268,265100
269,248300
270,265100
271,220400
272,251700
273,250500
274,230200
275,303900
276,258800
277,233700
278,245600
279,281900
280,375100
281,509400
282,399100
283,288700
284,250200
285,233800
286,259900
287,236400
288,245900
289,250700
290,233500
291,228700
292,233300
293,229800
294,226800
295,231500
296,229400
297,227100
298,243300
299,331800
300,370800
301,398900
302,298400
303,396200
304,299300
305,293100
306,276200
307,311400
308,247800
309,234200
310,230900
311,251800
312,247100
313,245500
314,237400
315,226500
316,231500
317,713500
318,520100
319,412300
320,308800
321,247000
322,247700
323,390500
324,317000
325,288300
326,307500
327,297800
328,289400
329,246200
330,305200
331,486900
332,370700
333,287600
334,226500
335,214600
336,218500
337,209300
338,224900
339,223700
340,229200
341,290600
342,245200
343,224500
344,222400
345,255200
346,231900
347,251700
348,255300
349,243800
350,255100
351,346300
352,376200
353,332000
354,244600
355,280800
356,257800
357,239100
358,242500
359,232400
360,225600
361,241300
362,254700
363,230500
364,260300
365,226800
366,216300
367,212600
368,268700
369,219700
370,277500
371,498000
372,526300
373,286000
374,238300
375,258900
376,226400
377,225600
378,221900
379,230100
380,223800
381,231500
382,241600
383,245200
384,234000
385,228700
386,222400
387,259500
388,686400
389,1145600
390,791500
391,421600
392,312800
393,375500
394,331300
395,335700
396,257700
397,291200
398,296800
399,254900
400,247800
401,251500
402,396900
403,342300
404,305700
405,265400
406,264800
407,273400
408,251100
409,250500
410,304900
411,229800
412,251200
413,238600
414,264400
415,222200
416,385500
417,279600
418,263000
419,265100
420,630300
421,338200
422,363500
423,308600
424,284600
425,267300
426,258700
427,256100
428,274000
429,292600
430,298700
431,305700
432,480500
433,500700
434,350400
435,255700
436,294300
437,246900
438,303200
439,274700
440,255900
441,235100
442,307900
443,267900
444,215300
445,274500
446,237100
447,237200
448,239300
449,212100
450,264600
451,292200
452,305500
453,277600
454,266600
455,248800
456,207200
457,264700
458,230200
459,214000
460,226100
461,243700
462,227100
463,216600
464,205800
465,204800
466,204900
467,205600
468,204200
469,204700
470,206500
471,212000
472,279300
473,319200
474,267500
475,216100
476,250600
477,209000
478,206700
479,205200
480,210300
481,217400
482,243800
483,275000
484,272600
485,212600
486,209300
487,213200
488,370500
489,267800
490,230700
491,235800
492,289400
493,592700
494,563600
495,430400
496,368800
497,277000
498,258900
499,246700
500,215200
501,267000
502,227400
503,246500
504,225100
505,239900
506,276100
507,242900
508,258300
