frame,frame_time_ns
1,219971900
2,2605200
3,1828100
4,1489800
5,2491100
6,1950500
7,1484800
8,1865600
9,2085300
10,1541200
11,2366500
12,2900600
13,1992000
14,1467600
15,1210700
16,2227000
17,1511400
18,1222600
19,1467400
20,2287600
21,2053500
22,1608300
23,1516800
24,1712300
25,2087100
26,2139900
27,2538200
28,1637700
29,1503900
30,2160600
31,1486300
32,1606400
33,1931900
34,2221700
35,1795100
36,1748100
37,2256100
38,1874900
39,1824600
40,1471500
41,1970600
42,1415100
43,1180000
44,1312200
45,1445600
46,1595300
47,1370400
48,1328100
49,1387900
50,1601700
51,1533100
52,1482000
53,1537500
54,2307000
55,1987200
56,1531000
57,1721400
58,1712800
59,1187900
60,1103000
61,1140800
62,1715100
63,1945400
64,1441200
65,1203800
66,1230600
67,1832700
68,1561400
69,1733400
70,1169600
71,1277700
72,1562400
73,1234600
74,1256600
75,2162800
76,2153000
77,1584400
78,1587500
79,2209700
80,1466500
81,1269200
82,1340400
83,1757000
84,1495300
85,1392200
86,1331900
87,1525100
88,2085700
89,1376200
90,1191000
91,1069700
92,1300800
93,2057900
94,1566400
95,1447300
96,1380200
97,1991100
98,2806700
99,1924700
100,1650200
101,1752400
102,2419600
103,1611400
104,1277000
105,1569700
106,1809300
107,1878100
108,1876800
109,2585500
110,1746300
111,1758700
112,2137700
113,1572200
114,1737400
115,1959400
116,2202100
117,1670700
118,1672700
119,2430600
120,2247100
121,2025600
122,2015900
123,1776800
124,1858100
125,1466700
126,1406000
127,2745900
128,2077000
129,1599300
130,1938000
131,2366800
132,2732900
133,2895100
134,1993300
135,1968100
136,2555600
137,2240100
138,1872800
139,3103200
140,2615800
141,1784900
142,1751300
143,1625400
144,1626900
145,2995200
146,2767700
147,3024000
148,3182900
149,2170800
150,3186300
151,1927600
152,2877000
153,2547300
154,1933600
155,1777700
156,2699200
157,1863600
158,1533800
159,2237700
160,1829200
161,2220600
162,2635500
163,2015400
164,2745500
165,1601500
166,1662100
167,1646600
168,2221300
169,1816400
170,1676200
171,1890900
172,2583200
173,2416500
174,2704000
175,2284400
176,1787700
177,1860000
178,1580900
179,1480600
180,1614000
181,2222400
182,2708200
183,2665200
184,2135500
185,1797100
186,1947600
187,2451100
188,1503900
189,1489000
190,1328900
191,2239200
192,1428500
193,1598100
194,1171700
195,1979800
196,2237800
197,1592500
198,1656500
199,1684800
200,1165400
201,1131200
202,1181000
203,1718200
204,1562800
205,1300900
206,1350200
207,1468900
208,1895800
209,1504100
210,1249100
211,1521400
212,1842100
213,1472200
214,1283000
215,1362400
216,1385300
217,1723600
218,1568400
219,1491300
220,1330600
221,1609500
222,1202400
223,1224800
224,1094700
225,1500400
226,1834600
227,1456600
228,1398400
229,1514200
230,1804200
231,1611700
232,1559300
233,1725800
234,2058600
235,1422400
236,1358500
237,1869300
238,1812500
239,1499600
240,1401100
241,1386300
242,2374300
243,1479200
244,1285800
245,1153900
246,1919200
247,1362500
248,1255400
249,1433500
250,1836200
251,1589800
252,1608000
253,1500000
254,2471800
255,2380600
256,2541700
257,2589900
258,1855100
259,1702300
260,2861100
261,1681900
262,1547200
263,2488900
264,2123800
265,1581400
266,1735100
267,2326200
268,2144000
269,1886300
270,1704400
271,1256300
272,1245500
273,1322300
274,2198800
275,1960300
276,1595500
277,1390600
278,1947800
279,1100700
280,956900
281,1030800
282,1119400
283,1684800
284,1279900
285,1394300
286,1051600
287,828500
288,813900
289,1069600
290,1460200
291,1054000
292,882100
293,916000
294,818200
295,997600
296,1492200
297,1256600
298,1008300
299,843100
300,932000
301,817600
302,1571800
303,1173100
304,910200
305,824700
306,868800
307,1002400
308,1488600
309,1890700
310,1275600
311,1237900
312,1906500
313,1248300
314,1027200
315,1043600
316,934800
317,815100
318,1575500
319,1385000
320,1059400
321,949900
322,1005800
323,1323800
324,1532100
325,1111700
326,989300
327,851800
328,794200
329,958400
330,2072100
331,1334200
332,1078700
333,1191000
334,999700
335,1494900
336,1455300
337,884800
338,943500
339,976700
340,1464400
341,2035200
342,1620600
343,1399900
344,1295800
345,1483600
346,1080500
347,896300
348,867900
349,791000
350,902100
351,1279200
352,1188200
353,1002100
354,881100
355,801500
356,769400
357,849400
358,1225800
359,1676300
360,1441500
361,1009300
362,1149600
363,1372000
364,1377900
365,1146200
366,987500
367,1122300
368,892300
369,1644300
370,1340700
371,1120500
372,1020300
373,1288900
374,2045300
375,1418900
376,1367400
377,1929600
378,2784200
379,1746700
380,2752100
381,2030000
382,1649800
383,1264600
384,1892100
385,1412900
386,1119200
387,1033600
388,886200
389,1423200
390,1684000
391,1346200
392,1280000
393,1518700
394,1571200
395,1401300
396,1786500
397,2516200
398,2567700
399,2672000
400,2388700
401,1821100
402,1532800
403,2038800
404,1589500
405,1669700
406,1696600
407,2359100
408,1657200
409,1781200
410,1366400
411,1820800
412,1482400
413,1446600
414,1512000
415,1819400
416,1396500
417,1752600
418,1874900
419,2556600
420,1658600
421,1594100
422,2016900
423,1452400
424,1097400
425,1155100
426,1812100
427,1522100
428,1158500
429,1185200
430,1032600
431,1615300
432,1748200
433,1147800
434,1062900
435,1009700
436,1653100
437,1381800
438,1374400
439,1338200
440,1287900
441,1650500
442,1287300
443,1454700
444,1813800
445,1733300
446,1979900
447,1516800
448,1980100
449,1456600
450,1121100
451,1007300
452,1366300
453,1936900
454,1436100
455,1204500
456,1169300
457,1010300
458,1841300
459,1471500
460,1470800
461,1269200
462,1053100
463,1746600
464,1488100
465,1129000
466,1143700
467,1006000
468,2538600
469,2057500
470,2498700
471,1901300
472,1198900
473,1065000
474,1114600
475,1732300
476,1285500
477,891100
478,1175200
479,736800
480,866300
481,1416800
482,983000
483,823900
484,750100
485,734800
486,742700
487,812400
488,847900
489,1506600
490,1393400
491,830200
492,732900
