frame,frame_time_ns
1,210100000
2,2466300
3,1907400
4,1641900
5,1799300
6,1869700
7,1624600
8,1611500
9,1618300
10,2319000
11,1793500
12,1481400
13,1365100
14,1320300
15,2002200
16,1402600
17,1355200
18,1482700
19,1614900
20,2200900
21,1996700
22,1739700
23,2629800
24,1901900
25,2911500
26,2169200
27,1797400
28,1656800
29,1643800
30,1445100
31,2062400
32,1583000
33,1717900
34,1645800
35,1878600
36,2121400
37,1946100
38,1645000
39,2393500
40,1730500
41,2206200
42,1483200
43,1747200
44,1723900
45,1700600
46,1900700
47,2107500
48,1736900
49,2183100
50,1678400
51,2266700
52,1829500
53,1925600
54,1405700
55,1679300
56,1908700
57,1727200
58,1413300
59,1219500
60,1423400
61,1809600
62,1595800
63,1569200
64,1440000
65,1871700
66,1596500
67,1720200
68,1399900
69,1233600
70,1967100
71,1625000
72,1362000
73,2032700
74,2494200
75,1480700
76,1377700
77,1346500
78,1240100
79,1839100
80,1483900
81,1371800
82,1337300
83,1602200
84,1944900
85,1468300
86,1361300
87,1402200
88,1743000
89,1729700
90,1565100
91,1508400
92,1391500
93,1642500
94,2079400
95,1541500
96,1491700
97,1292800
98,1240800
99,1634500
100,1813900
101,2002500
102,1655100
103,2184300
104,1710300
105,1579800
106,1308900
107,1254600
108,1881800
109,1419000
110,1784400
111,1486000
112,1763300
113,1866800
114,1489100
115,1832900
116,3380200
117,2624200
118,2055900
119,1764400
120,2536900
121,2834000
122,2343500
123,3304200
124,2903000
125,2930900
126,2437000
127,2281200
128,3551500
129,2141100
130,1815800
131,3370700
132,2080400
133,1986800
134,2606700
135,4125700
136,3809100
137,3604700
138,2890700
139,2177200
140,1798000
141,1418300
142,2399600
143,2014400
144,1703200
145,1581000
146,1424800
147,2461000
148,1730800
149,1591700
150,1474200
151,2039500
152,1690200
153,1913500
154,2206300
155,2427900
156,1681300
157,1164500
158,1204600
159,1067900
160,1224800
161,1408200
162,1772100
163,1173200
164,1043300
165,1031300
166,1234400
167,1611500
168,1458600
169,1122300
170,998700
171,1372800
172,2038400
173,1478500
174,1187200
175,1109900
176,1005300
177,1154800
178,1528100
179,1401400
180,1248000
181,1116300
182,1096300
183,1503100
184,1654800
185,1294200
186,1176300
187,1351400
188,1154400
189,10076500
190,1741900
191,1350500
192,1045400
193,974900
194,957500
195,1553400
196,1600700
197,1218000
198,1075900
199,1693000
200,1983200
201,1397800
202,1277000
203,1137300
204,996700
205,980900
206,1522600
207,1613100
208,1180700
209,1048100
210,1350800
211,1244500
212,1932000
213,1391200
214,1239100
215,1066400
216,1055300
217,1021600
218,1776000
219,1466900
220,1212800
221,1462200
222,1502100
223,1186100
224,1614100
225,1228900
226,1098300
227,1015300
228,1067500
229,996400
230,1611200
231,1755500
232,1469100
233,1520900
234,1637700
235,1377100
236,1100000
237,1003500
238,968900
239,989900
240,1136200
241,1540400
242,1516900
243,1252400
244,1197900
245,1051700
246,964400
247,1114300
248,1740900
249,1186600
250,1045800
251,1031600
252,941000
253,908400
254,1193400
255,1895700
256,1510200
257,1306400
258,1168400
259,1036700
260,1412400
261,1357400
262,1141600
263,1030300
264,960400
265,1134600
266,1384100
267,1848500
268,1488700
269,1155700
270,1080800
271,1308600
272,1946100
273,1234500
274,1085700
275,1018200
276,961300
277,1573900
278,1621200
279,1514100
280,1143800
281,1084100
282,1009700
283,982600
284,1448700
285,1364500
286,1164200
287,999100
288,1085900
289,1194800
290,1129400
291,1682900
292,1237300
293,1106100
294,963000
295,940300
296,1204000
297,1412900
298,1381500
299,1073100
300,1135300
301,1137600
302,1663300
303,1958300
304,1500400
305,1184300
306,1166800
307,1391400
308,1812400
309,1303300
310,1416800
311,1429500
312,1202500
313,1413000
314,1577100
315,1431700
316,1290800
317,1135900
318,1307700
319,1603000
320,1482500
321,1488600
322,1352700
323,1277600
324,1089900
325,1541800
326,1257700
327,1092000
328,938800
329,943900
330,1017200
331,938700
332,1306000
333,1277500
334,1475800
335,1317800
336,1015500
337,1018100
338,1247200
339,1454200
340,1345300
341,1145400
342,1183800
343,1539100
344,1965100
345,1362900
346,1220000
347,1213300
348,1109400
349,1397800
350,1606700
351,1225500
352,1070300
353,965600
354,1425900
355,1347900
356,1638500
357,1469400
358,1264400
359,1080300
360,1006400
361,1198800
362,2125500
363,2362000
364,1713300
365,1519700
366,1437300
367,1295600
368,1138900
369,1026200
370,990400
371,1841900
372,1426900
373,1221600
374,1217800
375,1346700
376,1541500
377,1539300
378,1161500
379,1033600
380,986600
381,981500
382,969900
383,1448300
384,1392000
385,1121200
386,1490200
387,1237500
388,1100300
389,1410200
390,1392500
391,1144400
392,1023700
393,993400
394,1072200
395,962100
396,1303400
397,1334900
398,1318700
399,1130100
400,1067000
401,1070200
402,971300
403,1718000
404,1198600
405,1114000
406,960100
407,947900
408,993900
409,985800
410,1616500
411,1620300
412,1291400
413,1349800
414,1528200
415,1469900
416,1124900
417,984100
418,1019400
419,968900
420,1055300
421,1370200
422,1692200
423,1258600
424,1127200
425,1229800
426,1058900
427,1204600
428,1352400
429,1139300
430,984500
431,956000
432,967700
433,963900
434,947800
435,2025000
436,1452800
437,1087000
438,992200
439,1049100
440,958000
441,1735500
442,1235100
443,1361700
444,1086100
445,1016600
446,1164200
447,1741400
448,1424000
449,1137400
450,1227100
451,1249400
452,1608300
453,1462200
454,1077000
455,1019300
456,1014000
457,1590400
458,1786300
459,1472700
460,1399600
461,1133800
462,994400
463,977800
464,982800
465,1670000
466,1221800
467,1295800
468,1644300
469,1675800
470,1676600
471,1289600
472,1258200
473,1092100
474,1009000
475,1045400
476,1133900
477,1618000
478,1213400
479,1100300
480,1372800
481,1166200
482,1100100
483,1804600
484,1459900
485,1293800
486,1345700
487,2011700
488,1426200
489,1393700
490,1416300
491,1653000
492,2192300
493,1500900
494,1319700
495,1029900
496,957400
497,1046800
498,1309800
499,1599300
500,1681100
501,1505600
502,1497000
503,1855000
504,1751100
505,1503300
506,1539400
507,1536100
508,2117200
509,2062200
510,1805900
511,2099300
512,1620800
513,1443400
514,1445300
515,1737800
516,1950900
517,1544400
518,1325900
519,1305100
520,1314200
521,1823600
522,1535600
523,1572700
524,1430700
525,1480400
526,2009600
527,1592400
528,1385700
529,1317100
530,1281500
531,1735900
532,1573100
533,1367600
534,1499100
535,1614400
536,1929700
537,1549900
538,1434800
539,1278900
540,1290500
541,1653200
542,1657800
543,1666600
544,1533000
545,1742500
546,1767300
547,1562400
548,1622000
549,1467600
550,2278900
551,2095400
552,2038000
553,1909600
554,1820800
555,1549000
556,1396900
557,1293000
558,1310200
559,1829700
560,1704600
561,1554700
562,1522000
563,1463700
564,1769900
565,1480300
566,1509500
567,1299800
568,1478800
569,1639700
570,1512600
571,1537700
572,2002700
573,1740600
574,1411100
575,1305000
576,1337500
577,1542100
578,1854200
579,1500200
580,1450100
581,1285200
582,1278500
583,1771200
584,1656600
585,1393400
586,1377700
587,1511700
588,1749600
589,1534700
590,1390400
591,1464500
592,1395900
593,1549000
594,1646200
595,1361300
596,1515200
597,1711600
598,1734400
599,1697500
600,1484300
601,1472000
602,1458000
603,1815200
604,1251700
605,1240000
606,1273200
607,1175200
608,1361000
609,1504600
610,1259300
611,1235000
612,1077500
613,1056600
614,1218100
615,1638800
616,1308500
617,1337200
618,1322100
619,1137900
620,1242300
621,1598800
622,1159700
623,1014100
624,979500
625,997200
626,960700
627,1043600
628,2064000
629,1380400
630,1158300
631,1118400
632,987300
633,989900
634,1593900
635,1310700
636,1238100
637,1274600
638,1394800
639,1482000
640,1440100
641,1329700
642,1071900
643,982400
644,992900
645,1579100
646,1244700
647,1097800
648,1036300
649,941200
650,1171400
651,1075600
652,1872300
653,1188200
654,1209900
655,1082800
656,1082800
657,1071600
658,1774300
659,1539600
660,1409000
661,1227100
662,1173300
663,1031000
664,1709700
665,1753300
666,1282400
667,1095300
668,1001500
669,1200400
670,1530000
671,1420100
672,1447300
673,1430700
674,2082000
675,1452500
676,1318700
677,1079600
678,973300
679,1107400
680,1450700
681,1510900
682,1336100
683,1229800
684,1025100
685,1149700
686,1573300
687,1518000
688,1357900
689,1269700
690,1082100
691,1017900
692,1285900
693,1568500
694,1276400
695,1253900
696,1090800
697,1182400
698,1143500
699,2010300
700,1360000
701,1130700
702,1028200
703,1228800
704,1251500
705,1536200
706,2917400
707,1540200
708,1852100
709,1396800
710,1210700
711,1024000
712,945600
713,999400
714,1157600
715,1741200
716,1316900
717,1377100
718,1134400
719,1094700
720,1203500
721,1610600
722,1186700
723,1172900
724,1130000
725,1011800
726,1067300
727,1547900
728,1477400
729,1463500
730,1250500
731,1269900
732,1476100
733,1701400
734,1398100
735,1368400
736,1958400
737,2216000
738,1664300
739,1327800
740,1447700
741,1946300
742,1469000
743,1255500
744,1508900
745,1295200
746,1662300
747,1911900
748,1538200
749,1513100
750,1469900
751,2162500
752,1538500
753,1645900
754,1481800
755,2017300
756,1773300
757,1543700
758,1364400
759,1344200
760,1850100
761,2054700
762,1873600
763,1624900
764,2128600
765,1768300
766,1862900
767,2077900
768,1509900
769,1253800
770,1178500
771,2204800
772,1714900
773,1337600
774,1193100
775,1210500
776,1593400
777,1523400
778,1279100
779,1383700
780,1524300
781,1853000
782,2107100
783,1490500
784,1647500
785,1863300
786,1519800
787,1281800
788,1563700
789,1775100
790,1774600
791,1378900
792,1555700
793,1427000
794,2040800
795,1701400
796,1580200
797,1430100
798,1915700
799,1548100
800,1335600
801,1159900
802,1159400
803,1617500
804,1548100
805,1491000
806,1430500
807,1424000
808,1527400
809,1783600
810,1435500
811,1522500
812,1640700
813,2420800
814,1632100
815,1479800
816,1506100
817,1828200
818,2198700
819,1671300
820,2406500
821,1782100
822,1752300
823,1543600
824,1680000
825,1904200
826,1536200
827,1523000
828,2164900
829,2271800
830,1761200
831,1757200
832,1792400
833,2383300
834,1752100
835,1948900
836,2047100
837,1601800
838,1986800
839,1625300
840,2009900
841,1699800
842,1908600
843,2074900
844,1753200
845,1756400
846,2388700
847,2396600
848,2079200
849,1755600
850,1596200
851,3070900
852,1830600
853,1843500
854,2372100
855,2583400
856,1842700
857,2208600
858,2101500
859,2164700
860,1880100
861,2240000
862,2341500
863,2469900
864,1642900
865,1365600
866,1294700
867,1345100
868,2176800
869,2553100
870,5568000
871,2150700
872,1593100
873,1776900
874,2972600
875,2004100
876,1758600
877,1922600
878,1461000
879,1408200
880,1298400
881,1513100
882,1811200
883,1670000
884,1385100
885,1303300
886,2660500
887,3750000
888,2546900
889,1971000
890,1384400
891,1350700
892,1710300
893,1597500
894,1428700
895,1233600
896,1429200
897,1168900
898,1075600
899,1727300
900,1399800
901,1178300
902,1169300
903,1072600
904,1040900
905,1303300
906,1574600
907,1669200
908,1624100
909,1354100
910,1224900
911,1633500
912,1362800
913,1262100
914,1224900
915,1901400
916,4053000
917,2141600
918,1822100
919,1658200
920,1281800
921,1153300
922,1042700
923,1036300
924,1994600
925,2230900
926,1920100
927,1413100
928,1650400
929,1894600
930,1217500
931,1165000
932,1102100
933,1045000
934,1370300
935,1554600
936,1238500
937,1161900
938,1061100
939,1022600
940,1051500
941,1688700
942,1386700
943,1269700
944,1681500
945,2902700
946,5381600
947,3248000
948,1799600
949,1585900
950,2091300
951,2054400
952,1670100
953,1454000
954,1407100
955,1681700
956,2008800
957,2076400
958,2882400
959,2343700
960,1820300
961,1723200
962,1645900
963,2056000
964,2037300
965,1798600
966,2825900
967,5838800
968,3057100
969,2176300
970,1847200
971,2008600
972,1838700
973,1644000
974,1486900
975,1393000
976,2507900
977,2011100
978,1854600
979,1637400
980,1925300
981,1567900
982,1295300
983,1316900
984,1296400
985,1915800
986,1723600
987,1550100
988,1371800
989,1752800
990,1904900
991,1712800
992,1317700
993,1311400
994,1464100
995,1824000
996,1415400
997,1313000
998,1657400
999,2091100
1000,1615600
1001,1523200
1002,1912500
1003,1839700
1004,1992900
1005,1599400
1006,1720400
1007,1613800
1008,2306000
1009,1578200
1010,1795900
1011,1755500
1012,2051500
1013,1622900
1014,1922200
1015,2114300
1016,1931800
1017,1895900
1018,1772800
1019,2007500
1020,1659900
1021,1636600
1022,1530300
1023,1301800
1024,2124400
1025,1489200
1026,1921300
1027,1452500
1028,1867600
1029,1442800
1030,1268200
1031,1369700
1032,1281300
1033,1777800
1034,1739100
1035,1375000
1036,1253300
1037,1242100
1038,1317100
1039,1657500
1040,2063600
1041,1768800
1042,1818500
1043,1478600
1044,1497600
1045,1252000
1046,1183200
1047,1721000
1048,1575200
1049,1319300
1050,1490800
1051,2101900
1052,2136600
1053,1421900
1054,1424700
1055,1319600
1056,1264900
1057,1766700
1058,1773900
1059,1385400
1060,1244100
1061,1210900
1062,1743100
1063,1782800
1064,1315500
1065,1236500
1066,1200500
1067,1783400
1068,1647500
1069,1464800
1070,1758200
1071,1773300
1072,1316800
1073,1305900
1074,1325500
1075,1410300
1076,2013700
1077,1513900
1078,1377600
1079,1805700
1080,1778000
1081,1556400
1082,1368500
1083,1270700
1084,2106000
1085,1819400
1086,1484000
1087,1649100
1088,2429100
1089,1593600
1090,1552200
1091,1743500
1092,2179200
