frame,frame_time_ns
1,285363200
2,3159800
3,1821300
4,1555200
5,2079500
6,959000
7,872200
8,1856400
9,1892000
10,695500
11,313100
12,650600
13,697600
14,490900
15,511900
16,1224000
17,1384300
18,678600
19,536900
20,669400
21,402500
22,738300
23,222400
24,413300
25,509100
26,485000
27,237100
28,208600
29,650300
30,174600
31,228200
32,157900
33,751700
34,461300
35,488700
36,729600
37,521500
38,1228400
39,792600
40,884400
41,525700
42,945800
43,675000
44,689200
45,918700
46,685600
47,1327000
48,664500
49,488500
50,730300
51,385500
52,1751800
53,612900
54,1133600
55,551800
56,2151700
57,884100
58,1375700
59,810500
60,1149100
61,904700
62,1654500
63,1492100
64,443000
65,846600
66,555500
67,860500
68,539600
69,1453100
70,1033300
71,618000
72,460900
73,980200
74,863400
75,240900
76,363800
77,278400
78,273200
79,472300
80,596600
81,744600
82,645800
83,958500
84,647300
85,491500
86,836300
87,505800
88,751900
89,756500
90,1133900
91,408700
92,358800
93,798000
94,278200
95,773500
96,613200
97,799500
98,197900
99,717100
100,438900
101,1145200
102,1069900
103,653300
104,885400
105,668800
106,488900
107,1749600
108,662500
109,1743500
110,877100
111,864000
112,767300
113,1318400
114,806300
115,2146100
116,753600
117,1202300
118,672500
119,1279700
120,367200
121,696400
122,1258100
123,1031200
124,845400
125,682700
126,1061500
127,608900
128,1032300
129,593900
130,641100
131,1363000
132,603700
133,1028400
134,659600
135,1002100
136,457900
137,1005700
138,406500
139,1120300
140,1269000
141,686300
142,541800
143,677500
144,1151700
145,590100
146,307700
147,853400
148,754500
149,947800
150,1178200
151,1221300
152,1149700
153,701700
154,514600
155,1349400
156,991700
157,1228400
158,595600
159,850900
160,970900
161,607800
162,681100
163,595800
164,925000
165,1603900
166,1218800
167,468900
168,628300
169,1108300
170,571000
171,289900
172,704600
173,713000
174,1320200
175,775100
176,509200
177,642700
178,842500
179,855700
180,909300
181,1010600
182,919900
183,587700
184,606600
185,503500
186,599600
187,1005400
188,335100
189,704600
190,990300
191,745500
192,796200
193,462800
194,881900
195,257700
196,249500
197,281900
198,282100
199,241800
200,232700
201,221100
202,191200
203,253700
204,218800
205,804900
206,793100
207,1057900
208,518400
209,460100
210,1127900
211,933500
212,760200
213,698900
214,1121000
215,1678600
216,1106400
217,1036800
218,646100
219,1091400
220,691900
221,1934100
222,774700
223,820900
224,1216600
225,514600
226,804200
227,531600
228,1035000
229,708900
230,1102000
231,715800
232,906000
233,962400
234,555800
235,1071700
236,1207700
237,1383800
238,676700
239,871600
240,633500
241,682500
242,633600
243,831400
244,1103200
245,1188400
246,636500
247,1216100
248,510700
249,751600
250,535500
251,736200
252,378100
253,1321800
254,780000
255,809000
256,1707000
257,1126100
258,785900
259,1156200
260,1060200
261,1664000
262,1039100
263,876900
264,1305600
265,730200
266,1798100
267,1922500
268,827700
269,581900
270,701000
271,755000
272,1145500
273,822900
274,1038900
275,802800
276,577600
277,773300
278,467400
279,787900
280,349900
281,1055400
282,828500
283,941900
284,1249500
285,580300
286,641200
287,812600
288,331700
289,665600
290,704500
291,399500
292,825300
293,1233900
294,540200
295,394100
296,751500
297,187900
298,195400
299,171200
300,170500
301,160400
302,158500
303,206900
304,176100
305,174000
306,285000
307,282800
308,275100
309,865500
310,625200
311,515700
312,759400
313,563000
314,291300
315,1592500
316,576000
317,1247600
318,980300
319,464600
320,307400
321,265500
322,297500
323,231100
324,181800
325,206900
326,213800
327,195300
328,238500
329,231900
330,217100
331,300400
332,201800
333,160100
334,478700
335,406000
336,479600
337,238000
338,191500
339,192200
340,411800
341,385900
342,734100
343,202800
344,175100
345,154200
346,234200
347,179900
348,162400
349,160500
350,159000
351,326700
352,364700
353,419500
354,469300
355,479300
356,337900
357,1003500
358,386000
359,649700
360,1186400
361,863000
362,707200
363,584600
364,1511600
365,809200
366,538800
367,1138800
368,836300
369,1593400
370,1062900
371,811300
372,558200
373,1295500
374,385500
375,876100
376,1760800
377,1005000
378,806400
379,558900
380,2190500
381,711500
382,748100
383,1203200
384,1581700
385,702900
386,563100
387,1021300
388,510500
389,1808400
390,1106300
391,1100200
392,856100
393,1222800
394,535600
395,1060600
396,352400
397,664900
398,671900
399,816200
400,1470200
401,510100
402,595100
403,902500
404,631900
405,1594300
406,1706300
407,592100
408,475800
409,968600
410,454700
411,723000
412,534900
413,820800
414,632000
415,1689800
416,534000
417,979100
418,650800
419,757100
420,1078400
421,492900
422,859900
423,837700
424,1360300
425,763000
426,764400
427,1187800
428,1882900
429,810400
430,977400
431,1122300
432,697400
433,713800
434,546400
435,1227100
436,458900
437,1050800
438,949200
439,2075800
440,921200
441,571500
442,1015200
443,599500
444,792400
445,455400
446,1362000
447,644300
448,1305700
449,835900
450,489600
451,720200
452,545000
453,2309100
454,943900
455,1323700
456,588200
457,941400
458,727200
459,1770100
460,960400
461,399200
462,773000
463,931900
464,311200
465,709000
466,867600
467,524100
468,458600
469,558200
470,1107400
471,542800
472,930800
473,1023900
474,438900
475,939100
476,757100
477,677700
478,2128200
479,793100
480,1024000
481,559100
482,748000
483,902400
484,718600
485,401800
486,464600
487,584000
488,978400
489,565100
490,624800
491,800700
492,312600
493,728700
494,447700
495,640600
496,301900
497,623500
498,1382200
499,1110700
500,977300
501,665900
502,1007900
503,580300
504,851700
505,732800
506,777300
507,1060100
508,731200
509,486700
510,797300
511,558100
512,839200
513,314600
514,700300
515,500700
516,632800
517,970100
518,1079800
519,380600
520,333200
521,244400
522,417700
523,265800
524,741200
525,344400
526,521000
527,764300
528,643700
529,513600
530,903100
531,473700
532,688400
533,298300
534,1422400
535,631400
536,1280800
537,1070700
538,1155200
539,1040900
540,801500
541,741500
542,463700
543,666000
544,499400
545,769400
546,463100
547,1135800
548,568000
549,761500
550,519000
551,700100
552,256000
553,696300
554,317900
555,471900
556,756200
557,659600
558,473500
559,248900
560,636100
561,1409200
562,574000
563,564100
564,651300
565,750800
566,502900
567,696000
568,577700
569,1005100
570,630800
571,811500
572,736400
573,794900
574,391600
575,602500
576,809800
577,353400
578,612200
579,637200
580,251700
581,973000
582,671300
583,451400
584,691700
585,708800
586,397300
587,345400
588,676200
589,373900
590,639700
591,183900
592,214700
593,196700
594,192900
595,192800
596,224500
597,404700
598,297300
599,495800
600,438800
601,456000
602,1414600
603,483900
604,893700
605,556700
606,766800
607,776300
608,496100
609,871300
610,501400
611,915600
612,536800
613,241000
614,650200
615,377800
616,675600
617,199300
618,231200
619,221100
620,205200
621,195400
622,210500
623,374200
624,305900
625,502900
626,485600
627,376800
628,523700
629,404700
630,583700
631,243300
632,222500
633,221100
634,221300
635,204500
636,194900
637,198500
638,193000
639,248200
640,219900
641,206000
642,275000
643,350200
644,466000
645,345200
646,652200
647,617700
648,457600
649,603200
650,486000
651,614900
652,183700
653,227300
654,944900
655,881400
656,738400
657,797500
658,469800
659,404700
660,731700
661,208300
662,223100
663,193900
664,709500
665,253600
666,532400
667,253600
668,915600
669,437100
670,625300
671,930900
672,537200
673,295200
674,734000
675,377200
676,985200
677,278200
678,485200
679,369200
680,1280200
681,559300
682,797600
683,836500
684,838800
685,295200
686,697200
687,295600
688,575900
689,751800
690,878600
691,528900
692,1314500
693,517300
694,663000
695,919700
696,602800
697,292800
698,628500
699,743100
700,452000
701,719800
702,690400
703,817100
704,637200
705,642700
706,419900
707,644200
708,194500
709,206700
710,139800
711,177000
712,184000
713,546300
714,354600
715,633400
716,175300
717,585000
718,447300
719,781000
720,609100
721,428000
722,596100
723,345900
724,730900
725,735900
726,164900
727,480400
728,341500
729,830100
730,590100
731,583700
732,1195100
733,528400
734,360900
735,650500
736,185800
737,212600
738,179300
739,162700
740,225200
741,215700
742,215000
743,157200
744,164800
745,198400
746,238300
747,206600
748,338500
749,240000
750,250800
751,551500
752,225600
753,586700
754,360400
755,393000
756,715000
757,314200
758,628400
759,721100
760,496800
761,346000
762,866300
763,692500
764,537700
765,836700
766,821700
767,1242400
768,435800
769,1094100
770,478100
771,583600
772,289800
773,828500
774,717200
775,1149100
776,617300
777,503400
778,597500
779,381300
780,638500
781,344400
782,533900
783,404500
784,704200
785,182300
786,255700
787,228800
788,217500
789,210400
790,521900
791,175500
792,182500
793,519100
794,365800
795,652900
796,185500
797,172700
798,238000
799,204500
800,331200
801,245600
802,599200
803,306900
804,1517500
805,876700
806,442100
807,447400
808,689900
809,685700
810,507400
811,749200
812,652200
813,511600
814,813400
815,1085800
816,450900
817,546600
818,175800
819,302100
820,317500
821,208300
822,277300
823,339700
824,238200
825,250100
826,170000
827,251900
828,220400
829,221900
830,318500
831,1206400
832,272900
833,506800
834,663500
835,225100
836,234600
837,177700
838,571700
839,365900
840,669200
841,151100
842,210700
843,182800
844,179400
845,207100
846,196500
847,180900
848,278300
849,331400
850,488600
851,404700
852,881000
853,194600
854,162200
855,226300
856,300300
857,484800
858,229100
