frame,frame_time_ns
1,253533700
2,2777300
3,2879400
4,2802800
5,2360400
6,2309700
7,2721800
8,2206000
9,2539200
10,2492700
11,1931200
12,2087400
13,1773600
14,1441100
15,1945100
16,1980400
17,1731500
18,1802200
19,1531500
20,1673900
21,1918700
22,1859100
23,1932500
24,2059300
25,2857500
26,2044400
27,1876400
28,2221400
29,1909200
30,2325900
31,2079500
32,1382400
33,1242800
34,2043900
35,1642200
36,1060200
37,976300
38,1329700
39,1492300
40,1308600
41,2132600
42,1758900
43,1498800
44,1737600
45,1472300
46,995600
47,825200
48,1429900
49,1513200
50,1222200
51,1591900
52,1013700
53,1823900
54,2173400
55,1503800
56,1410000
57,1215600
58,1039200
59,690900
60,690600
61,810100
62,1591600
63,1519500
64,1937300
65,2904600
66,2229900
67,1842000
68,1570800
69,1427800
70,1298800
71,1034900
72,991600
73,928800
74,1251000
75,2003600
76,1386300
77,1331400
78,1292100
79,1274600
80,862400
81,1070900
82,758000
83,827500
84,1883700
85,986300
86,1707800
87,1036300
88,1220100
89,1273400
90,2332400
91,2749000
92,1239800
93,703400
94,1090100
95,862900
96,735100
97,818000
98,672100
99,640800
100,633400
101,1078600
102,1171500
103,930000
104,918000
105,920000
106,1239700
107,1542100
108,935500
109,888900
110,880300
111,666900
112,938400
113,910700
114,1017000
115,872900
116,1178300
117,1967800
118,1832900
119,1275900
120,1639800
121,1194100
122,1184800
123,994200
124,1398500
125,1045000
126,857900
127,680300
128,623600
129,599500
130,642700
131,797600
132,715100
133,504100
134,405100
135,504100
136,702100
137,780900
138,835800
139,905800
140,1267800
141,808000
142,957100
143,757100
144,678900
145,884700
146,787900
147,722300
148,1162400
149,1037700
150,1251000
151,1488500
152,1004000
153,1032900
154,918500
155,696800
156,643100
157,622700
158,694200
159,620900
160,750200
161,1684600
162,1084600
163,997400
164,972900
165,855400
166,1254900
167,952700
168,755200
169,762100
170,758700
171,809500
172,1253700
173,1028700
174,727000
175,801400
176,803100
177,815900
178,1216600
179,1086100
180,1445700
181,1158800
182,1207300
183,1515900
184,1089400
185,1115000
186,1131700
187,1001300
188,978700
189,644300
190,750500
191,989300
192,1061600
193,1056300
194,743800
195,728500
196,1009900
197,1009600
198,1120200
199,1391700
200,1857200
201,1223500
202,798700
203,1068900
204,737900
205,707900
206,888800
207,827500
208,795500
209,908900
210,756100
211,692000
212,438700
213,369500
214,424200
215,672400
216,541400
217,557400
218,869500
219,1207400
220,1072300
221,808200
222,999800
223,899500
224,672100
225,481700
226,420000
227,379100
228,374300
229,362500
230,338100
231,501600
232,1012100
233,766700
234,675200
235,668500
236,564300
237,574200
238,583700
239,847700
240,1488200
241,1158600
242,730900
243,670700
244,616800
245,697300
246,1010500
247,725600
248,593000
249,444500
250,403600
251,379500
252,367200
253,404500
254,389600
255,312000
256,456400
257,1286200
258,1203800
259,1270600
260,1637100
261,1768800
262,1283800
263,978300
264,791000
265,906300
266,641900
267,514600
268,394500
269,326900
270,286600
271,278700
272,268500
273,341400
274,419100
275,410200
276,295700
277,291100
278,515200
279,649400
280,357900
281,320900
282,386000
283,397400
284,307100
285,1140200
286,481200
287,352300
288,445600
289,668400
290,1027800
291,1070200
292,636200
293,355700
294,307800
295,268700
296,248700
297,247600
298,261800
299,290500
300,249100
301,246500
302,267900
303,350400
304,442500
305,330500
306,288400
307,355200
308,281100
309,262900
310,368300
311,318400
312,288900
313,266100
314,261400
315,261700
316,251900
317,243900
318,245200
319,249100
320,340500
321,498300
322,466300
323,363300
324,271000
325,255300
326,247900
327,253200
328,280300
329,285000
330,352200
331,835100
332,750400
333,1088000
334,776200
335,559700
336,989800
337,568300
338,523100
339,782800
340,755800
341,493400
342,389500
343,323400
344,307100
345,293600
346,303000
347,294200
348,289800
349,276900
350,283000
351,310300
352,315700
353,364700
354,717800
355,712000
356,673600
357,769900
358,493700
359,383400
360,358600
361,386900
362,389400
363,395200
364,580000
365,590400
366,483400
367,328000
368,306100
369,270600
370,288200
371,293300
372,308800
373,272400
374,327200
375,285000
376,301900
377,302300
378,271100
379,438000
380,768200
381,614300
382,354200
383,389800
384,366700
385,313300
386,297200
387,272500
388,368200
389,392500
390,571600
391,367200
392,324900
393,616400
394,647600
395,425100
396,358900
397,307600
398,312400
399,808200
400,464200
401,478700
402,538000
403,938500
404,811700
405,905100
406,498600
407,472600
408,515200
409,934500
410,458000
411,299900
412,269700
413,279900
414,273900
415,268900
416,260800
417,241000
418,380000
419,289200
420,267900
421,353500
422,794900
423,758700
424,535600
425,412000
426,302000
427,313000
428,274000
429,266200
430,255400
431,268600
432,267100
433,255500
434,245000
435,266700
436,338100
437,501400
438,491400
439,363400
440,319100
441,292600
442,277500
443,257400
444,554900
445,312500
446,339400
447,319500
448,283600
449,266700
450,300400
451,378800
452,442700
453,356400
454,279900
455,258100
456,262500
457,255500
458,268800
459,266300
460,268100
461,256400
462,258800
463,270400
464,285900
465,260800
466,245200
467,263900
468,264300
469,658900
470,700100
471,496200
472,342000
473,355300
474,825800
475,904700
476,586100
477,399200
478,423500
479,719900
480,496200
481,605500
482,446000
483,359600
484,534500
485,338800
486,275300
487,255100
488,240300
489,531200
490,486300
491,359400
492,318900
493,257200
494,310000
495,259600
496,238200
497,236000
498,237400
499,415400
500,259600
501,297600
502,324400
503,266200
504,265200
505,234900
506,272200
507,430100
508,424900
509,344200
510,303700
511,273800
512,258500
513,254100
514,248300
515,249600
516,247400
517,293200
518,275400
519,250400
520,251000
521,250200
522,252100
523,365100
524,370800
525,545700
526,589700
527,524400
528,387800
529,322800
530,302100
531,272400
532,356500
533,264100
534,273600
535,254000
536,267100
537,276100
538,264500
539,302600
540,651500
541,655500
542,427400
543,316700
544,274500
545,277500
546,274500
547,289100
548,241800
549,262800
550,520700
551,303000
552,276200
553,266100
554,238100
555,280700
556,333500
557,476800
558,538600
559,413600
560,434500
561,1026300
562,584900
563,625300
564,636300
565,766600
566,660800
567,461100
568,357300
569,306700
570,356500
571,826100
572,473900
573,364500
574,297500
575,694700
576,619900
577,388000
578,296300
579,257300
580,242200
581,242800
582,256100
583,248700
584,269800
585,240600
586,243200
587,238000
588,240500
589,230300
590,245400
591,256300
592,850700
593,576400
594,331400
595,268800
596,284000
597,252400
598,311800
599,294000
600,366200
601,643100
602,583600
603,594600
604,474000
605,616400
606,576200
607,549300
608,382600
609,408000
610,269100
611,254900
612,250900
613,247400
614,254000
615,263700
616,259600
617,285500
618,275600
619,274100
620,257900
621,412300
622,574600
623,366600
624,334600
625,283400
626,272100
627,255900
628,276500
629,254900
630,280800
631,244700
632,245800
633,309600
634,343000
635,285700
636,257400
637,244900
638,341200
639,395300
640,434800
641,361700
642,332800
643,310100
644,401500
645,455700
646,411800
647,363600
648,313000
649,288300
650,288400
651,274800
652,261100
653,308300
654,318100
655,398400
656,370000
657,361800
658,283800
659,256600
660,242200
661,591500
662,380900
663,298300
664,263400
665,298100
666,317300
667,511000
668,584500
669,409300
670,377800
671,267600
672,248300
673,240700
674,247800
675,306600
676,273100
677,298100
678,259200
679,255900
680,265200
681,266300
682,273700
683,357400
684,614800
685,438400
686,353100
687,289900
688,253700
689,345300
690,412200
691,316000
692,334100
693,307600
694,260900
695,240800
696,236700
697,242600
698,247900
699,248100
700,328900
701,427700
702,472900
703,327200
704,325600
705,273800
706,271900
707,252800
708,256900
709,249700
710,403900
711,324600
712,316400
713,287400
714,382700
715,333700
716,578400
717,549100
718,422100
719,490100
720,436600
721,397200
722,341100
723,292200
724,262300
725,261900
726,258000
727,570100
728,454300
729,322300
730,468300
731,557600
732,408600
733,339000
734,302000
735,243400
736,309100
737,326800
738,391600
739,370300
740,444900
741,475600
742,512200
743,819000
744,1103700
745,621900
746,954600
747,641200
748,568100
749,555400
750,484800
751,1177800
752,836400
753,995100
754,817800
755,766600
756,763200
757,921800
758,1274700
759,1080600
760,901000
761,869500
762,1325200
763,878900
764,699700
765,761800
766,641900
767,519500
768,460400
769,522900
770,740000
771,1255500
772,1075200
773,1232800
774,838800
775,1229100
776,931700
777,794000
778,991400
779,1034000
780,1250700
781,1183700
782,1181800
783,1252300
784,1573500
785,1087400
786,998000
787,890000
788,998400
789,1442600
790,1055700
791,881300
792,878300
793,964800
794,1040200
795,1273800
796,1140800
797,841300
798,690100
799,670800
800,762100
801,1076900
802,902100
803,781700
804,777500
805,648800
806,513700
807,555300
808,932100
809,647000
810,448600
811,426000
812,661400
813,586200
814,391500
815,334400
816,576900
817,806700
818,484100
819,414600
820,348100
821,348700
822,365500
823,427100
824,470300
825,411400
826,415700
827,434500
828,745100
829,1112800
830,631100
831,448200
832,368000
833,357700
834,353300
835,336900
836,309500
837,301800
838,313300
839,500900
840,915500
841,898900
842,581700
843,419400
844,364200
845,349300
846,296200
847,273200
848,300300
849,260100
850,261000
851,321900
852,483000
853,503400
854,355200
855,374800
856,481500
857,532000
858,513800
859,755300
860,415100
861,383900
862,387300
863,482700
864,577000
865,599500
866,413100
867,349700
868,355400
869,416200
870,540300
871,439600
872,342900
873,315600
874,305300
875,298700
876,395500
877,733000
878,540100
879,381600
880,314400
881,288800
882,825700
883,735100
884,461400
885,420100
886,493100
887,362300
888,337200
889,413100
890,313400
891,312500
892,295100
893,284100
894,367400
895,283500
896,270200
897,316000
898,285100
899,318000
900,469100
901,697900
902,494800
903,471700
904,342000
905,280900
906,269400
907,324200
908,287600
909,682500
910,456600
911,382400
912,366400
913,423700
914,505500
915,481900
916,369700
917,296500
918,316800
919,309800
920,246300
921,255700
922,242700
923,241600
924,236500
925,233800
926,294500
927,246700
928,239400
929,237800
930,329200
931,494500
932,573400
933,425700
934,294800
935,359700
936,300800
937,267800
938,345100
939,300600
940,329500
941,273300
942,240600
943,239800
944,243700
945,241300
946,303300
947,424000
948,552400
949,339800
950,309700
951,290800
952,340600
953,391000
954,398000
955,367400
956,389200
957,342200
958,287500
959,243700
960,237000
961,289700
962,659000
963,559500
964,668600
965,507100
966,805400
967,493200
968,382800
969,281500
970,366400
971,606300
972,506000
973,421600
974,321900
975,264300
976,267300
977,266000
978,254300
979,249900
980,248800
981,264600
982,254100
983,392000
984,336600
985,330200
986,421500
987,667900
988,552300
989,350000
990,270600
991,314500
992,252700
993,241600
994,230700
995,231200
996,234600
997,228700
998,227700
999,239300
1000,232100
1001,228600
1002,229000
1003,238400
1004,322400
1005,484900
1006,464300
1007,370300
1008,344700
1009,266500
1010,261000
1011,242700
1012,243400
1013,233200
1014,380500
1015,235600
1016,231600
1017,280900
1018,243700
1019,245200
1020,267600
1021,240200
1022,355700
1023,414300
1024,355700
1025,290300
1026,246900
1027,244000
1028,355100
1029,317900
1030,285700
1031,256200
1032,263300
1033,261000
1034,234000
1035,232600
1036,234000
1037,271600
1038,235400
1039,242800
1040,299300
1041,374000
1042,429200
1043,313100
1044,299700
1045,306000
1046,287700
1047,297400
1048,323600
1049,350900
1050,344100
1051,316500
1052,284400
1053,243700
1054,246900
1055,258500
1056,253300
1057,320700
1058,364900
1059,289100
1060,290200
1061,262100
1062,235800
1063,233500
1064,220100
1065,219900
1066,408200
1067,305100
1068,235400
1069,269900
1070,233500
1071,242600
1072,219900
1073,231900
1074,280700
1075,278800
1076,273500
1077,332400
1078,245100
1079,284600
1080,231500
1081,225900
1082,254100
1083,218700
1084,231300
1085,234000
1086,231400
1087,216700
1088,230900
1089,231100
1090,262700
1091,227600
1092,272600
1093,238400
1094,276100
1095,288600
1096,273500
1097,400400
1098,280200
1099,319400
1100,262100
1101,295300
1102,227600
1103,222400
1104,257900
1105,231600
1106,313600
1107,246600
1108,235700
1109,242900
1110,219900
1111,221600
1112,243500
1113,222600
1114,252900
1115,332300
1116,481800
1117,388500
1118,305600
1119,283700
1120,243700
1121,245000
1122,223500
1123,230800
1124,261300
1125,233200
1126,241600
1127,343400
1128,256900
1129,289600
1130,246600
1131,262300
1132,257400
1133,247600
1134,295700
1135,311900
1136,295700
1137,256400
1138,292100
1139,261300
1140,253900
1141,250300
1142,230100
1143,234100
1144,224900
1145,225800
1146,233300
1147,253800
1148,273900
1149,253800
1150,275600
1151,241200
1152,230300
1153,236000
1154,338200
1155,489600
1156,387200
1157,323800
1158,314000
1159,265700
1160,313600
1161,281200
1162,306400
1163,292200
1164,287600
1165,258900
1166,298100
1167,231400
1168,224200
1169,250600
1170,245000
1171,252700
1172,270900
1173,601800
1174,304800
1175,231400
1176,242400
1177,216000
1178,232700
1179,234100
1180,217800
1181,334300
1182,248600
1183,241700
1184,234800
1185,217400
1186,214800
1187,272900
1188,223600
1189,254700
1190,323400
1191,367200
1192,269300
1193,261700
1194,241400
1195,279400
1196,251300
1197,234400
1198,220800
1199,275900
1200,295700
1201,222700
1202,233200
1203,233900
1204,219400
1205,219500
1206,214600
1207,217600
1208,220400
1209,237900
1210,338400
1211,396200
1212,275600
1213,250700
1214,213800
1215,217700
1216,220900
1217,230200
1218,273400
1219,224500
1220,236200
1221,216600
1222,230200
1223,240800
1224,216000
1225,229000
1226,229900
1227,229400
1228,218400
1229,216700
1230,219000
1231,257500
1232,271400
1233,354300
1234,283000
1235,288100
1236,245600
1237,232200
1238,225100
1239,225500
1240,232500
1241,253400
1242,217600
1243,230300
1244,229500
1245,222800
1246,216500
1247,221700
1248,285200
1249,223600
1250,356600
1251,321100
1252,414400
1253,327500
1254,318300
1255,272900
1256,302100
1257,234900
1258,228600
1259,227800
1260,225200
1261,224600
1262,225700
1263,232900
1264,263800
1265,229200
1266,234700
1267,252800
1268,232500
1269,243000
1270,249200
1271,274000
1272,332800
1273,375200
1274,402300
1275,360900
1276,381300
1277,331700
1278,376100
1279,371100
1280,305100
1281,242600
1282,222900
1283,221700
1284,226900
1285,261200
1286,301300
1287,320100
1288,347800
1289,356600
1290,260900
1291,236000
1292,226000
1293,237500
1294,238700
1295,297500
1296,254000
1297,419400
1298,276500
1299,256800
1300,234600
1301,232800
1302,230600
1303,287100
1304,592900
1305,580800
1306,368600
1307,290200
1308,313300
1309,340600
1310,283600
1311,253700
1312,267800
1313,231100
1314,225000
1315,229100
1316,230400
1317,306200
1318,289800
1319,286900
1320,453300
1321,582500
1322,479800
1323,422100
1324,367000
1325,383100
1326,310300
1327,262000
1328,248700
1329,248800
1330,248200
1331,282900
1332,239800
1333,249600
1334,235900
1335,365500
1336,780400
1337,457400
1338,517900
1339,333700
1340,281000
1341,246600
1342,241600
1343,234800
1344,253300
1345,249300
1346,242900
1347,219500
1348,219400
1349,220000
1350,230200
1351,254400
1352,485500
1353,745000
1354,450500
1355,306900
1356,259500
1357,417300
1358,321600
1359,285000
1360,274000
1361,237500
1362,234500
1363,241700
1364,240000
1365,364400
1366,377500
1367,436200
1368,602800
1369,449400
1370,368600
1371,457800
1372,430600
1373,532800
1374,498400
1375,359200
1376,288800
1377,309500
1378,266700
1379,392400
1380,765200
1381,740600
1382,496200
1383,405800
1384,709000
1385,455000
1386,393200
1387,312000
1388,574600
1389,699700
1390,485400
1391,513800
1392,408900
1393,438700
1394,430800
1395,542600
1396,478600
1397,446700
1398,334800
1399,550800
1400,562900
1401,438700
1402,338000
1403,279700
1404,231200
1405,220300
1406,224800
1407,366900
1408,301400
1409,243100
1410,230600
1411,233500
1412,222000
1413,216300
1414,238700
1415,475500
1416,514600
1417,359000
1418,294500
1419,294100
1420,284700
1421,244000
1422,228700
1423,232100
1424,226100
1425,238500
1426,224500
1427,231700
1428,302500
1429,314000
1430,298800
1431,267700
1432,429500
1433,899000
1434,483900
1435,333500
1436,568600
1437,405500
1438,351100
1439,315100
1440,308500
1441,296200
1442,366900
1443,299500
1444,390200
1445,620500
1446,602400
1447,526200
1448,608900
1449,529700
1450,557300
1451,698200
1452,622200
1453,954800
1454,663000
1455,544400
1456,411300
1457,339600
1458,569500
1459,542400
1460,434900
1461,352600
1462,540800
1463,627100
1464,487000
1465,463100
1466,356700
1467,369900
1468,336500
1469,294600
1470,289400
1471,295500
1472,279200
1473,281400
1474,302600
1475,362800
1476,603800
1477,640500
1478,434400
1479,336900
1480,324300
1481,256600
1482,284600
1483,501500
1484,275000
1485,283800
1486,278600
1487,290700
1488,262700
1489,254200
1490,252500
1491,378800
1492,489900
1493,527700
1494,335600
1495,287800
1496,255400
1497,243300
1498,251600
1499,250100
1500,258300
1501,252000
1502,240600
1503,251200
1504,251800
1505,227600
1506,234700
1507,244300
1508,232600
1509,382800
1510,572000
1511,471500
1512,304500
1513,276000
1514,244600
1515,238300
1516,266500
1517,234300
1518,223000
1519,221600
1520,219800
1521,221300
1522,333500
1523,285600
1524,268300
1525,275500
1526,339500
1527,615000
1528,499100
1529,370800
1530,274500
1531,300700
1532,312500
1533,332400
1534,400000
1535,334900
1536,263800
1537,254800
1538,263700
1539,286800
1540,272400
1541,780000
1542,886400
1543,525700
1544,362700
1545,342900
1546,528000
1547,435900
1548,284900
1549,252800
1550,243900
1551,281200
1552,413600
1553,481200
1554,325900
