frame,frame_time_ns
1,362554100
2,12829300
3,8746700
4,9329000
5,10641500
6,9419600
7,9326100
8,6734700
9,6291500
10,6352000
11,8150700
12,7783800
13,7574500
14,8807900
15,6845000
16,6649700
17,7266900
18,6557600
19,7683500
20,8012500
21,8414900
22,7350400
23,8042200
24,8129200
25,7239700
26,7035700
27,6769400
28,9961300
29,8136600
30,8020600
31,6669200
32,8581200
33,9410200
34,7863800
35,6066300
36,6381400
37,7818600
38,8008000
39,8239800
40,8261400
41,7360200
42,6750100
43,9077100
44,9514900
45,7514300
46,5627500
47,6568200
48,8628400
49,5797800
50,9255700
51,8466100
52,6759400
53,6837400
54,6811500
55,7119300
56,6990800
57,5483300
58,7092800
59,10046200
60,8054400
61,27560500
62,4096300
63,3344100
64,4599600
65,3429300
66,3893900
67,4444700
68,8088500
69,4393700
70,4527300
71,3605100
72,5215900
73,6848100
74,6439700
75,6262400
76,4305600
77,4719400
78,7454600
79,7408500
80,8637800
81,8278300
82,8822000
83,8621800
84,6386900
85,5913300
86,6884100
87,7641000
88,5339700
89,6184100
90,6083100
91,6845800
92,6554500
93,7393700
94,7841500
95,9281100
96,8716500
97,8864400
98,7796500
99,8064500
100,6549200
101,7667900
102,7427400
103,8057100
104,8592100
105,6529600
106,6033500
107,6315400
108,6959400
109,7718300
110,7836700
111,7319600
112,6611300
113,5772100
114,5147900
115,6803000
116,6596700
117,6959200
118,7552900
119,5123200
120,5721600
121,4782700
122,3857000
123,4472500
124,3838900
125,4199100
126,3591800
127,3147600
128,3413300
129,2989500
130,2792000
131,3219100
132,2951800
133,3380300
134,3286100
135,2948300
136,4036800
137,3300300
138,4559300
139,4431500
140,3880200
141,4960900
142,4518200
143,4143100
144,3335800
145,4473300
146,4345600
147,3330800
148,3149500
149,4006800
150,3247600
151,6447200
152,3332900
153,4095300
154,3377500
155,3106900
156,3700000
157,3072300
158,3976700
159,3469200
160,3835800
161,3117600
162,5079100
163,5169500
164,3427800
165,3547900
166,3313000
167,3646300
168,3377700
169,5573800
170,3075500
171,5690600
172,4341200
173,3481700
174,3626200
175,3494100
176,3804200
177,4009700
178,3853200
179,2857800
180,4329800
181,2880800
182,3425700
183,3705600
184,3589800
185,3010100
186,3308400
187,2925200
188,2651000
189,3856000
190,3062700
191,4888900
192,3367700
193,4639000
194,2776700
195,3250500
196,3550500
197,3259300
198,3157200
199,3802300
200,3375000
201,4250800
202,4869900
203,3256100
204,3722100
205,3681500
206,4329400
207,4060900
208,3899800
209,4413400
210,4073800
211,3192100
212,3233300
213,3578800
214,3364900
215,2948500
216,5160500
217,5035000
218,3872200
219,3361500
220,3254400
221,3830500
222,3821300
223,4091900
224,3155900
225,3339400
226,3112400
227,5150200
228,3727500
229,3502000
230,3435700
231,4908300
232,4916900
233,3689200
234,10534900
235,7010500
236,3974500
237,4449600
238,3649800
239,3344800
240,3679100
241,3321500
242,3879400
243,2996500
244,2874400
245,3237400
246,2528600
247,3977600
248,3393400
249,4473700
250,2781700
251,3322200
252,2619800
253,2668600
254,2825500
255,2422400
256,3188900
257,2914300
258,2681800
259,3238900
260,2468500
261,3144400
262,2853000
263,2872100
264,3132400
265,2828200
266,3069300
267,3445100
268,3324200
269,2951400
270,4975600
271,3649200
272,3379000
273,3028800
274,5156400
275,3973800
276,3698500
277,2999400
278,3485200
279,2843900
280,3344800
281,2646800
282,3534400
283,2915900
284,2787200
285,2835800
286,3583200
287,3752800
288,2870100
289,2967800
290,2628100
291,2697000
292,3246400
293,2852000
294,3134100
295,2982100
296,3477600
297,3037200
298,4225500
299,3812400
300,3584300
301,3351900
302,2781500
303,2745800
304,2900800
305,3233500
306,2531800
307,3295500
308,2397400
309,2200000
310,3500900
311,2476600
312,2364700
313,2970100
314,3186300
315,3237800
316,2901200
317,3215800
318,3259400
319,2504400
320,3930100
321,3987300
322,3017200
323,2021600
324,2667100
325,2908700
326,3063600
327,3275200
328,2422700
329,2937500
330,2815400
331,3371800
332,4555200
333,4439900
334,4024700
335,3382400
336,3114900
337,3861000
338,3018500
339,3593700
340,3052200
341,3823900
342,3354500
343,4781500
344,3592500
345,3024900
346,3055800
